block line confidence X1 Y1 X2 Y2 token
0 0 0.9995136260986328 195 198 237 237 to
0 0 0.9984656572341919 235 201 390 232 anomalous
0 0 0.999151349067688 395 203 508 237 triangle
0 0 0.9836344718933105 512 198 633 239 diagram
0 0 0.9996434450149536 636 196 726 237 which
0 0 0.9971453547477722 726 198 806 242 gives
0 0 0.9998366832733154 804 203 833 237 a
0 0 0.8739426136016846 833 201 978 232 coefficient
0 0 0.9999940395355225 980 196 1019 237 of
0 0 0.99661785364151 1015 196 1075 242 5/9
0 0 0.9994819760322571 1074 201 1114 237 to
0 0 0.9993612170219421 1112 198 1167 235 the
0 0 0.9479913711547852 1169 201 1298 232 2-flavour
0 0 0.9992109537124634 1301 198 1385 237 CME
0 0 0.9998961687088013 1385 198 1442 235 but
0 0 0.9968540072441101 1442 196 1500 242 2/3
0 1 0.9999920129776001 195 255 245 294 for
0 1 0.9998998641967773 248 258 302 294 the
0 1 0.6751734018325806 305 258 436 292 3-flavour
0 1 0.9954438209533691 440 258 523 292 CME
0 1 0.7089973092079163 529 255 594 301 [22).
0 1 0.9997650980949402 604 255 639 294 It
0 1 0.9998791217803955 642 258 741 292 results
0 1 0.9996582269668579 744 255 783 294 in
0 1 0.9994623064994812 783 262 812 294 a
0 1 0.9970414042472839 814 258 925 292 relative
0 1 0.9981378316879272 931 258 1014 292 CME
0 1 0.9937878251075745 1020 262 1124 290 current
0 1 0.9876670837402344 1133 260 1274 292 difference
0 1 0.9999340772628784 1276 253 1316 294 of
0 1 0.9914622902870178 1318 253 1374 299 1/6
0 1 0.9991586208343506 1381 262 1497 290 between
0 2 0.987558126449585 197 317 327 349 2-flavour
0 2 0.9998382329940796 334 315 394 351 and
0 2 0.9898163080215454 403 317 534 349 3-flavour
0 2 0.995452880859375 542 322 628 349 cases.
0 2 0.9932492971420288 652 317 785 351 However,
0 2 0.9962369203567505 797 319 910 347 because
0 2 0.999816358089447 920 315 973 351 the
0 2 0.9689580202102661 982 317 1135 349 traditional
0 2 0.9278094172477722 1148 319 1334 354 experimental
0 2 0.9703502655029297 1345 315 1498 349 observable
0 3 0.6091211438179016 188 365 276 427 yof
0 3 0.9999252557754517 271 374 368 415 charge
0 3 0.565802812576294 377 376 521 408 azimuthal
0 3 0.6565636396408081 531 376 688 408 correlation
0 3 0.9976121187210083 697 374 804 408 include
0 3 0.9997676014900208 810 372 856 411 all
