block line confidence X1 Y1 X2 Y2 token
0 0 0.7410804629325867 370 255 393 285 8
1 0 0.9586061239242554 461 253 522 285 F-K.
1 0 0.9980072379112244 524 257 662 281 Thielemann
2 0 0.9926844239234924 373 326 468 358 Eichler,
2 0 0.9971868395805359 471 324 516 360 D.,
2 0 0.9792090654373169 519 326 592 360 Livio,
2 0 0.9990098476409912 597 324 644 360 M.,
2 0 0.9954481720924377 647 326 727 358 Piran,
2 0 0.984988808631897 728 324 771 360 T.,
2 0 0.9984291195869446 773 324 803 356 &
2 0 0.5302963852882385 806 326 931 358 Schramm,
2 0 0.9985920786857605 933 324 972 358 D.
2 0 0.983164370059967 972 326 1009 358 N.
2 0 0.8942440152168274 1012 326 1080 358 1989,
2 0 0.9995428323745728 1084 326 1180 358 Nature,
2 0 0.9990895986557007 1182 326 1240 360 340,
2 0 0.9994568228721619 1241 324 1293 358 126
2 1 0.9914078116416931 373 358 468 391 Eichler,
2 1 0.9626927375793457 471 358 517 393 M.,
2 1 0.8580372333526611 522 360 659 391 Nakamura,
2 1 0.9984742999076843 664 358 707 393 K.,
2 1 0.9949801564216614 712 358 831 391 Takiwaki,
2 1 0.9995651841163635 836 356 878 395 T.,
2 1 0.9990463852882385 879 358 911 388 et
2 1 0.9877705574035645 913 358 949 391 al.
2 1 0.9990721940994263 951 358 1020 393 2018,
2 1 0.5815404057502747 1025 360 1120 386 Journal
2 1 0.9999653100967407 1123 358 1160 391 of
2 1 0.9943451881408691 1157 356 1255 395 Physics
2 1 0.9963460564613342 1255 358 1284 388 G
2 1 0.9995463490486145 1284 356 1339 391 Nu-
2 2 0.9162992835044861 371 423 434 457 Ertl,
2 2 0.9638433456420898 436 423 479 459 T.,
2 2 0.9996695518493652 484 425 567 457 Janka,
2 2 0.7200076580047607 574 425 650 459 H.-T.,
2 2 0.9994569420814514 657 423 768 461 Woosley,
2 2 0.943759024143219 768 421 803 457 S.
2 2 0.7641533613204956 805 423 848 459 E.,
2 2 0.9996587038040161 851 425 976 457 Sukhbold,
2 2 0.9936497807502747 979 423 1024 459 T.,
2 2 0.7143964171409607 1024 421 1059 459 &
2 2 0.9937624335289001 1060 423 1167 461 Ugliano,
2 2 0.9995691180229187 1170 423 1211 457 M.
2 2 0.9997629523277283 1213 425 1284 457 2016,
2 2 0.9993209838867188 1288 425 1338 459 Ap.
2 3 0.6354501247406006 371 489 478 528 Farouqi,
2 3 0.9992280006408691 479 489 524 526 K.,
2 3 0.9994778037071228 527 491 609 526 Kratz,
2 3 0.9950974583625793 612 491 690 524 K.-L.,
2 3 0.9999027252197266 693 491 791 524 Pfeiffer,
2 3 0.9969258904457092 795 491 840 526 B.,
2 3 0.9999520778656006 838 494 871 522 et
2 3 0.9994139671325684 873 491 909 524 al.
2 3 0.9996017813682556 909 491 981 524 2010,
2 3 0.9945605397224426 982 491 1034 528 Ap.
2 3 0.9985374212265015 1035 489 1074 528 J.,
2 3 0.9995341300964355 1075 491 1132 526 712,
2 3 0.9999600648880005 1135 491 1196 524 1359
2 4 0.9197701215744019 373 526 481 558 Foglizzo,
2 4 0.9867158532142639 484 524 527 558 T.,
2 4 0.9998748302459717 531 528 649 554 Kazeroni,
2 4 0.569198489189148 652 524 697 560 R.,
2 4 0.9996896982192993 697 522 788 560 Guilet,
2 4 0.8511406183242798 788 522 828 560 J.,
2 4 0.9999382495880127 828 526 861 556 et
2 4 0.9988448619842529 861 524 898 556 al.
2 4 0.7992950677871704 898 524 969 558 2015,
2 4 0.9941026568412781 971 524 1042 556 Publ.
2 4 0.9985018968582153 1045 524 1142 556 Astron.
2 4 0.913514256477356 1143 524 1201 556 Soc.
2 4 0.9996153116226196 1203 522 1294 560 Austr.,
2 4 0.9989872574806213 1294 524 1339 560 32,
2 5 0.9992417097091675 371 590 464 623 Fowler,
2 5 0.9773005843162537 466 588 512 623 W.
2 5 0.6007906198501587 511 588 556 625 A.,
2 5 0.9991216063499451 559 590 587 623 &
2 5 0.9902779459953308 591 590 670 625 Hoyle,
2 5 0.9988686442375183 672 588 708 625 F.
2 5 0.9997852444648743 710 590 778 625 1964,
2 5 0.9960553646087646 780 586 835 629 Ap.
2 5 0.9939182996749878 833 590 863 623 J.
2 5 0.9401955604553223 864 588 957 627 Suppl.,
2 5 0.9997144341468811 957 590 987 623 9,
2 5 0.9395918250083923 987 590 1040 623 201
2 6 0.9999483823776245 373 625 463 657 Fowler,
2 6 0.9669501781463623 464 620 554 659 W.A.,
2 6 0.9994841814041138 556 625 682 657 Caughlan,
2 6 0.5915811657905579 685 623 765 657 G.R.,
2 6 0.9981545805931091 765 623 793 655 &
2 6 0.6834585070610046 795 625 952 657 Zimmerman,
2 6 0.991459846496582 956 623 992 655 B.
2 6 0.9996987581253052 991 625 1025 653 A.
2 6 0.9999592304229736 1027 623 1097 657 1967,
2 6 0.9969360828399658 1099 623 1177 655 Annu.
2 6 0.9655796885490417 1178 623 1240 655 Rev.
2 6 0.9994375109672546 1243 623 1338 655 Astron.
2 7 0.9998352527618408 373 691 463 724 Fowler,
2 7 0.9981916546821594 464 687 509 724 W.
2 7 0.7191798686981201 511 689 554 726 A.,
2 7 0.9996464252471924 554 689 682 728 Caughlan,
2 7 0.9989987015724182 683 687 722 724 G.
2 7 0.9795153737068176 720 689 765 726 R.,
2 7 0.976177990436554 763 689 793 721 &
2 7 0.6307852268218994 795 691 952 724 Zimmerman,
2 7 0.9996204376220703 954 687 992 724 B.
2 7 0.9955804944038391 991 687 1027 724 A.
2 7 0.9997336268424988 1027 691 1097 724 1975,
2 7 0.9935494065284729 1099 689 1177 721 Annu.
2 7 0.8223977088928223 1178 689 1241 721 Rev.
2 7 0.9996498823165894 1243 689 1338 721 Astron.
2 8 0.999761164188385 373 758 539 790 Freiburghaus,
2 8 0.9885110855102539 544 754 591 794 C.,
2 8 0.8434160947799683 592 758 710 790 Rembges,
2 8 0.6090838313102722 713 756 785 790 J.-F.,
2 8 0.753463625907898 788 758 911 790 Rauscher,
2 8 0.5063688158988953 914 754 957 790 T.,
2 8 0.9997963309288025 959 758 991 788 et
2 8 0.9991044402122498 991 754 1030 788 al.
2 8 0.7542157173156738 1030 758 1113 790 1999a,
2 8 0.9985029697418213 1118 756 1168 792 Ap.
2 8 0.9897032380104065 1168 756 1208 794 J.,
2 8 0.9743227362632751 1208 756 1266 790 516,
2 8 0.9999908208847046 1265 756 1316 788 381
2 9 0.9931877851486206 375 790 541 822 Freiburghaus,
2 9 0.9494264721870422 547 788 591 825 C.,
2 9 0.9907734394073486 595 790 708 822 Rosswog,
2 9 0.9648398160934448 713 788 755 825 S.,
2 9 0.9992294311523438 757 788 786 820 &
2 9 0.9657057523727417 790 790 946 822 Thielemann,
2 9 0.9613794684410095 952 788 1024 820 F.-K.
2 9 0.9993003606796265 1029 790 1112 822 1999b,
2 9 0.9980459213256836 1117 788 1168 825 Ap.
2 9 0.9606284499168396 1168 786 1203 822 J.
2 9 0.9932882189750671 1206 790 1278 825 Lett.,
2 9 0.9998007416725159 1283 790 1339 825 525,
2 10 0.6168439388275146 371 855 484 893 Frohlich,
2 10 0.9677202105522156 486 855 529 893 C.,
2 10 0.9993647933006287 531 855 629 893 Hauser,
2 10 0.9986308217048645 630 855 670 891 P.,
2 10 0.960063636302948 674 857 838 889 Liebendorfer,
2 10 0.9976927042007446 841 857 891 891 M.,
2 10 0.9951229691505432 891 859 924 887 et
2 10 0.9849858283996582 923 855 962 889 al.
2 10 0.9988847374916077 962 857 1045 891 2006a,
2 10 0.9978765249252319 1047 852 1102 895 Ap.
2 10 0.5437107086181641 1100 855 1138 891 J.,
2 10 0.9998455047607422 1140 857 1198 891 637,
2 10 0.9995065927505493 1198 855 1250 889 415
2 11 0.9676464200019836 371 889 481 921 Frohlich,
2 11 0.9813755750656128 486 889 529 923 C.,
2 11 0.962483286857605 534 891 745 921 Martinez-Pinedo,
2 11 0.9940352439880371 750 887 795 923 G.,
2 11 0.9685307145118713 800 891 962 921 Liebendorfer,
2 11 0.9847195148468018 967 889 1016 923 M.,
2 11 0.9950729012489319 1017 891 1050 919 et
2 11 0.8734842538833618 1052 889 1089 921 al.
2 11 0.9997351765632629 1089 887 1178 925 2006b,
2 11 0.9877253174781799 1180 891 1286 923 Physical
2 11 0.9988609552383423 1291 891 1339 921 Re-
2 12 0.9994544386863708 373 958 493 990 Fujimoto,
2 12 0.9940575361251831 496 956 559 990 S.-i.,
2 12 0.9959174990653992 562 956 700 988 Nishimura,
2 12 0.9989270567893982 702 953 747 990 N.,
2 12 0.9977253079414368 748 956 778 988 &
2 12 0.9995133876800537 780 958 923 988 Hashimoto,
2 12 0.8813208341598511 926 956 996 988 M.-a.
2 12 0.9982945322990417 999 956 1069 990 2008,
2 12 0.9988935589790344 1069 951 1123 994 Ap.
2 12 0.9971272349357605 1122 953 1162 990 J.,
2 12 0.9992536902427673 1162 956 1220 990 680,
2 12 0.9404723644256592 1223 956 1284 988 1350
2 13 0.9993060827255249 371 988 454 1022 Fuller,
2 13 0.9998286962509155 456 986 496 1022 G.
2 13 0.998950183391571 494 988 542 1022 M.,
2 13 0.999535083770752 546 986 640 1024 Fowler,
