block line confidence X1 Y1 X2 Y2 token
0 0 0.9998757839202881 237 201 295 236 and
0 0 0.9998350143432617 295 199 335 236 A.
0 0 0.9787859916687012 338 201 458 240 Georges,
0 0 0.9996070265769958 461 201 527 234 New
0 0 0.9984086155891418 527 199 562 236 J.
0 0 0.999747097492218 562 199 644 240 Phys.
0 0 0.999886155128479 647 201 697 238 10,
0 0 0.5883095264434814 700 201 798 234 053019
0 0 0.999254047870636 803 201 899 240 (2008).
1 0 0.9998698234558105 197 255 230 285 19
1 0 0.9558598399162292 235 257 272 296 S.
1 0 0.9971886277198792 287 264 425 296 Hellmann,
1 0 0.9995504021644592 443 259 488 296 M.
1 0 0.9982855916023254 504 264 579 298 Beye,
1 0 0.9063140153884888 597 259 637 296 C.
1 0 0.9966660141944885 649 259 738 300 Sohrt,
1 0 0.9816563725471497 752 259 793 296 T.
1 0 0.9996148347854614 808 264 919 296 Rohwer,
1 0 0.9886236190795898 937 259 976 296 F.
1 0 0.9580327868461609 991 264 1135 296 Sorgenfrei,
1 0 0.9912365674972534 1152 259 1193 296 H.
1 0 0.9997010231018066 1208 264 1304 296 Redlin,
1 0 0.9973976612091064 1324 259 1367 296 M.
1 0 0.9980682730674744 1384 264 1497 296 Kallane,
1 1 0.9996675252914429 237 320 282 356 M.
1 1 0.6765377521514893 288 326 556 356 Marczynsk-Buhlow,
1 1 0.9875273108482361 561 320 599 358 F.
1 1 0.9996100068092346 604 324 717 356 Hennies,
1 1 0.9998378753662109 722 322 766 356 M.
1 1 0.9998773336410522 770 324 861 356 Bauer,
1 1 0.9998378753662109 866 320 904 356 A.
1 1 0.9517316818237305 909 324 1030 356 Fohlisch,
1 1 0.999882698059082 1034 320 1070 358 L.
1 1 0.9996882677078247 1074 324 1152 358 Kipp,
1 1 0.9990562796592712 1157 320 1203 356 W.
1 1 0.9995044469833374 1206 320 1306 360 Wurth,
1 1 0.9923885464668274 1319 322 1376 356 and
1 1 0.9970144033432007 1376 320 1419 356 K.
1 1 0.9991119503974915 1421 322 1497 354 Ross-
1 2 0.9999421834945679 195 438 230 466 20
1 2 0.9940667152404785 237 440 285 476 W.
1 2 0.9995834231376648 287 440 366 481 Shen,
1 2 0.9778568148612976 368 440 408 476 Y.
1 2 0.9997316002845764 411 442 463 479 Ge,
1 2 0.9985207915306091 464 440 504 476 A.
1 2 0.9986251592636108 504 440 544 476 Y.
1 2 0.6427333354949951 544 440 607 481 Liu,
1 2 0.9997344613075256 607 440 647 476 H.
1 2 0.9955562949180603 649 440 687 476 R.
1 2 0.8122947812080383 693 444 901 476 Krishnamurthy,
1 2 0.8357694745063782 908 442 951 476 T.
1 2 0.9995189905166626 944 440 981 476 P.
1 2 0.999638557434082 986 444 1135 476 Devereaux,
1 2 0.8607304096221924 1150 442 1206 474 and
1 2 0.9403278231620789 1206 440 1241 476 J.
1 2 0.9992110729217529 1240 440 1281 476 K.
1 2 0.9993289709091187 1286 444 1414 476 Freericks,
1 2 0.9986520409584045 1419 444 1495 479 Phys.
1 3 0.9999266862869263 195 558 230 584 21
1 3 0.9984086155891418 237 560 283 597 M.
1 3 0.9946386218070984 285 562 378 601 Bovet,
1 3 0.9478000998497009 381 560 416 597 S.
1 3 0.9978955984115601 421 569 474 595 van
1 3 0.9964989423751831 481 565 602 597 Smaalen,
1 3 0.999545156955719 609 560 649 597 H.
1 3 0.6968793869018555 654 562 755 601 Berger,
1 3 0.9981222748756409 760 560 800 597 R.
1 3 0.9977319240570068 805 562 879 597 Gaal,
1 3 0.9997512698173523 884 560 921 597 L.
1 3 0.5669662356376648 928 562 1011 597 Forro,
1 3 0.9997504353523254 1016 560 1052 597 L.
1 3 0.9701569676399231 1059 565 1218 597 Schlapbach,
1 3 0.8699347972869873 1238 562 1296 595 and
1 3 0.9982448816299438 1296 560 1333 599 P.
1 3 0.9998279809951782 1336 560 1414 601 Aebi,
1 3 0.999834418296814 1417 560 1497 601 Phys.
1 4 0.999636173248291 195 678 230 706 22
1 4 0.9980952143669128 235 681 277 717 T.
1 4 0.9977084398269653 280 685 398 717 Ritschel,
1 4 0.9989104270935059 400 681 434 719 J.
1 4 0.5642887353897095 438 685 574 717 Trinckauf,
1 4 0.9997212290763855 579 681 619 717 K.
1 4 0.9997372031211853 622 683 773 721 Koepernik,
1 4 0.9998666048049927 775 681 815 717 B.
1 4 0.9812175035476685 820 685 941 717 Buchner,
1 4 0.9997808337211609 944 683 989 717 M.
1 4 0.9594940543174744 991 689 1024 717 V.
1 4 0.9364472031593323 1029 685 1216 717 Zimmermann,
1 4 0.9998010993003845 1220 681 1260 717 H.
1 4 0.9999284744262695 1261 683 1364 721 Berger,
1 4 0.948018491268158 1367 683 1442 717 Y.I.
1 4 0.9994630217552185 1436 681 1499 721 Joe,
1 5 0.999845027923584 195 799 230 825 23
1 5 0.9995375871658325 237 801 282 837 M.
1 5 0.9998087286949158 283 801 325 837 N.
1 5 0.9714395403862 330 803 441 842 Faraggi,
1 5 0.9992120265960693 448 801 488 837 X.
1 5 0.9999226331710815 494 805 659 837 Zubizarreta,
1 5 0.9995149374008179 665 801 705 837 A.
1 5 0.9987947940826416 710 803 808 842 Arnau,
1 5 0.9968869090080261 826 803 884 837 and
1 5 0.9972735047340393 886 801 928 837 V.
1 5 0.9984928369522095 931 803 976 837 M.
1 5 0.9993816614151001 979 803 1070 842 Silkin,
1 5 0.9987414479255676 1075 803 1182 835 Journal
1 5 0.9992417097091675 1185 801 1225 837 of
1 5 0.9991766810417175 1225 803 1338 842 Physics:
1 5 0.9993681311607361 1351 803 1499 835 Condensed
1 6 0.9994813799858093 195 917 232 949 24
1 6 0.9965207576751709 237 921 277 958 C.
1 6 0.9892920255661011 282 925 383 958 Laulhé,
1 6 0.9995865225791931 388 921 425 958 L.
1 6 0.9997567534446716 429 923 516 960 Cario,
1 6 0.9998421669006348 519 921 559 958 B.
1 6 0.9998003840446472 564 925 679 958 Corraze,
1 6 0.9993749260902405 683 921 722 958 E.
1 6 0.9997445940971375 727 925 820 958 Janod,
1 6 0.9955007433891296 825 921 864 958 T.
1 6 0.9444481134414673 869 925 964 958 Huber,
1 6 0.9999121427536011 971 921 1011 958 G.
1 6 0.5147078633308411 1016 925 1104 958 Lantz,
1 6 0.9401518106460571 1108 921 1143 958 S.
1 6 0.9993725419044495 1150 925 1273 958 Boulfaat,
1 6 0.9992830157279968 1279 921 1319 958 A.
1 6 0.9999710321426392 1323 923 1419 962 Ferrer,
1 6 0.5870088338851929 1421 921 1459 958 S.
1 6 0.8293733596801758 1459 921 1499 958 O.
1 7 0.9991024732589722 239 983 371 1022 Mariager,
1 7 0.9979701638221741 378 981 413 1020 J.
1 7 0.9996176958084106 418 981 458 1018 A.
1 7 0.9739814400672913 464 983 587 1022 Johnson,
1 7 0.9415947198867798 594 981 629 1020 S.
1 7 0.9243383407592773 637 986 742 1018 Grubel,
1 7 0.9998456239700317 750 981 790 1018 A.
1 7 0.9827998876571655 798 986 904 1018 Lubcke,
1 7 0.9998836517333984 914 981 954 1018 G.
1 7 0.9996556043624878 961 983 1060 1022 Ingold,
1 7 0.9979578256607056 1067 981 1102 1018 P.
1 7 0.999677300453186 1108 983 1208 1022 Beaud,
1 7 0.9575731754302979 1213 981 1250 1020 S.
1 7 0.9955240488052368 1253 981 1291 1018 L.
1 7 0.9980306029319763 1296 983 1421 1022 Johnson,
1 7 0.9964898228645325 1442 983 1499 1018 and
1 8 0.9812674522399902 195 1097 229 1127 25
1 8 0.6593408584594727 237 1102 278 1138 B.
1 8 0.9997935891151428 280 1106 381 1138 Dardel,
1 8 0.9996078610420227 388 1104 433 1138 M.
1 8 0.9990630745887756 438 1104 537 1142 Grioni,
1 8 0.9999179840087891 539 1102 581 1138 D.
1 8 0.9990622401237488 587 1106 712 1138 Malterre,
1 8 0.9993175268173218 717 1102 753 1138 P.
1 8 0.7921459674835205 758 1106 861 1138 Weibel,
1 8 0.9975941777229309 868 1102 906 1138 Y.
1 8 0.9995970129966736 911 1106 987 1140 Baer,
1 8 0.9996165037155151 1004 1104 1060 1138 and
1 8 0.9989221096038818 1064 1102 1100 1140 F.
1 8 0.897639274597168 1105 1106 1180 1140 Lévy,
1 8 0.9994090795516968 1188 1106 1265 1140 Phys.
1 8 0.9998136162757874 1271 1104 1338 1138 Rev.
