block line confidence X1 Y1 X2 Y2 token
0 0 0.9996351003646851 395 199 456 242 M
0 0 0.4948640763759613 481 199 615 247 dim(Vof)
0 0 0.8076062202453613 640 199 737 247 L2(ci)
0 0 0.5189287662506104 763 199 866 247 H9(ci)
0 0 0.5927560329437256 889 199 987 247 L(c2)
0 0 0.3859034776687622 1016 204 1115 244 H(C2)
0 0 0.3136601150035858 1142 199 1291 247 H(C1,C2)
1 0 0.9988154172897339 612 242 748 281 Standard
1 0 0.9956353306770325 753 242 898 281 GmsFEM
1 0 0.9529426097869873 906 244 1087 283 (un-coupled)
1 1 0.9978722333908081 647 287 728 322 0.837
1 1 0.9942712783813477 776 287 853 322 1.925
1 1 0.9994543194770813 898 287 979 322 0.837
1 1 0.9984149932861328 1016 287 1112 320 30.542
1 2 0.9998663663864136 647 328 728 360 0.293
1 2 0.8641278743743896 773 328 853 360 0.358
1 2 0.9998761415481567 898 328 979 360 0.293
1 2 0.998593270778656 1016 328 1112 360 26.427
1 2 0.9924140572547913 1170 328 1265 360 11.912
1 3 0.9997552037239075 647 367 728 401 0.148
1 3 0.9999788999557495 773 367 853 401 0.193
1 3 0.9652539491653442 898 367 979 401 0.148
1 3 0.9961788654327393 1016 369 1112 401 23.165
1 3 0.9883643388748169 1170 369 1265 401 10.440
1 4 0.9989155530929565 647 408 728 442 0.108
1 4 0.9894445538520813 773 408 853 440 0.089
1 4 0.785248875617981 898 408 979 442 0.108
1 4 0.9966741800308228 1017 408 1112 440 17.945
1 5 0.5700968503952026 572 446 717 485 Simplified
1 5 0.9982446432113647 722 449 798 481 basis
1 5 0.9997259974479675 803 449 937 481 functions
1 5 0.6384024620056152 946 449 1127 487 (un-coupled)
1 6 0.999725878238678 647 489 728 522 2.343
1 6 0.9998186230659485 773 489 854 524 3.870
1 6 0.9999369382858276 898 489 979 522 2.343
1 6 0.9989357590675354 1014 487 1113 526 36.649
1 6 0.9996044039726257 1170 487 1266 526 16.872
1 7 0.9999470710754395 635 532 770 565 Standard
1 7 0.904122531414032 776 530 919 562 GmsFEM
1 7 0.8933658599853516 928 530 1064 569 (coupled)
1 8 0.9997815489768982 649 571 728 605 1.944
1 8 0.915256142616272 773 573 853 605 2.584
1 8 0.9999209642410278 899 571 979 605 1.944
1 8 0.996833860874176 1024 573 1105 605 6.942
1 9 0.9999691247940063 649 612 728 646 1.070
1 9 0.9978358149528503 773 612 853 646 1.200
1 9 0.9999803304672241 899 612 979 646 1.070
1 9 0.9999890327453613 1024 612 1104 646 2.197
1 10 0.9731652140617371 647 653 728 685 0.359
1 10 0.9999186992645264 773 653 853 687 0.544
1 10 0.9998644590377808 898 653 979 685 0.359
1 10 0.7270232439041138 1024 653 1105 687 0.788
1 11 0.9998880624771118 649 693 727 726 0.129
1 11 0.9950055480003357 773 693 853 726 0.105
1 11 0.9998782873153687 898 693 979 726 0.129
1 11 0.9993365406990051 1024 693 1104 726 0.375
1 12 0.5850539207458496 597 736 738 769 Simplified
1 12 0.999935507774353 747 732 821 766 basis
1 12 0.9949457049369812 828 734 961 766 functions
1 12 0.9997020363807678 969 734 1104 773 (coupled)
1 13 0.9455575346946716 647 775 728 809 2.105
1 13 0.9999839067459106 773 775 853 809 3.399
1 13 0.9958337545394897 898 775 979 809 2.105
1 13 0.5137159824371338 1022 775 1104 807 4.122
2 0 0.9999725818634033 420 285 444 324 6
2 1 0.9997753500938416 514 287 584 320 1452
2 2 0.9999731779098511 420 326 444 363 8
2 3 0.9932543635368347 512 328 584 360 1936
2 4 0.9856463074684143 411 365 453 403 12
2 5 0.9908331036567688 512 367 584 401 2904
2 6 0.9954431056976318 413 406 453 442 16
2 6 0.9995504021644592 511 408 584 440 3872
2 7 0.9979536533355713 410 487 453 524 all
2 8 0.9999363422393799 519 489 576 524 536
2 9 0.9996837377548218 420 573 444 608 6
2 10 0.9999150037765503 512 571 584 605 1452
2 11 0.9999302625656128 420 612 444 646 8
2 12 0.9903530478477478 512 612 584 646 1936
2 13 0.9996912479400635 413 650 453 687 12
2 13 0.9970947504043579 511 653 584 685 2904
2 14 0.9996504783630371 411 691 453 728 16
2 14 0.9998534917831421 511 691 584 726 3872
2 15 0.9969698786735535 410 773 453 809 all
3 0 0.9998961687088013 1172 287 1265 320 13.869
3 1 0.9984801411628723 1177 408 1258 440 8.086
4 0 0.9987120628356934 1177 573 1256 605 3.934
4 1 0.6077677011489868 1177 612 1258 646 1.452
4 2 0.9838035106658936 1177 653 1258 685 0.606
4 3 0.9777073860168457 1177 693 1256 726 0.193
4 4 0.9999910593032837 1177 775 1258 809 3.557
5 0 0.9999772310256958 519 775 576 809 830
6 0 0.9987064599990845 197 878 283 915 Table
6 0 0.9998528957366943 285 878 320 915 3:
6 0 0.8566831350326538 333 880 564 910 Dual-continuum
6 0 0.9990347623825073 574 883 745 915 background.
6 0 0.9927899241447449 763 880 913 910 Numerical
6 0 0.999897837638855 921 880 1019 913 results
6 0 0.9999986886978149 1022 876 1062 915 of
6 0 0.9994543194770813 1064 880 1173 913 relative
6 0 0.9982427358627319 1180 887 1266 913 errors
6 0 0.8880051374435425 1273 876 1331 921 (%)
6 0 0.9999809265136719 1338 883 1374 915 at
6 0 0.6688814759254456 1377 878 1431 913 the
6 0 0.9999383687973022 1436 878 1504 913 final
6 1 0.6150715351104736 197 1018 280 1059 using
6 1 0.9996151924133301 287 1016 361 1050 RVE
6 1 0.6300942301750183 371 1022 564 1052 computatzons.
6 1 0.9976814985275269 591 1016 657 1050 This
6 1 0.8128467798233032 662 1016 697 1052 is
6 1 0.9843930602073669 703 1016 785 1050 based
6 1 0.9189664721488953 790 1024 833 1052 on
6 1 0.987815260887146 836 1022 864 1052 a
6 1 0.9017394781112671 871 1018 1032 1048 localization
6 1 0.7482295632362366 1042 1018 1213 1057 assumption,
6 1 0.9500054717063904 1226 1016 1313 1052 which
6 1 0.9232080578804016 1319 1024 1364 1052 we
6 1 0.6415075659751892 1371 1018 1504 1050 imtroduce
6 2 0.9989990592002869 252 1095 303 1132 We
6 2 0.8725720047950745 307 1097 429 1130 comsider
6 2 0.4794660806655884 431 1095 493 1136 "7"","
6 2 0.8264597058296204 501 1097 586 1130 which
6 2 0.9945650100708008 587 1095 624 1134 is
6 2 0.9999523162841797 624 1095 674 1132 the
6 2 0.9172770977020264 679 1097 818 1130 harmonic
6 2 0.6751412153244019 825 1102 966 1134 erpansion
6 2 0.5322863459587097 971 1095 1009 1134 in
6 2 0.8007079362869263 1006 1102 1047 1136 w,
6 2 0.8522684574127197 1054 1097 1140 1130 which
6 2 0.9921022057533264 1142 1095 1177 1134 is
6 2 0.8653678894042969 1178 1095 1284 1136 defined
6 2 0.5187457799911499 1286 1093 1329 1140 by
6 2 0.4887586534023285 1329 1097 1434 1136 solving
6 2 0.9963448643684387 1437 1095 1507 1130 local
7 0 0.7159479260444641 197 921 350 951 simulation
7 0 0.9074986577033997 355 919 433 953 time.
7 0 0.35035017132759094 444 919 537 960 DOFf
7 0 0.9937711358070374 541 925 574 951 =
7 0 0.9991219639778137 576 917 672 956 17834.
7 0 0.978991687297821 679 917 728 960 Qi
7 0 0.9960117340087891 728 925 762 951 =
7 0 0.9999622106552124 762 919 820 953 250
