block line confidence X1 Y1 X2 Y2 token
0 0 0.33930277824401855 587 249 770 302 (1-8)6+)
0 0 0.5146577954292297 748 249 848 298 260
0 0 0.9969313144683838 836 257 871 294 -
0 0 0.39848628640174866 854 244 1035 313 HV(d1)+
0 0 0.34488439559936523 1012 257 1108 298 (00))2,
0 1 0.6043941974639893 594 311 765 365 (1-8)0(+1)
0 1 0.3427419066429138 755 311 848 360 <B0.
0 1 0.23746779561042786 830 307 1034 369 +/Cay+
0 1 0.7972211241722107 1020 317 1110 358 (A())2,
1 0 0.9967755675315857 1434 257 1504 298 (157)
1 1 0.9524148106575012 1434 320 1504 360 (158)
2 0 0.9996665716171265 239 408 315 433 where
2 0 0.27890264987945557 317 410 345 442 p
2 0 0.9995338916778564 341 406 371 438 is
2 0 0.9999761581420898 370 403 420 438 the
2 0 0.9993964433670044 420 410 498 442 upper
2 0 0.9996740818023682 501 408 581 433 bound
2 0 0.9994542002677917 582 406 619 438 of
2 0 0.9940932393074036 617 408 680 433 term
2 0 0.29376891255378723 683 401 833 442 (1.5/1A/1
2 0 0.9988455772399902 833 406 863 438 +
2 0 0.2722945213317871 863 397 1047 442 AIDIIT'-1
2 0 0.9996883869171143 1050 403 1104 438 and
2 0 0.9875137209892273 1104 410 1155 436 can
2 0 0.9928889274597168 1153 403 1195 438 be
2 0 0.9990087747573853 1195 408 1303 433 obtained
2 0 0.9987887740135193 1306 403 1344 442 by
3 0 0.2176569551229477 720 461 785 513 wA
3 0 0.513660728931427 781 470 972 509 pSP(4+622).
4 0 0.9991949200630188 1434 470 1504 511 (159)
5 0 0.9830005168914795 200 588 366 620 Quantifying
5 0 0.7807908058166504 370 586 425 618 the
5 0 0.9791263341903687 428 588 512 614 Norm
5 0 0.9999392032623291 516 584 556 618 of
5 0 0.4270669221878052 554 582 604 618 v()
5 0 0.9929351210594177 610 588 750 620 Projected
5 0 0.9999533891677856 755 588 791 620 at
5 0 0.9995754361152649 796 588 921 614 Different
5 0 0.992775559425354 929 588 1082 620 Subspaces:
5 0 0.9994571805000305 1104 586 1183 620 Then,
5 0 0.8732689023017883 1185 590 1226 616 we
5 0 0.9995846152305603 1226 584 1279 618 will
5 0 0.9494566321372986 1279 592 1328 616 use
5 0 0.8922036290168762 1329 586 1502 616 mathematical
6 0 0.7141711711883545 197 618 318 650 induction
6 0 0.9999421834945679 318 620 351 650 to
6 0 0.9449388980865479 355 627 426 653 prove
7 0 0.19276085495948792 760 678 810 715 B()
7 0 0.45505398511886597 810 683 843 721 S
7 0 0.25252091884613037 840 681 937 721 4utote).
8 0 0.9469959139823914 1434 683 1504 724 (160)
9 0 0.9407871961593628 235 764 273 801 Iti
9 0 0.998967170715332 267 766 297 799 is
9 0 0.9964267611503601 295 771 353 797 true
9 0 0.9997808337211609 355 766 425 799 when
9 0 0.9989145994186401 425 766 449 799 t
9 0 0.9598569273948669 439 771 474 797 =
9 0 0.9857532978057861 471 766 496 799 0
9 0 0.9994391798973083 494 766 562 799 since
9 0 0.22097435593605042 566 760 642 801 ()1!
9 0 0.6672137975692749 642 751 693 786 115)
9 0 0.9577305912971497 693 766 723 799 0.
10 0 0.5299218893051147 242 805 361 831 Assuming
10 0 0.9943576455116272 365 799 425 833 that
10 0 0.9993343949317932 426 803 536 835 equation
10 0 0.990352213382721 541 797 607 837 (160)
10 0 0.9999245405197144 610 801 637 833 is
10 0 0.9999146461486816 637 801 695 833 true
10 0 0.9788917303085327 695 803 730 831 at
10 0 0.998898983001709 730 799 778 833 the
10 0 0.9991693496704102 776 799 823 833 tth
10 0 0.909935712814331 826 805 937 831 iteration,
10 0 0.7939336895942688 942 805 984 831 we.
10 0 0.9925692677497864 984 799 1049 831 need
10 0 0.9993459582328796 1049 801 1082 831 to
10 0 0.9971097111701965 1082 805 1157 837 prove
11 0 0.34489139914512634 698 859 776 900 B(+1)
11 0 0.5795018672943115 773 865 808 904 S
11 0 0.5597903728485107 801 861 899 908 4p(t+
11 0 0.6292154788970947 891 859 1002 906 1)+1).
12 0 0.5247707366943359 1434 865 1504 906 (161)
13 0 0.9998446702957153 239 943 356 981 Applying
13 0 0.8529316782951355 361 938 425 981 (157)
13 0 0.8929108381271362 428 943 486 977 into
13 0 0.9980204105377197 488 943 551 975 RHS
13 0 0.9980668425559998 551 941 587 977 of
13 0 0.9919400811195374 589 941 662 981 (161),
13 0 0.5982163548469543 665 949 707 975 we.
13 0 0.9828376770019531 707 943 770 975 have
14 0 0.8499255776405334 496 1016 561 1057 4u(t
14 0 0.9997379183769226 547 1018 586 1054 +
14 0 0.3968205153942108 582 1016 683 1057 1)d+1)
14 0 0.23900265991687775 683 1018 715 1059 2
