block line confidence X1 Y1 X2 Y2 token
0 0 0.9970845580101013 201 169 276 203 Table
0 0 0.738768458366394 276 166 314 203 I:
0 0 0.9959388971328735 316 169 434 203 Observed
0 0 0.9971950054168701 437 169 545 203 numbers
0 0 0.9999978542327881 549 171 581 203 of
0 0 0.9670558571815491 581 171 725 205 lung-cancer
0 0 0.992362380027771 726 175 794 203 cases
0 0 0.999782383441925 796 169 835 207 by
0 0 0.9999947547912598 835 169 896 203 dose
0 0 0.9979307651519775 898 171 1028 205 categories,
0 0 0.998900294303894 1033 171 1156 205 compared
0 0 0.9995055198669434 1158 169 1221 203 with
0 0 0.9999315738677979 1222 169 1293 203 those
0 0 0.9402563571929932 1295 171 1413 205 predicted
0 0 0.9998742341995239 1414 169 1453 207 by
0 0 0.9215522408485413 1453 166 1502 203 the
0 1 0.9982032775878906 163 203 297 237 descriptive
0 1 0.9945490956306458 298 201 353 235 and
0 1 0.999362051486969 356 203 494 237 multi-stage
0 1 0.9997376799583435 499 205 586 232 models
0 1 0.9996994733810425 591 201 633 239 (in
0 1 0.999729573726654 636 205 746 232 brackets:
0 1 0.9871459007263184 752 207 833 235 excess
0 1 0.5165168046951294 835 203 920 237 cases).
0 1 0.9990411400794983 925 201 967 237 As
0 1 0.9998666048049927 965 205 990 235 a
0 1 0.9996547698974609 991 203 1111 237 reference,
0 1 0.7552602887153625 1114 207 1154 235 we
0 1 0.9978356957435608 1154 201 1209 235 also
0 1 0.9924333095550537 1209 203 1266 239 give
0 1 0.999914288520813 1266 201 1316 235 the
0 1 0.997672975063324 1318 210 1402 237 person
0 1 0.9995654225349426 1405 210 1471 237 years
0 1 0.8783789873123169 1476 201 1526 239 (py)
1 0 0.9999779462814331 148 251 218 278 Doses
1 0 0.9737685322761536 219 244 282 287 (Gy)
1 0 0.8684767484664917 313 255 350 283 py
1 0 0.9913381338119507 382 251 452 278 Cases
1 0 0.9981836676597595 476 251 552 278 TSCE
1 0 0.9672630429267883 576 253 680 280 3SCE(A)
1 0 0.9953191876411438 697 253 799 280 3SCE(B)
1 0 0.9975377321243286 814 248 920 283 3SCE(C)
1 0 0.9223687648773193 936 253 1059 280 descriptive
1 1 0.9947675466537476 161 283 216 319 0-
1 1 0.999542236328125 206 285 263 319 0.01
1 1 0.9990583062171936 281 285 381 319 188,995
1 1 0.9880704879760742 397 283 447 317 204
1 1 0.9999347925186157 465 285 512 317 198
1 1 0.9930059909820557 512 285 570 322 (0.5)
1 1 0.998677670955658 578 283 628 319 203
1 1 0.9890705347061157 628 285 684 322 (0.2)
1 1 0.9996159076690674 697 283 747 319 205
1 1 0.9843382239341736 746 285 806 322 (0.2)
1 1 0.9992403984069824 818 287 864 315 204
1 1 0.995754599571228 865 285 923 322 (0.3)
1 1 0.9927353858947754 943 283 993 319 194
1 1 0.9906371235847473 991 285 1049 322 (0.6)
1 2 0.9911081790924072 146 319 203 354 0.01
1 2 0.9508411884307861 200 324 229 351 -
1 2 0.9973196387290955 224 324 279 351 0.03
1 2 0.7044348120689392 290 322 373 356 18,888
1 2 0.9998396635055542 405 322 439 351 32
1 2 0.9999346733093262 479 322 515 351 50
1 2 0.9852338433265686 515 319 554 358 (3)
1 2 0.9999090433120728 596 322 631 356 49
1 2 0.9548394083976746 629 319 670 358 (1)
1 2 0.9999158382415771 715 322 751 356 50
1 2 0.9882728457450867 749 319 789 358 (1)
1 2 0.9999624490737915 835 322 868 351 50
1 2 0.9290986657142639 868 319 909 358 (1)
1 2 0.9993718266487122 959 319 998 356 49
1 2 0.9944276809692383 993 319 1035 356 (4)
1 3 0.9499386548995972 155 358 208 386 0.03
1 3 0.7273716330528259 208 363 234 383 -
1 3 0.9957253932952881 229 358 271 386 0.1
1 3 0.9988476037979126 290 356 373 390 15,843
1 3 0.9999243021011353 405 356 440 390 58
1 3 0.999987006187439 479 356 515 390 51
1 3 0.9368604421615601 513 356 554 392 (9)
1 3 0.999901294708252 596 356 631 390 47
1 3 0.9674204587936401 629 356 670 392 (4)
1 3 0.9998466968536377 717 356 749 388 47
1 3 0.9917445778846741 749 356 789 392 (4)
1 3 0.9999738931655884 835 358 868 388 48
1 3 0.9475549459457397 868 356 909 392 (4)
1 3 0.7332060933113098 954 356 990 390 52
1 3 0.9997865557670593 988 356 1040 392 (11)
1 4 0.9923704862594604 161 392 208 424 0.1
1 4 0.9948155283927917 198 395 266 422 -0.3
1 4 0.5929908156394958 295 392 366 427 7,091
1 4 0.9999884366989136 405 392 437 422 41
1 4 0.9808330535888672 473 392 507 422 37
1 4 0.9981454610824585 508 390 560 427 (15)
1 4 0.9999815225601196 591 392 626 427 31
1 4 0.8038311004638672 634 390 675 429 (8)
1 4 0.9981745481491089 707 390 746 427 30
1 4 0.9986180067062378 743 392 796 427 (23)
1 4 0.9999445676803589 835 392 868 422 31
1 4 0.9262019991874695 868 390 909 429 (7)
1 4 0.9996625185012817 951 390 990 427 39
