block line confidence X1 Y1 X2 Y2 token
0 0 0.9999818801879883 1543 75 1567 109 3
1 0 0.6506361961364746 320 154 428 180 Currently
1 0 0.998389482498169 431 152 469 180 at:
1 0 0.9887681603431702 474 152 556 178 Center
1 0 0.9999226331710815 554 150 599 184 for
1 0 0.9997232556343079 602 150 748 182 Underground
1 0 0.9977642297744751 752 150 846 182 Physics,
1 0 0.9274783730506897 853 152 951 178 Institute
1 0 0.99944669008255 951 148 996 184 for
1 0 0.9961605072021484 996 152 1062 178 Basic
1 0 0.9978532195091248 1065 150 1160 182 Science,
1 0 0.9944847226142883 1167 150 1260 182 Daejeon
1 0 0.9991496801376343 1263 150 1343 182 34126,
1 0 0.9234297871589661 1346 152 1417 178 Korea
2 0 0.9975426197052002 846 266 864 290 1
3 0 0.9709872007369995 322 348 378 380 The
3 0 0.9989857077598572 381 352 456 378 charm
3 0 0.9608626961708069 463 350 607 382 semileptonic
3 0 0.9926049709320068 612 350 692 382 decays
3 0 0.9782760143280029 698 345 745 380 D+
3 0 0.5633977651596069 750 352 783 380 1
3 0 0.5089626312255859 788 345 864 386 netue
3 0 0.9674299955368042 868 348 919 382 and
3 0 0.8501676917076111 921 341 971 384 D+
3 0 0.2737830877304077 974 350 1011 382 1
3 0 0.5877371430397034 1014 348 1094 382 n'etve
3 0 0.9793903827667236 1100 354 1145 380 are
3 0 0.9998749494552612 1147 348 1236 380 studied
3 0 0.9994774460792542 1240 348 1299 380 with
3 0 0.999940037727356 1301 352 1328 382 a
3 0 0.9969474673271179 1328 350 1414 382 sample
3 1 0.980795681476593 298 378 330 406 of
3 1 0.5209031105041504 328 375 395 408 ete-
3 1 0.9983729124069214 401 380 496 406 collision
3 1 0.9996860027313232 503 380 559 406 data
3 1 0.9935909509658813 564 380 727 412 corresponding
3 1 0.9918312430381775 730 380 763 408 to
3 1 0.9994612336158752 763 382 800 408 an
3 1 0.994644045829773 805 382 921 408 integrated
3 1 0.9181684255599976 931 382 1050 408 luminosity
3 1 0.9999995231628418 1054 378 1087 406 of
3 1 0.9241460561752319 1087 375 1193 408 2.93fb-1
3 1 0.9755392074584961 1200 380 1301 406 collected
3 1 0.9141793251037598 1306 380 1339 408 at
3 1 0.8455812931060791 1341 375 1384 412 Vs
3 1 0.9994237422943115 1384 382 1414 410 =
3 2 0.953161358833313 300 408 418 433 3.773GeV
3 2 0.9964244961738586 420 406 481 438 with
3 2 0.9998923540115356 481 408 524 436 the
3 2 0.9790453314781189 529 408 612 433 BESIII
3 2 0.9994134902954102 617 410 718 433 detector.
3 2 0.9996955394744873 730 408 773 436 We
3 2 0.8829084634780884 775 412 873 436 measure
3 2 0.9989251494407654 876 408 919 436 the
3 2 0.9998212456703186 923 408 1039 440 branching
3 2 0.9980164766311646 1042 408 1143 433 fractions
3 2 0.9999939203262329 1145 403 1188 438 for
3 2 0.9920103549957275 1188 403 1235 438 D+
3 2 0.37721771001815796 1236 410 1270 438 1
3 2 0.33615973591804504 1268 403 1346 444 netue
3 2 0.9975661039352417 1346 408 1379 438 to
3 2 0.9999328851699829 1379 408 1414 436 be
3 3 0.9986279010772705 300 436 375 468 (10.74
3 3 0.39424455165863037 373 436 401 466 
3 3 0.9999723434448242 398 436 453 468 0.81
3 3 0.45849284529685974 453 436 479 466 
3 3 0.6860845685005188 478 436 542 468 0.51)
3 3 0.678851306438446 542 438 569 466 X
3 3 0.7829951643943787 567 433 634 466 10-4,
3 3 0.9965018033981323 637 433 688 468 and
3 3 0.9975550770759583 690 436 728 464 for
3 3 0.8527790307998657 733 436 776 464 D+
3 3 0.8752872943878174 776 438 815 466 1
3 3 0.6766878962516785 813 436 894 470 n'etVe
3 3 0.9989197254180908 898 438 929 466 to
3 3 0.9999938011169434 928 433 967 468 be
3 3 0.9995336532592773 967 436 1030 470 (1.91
3 3 0.4991413354873657 1029 436 1057 466 t
3 3 0.9999773502349854 1054 436 1108 468 0.51
3 3 0.4609144926071167 1108 436 1135 466 
3 3 0.9987566471099854 1133 436 1198 470 0.13)
3 3 0.5782434344291687 1196 438 1225 466 x
3 3 0.8325510025024414 1223 433 1291 466 10-4,
3 3 0.7206847667694092 1294 438 1367 464 where
3 3 0.9999796152114868 1371 436 1414 464 the
3 4 0.9420467615127563 300 466 449 496 uncertainties
3 4 0.9983304142951965 451 472 491 491 are
3 4 0.9907852411270142 494 468 605 491 statistical
3 4 0.9972963929176331 607 464 659 496 and
3 4 0.9932426810264587 659 466 786 498 systematic,
3 4 0.8925424218177795 790 466 931 498 respectively.
3 4 0.9883777499198914 937 466 969 494 In
3 4 0.9998422861099243 971 468 1074 494 addition,
3 4 0.6487880945205688 1075 470 1113 496 we,
3 4 0.6150628328323364 1113 466 1210 498 perform
3 4 0.9983304142951965 1208 468 1233 496 a
3 4 0.8845421075820923 1230 466 1386 496 measurement
3 4 0.9999730587005615 1384 464 1417 494 of
3 5 0.9998722076416016 297 491 343 526 the
3 5 0.9768908619880676 343 496 400 522 form
3 5 0.9983242154121399 405 496 474 522 factor
3 5 0.999658465385437 473 494 504 524 in
3 5 0.9997995495796204 503 491 549 526 the
3 5 0.9917123317718506 547 494 617 528 decay
3 5 0.9757192730903625 619 494 662 522 D+
3 5 0.6707291603088379 664 496 697 524 1
3 5 0.6152951717376709 697 494 776 528 metVe.
3 5 0.9967472553253174 783 494 823 522 All
3 5 0.9997656941413879 821 491 866 526 the
3 5 0.988837480545044 866 496 944 522 results
3 5 0.9980767965316772 946 498 989 524 are
3 5 0.9677097201347351 989 498 1105 522 consistent
3 5 0.9998109936714172 1105 491 1165 524 with
3 5 0.9998130202293396 1167 496 1230 522 those
3 5 0.9955934882164001 1231 496 1333 522 obtained
3 5 0.9765665531158447 1333 491 1372 530 by
3 5 0.9040184020996094 1369 491 1416 526 the
4 0 0.5350357890129089 300 526 396 552 CLEO-C
4 0 0.9147400259971619 400 526 536 556 experiment.
5 0 0.9995160102844238 302 577 411 603 Keywords:
5 0 0.9822960495948792 418 577 501 603 BESIII,
5 0 0.9964085221290588 504 575 574 601 charm
5 0 0.6931059956550598 576 575 708 605 semileptonic
5 0 0.9925408363342285 710 577 778 603 decay,
5 0 0.9924951791763306 780 575 835 601 form
5 0 0.9997684359550476 835 575 901 601 factor
6 0 0.997796893119812 340 659 370 687 I.
6 0 0.9554286599159241 393 661 637 685 INTRODUCTION
7 0 0.999931812286377 876 655 929 689 and
7 0 0.4492999017238617 934 657 1027 698 Bretvs
7 0 0.9943532943725586 1032 661 1064 687 =
7 0 0.9986125230789185 1070 657 1137 691 (2.16
7 0 0.3798433244228363 1137 657 1167 689 t
7 0 0.5638245940208435 1167 657 1225 689 0.53
7 0 0.32730281352996826 1226 657 1255 689 
7 0 0.5990116596221924 1253 655 1323 696 0.07)
7 0 0.7739636898040771 1324 659 1353 689 X
7 0 0.9914751052856445 1353 650 1421 691 10-4
7 0 0.4456394910812378 1424 655 1467 693 [4),
7 0 0.5911187529563904 1474 661 1548 693 respec
7 1 0.9989854693412781 878 689 956 724 tively.
7 1 0.9992166757583618 969 689 1002 719 In
7 1 0.9999730587005615 1006 687 1060 721 this
7 1 0.9988352656364441 1064 693 1145 726 paper,
7 1 0.8255285024642944 1152 693 1191 719 we
7 1 0.9997801184654236 1196 691 1289 724 present
7 1 0.9999086856842041 1294 693 1349 719 new
7 1 0.9369418621063232 1354 689 1532 721 measurements
8 0 0.9989483952522278 175 728 265 760 Charm
8 0 0.9933503270149231 275 732 431 762 semileptonic
8 0 0.9936975836753845 443 726 506 766 (SL)
8 0 0.9975848197937012 514 728 604 766 decays
8 0 0.9994916915893555 614 732 702 758 involve
8 0 0.9988921284675598 715 728 780 760 both
8 0 0.9999312162399292 788 728 836 762 the
8 0 0.9672391414642334 878 719 947 751 these
8 0 0.9010688066482544 949 719 1011 754 BFs,
8 0 0.9966524243354797 1014 721 1084 756 using
8 0 0.9935312867164612 1085 719 1140 751 DD
8 0 0.9973516464233398 1142 726 1223 751 meson
8 0 0.9997873902320862 1226 721 1291 756 pairs
8 0 0.9880508184432983 1293 719 1411 758 produced
8 0 0.9959182143211365 1412 726 1474 751 near
