block line confidence X1 Y1 X2 Y2 token
0 0 0.982658863067627 453 113 655 137 DISCONTINUOUS
0 0 0.9982032775878906 662 109 803 139 PIECEWISE
0 0 0.9993323683738708 808 109 977 139 POLYNOMIAL
0 0 0.9332490563392639 981 111 1089 137 NEURAL
0 0 0.9922305941581726 1094 109 1241 139 NETWORKS
1 0 0.9995551705360413 308 264 416 296 number
1 0 0.9999985694885254 416 262 454 298 of
1 0 0.9998140931129456 456 266 542 302 points
1 0 0.9998419284820557 566 264 592 296 2
1 0 0.9998291730880737 632 264 659 296 3
1 1 0.5019917488098145 380 324 468 356 Pn,max
2 0 0.9996259212493896 728 264 753 298 4
2 1 0.9973243474960327 830 262 856 296 5
2 2 0.9996850490570068 933 264 959 296 6
2 3 0.9999817609786987 1035 264 1060 298 7
2 4 0.9936758875846863 1137 264 1162 298 8
2 5 0.9985097050666809 1238 264 1265 296 9
2 6 0.9999387264251709 1334 264 1374 298 10
3 0 0.9999696016311646 567 315 591 350 1
3 0 0.9966204166412354 615 317 677 350 1.25
3 0 0.999975323677063 705 317 778 350 1.667
3 0 0.9971079230308533 806 317 881 350 1.799
3 0 0.9996172189712524 909 317 984 350 1.989
3 0 0.9994978904724121 1009 317 1087 350 2.083
3 0 0.9968183040618896 1110 317 1188 350 2.203
3 0 0.5404373407363892 1213 317 1289 350 2.275
3 0 0.994938850402832 1316 317 1392 350 2.362
4 0 0.9988405108451843 247 393 328 425 Table
4 0 0.9242792725563049 330 393 360 425 2:
4 0 0.6024807095527649 370 393 509 425 Maximum
4 0 0.9940022826194763 511 395 644 425 overshoot
4 0 0.9993916749954224 647 395 760 427 fraction,
4 0 0.7451019883155823 763 399 858 431 Pn,max,
4 0 0.9997891783714294 861 395 937 429 given
4 0 0.9999634027481079 937 393 989 427 the
4 0 0.9995666146278381 989 393 1095 425 number
4 0 0.9999524354934692 1095 391 1133 427 of
4 0 0.9968913197517395 1130 395 1216 431 points
4 0 0.9992793202400208 1215 391 1251 427 in
4 0 0.9999667406082153 1250 393 1301 427 the
4 0 0.7556087970733643 1303 395 1452 427 polynomial
5 0 0.7175310254096985 371 433 542 466 interpolation
5 0 0.9998103976249695 547 427 597 470 (to
5 0 0.9997678399085999 595 429 620 464 4
5 0 0.9652373790740967 622 429 705 470 digits
5 0 0.8552896976470947 708 433 818 459 rounded
5 0 0.9998495578765869 823 429 883 470 up).
6 0 0.9999651908874512 245 588 300 623 2.3
6 0 0.999750554561615 308 588 425 627 Weight
6 0 0.9993450045585632 429 590 627 620 Initialization
7 0 0.5757722854614258 295 642 395 681 Weight
7 0 0.5596795678138733 398 644 569 674 initialization
7 0 0.9963558912277222 572 644 602 676 is
7 0 0.9998051524162292 602 648 629 678 a
7 0 0.998330295085907 629 642 698 683 huge
7 0 0.9792513847351074 700 650 806 674 concern
7 0 0.9999856948852539 808 642 856 676 for
7 0 0.9903771281242371 856 644 946 676 neural
7 0 0.9996908903121948 947 644 1074 676 networks
7 0 0.8787307739257812 1077 642 1155 683 (Yam
7 0 0.9996540546417236 1157 642 1213 676 and
7 0 0.9882891178131104 1216 644 1299 676 Chow
7 0 0.9991422891616821 1303 642 1409 681 (2000)).
7 0 0.9961559176445007 1417 642 1455 678 In
7 1 0.9999732971191406 245 681 305 715 this
7 1 0.998571515083313 308 687 396 719 paper,
7 1 0.9999159574508667 405 681 456 715 the
7 1 0.9988168478012085 459 681 566 719 weights
7 1 0.9989032745361328 571 681 662 713 within
7 1 0.9998416900634766 665 687 692 715 a
7 1 0.9995425939559937 693 681 753 715 link
7 1 0.995845377445221 757 689 806 713 are
7 1 0.9957019686698914 811 683 946 713 initialized
7 1 0.9998152852058411 952 681 1017 713 such
7 1 0.9999425411224365 1024 681 1087 715 that
7 1 0.39169439673423767 1094 678 1163 721 F(r)
7 1 0.9975060820579529 1172 681 1308 719 (Equation
7 1 0.9997606873512268 1313 681 1334 721 )
7 1 0.9996521472930908 1336 678 1369 717 is
7 1 0.9998090863227844 1369 685 1397 715 a
7 1 0.9626796841621399 1399 681 1455 715 line
8 0 0.997692346572876 247 726 333 749 across
8 0 0.9999756813049316 335 717 388 751 the
8 0 0.9958702921867371 388 715 454 756 link,
8 0 0.999969482421875 456 717 508 751 the
8 0 0.9944551587104797 511 721 627 754 equation
8 0 0.9998735189437866 630 719 660 751 is
8 0 0.999956488609314 664 721 738 756 given
8 0 0.9913504123687744 742 724 778 751 as
9 0 0.16356916725635529 762 790 798 822 i
9 0 0.48792389035224915 795 790 830 818 -
9 0 0.9912712574005127 823 788 888 822 Tmin
9 1 0.9952244758605957 742 831 811 863 Tmax
9 1 0.9699711203575134 840 829 904 863 Tmin
10 0 0.9165934324264526 649 807 688 842 Wi
11 0 0.9738432765007019 926 807 967 842 Wa
11 0 0.99712735414505 964 805 999 842 +
11 0 0.9473114013671875 992 807 1050 842 Wa,
12 0 0.9923905730247498 1407 799 1454 844 (3)
13 0 0.9870971441268921 257 876 343 908 where
13 0 0.727722704410553 341 878 388 913 Wa
13 0 0.9999369382858276 388 876 418 908 is
13 0 0.9968451261520386 421 876 514 908 chosen
13 0 0.9995267391204834 517 876 584 908 with
13 0 0.9998457431793213 584 880 610 910 a
13 0 0.9499305486679077 614 878 718 904 uniform
13 0 0.9971252083778381 727 878 831 904 random
13 0 0.9963441491127014 838 876 997 906 distribution
13 0 0.9998563528060913 999 874 1035 910 in
13 0 0.9999758005142212 1035 874 1087 908 the
13 0 0.9910424947738647 1089 880 1170 915 range
13 0 0.48104599118232727 1173 874 1271 915 [-1,1.
14 0 0.9996936321258545 245 913 300 947 2.4
14 0 0.9982690811157227 310 913 456 951 Choosing
14 0 0.85295569896698 461 913 577 951 Ranges
14 0 0.7778827548027039 581 919 649 951 Tmin
14 0 0.9995521903038025 654 913 717 947 and
14 0 0.872252345085144 720 919 793 951 Tmax
15 0 0.9996485710144043 295 966 425 1005 Choosing
15 0 0.9999825954437256 426 973 519 1005 proper
15 0 0.9990678429603577 521 973 612 1005 ranges
15 0 0.9999998807907104 614 964 660 1001 for
15 0 0.9991670846939087 660 966 712 999 the
15 0 0.9987932443618774 712 966 781 999 links
15 0 0.9998617172241211 781 964 815 1003 is
15 0 0.9984003901481628 811 964 868 1007 key
15 0 0.999849796295166 866 966 904 1003 to
15 0 0.9989995360374451 904 966 1006 1005 getting
15 0 0.9998119473457336 1007 968 1077 1003 good
15 0 0.9865630865097046 1080 966 1210 999 solutions.
15 0 0.999991774559021 1218 966 1278 1001 The
15 0 0.9945756196975708 1281 966 1384 1005 weights
15 0 0.9980892539024353 1389 966 1454 999 used
15 1 0.9931355714797974 244 1003 285 1039 in
15 1 0.9999827146530151 283 1005 335 1037 the
15 1 0.9788763523101807 338 1005 466 1044 Lagrange
15 1 0.7567005157470703 473 1007 622 1039 polynomial
15 1 0.9994094371795654 632 1007 803 1039 interpolation
15 1 0.9999191761016846 810 1003 851 1039 do
15 1 0.9934853911399841 853 1005 908 1039 not
15 1 0.9938418865203857 909 1005 986 1037 mark
