block line confidence X1 Y1 X2 Y2 token
0 0 0.9938708543777466 195 207 263 235 seen
0 0 0.999786913394928 271 198 308 237 in
0 0 0.9995255470275879 313 203 373 237 our
0 0 0.9978481531143188 377 198 481 242 largest
0 0 0.9998303651809692 489 201 584 235 lateral
0 0 0.9980862140655518 594 201 720 242 systems,
0 0 0.9972686767578125 730 207 768 235 as
0 0 0.9998403787612915 778 201 927 232 illustrated
0 0 0.9998844861984253 935 198 973 237 in
0 0 0.5420295596122742 980 198 1043 242 Fig.
0 0 0.9999746084213257 1049 198 1085 237 3.
0 0 0.9998093247413635 1108 196 1158 242 (In
0 0 0.9870314002037048 1166 198 1227 244 Fig.
0 0 0.7960906624794006 1238 198 1279 237 ld
0 0 0.9999827146530151 1285 198 1342 235 the
0 0 0.9981808662414551 1348 201 1498 235 transverse
0 1 0.9497077465057373 201 258 368 299 (horizontal)
0 1 0.9996024966239929 373 258 434 294 size
0 1 0.9977601766586304 436 264 495 292 was
0 1 0.7129402756690979 499 258 573 292 fixed
0 1 0.8672531843185425 576 264 613 292 SO
0 1 0.9999639987945557 617 258 683 292 that
0 1 0.9891933798789978 688 258 859 299 meandering
0 1 0.9864224791526794 860 258 915 294 did
0 1 0.9999310970306396 915 260 972 294 not
0 1 0.9987348914146423 973 258 1041 301 play
0 1 0.9992214441299438 1045 264 1087 294 an
0 1 0.9987363219261169 1091 258 1227 292 increased
0 1 0.9905215501785278 1230 258 1292 292 role
0 1 0.9997627139091492 1293 264 1330 294 as
0 1 0.9995342493057251 1334 262 1437 296 system
0 1 0.9996165037155151 1440 258 1500 294 size
0 2 0.9994644522666931 195 319 258 354 was
0 2 0.9997820258140564 258 315 369 356 varied.)
0 2 0.9999028444290161 381 315 426 351 As
0 2 0.997322142124176 428 315 563 349 described
0 2 0.9976039528846741 568 315 667 356 above,
0 2 0.9966157078742981 667 319 725 354 our
0 2 0.9882460236549377 726 319 823 347 second
0 2 0.7390874624252319 830 317 982 349 simulation
0 2 0.9990853071212769 986 319 1088 354 system
0 2 0.8715397715568542 1096 317 1175 354 (from
0 2 0.9998637437820435 1180 315 1269 349 which
0 2 0.9999152421951294 1272 315 1326 351 the
0 2 0.9994537234306335 1327 315 1400 349 data
0 2 0.9998880624771118 1400 317 1432 349 in
0 2 0.9982014894485474 1435 312 1498 358 Fig.
0 3 0.9995895028114319 193 372 224 413 3
0 3 0.9995723366737366 221 372 256 413 is
0 3 0.5258505940437317 255 374 395 415 obtained)
0 3 0.9998815059661865 398 372 432 411 is
0 3 0.9999028444290161 434 374 518 408 based
0 3 0.9995310306549072 521 381 563 411 on
0 3 0.998418927192688 566 374 670 415 adding
0 3 0.9710519313812256 673 376 847 408 cross-braces
0 3 0.9998843669891357 852 379 888 408 to
0 3 0.9997082352638245 888 381 917 411 a
0 3 0.9991205334663391 917 381 1015 415 square
0 3 0.9871750473976135 1019 374 1120 408 lattice.
0 3 0.9974746108055115 1130 374 1209 408 Thus
0 3 0.9998905658721924 1213 374 1324 415 varying
0 3 0.9944823980331421 1327 374 1377 411 Az
0 3 0.9999001026153564 1381 374 1497 408 controls
0 4 0.9999295473098755 195 433 251 468 not
0 4 0.9994574189186096 251 431 321 475 only
0 4 0.9999585151672363 323 431 374 468 the
0 4 0.996825098991394 379 436 495 463 intrinsic
0 4 0.99982750415802 500 431 587 465 width
0 4 0.9912328124046326 589 431 628 468 of
0 4 0.9995591044425964 625 436 650 468 a
0 4 0.9995191097259521 652 431 731 468 crack
0 4 0.9997805953025818 734 431 776 472 by
0 4 0.501818060874939 780 436 925 470 modifying
0 4 0.9999865293502808 927 431 972 468 its
0 4 0.9996411800384521 972 433 1087 475 rigidity,
0 4 0.9999285936355591 1090 431 1146 468 but
0 4 0.9998080134391785 1148 431 1209 468 also
0 4 0.9989057779312134 1213 431 1329 472 changes
0 4 0.9999513626098633 1330 431 1384 468 the
0 4 0.9770383238792419 1385 438 1495 465 amount
0 5 0.9980165958404541 195 488 234 527 of
0 5 0.9895938634872437 234 491 360 525 disorder.
0 5 0.9999912977218628 371 488 453 532 Upon
0 5 0.9982931017875671 457 491 605 532 increasing
0 5 0.9937798380851746 608 491 659 527 Az
0 5 0.9998496770858765 660 497 731 525 even
0 5 0.9998266100883484 734 495 820 529 more,
0 5 0.9999831914901733 823 491 877 527 the
