block line confidence X1 Y1 X2 Y2 token
0 0 0.5600698590278625 215 126 401 158 Ertrapolating
0 0 0.5131521224975586 411 124 604 163 entanglement
0 0 0.9959843158721924 609 124 720 163 entropy
0 0 0.99872225522995 725 122 785 156 and
0 0 0.8776863813400269 788 124 929 163 megativity
0 0 0.9989250302314758 931 120 976 165 of
0 0 0.5320391058921814 974 122 1085 163 disjoint
0 0 0.5478717088699341 1090 124 1216 156 antervals
0 0 0.6405457854270935 1220 122 1260 158 in
0 0 0.9868120551109314 1265 122 1339 156 CFT
0 1 0.9413338303565979 197 195 249 238 [31]
0 1 0.9993818998336792 252 195 287 232 L.
0 1 0.9985835552215576 287 197 317 229 J.
0 1 0.9993370175361633 320 199 405 232 Dixon,
0 1 0.9998518228530884 406 195 444 232 D.
0 1 0.9259648323059082 448 199 551 232 Friedan,
0 1 0.9990492463111877 552 195 589 232 E.
0 1 0.9981731176376343 589 197 619 229 J.
0 1 0.8126592040061951 622 197 737 229 Martinec
0 1 0.9995618462562561 737 197 791 229 and
0 1 0.9361231327056885 790 195 825 232 S.
0 1 0.999213457107544 823 195 863 232 H.
0 1 0.9998548030853271 864 199 972 232 Shenker,
0 1 0.9959432482719421 976 197 1045 229 Nucl.
0 1 0.9994096755981445 1049 199 1122 234 Phys.
0 1 0.997328519821167 1123 197 1152 229 B
0 1 0.9947556257247925 1152 197 1210 229 282
0 1 0.9987686276435852 1213 199 1294 234 (1987)
0 1 0.9993603825569153 1294 197 1339 234 13;
0 2 0.7948134541511536 278 268 323 302 L.
0 2 0.6699701547622681 318 272 514 302 Alvarez-Gaumé,
0 2 0.9998002648353577 519 270 556 302 G.
0 2 0.5905793309211731 556 268 600 302 W.
0 2 0.9999239444732666 604 272 685 298 Moore
0 2 0.9890251755714417 688 270 742 302 and
0 2 0.9864344596862793 742 266 778 302 C.
0 2 0.9998923540115356 780 270 848 305 Vafa,
0 2 0.5784668326377869 854 272 972 298 Commun.
0 2 0.9992169141769409 979 272 1055 298 Math.
0 2 0.9985278844833374 1062 270 1132 305 Phys.
0 2 0.8462679982185364 1135 270 1191 302 106
0 2 0.9978740215301514 1193 270 1216 302 1
0 2 0.9995601773262024 1216 268 1308 307 (1986);
1 0 0.9999344348907471 1422 122 1465 158 28
2 0 0.5129362344741821 280 232 325 266 Al.
2 0 0.9889615178108215 325 232 363 268 B.
2 0 0.6996772289276123 365 236 557 266 Zamolodchikov,
2 0 0.8767613768577576 561 234 632 266 Nucl.
2 0 0.9825344681739807 634 234 707 268 Phys.
2 0 0.998130738735199 710 234 738 266 B
2 0 0.999243974685669 738 234 795 266 285
2 0 0.9915196299552917 796 232 881 272 (1987)
2 0 0.9995943903923035 879 232 939 272 481;
2 1 0.9980546236038208 278 305 318 339 E.
2 1 0.999724805355072 320 309 423 335 Verlinde
2 1 0.9997665286064148 426 305 479 339 and
2 1 0.9997071623802185 479 307 516 339 H.
2 1 0.9981143474578857 519 307 632 339 Verlinde,
2 1 0.9810041785240173 637 309 703 335 Nucl.
2 1 0.9997919201850891 710 307 780 341 Phys.
2 1 0.9877666234970093 783 307 811 339 B
2 1 0.5870299935340881 811 307 868 339 288
2 1 0.9999853372573853 871 307 951 341 (1987)
2 1 0.9999462366104126 954 307 1011 341 357;
2 2 0.6200298070907593 278 339 328 375 V.
2 2 0.9996694326400757 317 341 358 375 G.
2 2 0.9995113611221313 360 343 481 375 Knizhnik,
2 2 0.8570991158485413 486 345 605 371 Commun.
2 2 0.9968847632408142 612 341 690 373 Math.
2 2 0.9966799020767212 695 343 766 378 Phys.
2 2 0.9993224143981934 771 343 831 378 112,
2 2 0.9996315240859985 836 343 916 378 (1987)
2 2 0.999956488609314 919 343 976 375 567;
2 3 0.9964821338653564 278 375 323 410 M.
2 3 0.9553895592689514 325 380 468 412 Bershadsky
2 3 0.9996086955070496 469 378 524 410 and
2 3 0.9998440742492676 526 378 559 408 A.
2 3 0.9975180625915527 561 375 650 414 Radul,
2 3 0.993598461151123 650 375 702 410 Int.
2 3 0.9978255033493042 703 378 733 410 J.
2 3 0.9864294528961182 735 378 805 410 Mod.
2 3 0.99583899974823 808 378 879 412 Phys.
2 3 0.9959942102432251 886 378 954 412 A02,
2 3 0.9991974234580994 956 378 1006 412 165
2 3 0.9806477427482605 1007 378 1099 416 (1987);
3 0 0.9981300234794617 278 412 318 446 R.
3 0 0.9995893836021423 320 416 443 449 Dijkgraaf,
3 0 0.9994919300079346 448 414 481 444 E.
3 0 0.9984028935432434 483 414 514 444 P.
3 0 0.6835576891899109 519 416 624 442 Verlinde
3 0 0.9999566078186035 625 412 679 446 and
3 0 0.9989340901374817 680 414 717 446 H.
3 0 0.9994180202484131 718 414 750 444 L.
3 0 0.9997316002845764 755 418 864 444 Verlinde,
3 0 0.915473997592926 871 416 991 442 Commun.
3 0 0.9994401335716248 997 416 1074 442 Math.
3 0 0.9978147745132446 1079 414 1150 449 Phys.
3 0 0.9998332262039185 1153 414 1210 446 115
3 0 0.9627563953399658 1213 414 1294 449 (1988)
3 0 0.9996213912963867 1296 414 1353 446 649.
3 1 0.7682203054428101 197 446 249 489 [32)
3 1 0.9950597882270813 252 451 282 483 J.
3 1 0.9855607151985168 285 451 341 485 Fay,
3 1 0.998890221118927 346 451 423 483 Theta
3 1 0.9947217702865601 425 451 541 483 functions
3 1 0.9838962554931641 546 455 584 481 on
3 1 0.9709946513175964 589 453 702 479 Riemann
3 1 0.9988150596618652 707 453 813 485 surfaces,
3 1 0.9996641874313354 820 453 916 479 Lecture
3 1 0.9959753155708313 921 453 994 479 Notes
3 1 0.9997848868370056 996 451 1027 481 in
3 1 0.9795129895210266 1030 451 1193 481 Mathematics
3 1 0.6015061736106873 1195 451 1258 483 352,
3 1 0.92875736951828 1263 453 1460 485 Springer-Verlag,
3 2 0.9999159574508667 278 519 318 556 D.
3 2 0.7778915762901306 320 522 444 554 Mumford,
3 2 0.9855465888977051 451 522 514 554 Tata
3 2 0.9971524477005005 514 522 612 554 lectures
3 2 0.9906721711158752 614 528 652 554 on
3 2 0.9984267950057983 655 522 732 554 Theta
3 2 0.8831099271774292 735 522 780 556 III,
3 2 0.9018373489379883 783 524 891 556 Progress
3 2 0.9995383024215698 893 522 923 554 in
3 2 0.9996001124382019 926 522 1089 552 Mathematics
3 2 0.9998792409896851 1090 522 1137 558 97,
3 2 0.5798361301422119 1140 524 1284 554 Birkhàuser,
3 2 0.9990841150283813 1288 522 1379 554 Boston
3 2 0.9999027252197266 1382 524 1450 556 1991;
3 3 0.5425391793251038 197 590 249 633 [33
3 3 0.9995431900024414 254 595 287 625 T.
3 3 0.9964749217033386 292 595 428 627 Giamarchi,
3 3 0.5103121995925903 439 599 551 625 Quantum
3 3 0.9959887862205505 557 592 655 631 Physics
3 3 0.8204196691513062 655 595 688 625 in
3 3 0.8907392621040344 692 592 748 627 One
3 3 0.9414159059524536 752 597 893 627 Dimension,
3 3 0.9996646642684937 898 597 986 623 Oxford
3 3 0.9278491139411926 992 597 1120 629 University
3 3 0.9998499155044556 1123 595 1201 629 Press,
3 3 0.9655994772911072 1203 592 1265 625 New
3 3 0.9996891021728516 1268 592 1331 627 York
3 3 0.9796907305717468 1334 592 1424 631 (2004).
3 4 0.9983440637588501 278 700 320 734 K.
3 4 0.9997263550758362 322 704 459 734 Audenaert,
3 4 0.9989885687828064 463 702 493 734 J.
3 4 0.9951213002204895 496 702 579 736 Eisert,
3 4 0.9966657757759094 581 700 624 734 M.
3 4 0.9996397495269775 625 702 659 732 B.
3 4 0.9986951947212219 662 700 753 739 Plenio,
3 4 0.987544059753418 753 702 806 734 and
3 4 0.9999138116836548 808 702 841 732 R.
3 4 0.9975662231445312 845 702 878 732 F.
3 4 0.8203541040420532 883 706 979 732 Werner,
3 4 0.9937792420387268 986 702 1057 736 Phys.
3 4 0.9698553681373596 1060 702 1123 734 Rev.
3 4 0.9998047947883606 1125 702 1153 734 A
3 4 0.9997962117195129 1153 702 1203 736 66,
3 4 0.994733452796936 1205 704 1293 730 042327
3 4 0.9987047910690308 1296 700 1387 739 (2002);
3 5 0.9968594312667847 280 807 323 842 M.
3 5 0.9997954964637756 323 809 356 840 B.
3 5 0.9991636276245117 361 809 449 842 Plenio,
3 5 0.9970090985298157 451 809 481 842 J.
3 5 0.9953513145446777 486 809 569 842 Eisert,
3 5 0.9969571828842163 571 809 600 842 J.
3 5 0.9943705201148987 605 812 698 844 Dressig
3 5 0.9997803568840027 698 807 753 842 and
3 5 0.9998056292533875 752 807 795 842 M.
3 5 0.9695295095443726 796 809 899 842 Cramer,
3 5 0.9990630745887756 904 809 976 844 Phys.
3 5 0.9995794892311096 979 809 1040 842 Rev.
3 5 0.9967457056045532 1044 809 1108 842 Lett.
3 5 0.9995798468589783 1110 809 1158 844 94,
3 5 0.6574637293815613 1162 809 1251 842 060503
3 5 0.9975491166114807 1255 807 1344 846 (2005);
3 6 0.9978082776069641 280 844 323 878 M.
3 6 0.9792535305023193 325 846 428 878 Cramer,
3 6 0.9973102807998657 429 842 461 880 J.
3 6 0.9862353205680847 464 846 547 878 Eisert,
3 6 0.9614346027374268 549 844 592 878 M.
3 6 0.9995274543762207 594 846 627 876 B.
3 6 0.9985516667366028 632 846 718 878 Plenio,
3 6 0.9999449253082275 722 844 775 878 and
3 6 0.9995521903038025 775 844 805 876 J.
3 6 0.9970711469650269 810 848 914 880 Dreissig,
3 6 0.9962137341499329 921 846 992 880 Phys.
3 6 0.9546191692352295 996 844 1057 876 Rev.
3 6 0.9999063014984131 1059 844 1087 876 A
3 6 0.9995321035385132 1089 846 1137 880 73,
3 6 0.9966302514076233 1138 848 1226 874 012309
3 6 0.810777485370636 1231 844 1323 883 (2006);
3 7 0.6626805067062378 197 913 249 956 [36]
3 7 0.9940310120582581 250 915 287 951 P.
3 7 0.5828495621681213 288 919 418 951 Calabrese,
3 7 0.9984788298606873 420 915 461 949 M.
3 7 0.6953853964805603 466 919 625 951 Campostrini,
3 7 0.9900503158569336 630 917 662 947 F.
3 7 0.9979925155639648 667 919 743 945 Essler
3 7 0.9998389482498169 745 915 798 949 and
3 7 0.9998052716255188 800 917 833 947 B.
