block line confidence X1 Y1 X2 Y2 token
0 0 0.9994932413101196 612 146 808 178 Planck-Star
0 0 0.5900816917419434 816 148 1097 180 Tunneling-T'ime:
1 0 0.9997273087501526 180 197 229 227 an
1 0 0.9290808439254761 235 195 486 227 Astrophysically
1 0 0.9963338375091553 496 193 644 223 Relevant
1 0 0.9868068099021912 654 193 836 223 Observable
1 0 0.9281907081604004 843 191 926 225 from
1 0 0.4881810247898102 937 195 1213 227 Background-Pree
1 0 0.9465207457542419 1223 191 1379 229 Quantum
1 0 0.970514714717865 1389 191 1530 229 Gravity*
2 0 0.9996364116668701 405 264 491 290 Marios
2 0 0.7451272010803223 499 264 695 294 "Christodoulou"","
2 0 0.9999438524246216 705 264 775 290 Carlo
2 0 0.31013405323028564 783 262 889 294 Rovellis,
2 0 0.980160117149353 899 264 992 290 Simone
2 0 0.748022735118866 999 264 1120 296 Speziale,
2 0 0.995389461517334 1128 262 1183 296 Ilya
2 0 0.17225593328475952 1190 262 1306 294 Vilensky
3 0 0.9216489195823669 848 296 864 317 t
3 1 0.1813826858997345 848 326 863 348 t
3 2 0.9992759823799133 727 358 815 391 (Dated:
3 2 0.9774898886680603 820 358 876 393 May
3 2 0.9995619654655457 876 356 919 393 29,
3 2 0.9970782995223999 919 358 986 391 2020)
4 0 0.9990512728691101 295 418 330 455 A
4 0 0.9588757157325745 330 423 499 455 gravitationally
4 0 0.9836704730987549 503 423 610 455 collapsed
4 0 0.9998898506164551 615 423 692 455 object
4 0 0.9662032127380371 695 427 742 451 can
4 0 0.9905797839164734 747 425 876 449 bounce-out
4 0 0.9895473718643188 879 421 941 453 from
4 0 0.9999908208847046 942 423 979 451 its
4 0 0.9995388984680176 982 425 1072 449 horizon
4 0 0.9908756017684937 1075 423 1118 451 via
4 0 0.9999302625656128 1117 425 1142 453 a
4 0 0.9990584254264832 1143 423 1263 455 tunnelling
4 0 0.997742772102356 1268 429 1354 455 process
4 0 0.9999154806137085 1358 421 1412 453 that
4 1 0.9991717338562012 300 453 390 479 violates
4 1 0.9998953342437744 388 449 436 483 the
4 1 0.930000901222229 434 453 527 479 classical
4 1 0.9833025336265564 531 455 639 481 equations
4 1 0.9996671676635742 639 451 670 481 in
4 1 0.5207350254058838 665 455 690 483 a
4 1 0.7438016533851624 687 453 753 485 finite
4 1 0.9995710253715515 752 453 833 485 region.
4 1 0.9996026158332825 838 453 903 479 Since
4 1 0.9898533225059509 906 455 1020 481 tunnelling
4 1 0.9980472326278687 1020 451 1047 481 is
4 1 0.9988337159156799 1042 455 1067 483 a
4 1 0.7912672758102417 1064 453 1258 485 non-perturbative
4 1 0.9375274777412415 1260 453 1412 483 phenomenon,
4 2 0.6413218975067139 297 481 333 513 itc
4 2 0.9986536502838135 323 483 403 509 cannot
4 2 0.9998441934585571 403 481 438 509 be
4 2 0.9178591966629028 438 483 546 507 described
4 2 0.9954423904418945 544 481 576 511 in
4 2 0.8728072643280029 574 483 642 509 terms
4 2 0.9999996423721313 642 481 672 511 of
4 2 0.9274519085884094 669 481 773 513 quantum
4 2 0.7729921936988831 776 483 909 507 fuctuations
4 2 0.9996122717857361 911 483 994 509 around
4 2 0.9996774196624756 992 481 1017 511 a
4 2 0.9843596816062927 1014 483 1108 509 classical
4 2 0.9990390539169312 1110 483 1203 507 solution
4 2 0.9992651343345642 1203 481 1251 511 and
4 2 0.9925242066383362 1248 481 1271 511 a
4 2 0.9563996195793152 1270 481 1411 513 background-
4 3 0.9999529123306274 297 507 350 541 free
4 3 0.8592661619186401 350 509 484 539 formulation
4 3 0.9998738765716553 488 509 519 537 of
4 3 0.9917593598365784 519 511 625 543 quantum
4 3 0.9683605432510376 627 511 713 543 gravity
4 3 0.9999123811721802 713 509 742 539 is
4 3 0.9995123147964478 743 511 825 537 needed
4 3 0.9999772310256958 828 511 859 539 to
4 3 0.999695897102356 861 511 952 543 analyze
4 3 0.9163252711296082 954 509 986 539 it.
4 3 0.999954342842102 992 511 1052 537 Here
4 3 0.9998552799224854 1054 513 1092 539 we
4 3 0.9663546681404114 1092 513 1137 539 use
4 3 0.999966025352478 1138 509 1203 543 Loop
4 3 0.5924108624458313 1208 513 1316 539 Quantum
4 3 0.9943557977676392 1319 509 1414 541 Gravity
4 4 0.3950381875038147 297 537 340 571 toc
4 4 0.5893144011497498 330 543 431 569 compute
4 4 0.999968409538269 434 539 478 567 the
4 4 0.8046836853027344 478 539 597 571 amplitude
4 4 0.9994485974311829 599 539 637 567 for
4 4 0.9999234676361084 635 537 688 569 this
4 4 0.9992808699607849 688 545 780 571 process,
4 4 0.9999140501022339 781 539 813 569 in
4 4 0.9998581409454346 813 543 833 567 a
4 4 0.9377785325050354 833 537 888 569 first
4 4 0.6416491270065308 888 541 1062 571 approximation.
4 4 0.9996553659439087 1067 537 1122 569 The
4 4 0.9825876355171204 1122 539 1240 571 amplitude
4 4 0.9857622385025024 1241 541 1367 565 determines
4 4 0.999924898147583 1371 539 1414 567 the
4 5 0.6574805974960327 300 569 418 601 tunnelling
4 5 0.7305963039398193 420 567 479 599 time
