block line confidence X1 Y1 X2 Y2 token
0 0 0.9980049729347229 449 204 514 229 MCF
0 0 0.9999861717224121 521 204 599 229 WITH
0 0 0.9421930909156799 602 201 735 232 SURGERY
0 0 0.9997897744178772 738 201 801 234 FOR
0 0 0.8197173476219177 805 201 874 234 LOW
0 0 0.999891996383667 879 206 1012 229 ENTROPY
0 0 0.6294531226158142 1020 206 1250 229 HYPERSURPACES
1 0 0.9992291927337646 1416 204 1449 232 22
1 1 0.8210335969924927 1359 322 1450 369 (3.12)
2 0 0.5349076390266418 659 305 762 343 -la-mol2
2 0 0.31650736927986145 806 300 972 348 -2(-Eo)
2 0 0.1469215452671051 984 307 1082 339 -l2-ro12
3 0 0.4022766649723053 612 322 675 363 Ver
3 0 0.989791989326477 692 328 728 356 4r
4 0 0.9828542470932007 1017 328 1049 358 4r
5 0 0.9914219975471497 864 348 908 384 4r
6 0 0.8540496230125427 300 414 385 455 Since
6 0 0.9998258948326111 385 414 431 461 by
6 0 0.9917047023773193 434 418 536 451 lemma
6 0 0.9997900128364563 539 416 589 453 2.5
6 0 0.9999803304672241 592 416 649 455 the
6 0 0.9996404647827148 649 421 763 459 entropy
6 0 0.9996228218078613 768 416 818 453 for
6 0 0.9997548460960388 820 423 846 455 a
6 0 0.9995601773262024 851 423 974 455 compact
6 0 0.9093828797340393 981 418 1165 457 hypersurface
6 0 0.9997648596763611 1168 414 1230 455 will
6 0 0.9999680519104004 1231 416 1275 453 be
6 0 0.9999452829360962 1279 418 1401 451 attained
6 0 0.9996377229690552 1406 414 1450 461 by
6 1 0.9928916692733765 249 457 298 491 an
6 1 0.6066681146621704 298 453 340 489 F
6 1 0.8672997951507568 340 455 486 487 functional
6 1 0.9996163845062256 493 455 615 487 centered
6 1 0.9997840523719788 622 453 659 491 in
6 1 0.9912421703338623 664 453 710 494 its
6 1 0.9989134073257446 713 461 813 487 convex
6 1 0.726487398147583 821 453 891 496 hull,
6 1 0.5767201781272888 899 455 1014 487 without
6 1 0.9996623992919922 1019 451 1080 491 loss
6 1 0.9974696636199951 1080 449 1125 494 of
6 1 0.9969319105148315 1123 457 1268 496 generality
6 1 0.7306904792785645 1275 459 1316 496 To
6 1 0.999919056892395 1319 453 1354 491 is
6 1 0.9995735287666321 1354 453 1392 491 in
6 1 0.9999599456787109 1396 455 1450 489 the
6 2 0.9963713884353638 252 500 355 524 convex
6 2 0.9974416494369507 358 491 418 526 hull
6 2 0.9999305009841919 420 489 459 528 of
6 2 0.9978429079055786 458 487 529 528 M#.
6 2 0.9965704679489136 537 491 617 526 Since
6 2 0.9999991655349731 620 491 669 526 for
6 2 0.9010316133499146 669 491 740 526 such
6 2 0.37736043334007263 740 498 783 532 TO
6 2 0.9945690631866455 785 498 830 526 we
6 2 0.9994922876358032 833 491 904 526 have
6 2 0.31659290194511414 908 489 942 532 a
6 2 0.925590455532074 937 498 972 526 =
6 2 0.16254736483097076 969 489 1022 534 zol
6 2 0.6814807057380676 1017 487 1190 534 <D<o?,
6 2 0.9997478127479553 1193 498 1238 526 we
6 2 0.9835771918296814 1236 496 1291 528 see
6 2 0.9999985694885254 1291 491 1341 526 for
6 2 0.9997575879096985 1339 496 1367 528 a
6 2 0.9994694590568542 1367 494 1449 526 lower
6 3 0.7897281646728516 254 545 346 577 bound
6 3 0.9802507162094116 350 552 378 582 C
6 3 0.7861759066581726 376 552 420 580 on
6 3 0.9003478288650513 421 550 449 580 T
6 3 0.9901707768440247 451 552 496 580 we
6 3 0.9995239973068237 501 545 571 577 have
6 3 0.7782548069953918 574 539 632 582 Ve
6 3 0.18884320557117462 614 517 732 590 m
6 3 0.37054651975631714 733 543 770 584 5
6 3 0.24728929996490479 768 530 896 595 B<o
6 3 0.9999908208847046 891 541 942 584 for
6 3 0.9995377063751221 941 547 1002 588 any
6 3 0.9985878467559814 1006 545 1099 577 choice
6 3 0.9993993043899536 1100 543 1140 580 of
6 3 0.19714903831481934 1138 547 1168 580 I
6 3 0.8666677474975586 1168 545 1203 582 €
6 3 0.8885268568992615 1201 543 1268 586 Mr.
6 3 0.9992233514785767 1279 545 1384 577 Denote
6 3 0.9860110282897949 1387 541 1450 582 this
6 4 0.9995980858802795 302 642 355 676 We
6 4 0.9998490810394287 360 642 421 676 also
6 4 0.9848950505256653 425 644 496 678 note
6 4 0.5331268906593323 501 644 629 683 similarly
6 4 0.9999943971633911 635 642 683 678 for
6 4 0.8538935780525208 685 648 712 678 T
6 4 0.568155825138092 715 646 747 676 >
6 4 0.5816754698753357 750 646 778 678 CI
6 4 0.8718371987342834 778 642 845 676 that
6 4 0.983721911907196 850 642 906 681 the
6 4 0.9919819235801697 909 644 1044 676 Gaussian
6 4 0.9998137354850769 1050 642 1148 683 weight
6 4 0.9999996423721313 1153 640 1191 678 of
6 4 0.9984398484230042 1191 646 1220 678 a
6 4 0.25477200746536255 1220 638 1296 689 Fro,r
6 4 0.6717439889907837 1301 644 1449 676 functional
6 5 0.9211207628250122 254 693 333 734 (with
6 5 0.31313616037368774 335 700 378 736 To
6 5 0.9997970461845398 378 693 418 730 in
6 5 0.9999135732650757 420 693 476 732 the
6 5 0.9979714751243591 478 702 577 728 convex
6 5 0.9996852874755859 582 693 644 728 hull
6 5 0.9998239874839783 645 691 685 730 of
6 5 0.9964667558670044 685 691 740 736 M)
6 5 0.9994189739227295 742 691 776 732 is
6 5 0.9988549947738647 780 696 904 728 bounded
6 5 0.9995856881141663 911 696 999 728 below
6 5 0.998689591884613 1001 691 1049 736 by
6 5 0.5456655621528625 1047 698 1075 730 en
6 5 0.9722798466682434 1075 693 1117 730 4c
6 5 0.9739187955856323 1127 700 1158 730 >
6 5 0.9391217231750488 1158 693 1195 734 0;
6 5 0.9982549548149109 1200 696 1299 728 denote
6 5 0.994170069694519 1304 693 1364 728 this
6 5 0.9911518692970276 1367 693 1449 728 lower
6 6 0.9997963309288025 252 728 348 766 bound
6 6 0.9982326030731201 348 728 393 773 by
6 6 0.7805553674697876 390 739 426 766 0.
6 6 0.9988370537757874 433 728 504 769 Also
6 6 0.9998905658721924 504 732 604 764 denote
6 6 0.9990274906158447 604 728 649 773 by
6 6 0.42984339594841003 645 736 727 777 mor
6 6 0.9896891117095947 728 732 786 766 and
6 6 0.469567209482193 786 728 869 777 Mao,r
6 6 0.9999730587005615 871 732 924 766 the
6 6 0.5264620780944824 926 732 1064 764 minimum
6 6 0.9987322688102722 1067 732 1125 766 and
6 6 0.8471040725708008 1128 732 1273 764 maximum
6 6 0.9901543259620667 1278 732 1447 771 respectively
7 0 0.9999725818634033 252 588 341 620 upper
7 0 0.9998390674591064 343 580 441 618 bound
7 0 0.9994127750396729 443 580 489 625 by
7 0 0.8369837999343872 488 586 524 625 p.
8 0 0.708086371421814 1065 670 1122 713 -D2
9 0 0.999995231628418 250 766 290 805 of
9 0 0.9531909227371216 290 766 341 803 the
9 0 0.9768002033233643 346 769 479 801 Gaussian
9 0 0.9995230436325073 484 769 582 809 weight
9 0 0.9999545812606812 586 766 625 805 of
9 0 0.2529207766056061 624 764 698 816 Fpo,r
9 0 0.9996801614761353 698 766 737 807 in
9 0 0.4675348103046417 737 766 790 809 Ve-
9 0 0.9999507665634155 796 769 878 803 Then
9 0 0.99997878074646 881 769 934 803 the
9 0 0.9999363422393799 939 769 1070 807 following
9 0 0.9997369647026062 1072 766 1105 805 is
9 0 0.9989904761314392 1107 771 1180 803 true:
10 0 0.7766736149787903 486 855 547 898 12
10 0 0.4511317312717438 551 840 637 880 Mo,
11 0 0.36759456992149353 720 842 801 876 mzor
12 0 0.8555049896240234 928 840 956 870 a
13 0 0.5871497988700867 1125 840 1182 878 Tep
13 1 0.3203567564487457 1095 883 1211 921 O+Tep
14 0 0.9997463822364807 1359 852 1449 900 (3.13)
15 0 0.30588826537132263 549 876 637 925 Mror
15 0 0.2856764495372772 679 887 758 921 mroT
15 0 0.860606849193573 757 880 846 921 +T3P
15 0 0.2957041561603546 883 880 1001 921 a+Tep
16 0 0.9992039799690247 302 949 383 983 Since
16 0 0.7207732200622559 386 953 416 983 a
16 0 0.9135496020317078 416 949 451 986 >
16 0 0.9920622110366821 451 949 478 983 0
16 0 0.9998437166213989 478 947 541 988 and
