block line confidence X1 Y1 X2 Y2 token
0 0 0.7831377983093262 800 143 878 169 TABLE
0 0 0.9978286623954773 876 141 903 171 V
1 0 0.9981958270072937 401 169 521 193 MANTISSAS
1 0 0.6405216455459595 521 169 569 195 AND
1 0 0.7877722978591919 569 169 679 193 EXPONENT
1 0 0.9243752360343933 680 169 780 193 PRE/POST
1 0 0.9918361306190491 781 169 906 193 PROCESSING
1 0 0.9974275231361389 908 169 1039 193 COMPLEXITY
1 0 0.9998328685760498 1037 169 1074 197 OF
1 0 0.9910538792610168 1072 169 1170 193 COMPLEX
1 0 0.9964472651481628 1172 169 1245 195 BLOCK
1 0 0.9975739121437073 1243 165 1301 197 ALU
2 0 0.9999995231628418 132 625 169 657 of
2 0 0.9999281167984009 166 625 212 659 the
2 0 0.9965379238128662 214 627 313 659 complex
2 0 0.9999445676803589 322 627 388 653 block
2 0 0.985654890537262 393 629 476 661 output.
2 0 0.999880313873291 481 625 544 657 With
2 0 0.9968084692955017 551 627 662 659 Exponent
2 0 0.9996895790100098 665 625 720 657 Box
2 0 0.964647114276886 725 627 836 659 Encoding
2 1 0.9996681213378906 132 659 166 689 in
2 1 0.9999905824661255 161 657 207 691 the
2 1 0.999875545501709 207 661 275 687 worst
2 1 0.9763472080230713 273 661 338 693 case,
2 1 0.6205849051475525 340 663 381 689 we
2 1 0.9952921867370605 381 661 439 687 need
2 1 0.9995018243789673 443 659 506 693 eight
2 1 0.9985927939414978 508 663 572 689 more
2 1 0.9880546927452087 576 661 685 687 mantissas
2 1 0.7988348007202148 690 661 835 693 post-scaling.
2 2 0.9987779259681702 132 691 200 724 Also,
2 2 0.9999949932098389 202 689 247 724 the
2 2 0.9971979856491089 250 691 313 724 Shift
2 2 0.9887111186981201 318 693 406 719 Vectors
2 2 0.9913937449455261 411 691 481 724 allow
2 2 0.999721109867096 483 689 529 724 for
2 2 0.9999808073043823 529 691 586 724 four
2 2 0.9998443126678467 589 693 685 726 possible
2 2 0.9979971051216125 692 691 838 721 intermediate
2 3 0.9996649026870728 132 728 242 760 exponent
2 3 0.9965897798538208 242 724 318 756 values
2 3 0.9991793036460876 322 726 405 751 instead
2 3 0.9999970197677612 405 721 441 758 of
2 3 0.9996108412742615 436 728 484 754 one
2 3 0.9601081609725952 486 724 630 754 intermediate
2 3 0.9994077682495117 632 728 740 760 exponent
2 3 0.9995974898338318 742 724 808 756 value
2 3 0.9997844099998474 808 724 838 756 in
2 4 0.9993100166320801 159 831 207 865 Let
2 4 0.9929118752479553 207 831 254 867 X1
2 4 0.843377411365509 255 835 283 865 €
2 4 0.5469441413879395 282 827 375 865 CIxNi,
2 4 0.9986622333526611 378 831 426 867 X2
2 4 0.7359002232551575 428 835 454 865 €
2 4 0.5461475849151611 453 827 544 867 CIxNa,
2 4 0.9999333620071411 547 831 597 865 and
2 4 0.9958510398864746 597 829 634 865 Y
2 4 0.9154127240180969 634 833 662 863 €
2 4 0.5144268274307251 662 829 835 861 CIx(N1+Na-1)
2 5 0.997109591960907 132 867 169 900 be
2 5 0.979158341884613 169 867 351 900 complex-valued
2 5 0.9860012531280518 353 872 405 898 row
2 5 0.9915960431098938 406 872 498 898 vectors,
2 5 0.9997398257255554 499 865 576 898 where
2 5 0.9998476505279541 576 867 599 898 *
2 5 0.5311538577079773 599 865 692 898 denotes
2 5 0.9963288903236389 693 867 836 900 convolution,
3 0 0.9998995065689087 1162 629 1240 655 TABLE
3 0 0.9960055947303772 1238 629 1271 657 VI
4 0 0.8456867337226868 977 653 1188 683 QAMTRANSMITTER,
4 0 0.9857878684997559 1188 655 1293 678 RECEIVER
4 0 0.9127306342124939 1293 655 1452 678 SPECIFICATIONS
5 0 0.9134021997451782 134 760 240 786 Common
5 0 0.9869699478149414 247 758 358 790 Exponent
5 0 0.5697118639945984 363 760 479 792 Encoding.
5 1 0.9788907170295715 132 790 180 825 C.
5 1 0.9992777705192566 172 790 278 829 Complex
5 1 0.9607434868812561 280 792 423 822 Convolution
5 2 0.9987333416938782 131 900 192 932 such
5 2 0.9998974800109863 192 900 249 934 that,
6 0 0.9992766976356506 159 1082 209 1117 We
6 0 0.9852729439735413 205 1091 295 1115 assume
6 0 0.9495006203651428 297 1082 338 1121 Ni
6 0 0.6957016587257385 340 1087 370 1117 <
6 0 0.9919468760490417 368 1084 410 1119 N2
6 0 0.996657133102417 411 1084 454 1119 for
6 0 0.9910873770713806 456 1087 554 1119 practical
6 0 0.9947072267532349 559 1091 639 1117 reason
6 0 0.9999420642852783 642 1089 713 1115 where
6 0 0.9984946250915527 717 1087 760 1115 the
6 0 0.9938104748725891 760 1084 838 1117 model
6 1 0.9999933242797852 132 1119 169 1151 of
6 1 0.5269338488578796 170 1121 260 1147 channel
6 1 0.9997664093971252 268 1121 363 1153 impulse
6 1 0.9997878670692444 371 1125 471 1151 response
6 1 0.9987209439277649 478 1117 526 1151 has
6 1 0.9998794794082642 531 1121 614 1147 shorter
6 1 0.9624330401420593 620 1125 727 1151 sequence
6 1 0.9729263782501221 733 1119 791 1151 than
6 1 0.9999287128448486 795 1117 840 1151 the
6 2 0.6528165340423584 132 1151 283 1181 discrete-time
6 2 0.8279927372932434 287 1153 386 1185 samples.
6 2 0.9990672469139099 390 1151 453 1183 Each
6 2 0.998193085193634 454 1155 511 1181 term
6 2 0.9997604489326477 512 1151 542 1181 in
6 2 0.9998310804367065 544 1153 584 1181 the
6 2 0.9982201457023621 587 1153 687 1185 complex
6 2 0.9999574422836304 692 1153 757 1179 block
6 2 0.9995647072792053 760 1153 838 1188 output
6 3 0.9916788935661316 129 1181 172 1218 is
6 3 0.9968318343162537 167 1185 267 1218 complex
6 3 0.9993365406990051 277 1183 345 1216 inner
6 3 0.6471630930900574 350 1183 444 1222 product
6 3 0.9999637603759766 449 1185 484 1213 of
6 3 0.9995537400245667 486 1185 541 1218 two
6 3 0.9969503283500671 546 1185 647 1218 complex
6 3 0.9997811913490295 657 1183 727 1216 block
6 3 0.9997753500938416 735 1185 800 1220 input
6 3 0.9999489784240723 806 1183 840 1213 of
6 4 0.9791141152381897 136 1254 229 1280 volution
6 4 0.9998751878738403 232 1252 262 1282 is
6 4 0.9967725872993469 263 1254 413 1284 implemented
6 4 0.9994908571243286 415 1256 448 1284 as
6 4 0.9980990290641785 448 1250 551 1289 complex
6 4 0.9997708201408386 556 1254 620 1280 block
6 4 0.7883070111274719 627 1252 786 1284 multiplication
6 4 0.9999042749404907 788 1250 838 1284 and
6 5 0.5812519788742065 134 1319 263 1351 complexity
6 5 0.9999794960021973 265 1316 298 1347 of
6 5 0.6722554564476013 302 1321 411 1344 mantissas
6 5 0.9884711503982544 415 1316 466 1349 and
6 5 0.9971175193786621 468 1323 584 1349 exponents
6 5 0.9941639304161072 587 1316 617 1349 in
6 5 0.9997761845588684 620 1319 737 1351 Appendix
7 0 0.9996863603591919 134 1220 222 1252 varying
7 0 0.9906768798828125 229 1218 303 1252 length
7 0 0.8932028412818909 310 1220 406 1246 between
7 0 0.9996954202651978 413 1216 436 1250 1
7 0 0.9311251640319824 436 1216 486 1250 and
7 0 0.306618332862854 489 1216 662 1254 minfN1,Nz).
7 0 0.9959593415260315 669 1220 776 1252 Complex
7 0 0.9897286891937256 780 1222 836 1248 con-
7 0 0.507695734500885 863 1207 908 1241 Fig.
7 0 0.9995529055595398 906 1207 933 1239 5.
7 0 0.9695153832435608 939 1209 1001 1235 Block
7 0 0.9956484436988831 1001 1209 1080 1241 diagram
7 0 0.9987020492553711 1079 1209 1110 1237 of
7 0 0.9811384081840515 1107 1211 1228 1235 discrete-time
7 0 0.9993451237678528 1230 1209 1313 1241 complex
7 0 0.9998703002929688 1314 1211 1402 1235 baseband
7 0 0.9720388650894165 1404 1211 1462 1237 QAM
7 0 0.8946093916893005 1464 1209 1553 1235 transmitte
7 1 0.9823476076126099 132 1284 288 1314 accumulation
7 1 0.9995225667953491 288 1286 322 1314 of
7 1 0.9260777831077576 318 1284 464 1314 intermediate
7 1 0.9830369353294373 466 1286 547 1312 results.
7 1 0.9995197057723999 551 1282 595 1316 We
7 1 0.9998815059661865 597 1286 669 1312 derive
7 1 0.9999645948410034 669 1282 713 1316 the
7 1 0.9992375373840332 713 1291 835 1316 processing
7 1 0.9994122982025146 863 1297 894 1327 B.
7 1 0.9982799291610718 901 1297 1057 1327 Discrete-time
7 1 0.9997033476829529 1062 1297 1165 1329 Complex
7 1 0.6224152445793152 1168 1299 1284 1325 Baseband
7 1 0.8610126972198486 1288 1297 1356 1332 QAM
7 1 0.9996129870414734 1358 1299 1460 1325 Receiver
8 0 0.9955974221229553 356 1349 405 1383 IV.
8 0 0.9993298053741455 411 1353 512 1379 SYSTEM
8 0 0.9977937936782837 517 1353 610 1379 MODEL
9 0 0.9998819828033447 889 1338 946 1372 Due
9 0 0.9999580383300781 947 1342 979 1370 to
9 0 0.9996933937072754 982 1338 1027 1372 the
9 0 0.9995833039283752 1030 1342 1122 1368 channel
9 0 0.9673882722854614 1128 1342 1198 1368 effect
9 0 0.9989030361175537 1203 1338 1263 1370 such
9 0 0.8594390153884888 1266 1344 1298 1370 as
9 0 0.9960610270500183 1303 1340 1381 1375 fading
9 0 0.9997395873069763 1384 1340 1416 1370 in
9 0 0.9941251277923584 1421 1340 1520 1372 practice,
9 0 0.6003801226615906 1527 1344 1553 1368 the
9 1 0.8666834831237793 864 1375 961 1400 received
9 1 0.9993071556091309 966 1375 1050 1407 signals
9 1 0.9994256496429443 1050 1370 1104 1405 will
9 1 0.99947589635849 1104 1372 1163 1405 have
9 1 0.9985553622245789 1165 1370 1240 1411 larger
9 1 0.9990288019180298 1238 1377 1299 1409 span
9 1 0.9987265467643738 1299 1375 1329 1405 in
9 1 0.5579577684402466 1333 1375 1525 1407 magnitude-phase
9 1 0.9999310970306396 1530 1379 1552 1400 re
10 0 0.9997637867927551 159 1390 205 1424 We
10 0 0.9997509121894836 205 1394 273 1428 apply
10 0 0.6250700950622559 278 1394 390 1426 Exponent
10 0 0.9996368885040283 393 1392 448 1424 Box
10 0 0.9814382791519165 451 1394 561 1426 Encoding
10 0 0.9999479055404663 564 1396 594 1424 to
10 0 0.9995920062065125 595 1396 705 1428 represent
10 0 0.9980652928352356 705 1390 745 1428 IQ
10 0 0.9969547986984253 747 1400 835 1426 compo-
10 0 0.9997201561927795 864 1413 949 1439 sponse.
10 0 0.5576604008674622 951 1405 1006 1437 The
10 0 0.9729275107383728 1006 1409 1112 1435 Common
10 0 0.9997591376304626 1117 1407 1228 1439 Exponent
10 0 0.9983307719230652 1231 1407 1341 1439 Encoding
10 0 0.999255359172821 1344 1407 1432 1439 applied
10 0 0.9986233711242676 1432 1409 1469 1437 on
10 0 0.9998045563697815 1469 1407 1565 1439 sampled
10 1 0.9994671940803528 132 1430 199 1456 nents
10 1 0.9999483823776245 199 1426 229 1456 in
10 1 0.9999116659164429 232 1428 338 1454 baseband
10 1 0.556732714176178 341 1426 413 1458 QAM
10 1 0.8682664632797241 416 1426 574 1456 transmitterin
10 1 0.9999176263809204 576 1426 654 1460 Figure
10 1 0.9999716281890869 654 1424 677 1458 5
10 1 0.9999171495437622 677 1424 727 1458 and
10 1 0.9987711310386658 728 1428 836 1454 baseband
10 1 0.9987602233886719 861 1437 966 1475 complex
10 1 0.9998685121536255 974 1441 1040 1467 block
10 1 0.9996364116668701 1047 1437 1087 1473 IQ
10 1 0.857996940612793 1092 1437 1190 1475 samples
10 1 0.9991400241851807 1196 1439 1223 1469 is
10 1 0.9476500749588013 1230 1437 1316 1469 limited
10 1 0.9958562254905701 1323 1441 1354 1469 to
10 2 0.9994669556617737 134 1495 234 1521 Additive
10 2 0.9972550272941589 240 1495 313 1521 White
10 2 0.9934371113777161 320 1495 425 1521 Gaussian
10 2 0.9887462258338928 431 1495 501 1521 Noise
10 2 0.7516254782676697 508 1493 620 1525 (AWGN).
10 2 0.9996090531349182 627 1495 693 1521 Table
10 2 0.6767409443855286 697 1491 737 1525 VI
10 2 0.9968888163566589 740 1495 835 1521 contains
10 2 0.9857176542282104 864 1508 976 1540 Encoding
10 2 0.9966122508049011 979 1510 1039 1536 must
10 2 0.9998225569725037 1040 1506 1120 1540 update
10 2 0.9999457597732544 1122 1506 1155 1536 its
10 2 0.9998685121536255 1158 1508 1225 1533 block
10 2 0.9973203539848328 1226 1506 1279 1538 size
10 2 0.9997802376747131 1276 1508 1308 1538 at
10 2 0.999920129776001 1308 1508 1348 1536 the
10 2 0.9996967315673828 1349 1508 1431 1540 update
10 2 0.9978945851325989 1429 1506 1482 1538 rate
10 2 0.9941650032997131 1479 1503 1517 1540 of
10 3 0.9997976422309875 131 1557 184 1591 tion
10 3 0.9993330836296082 184 1559 232 1589 and
10 3 0.9999347925186157 232 1557 300 1589 Table
10 3 0.9993389248847961 303 1559 348 1587 VII
10 3 0.6127703785896301 350 1559 489 1589 summarizes
10 3 0.9991740584373474 489 1557 532 1591 the
10 3 0.948295533657074 536 1566 630 1591 memory
10 3 0.9965196847915649 635 1559 776 1591 input/output
10 3 0.9999456405639648 776 1559 838 1591 rates
10 3 0.9998028874397278 863 1570 916 1604 Box
10 3 0.9759753942489624 919 1570 1032 1609 Encoding
10 3 0.9764329791069031 1032 1570 1102 1602 could
10 3 0.98795086145401 1102 1570 1143 1604 lift
10 3 0.9985367059707642 1142 1570 1188 1604 the
10 3 0.9526739120483398 1188 1574 1301 1600 constraint
10 3 0.9878751635551453 1303 1570 1353 1604 and
10 3 0.9665721654891968 1354 1574 1432 1600 selects
10 3 0.99899822473526 1436 1570 1499 1602 fixed
10 3 0.9994649291038513 1499 1570 1567 1602 block
11 0 0.9994937181472778 1472 1437 1562 1469 window
11 1 0.9998421669006348 1512 1503 1568 1542 gain
12 0 0.9982268214225769 210 1460 305 1486 receiver
12 1 0.889297604560852 132 1460 204 1493 QAM
12 2 0.9998584985733032 132 1527 174 1555 the
12 3 0.9992634654045105 174 1529 292 1561 parameter
12 4 0.773479700088501 132 1626 190 1658 time
12 4 0.9970990419387817 192 1628 292 1660 complex
12 4 0.999739944934845 297 1626 368 1658 QAM
13 0 0.9333721995353699 1358 1437 1467 1475 selecting
14 0 0.9998288154602051 308 1460 338 1491 in
14 0 0.9999241828918457 343 1460 421 1493 Figure
14 0 0.9989141225814819 425 1460 454 1491 6.
14 0 0.9999916553497314 456 1458 511 1491 The
14 0 0.9997590184211731 512 1458 629 1491 simulated
14 0 0.9998077750205994 634 1460 723 1486 channel
14 0 0.9981689453125 730 1458 806 1491 model
14 0 0.999883770942688 810 1458 838 1491 is
14 0 0.999910831451416 863 1469 914 1503 size
14 0 0.999993085861206 918 1471 951 1501 of
14 0 0.6122236251831055 956 1473 1069 1499 minimum
14 0 0.9985009431838989 1075 1473 1145 1508 phase
14 0 0.9756316542625427 1153 1473 1275 1499 difference.
14 0 0.9998823404312134 1281 1471 1334 1503 The
14 0 0.9579107165336609 1341 1473 1447 1499 Common
14 0 0.9948709011077881 1454 1469 1568 1508 Exponent
14 1 0.9978154897689819 413 1525 464 1557 and
14 1 0.7776628732681274 464 1527 537 1553 values
14 1 0.9998575448989868 539 1525 597 1557 used
14 1 0.9994311928749084 597 1525 627 1555 in
14 1 0.9999761581420898 629 1527 743 1553 MATLAB
14 1 0.9904555678367615 748 1527 835 1553 simula-
14 1 0.9964704513549805 861 1538 899 1576 by
14 1 0.9999876022338867 899 1540 941 1568 the
14 1 0.8367404341697693 944 1542 1065 1566 Automatic
14 1 0.999923586845398 1067 1538 1128 1570 Gain
14 1 0.9987309575080872 1130 1538 1221 1570 Control
14 1 0.9819747805595398 1223 1540 1311 1572 (AGC).
14 1 0.9991980195045471 1314 1540 1407 1572 Instead,
14 1 0.9794993996620178 1409 1544 1455 1568 our
14 1 0.999881386756897 1455 1540 1565 1572 Exponent
15 0 0.9983376264572144 293 1529 413 1553 definitions
16 0 0.9211874008178711 134 1594 240 1626 (bits/sec)
16 0 0.9941235184669495 242 1591 293 1624 and
16 0 0.6275925040245056 297 1594 529 1626 multiply-accumulate
16 0 0.9014274477958679 532 1596 592 1622 rates
16 0 0.9946216344833374 595 1594 693 1626 required
16 0 0.9997735619544983 695 1591 733 1630 by
16 0 0.9849832653999329 737 1596 833 1622 discrete-
16 0 0.9997366070747375 863 1604 923 1639 size,
16 0 0.5221162438392639 919 1604 962 1639 N.
16 0 0.9940580129623413 964 1609 994 1637 =
16 1 0.4794645309448242 131 1660 170 1688 A.
16 1 0.9682866334915161 170 1658 327 1688 Discrete-time
16 1 0.970313310623169 332 1660 434 1692 Complex
16 1 0.999940037727356 439 1660 554 1686 Baseband
16 1 0.8458175659179688 557 1660 624 1692 OAM
16 1 0.861736536026001 627 1662 762 1686 Transmitter
16 2 0.9985811710357666 159 1699 205 1733 We
16 2 0.9888113737106323 210 1703 295 1729 encode
16 2 0.9844542145729065 302 1703 401 1735 complex
16 2 0.9998192191123962 411 1703 478 1729 block
16 2 0.9994157552719116 483 1699 522 1735 IQ
16 2 0.9951422214508057 526 1699 624 1738 samples
16 2 0.9999350309371948 629 1701 659 1731 in
16 2 0.9998193383216858 667 1705 775 1731 Exponent
