block line confidence X1 Y1 X2 Y2 token
0 0 0.9987940788269043 476 141 605 165 DELAYED
0 0 0.9992302656173706 614 141 798 165 ACCEPTANCE
0 0 0.9900334477424622 803 137 894 169 MCMC
0 0 0.9994970560073853 898 139 946 169 BY
0 0 0.9996250867843628 946 137 1025 169 DATA
0 0 0.995790421962738 1030 141 1223 165 SUBSAMPLING
1 0 0.9988240599632263 1472 139 1505 167 12
2 0 0.526121973991394 230 199 356 232 Sherlock
2 0 0.999955415725708 358 199 398 236 et
2 0 0.9915944933891296 398 197 441 236 al.
2 0 0.9985034465789795 448 199 557 240 (2015b)
2 0 0.9970117807388306 564 197 614 242 (in
2 0 0.9980204105377197 614 206 642 236 a
2 0 0.7339271903038025 645 201 889 240 non-subsampling
2 0 0.9962175488471985 894 201 1016 240 context)
2 0 0.9998953342437744 1020 199 1108 240 study
2 0 0.999894380569458 1112 199 1165 234 the
2 0 0.9110743999481201 1168 201 1313 234 statistical
2 0 0.9947866201400757 1319 204 1452 236 efficiency
2 0 0.9934844374656677 1457 197 1505 234 for
2 1 0.9996228218078613 197 264 308 305 delayed
2 1 0.9942494630813599 312 266 473 305 acceptance
2 1 0.98271644115448 476 266 587 298 random
2 1 0.9998692274093628 592 264 664 298 walk
2 1 0.7533555030822754 669 264 823 302 Metropolis
2 1 0.9988565444946289 826 266 894 300 and,
2 1 0.9992209672927856 899 270 1042 300 moreover,
2 1 0.9997568726539612 1045 270 1087 298 an
2 1 0.9981517195701599 1090 264 1225 302 efficiency
2 1 0.9999505281448364 1228 264 1294 298 that
2 1 0.9998353719711304 1296 264 1358 298 also
2 1 0.9998205304145813 1361 264 1441 298 takes
2 1 0.9971141815185547 1441 264 1504 298 into
2 2 0.7304731607437134 199 333 310 358 account
2 2 0.9999722242355347 317 326 370 363 the
2 2 0.6182544827461243 373 328 579 367 computational
2 2 0.9936568140983582 587 328 720 367 efficiency
2 2 0.9998905658721924 725 326 771 363 for
2 2 0.9999747276306152 773 326 826 363 the
2 2 0.9978780746459961 830 335 893 360 case
2 2 0.9998965263366699 898 328 986 360 where
2 2 0.9997377991676331 991 326 1042 363 the
2 2 0.9937248826026917 1045 328 1137 369 target
2 2 0.9999667406082153 1138 324 1172 365 is
2 2 0.9770379066467285 1173 328 1313 360 estimated
2 2 0.9358792901039124 1323 328 1500 367 (DA-PMMH
2 3 0.999731719493866 232 457 356 489 Christen
2 3 0.999883770942688 363 453 425 494 and
2 3 0.999731719493866 429 453 491 494 Fox
2 3 0.8706017136573792 496 453 592 500 (2005)
2 3 0.9997450709342957 597 459 669 491 note
2 3 0.9998352527618408 674 455 748 496 that,
2 3 0.9990357160568237 758 457 871 489 because
2 3 0.9999881982803345 878 455 934 494 the
2 3 0.9994300007820129 939 459 1080 489 transition
2 3 0.9989319443702698 1090 457 1193 489 kernels
2 3 0.999995231628418 1198 453 1236 491 of
2 3 0.9998689889907837 1240 457 1311 489 both
2 3 0.999953031539917 1318 455 1374 494 the
2 3 0.9987123012542725 1377 455 1439 489 MH
2 3 0.9999336004257202 1442 453 1504 494 and
2 4 0.9997474551200867 197 522 308 560 delayed
2 4 0.9976903200149536 315 526 473 558 acceptance
2 4 0.9986026883125305 478 519 539 554 MH
2 4 0.9891770482063293 541 526 597 558 are
2 4 0.9839969873428345 599 522 707 554 derived
2 4 0.990802526473999 712 519 785 554 from
2 4 0.9997993111610413 788 519 845 558 the
2 4 0.999503493309021 846 528 923 554 same
2 4 0.9990166425704956 928 522 1054 560 proposal
2 4 0.7094046473503113 1057 526 1102 562 91,
2 4 0.9999054670333862 1104 517 1167 558 and
2 4 0.9996869564056396 1167 519 1205 558 in
2 4 0.9891014695167542 1208 522 1331 554 addition
2 4 0.3185765743255615 1334 526 1377 562 a2
2 4 0.4386041462421417 1377 517 1424 562 S
2 4 0.9942092895507812 1414 519 1447 560 1,
2 4 0.999489426612854 1450 519 1507 558 the
2 5 0.9993534684181213 197 584 310 625 delayed
2 5 0.998187243938446 312 590 469 623 acceptance
2 5 0.9986584186553955 473 584 532 618 MH
2 5 0.9993667006492615 534 584 592 618 will
2 5 0.9986999034881592 592 582 634 620 be
2 5 0.9994274377822876 632 582 692 623 less
2 5 0.5862380266189575 693 588 859 620 statistically
2 5 0.7899059057235718 864 586 977 618 efficient
2 5 0.9996119141578674 981 584 1052 618 than
2 5 0.999847412109375 1054 584 1122 618 MH.
2 5 0.9999909400939941 1123 584 1187 618 The
2 5 0.9989387392997742 1190 586 1316 618 intuition
2 5 0.9998553991317749 1316 582 1349 620 is
2 5 0.9999549388885498 1348 584 1414 618 that
2 5 0.7599313855171204 1416 582 1505 620 under
2 6 0.9991762042045593 197 650 277 683 these
2 6 0.9965366125106812 282 650 433 683 conditions
2 6 0.9997684359550476 438 648 491 683 the
2 6 0.9884882569313049 496 648 577 683 chain
2 6 0.9293200969696045 582 648 682 689 clearly
2 6 0.9989288449287415 688 650 805 683 exhibits
2 6 0.9997994303703308 810 655 838 685 a
2 6 0.9995099306106567 840 657 916 683 more
