block line confidence X1 Y1 X2 Y2 token
0 0 0.9999642372131348 1542 77 1565 109 8
1 0 0.9990052580833435 144 146 182 182 in
1 0 0.9999029636383057 180 148 237 186 Fig.
1 0 0.9147382378578186 237 146 322 186 10(a).
1 0 0.9983918070793152 330 148 398 180 Even
1 0 0.9999433755874634 400 148 428 180 if
1 0 0.9999784231185913 428 146 476 180 the
1 0 0.9983929991722107 476 148 554 180 entire
1 0 0.7424195408821106 559 150 632 176 Fermi
1 0 0.997349739074707 637 148 728 180 surface
1 0 0.999832272529602 730 148 760 180 is
1 0 0.9997362494468689 762 148 835 180 taken
2 0 0.9935768246650696 904 154 942 180 on
2 0 0.9999593496322632 949 146 997 180 the
2 0 0.9177938103675842 1006 150 1080 176 Fermi
2 0 0.9956697225570679 1090 148 1182 180 surface
2 0 0.9966493248939514 1187 146 1225 182 of
2 0 0.9998623132705688 1228 150 1276 180 the
2 0 0.9995415210723877 1281 148 1341 180 hole
2 0 0.9998055100440979 1346 148 1401 180 and
2 0 0.9812643527984619 1407 146 1457 180 the
2 0 0.9948675632476807 1462 148 1565 180 electron
2 1 0.9999650716781616 878 242 956 275 bands
2 1 0.998810887336731 966 242 1027 275 with
2 1 0.96086585521698 1040 249 1127 275 masses
2 1 0.963419497013092 1135 247 1185 281 mh
2 1 0.6176775693893433 1196 247 1228 272 &
2 1 0.5567917823791504 1241 247 1308 279 -me
2 1 0.9998387098312378 1318 244 1429 277 although
2 1 0.9754889607429504 1442 242 1512 275 there
2 1 0.995895504951477 1519 249 1565 275 are
2 2 0.9989099502563477 876 307 936 339 that
2 2 0.6505814790725708 941 309 1120 341 cos(km)cos(kw)
2 2 0.9997491240501404 1127 307 1155 339 is
2 2 0.9999580383300781 1157 305 1205 339 the
2 2 0.9993778467178345 1208 309 1301 341 leading
2 2 0.7017809152603149 1304 307 1382 339 order.
2 2 0.9972885847091675 1394 309 1442 339 We
2 2 0.9978665709495544 1442 307 1505 339 note
2 2 0.9993305206298828 1505 305 1565 339 that
2 3 0.5922725796699524 876 335 1064 380 cos(ka)cos(Ky)
2 3 0.9994580149650574 1064 341 1165 373 predicts
2 3 0.9997557997703552 1163 343 1188 371 a
2 3 0.999891996383667 1188 345 1289 371 stronger
2 3 0.9984477758407593 1293 341 1382 373 mixing
2 3 0.9999988079071045 1382 339 1416 369 of
2 3 0.9997816681861877 1414 341 1457 369 the
2 3 0.9865676164627075 1457 337 1563 375 particle-
2 4 0.9985482096672058 876 371 936 403 hole
2 4 0.9667823314666748 941 378 1049 403 response
2 4 0.9406315088272095 1057 371 1123 403 from
2 4 0.9996830224990845 1127 369 1178 403 the
2 4 0.9998152852058411 1183 373 1284 399 electron
2 4 0.9969310760498047 1293 371 1346 403 and
2 4 0.998747706413269 1351 371 1411 403 hole
2 4 0.9991624355316162 1419 373 1494 399 bands
2 4 0.9997947812080383 1504 373 1565 399 than
2 5 0.3028286397457123 876 401 971 440 cos(k)
2 5 0.9941867589950562 974 403 1002 436 +
2 5 0.9364343285560608 1004 401 1097 440 cos(ky)
2 5 0.9982971549034119 1104 408 1138 433 as
2 5 0.9983606934547424 1142 401 1241 440 already
2 5 0.5294654965400696 1246 401 1351 433 outlined
2 5 0.9993945360183716 1358 401 1397 440 by
2 5 0.5457165241241455 1402 401 1485 433 Mazin
2 5 0.9989330172538757 1492 403 1524 433 et
2 5 0.9946231842041016 1527 399 1567 433 al.
2 6 0.9990876913070679 941 468 1072 500 Appendix
2 6 0.9994388222694397 1077 468 1110 498 E:
2 6 0.9979153275489807 1113 466 1271 496 Subtraction
2 6 0.9999617338180542 1271 464 1311 498 of
2 6 0.999923825263977 1308 466 1359 498 the
2 6 0.9267327785491943 1361 470 1500 494 continuum
2 7 0.9999653100967407 903 534 961 569 The
2 7 0.9767646193504333 962 537 1097 567 fluctuation
2 7 0.9991940855979919 1100 541 1208 573 response
2 7 0.9998819828033447 1208 537 1235 569 is
2 7 0.9980212450027466 1235 539 1374 571 superposed
2 7 0.9995397329330444 1374 541 1412 569 on
2 7 0.998111367225647 1412 534 1459 569 the
2 7 0.9971005320549011 1457 534 1562 573 particle-
2 8 0.9971091151237488 876 569 934 601 hole
2 8 0.691452145576477 934 569 1067 599 continuum
2 8 0.9997757077217102 1067 569 1125 601 that
2 8 0.9945524334907532 1125 571 1253 603 essentially
2 8 0.9991939663887024 1253 569 1344 601 reflects
2 8 0.7901132702827454 1343 567 1557 605 symmetry-resolve
2 9 0.9996985197067261 878 603 997 635 transport
2 9 0.5831961631774902 997 599 1153 638 properties31.
2 9 0.9998059868812561 1160 601 1233 633 Since
2 9 0.9999788999557495 1230 599 1278 633 the
2 9 0.9971465468406677 1276 601 1432 631 contribution
2 9 0.9998574256896973 1431 601 1464 631 of
2 9 0.994553804397583 1460 603 1509 633 the
2 9 0.6821553707122803 1504 601 1562 633 fluc-
2 10 0.6485010385513306 771 644 836 685 (D1)
2 10 0.9941439032554626 879 635 982 661 tuations
2 10 0.999006450176239 981 633 1009 666 is
2 10 0.9996683597564697 1007 633 1125 666 relatively
2 10 0.9986718893051147 1125 635 1208 668 strong
