block line confidence X1 Y1 X2 Y2 token
0 0 0.9998921155929565 149 118 172 150 8
1 0 0.7111758589744568 577 638 622 683 (a)
2 0 0.9639309644699097 1059 638 1105 683 (b)
3 0 0.5502646565437317 137 700 235 739 Figure
3 0 0.9973329305648804 235 700 270 736 2.
3 0 0.9722189903259277 277 700 410 732 Evolution
3 0 0.9999985694885254 410 698 448 734 of
3 0 0.9999449253082275 444 698 494 734 the
3 0 0.9983305335044861 494 706 607 739 pressure
3 0 0.9942225813865662 610 702 687 736 along
3 0 0.974007785320282 687 696 805 743 (halfof)
3 0 0.9999790191650391 801 700 853 734 the
3 0 0.9994925260543823 851 700 916 741 loop
3 0 0.8430285453796387 914 700 961 734 for
3 0 0.9995006322860718 961 700 1009 734 the
3 0 0.9998308420181274 1007 700 1085 741 pulse
3 0 0.9995989203453064 1087 704 1203 730 duration
3 0 0.9689901471138 1205 702 1246 739 tH
3 0 0.9317087531089783 1248 708 1276 728 =
3 0 0.9969498515129089 1276 700 1319 734 60
3 0 0.8681462407112122 1314 704 1338 734 S
3 0 0.9992274045944214 1336 700 1382 741 (a)
3 0 0.9997199177742004 1381 700 1437 734 and
3 0 0.994565486907959 1437 702 1480 739 tH
3 0 0.9977967739105225 1482 708 1509 728 =
3 0 0.9991291165351868 1512 700 1555 734 120
3 1 0.5376596450805664 134 764 164 797 S
3 1 0.7567881941795349 159 758 217 803 (b).
3 1 0.9999210834503174 220 758 267 799 To
3 1 0.9682458639144897 268 764 408 797 emphasize
3 1 0.9999736547470093 410 760 461 794 the
3 1 0.999144434928894 463 766 582 799 presence
3 1 0.9999912977218628 584 760 622 797 of
3 1 0.9977836012840271 620 762 723 801 moving
3 1 0.9866495728492737 725 760 818 799 fronts,
3 1 0.9999738931655884 820 760 871 794 the
3 1 0.8505575060844421 873 766 989 799 pressure
3 1 0.9998288154602051 989 762 1019 794 is
3 1 0.9958903193473816 1020 762 1172 792 normalized
3 1 0.9999873638153076 1173 762 1213 797 to
3 1 0.999969482421875 1211 760 1265 794 the
3 1 0.9930986762046814 1263 764 1344 797 mean
3 1 0.9161167144775391 1348 764 1447 790 coronal
3 1 0.9978519678115845 1452 762 1529 794 value
4 0 0.999739944934845 137 822 204 857 each
4 0 0.9970144033432007 205 820 282 861 time,
4 0 0.9998538494110107 282 822 340 857 and
4 0 0.9995645880699158 341 822 393 857 the
4 0 0.9990249872207642 393 829 458 861 grey
4 0 0.9927035570144653 459 822 531 857 scale
4 0 0.9969103932380676 532 822 562 855 is
4 0 0.9871575236320496 564 822 679 855 between
4 0 0.9995360374450684 679 818 745 859 80%
4 0 0.9998410940170288 745 822 803 855 and
4 0 0.9986826777458191 806 822 883 855 120%
4 0 0.999964714050293 884 820 923 857 of
4 0 0.99992835521698 921 822 972 855 the
4 0 0.9998019337654114 972 829 1050 855 mean
4 0 0.906987726688385 1054 822 1137 855 value.
5 0 0.9999898672103882 162 928 227 962 The
5 0 0.9996325969696045 232 936 341 962 reasons
5 0 0.9999792575836182 346 928 395 964 for
5 0 0.9997168183326721 398 928 458 962 this
5 0 0.9996114373207092 464 930 586 962 different
5 0 0.9829047918319702 594 930 730 962 evolution
5 0 0.9976993203163147 735 936 791 962 can
5 0 0.9997856020927429 796 928 840 964 be
5 0 0.9995983242988586 845 930 1007 960 understood
5 0 0.987079381942749 1014 928 1087 962 from
5 0 0.9976856708526611 1092 928 1155 971 Fig.
5 0 0.9961270689964294 1158 928 1195 964 3.
5 0 0.9884071946144104 1203 925 1243 964 In
5 0 0.99992835521698 1248 928 1321 962 both
5 0 0.9897351264953613 1326 936 1404 962 cases
5 0 0.9993346333503723 1407 936 1454 962 we
5 0 0.99639892578125 1457 936 1509 962 see
5 0 0.9999812841415405 1512 928 1568 966 the
5 1 0.9742692112922668 139 1007 227 1039 initial
5 1 0.9987105131149292 232 1007 315 1048 steep
5 1 0.9970869421958923 320 1007 491 1046 evaporation
5 1 0.9999507665634155 499 1007 574 1039 front
5 1 0.9903377294540405 581 1007 688 1046 coming
5 1 0.9996104836463928 693 1011 740 1048 up
5 1 0.9986692667007446 748 1007 911 1046 (rightwards
5 1 0.9993844032287598 916 1005 954 1041 in
5 1 0.9999837875366211 957 1005 1014 1044 the
5 1 0.8331919312477112 1017 1007 1115 1048 figure)
5 1 0.9922468662261963 1122 1007 1193 1039 from
5 1 0.526491105556488 1200 1005 1256 1044 the
5 1 0.9589428901672363 1261 1007 1465 1046 chromosphere.
5 1 0.9999898672103882 1485 1005 1562 1039 After
5 2 0.9979650974273682 137 1082 207 1123 this,
5 2 0.9994631409645081 209 1082 257 1119 for
5 2 0.9656091928482056 257 1084 298 1123 tH
5 2 0.9943033456802368 302 1091 333 1117 =
5 2 0.9997742772102356 335 1084 378 1119 60
5 2 0.9489409923553467 378 1089 401 1119 S
5 2 0.9774238467216492 403 1082 476 1125 (Fig.
5 2 0.9992154836654663 479 1080 541 1125 3a),
5 2 0.9999731779098511 544 1082 597 1119 the
5 2 0.9952788352966309 600 1091 723 1123 pressure
5 2 0.6329836249351501 727 1087 864 1117 continues
5 2 0.9583031535148621 866 1084 906 1121 to
5 2 0.9998267292976379 909 1089 1024 1115 increase
5 2 0.9934879541397095 1029 1084 1069 1119 at
5 2 0.9999736547470093 1069 1082 1122 1119 the
5 2 0.9996987581253052 1123 1082 1193 1125 loop
5 2 0.9974174499511719 1193 1091 1268 1123 apex
5 2 0.9869498610496521 1273 1080 1361 1127 (right
5 2 0.9241270422935486 1362 1082 1444 1125 side),
5 2 0.9990409016609192 1449 1084 1560 1117 because
5 3 0.9836501479148865 139 1164 244 1203 plasma
5 3 0.9920978546142578 254 1164 431 1194 accumulates
5 3 0.9875673055648804 438 1160 527 1198 there.
5 3 0.995917022228241 547 1162 682 1200 However,
5 3 0.9997753500938416 690 1162 745 1196 the
5 3 0.9498615264892578 752 1168 873 1200 pressure
5 3 0.9999806880950928 881 1162 951 1196 does
5 3 0.9999512434005737 957 1164 1014 1196 not
5 3 0.9997127652168274 1022 1166 1137 1192 increase
5 3 0.9953558444976807 1147 1168 1183 1196 as
5 3 0.9993463158607483 1190 1162 1253 1196 well
5 3 0.9999109506607056 1260 1162 1316 1196 low
5 3 0.9998984336853027 1319 1160 1358 1198 in
