block line confidence X1 Y1 X2 Y2 token
0 0 0.9875280261039734 1279 270 1502 302 YITP-SB-17-22
1 0 0.9998416900634766 237 459 338 515 Soft
1 0 0.7876875996589661 353 464 556 511 Graviton
1 0 0.9921380877494812 574 464 780 511 Emission
1 0 0.9999910593032837 791 464 848 517 at
1 0 0.9999569654464722 858 461 976 526 High
1 0 0.8990824222564697 984 461 1077 517 and
1 0 0.9997959733009338 1089 464 1190 513 Low
1 0 0.9997473359107971 1205 466 1399 522 Energies
1 0 0.9998250603675842 1409 464 1464 517 in
2 0 0.9996142387390137 524 534 705 582 Yukawa
2 0 0.9999436140060425 715 530 810 586 and
2 0 0.7605187296867371 818 530 966 584 Scalar
2 0 0.9999490976333618 979 534 1177 580 Theories
3 0 0.7255620360374451 705 646 848 687 Hualong
3 0 0.9994439482688904 856 642 987 681 Gervais
4 0 0.9894019961357117 476 691 559 732 C.N.
4 0 0.9998337030410767 567 691 662 739 Yang
4 0 0.999320387840271 669 693 820 732 Institute
4 0 0.9999997615814209 826 691 883 734 for
4 0 0.9665661454200745 889 696 1082 728 Theoretical
4 0 0.9946027398109436 1097 696 1225 736 Physics
4 1 0.9998642206192017 476 741 546 782 and
4 1 0.9904905557632446 554 743 762 788 Department
4 1 0.9995707869529724 766 739 813 784 of
4 1 0.9905024766921997 820 745 946 786 Physics
4 1 0.9400457143783569 952 741 1024 782 and
4 1 0.9893466830253601 1034 745 1221 784 Astronomy
5 0 0.9994107484817505 340 790 444 837 Stony
5 0 0.9999300241470337 453 792 559 831 Brook
5 0 0.8032312393188477 571 792 753 837 University,
5 0 0.9988699555397034 763 794 864 835 Stony
5 0 0.9999228715896606 876 794 991 835 Brook,
5 0 0.9999809265136719 1001 790 1067 833 NY
5 0 0.9893268346786499 1075 797 1265 829 11794-3840
5 0 0.9998900890350342 1276 790 1361 831 USA
6 0 0.9826750755310059 733 872 813 915 May
6 0 0.9999127388000488 820 870 876 915 29,
6 0 0.9810299873352051 883 870 969 910 2020
6 1 0.9783428311347961 781 1001 919 1031 Abstract
7 0 0.9916332960128784 323 1052 375 1089 We
7 0 0.9841305613517761 375 1057 454 1091 study
7 0 0.9947040677070618 458 1057 607 1087 corrections
7 0 0.9999278783798218 609 1057 645 1089 to
7 0 0.9963797926902771 645 1054 695 1089 the
7 0 0.9868956208229065 695 1054 752 1089 soft
7 0 0.9997122883796692 753 1054 871 1093 graviton
7 0 0.9992289543151855 874 1059 986 1084 theorem
7 0 0.9986226558685303 989 1057 1022 1087 at
7 0 0.999660849571228 1024 1052 1067 1089 all
7 0 0.9996806383132935 1065 1054 1132 1095 loop
7 0 0.9352072477340698 1132 1054 1218 1087 orders
7 0 0.9996309280395508 1220 1052 1256 1089 in
