block line confidence X1 Y1 X2 Y2 token
0 0 0.809459388256073 500 251 533 283 E.
0 0 0.7774125337600708 524 251 684 283 Parizot/Nuclear
0 0 0.9789410829544067 683 253 755 280 Physics
0 0 0.9081211090087891 752 251 780 283 B
0 0 0.9968865513801575 776 255 889 283 Proceedings
0 0 0.8396778106689453 891 255 998 283 Supplement
0 0 0.9991303086280823 996 253 1030 283 00
0 0 0.5024880766868591 1025 251 1095 285 (2020).
0 0 0.9816411733627319 1090 248 1145 283 1-16
1 0 0.9984415173530579 1461 255 1477 276 8
2 0 0.9843090176582336 174 310 219 347 the
2 0 0.9861960411071777 218 312 332 347 amplitude
2 0 0.9999978542327881 332 312 368 347 of
2 0 0.9904886484146118 361 310 407 347 the
2 0 0.975062370300293 407 317 510 344 magnetic
2 0 0.7187171578407288 513 315 573 342 field.
2 0 0.999936580657959 575 312 644 347 Thus,
2 0 0.9994614720344543 644 312 671 344 if
2 0 0.9999904632568359 668 312 709 342 the
2 0 0.9999462366104126 709 315 773 342 latter
2 0 0.9991946816444397 772 312 799 344 is
2 1 0.9978786706924438 177 347 295 381 multiplied
2 1 0.9997475743293762 295 344 332 383 by
2 1 0.9995666146278381 334 344 389 379 100,
2 1 0.6028337478637695 386 349 419 379 sO
2 1 0.9988042116165161 416 344 470 379 will
2 1 0.9995480179786682 468 347 502 376 be
2 1 0.9997738003730774 500 347 542 376 the
2 1 0.9962759017944336 544 349 659 374 maximum
2 1 0.9996359348297119 662 351 741 379 energy
2 1 0.9672250151634216 743 349 793 376 too.
2 2 0.5715876817703247 176 413 232 447 field
2 2 0.9589048624038696 235 415 318 443 around
2 2 0.5753316283226013 323 415 392 443 SNRs
2 2 0.9998387098312378 395 413 423 447 is
2 2 0.9562013149261475 426 415 503 443 indeed
2 2 0.9998856782913208 510 415 570 443 what
2 2 0.9996488094329834 571 415 615 445 has
2 2 0.9995306730270386 618 415 678 443 been
2 2 0.9997373223304749 681 415 796 449 suggested
2 3 0.9976732134819031 176 486 276 511 resonant
2 3 0.8723291754722595 279 481 395 516 streaming
2 3 0.9902004599571228 398 481 513 516 instability
2 3 0.9995787739753723 516 484 549 513 as
2 3 0.9995225667953491 549 479 605 513 well
2 3 0.9997982382774353 605 484 638 513 as
2 3 0.6535800099372864 639 486 796 511 non-resonant,
2 4 0.9995738863945007 176 548 232 582 [32,
2 4 0.999010443687439 227 545 271 582 33,
2 4 0.9998350143432617 274 550 314 580 34,
2 4 0.9995999932289124 316 550 360 580 35,
2 4 0.9997754693031311 360 550 403 580 36,
2 4 0.9973251819610596 400 548 491 582 37,38,
2 4 0.8193330764770508 492 548 552 582 39]),
2 4 0.9944843649864197 554 545 604 580 and
2 4 0.9980180263519287 604 552 641 580 on
2 4 0.6450928449630737 644 550 794 575 observational
2 5 0.9314508438110352 176 582 279 616 grounds,
2 5 0.9995805621147156 284 577 344 612 with
2 5 0.9997125267982483 345 577 390 614 the
2 5 0.9926422238349915 394 582 549 614 interpretation
2 5 0.9998832941055298 554 582 587 612 of
2 5 0.9999939203262329 589 577 633 614 the
2 5 0.9888383150100708 638 584 731 609 extreme
2 5 0.9997416138648987 738 582 796 609 thin-
2 6 0.5876995921134949 177 648 248 676 SNRS
2 6 0.9984861016273499 248 650 282 678 as
2 6 0.9990900754928589 281 646 332 680 due
2 6 0.9997367262840271 331 648 363 678 to
2 6 0.9999340772628784 363 644 407 680 the
2 6 0.9989609718322754 407 648 545 680 synchrotron
2 6 0.9787158966064453 550 648 621 676 losses
2 6 0.9994872808456421 625 646 659 676 of
2 6 0.999955415725708 657 646 699 676 the
2 6 0.6653282046318054 702 646 796 680 highest-
2 7 0.9993058443069458 174 682 260 717 energy
2 7 0.9968773126602173 263 682 368 708 electrons
2 7 0.9996131062507629 371 676 405 714 in
2 7 0.9978222846984863 407 680 449 710 the
2 7 0.9983691573143005 453 678 521 712 local,
2 7 0.9938225746154785 528 680 612 708 intense
2 7 0.9976651668548584 617 680 725 714 magnetic
2 7 0.9999405145645142 731 680 796 708 fields
2 8 0.9997137188911438 206 751 314 778 However,
2 8 0.9979910850524902 318 753 377 778 even
2 8 0.9995272159576416 376 746 436 781 with
2 8 0.9998350143432617 434 746 494 781 such
2 8 0.9999377727508545 495 753 515 778 a
2 8 0.9997289776802063 516 749 578 785 large
2 8 0.9996566772460938 578 746 638 781 field
2 8 0.9219602346420288 639 751 796 783 amplification,
2 9 0.9998843669891357 174 781 213 817 by
2 9 0.9988889098167419 209 783 234 815 a
2 9 0.9994213581085205 235 783 305 810 factor
2 9 0.9999992847442627 306 781 339 813 of
2 9 0.9987068176269531 339 783 405 810 order
