block line confidence X1 Y1 X2 Y2 token
0 0 0.9995245933532715 1549 82 1565 105 9
1 0 0.9998691082000732 176 182 251 210 where
1 0 0.9995998740196228 253 178 302 214 the
1 0 0.9993935823440552 302 182 411 216 operator
1 0 0.974437415599823 413 180 444 212 D
1 0 0.9994262456893921 444 180 473 212 is
1 0 0.9996776580810547 473 178 565 212 defined
1 0 0.9992294311523438 566 185 602 212 as
2 0 0.9998773336410522 174 363 232 399 The
2 0 0.9966129660606384 232 367 373 402 expressions
2 0 0.5686274766921997 376 374 415 395 we.
2 0 0.9999814033508301 416 367 476 395 then
2 0 0.9997884631156921 481 367 562 395 obtain
2 0 0.9996278285980225 563 363 608 399 for
2 0 0.9994590878486633 607 363 655 399 the
2 0 0.9928539395332336 655 367 806 402 components
2 0 0.4837609827518463 807 365 851 404 dy,
2 0 0.3072858154773712 852 365 898 404 dg,
2 0 0.3816748857498169 898 365 936 404 a
2 0 0.9991177916526794 935 363 972 402 of
2 0 0.7644034624099731 969 363 1017 399 the
2 0 0.9119630455970764 1015 365 1074 399 flow
2 0 0.9999599456787109 1075 367 1132 395 field
2 0 0.29692336916923523 1132 363 1172 399 as
2 0 0.927741289138794 1172 372 1219 397 are
2 0 0.6992458701133728 1221 367 1290 402 given
2 0 0.9997079968452454 1288 363 1324 402 in
2 0 0.9995300769805908 1327 370 1447 397 Appendix
2 0 0.9946327209472656 1452 365 1487 399 C.
2 1 0.998333752155304 172 463 222 500 We
2 1 0.9977120161056519 222 470 281 497 now
2 1 0.9821898937225342 285 468 389 495 consider
2 1 0.998392641544342 392 465 442 500 the
2 1 0.9959267377853394 444 468 570 497 derivation
2 1 0.9999998807907104 571 463 617 500 for
2 1 0.999942421913147 617 463 667 500 the
2 1 0.9326910972595215 670 468 796 497 first-order
2 1 0.9994152784347534 801 468 901 495 solution
2 1 0.9992033839225769 907 463 949 502 (in
2 1 0.7123866677284241 951 468 1078 502 Reynolds)
2 1 0.7076417803764343 1082 463 1143 500 u).
2 1 0.9999740123748779 1154 468 1221 495 That
2 1 0.9929956793785095 1225 468 1280 495 flow
2 1 0.9923326969146729 1285 468 1342 495 field
2 1 0.9941288232803345 1348 468 1452 495 contains
2 1 0.9879999756813049 1456 470 1531 497 terms
2 1 0.9932078719139099 1534 465 1570 500 of
2 2 0.9923398494720459 148 500 251 527 different
2 2 0.9890121221542358 256 500 402 534 frequencies,
2 2 0.9999275207519531 402 495 455 532 but
2 2 0.9990272521972656 453 502 494 529 we
2 2 0.999288022518158 494 502 541 529 are
2 2 0.9990590214729309 541 497 600 532 here
2 2 0.9999709129333496 600 497 660 534 only
2 2 0.9997475743293762 663 500 785 527 interested
2 2 0.9994465708732605 788 497 818 529 in
2 2 0.9999741315841675 818 495 867 532 the
2 2 0.9987678527832031 865 495 954 536 steady
2 2 0.999776303768158 952 500 1012 536 part
2 2 0.9999986886978149 1014 497 1046 529 of
2 2 0.9999302625656128 1043 495 1091 532 the
2 2 0.9793612360954285 1093 500 1153 527 flow.
2 2 0.9999943971633911 1158 497 1209 532 For
2 2 0.9999656677246094 1208 495 1256 532 the
2 2 0.9998449087142944 1256 497 1316 532 sake
2 2 0.9981541037559509 1316 497 1348 529 of
2 2 0.7450926899909973 1348 500 1476 534 simplicity,
2 2 0.9985966086387634 1479 502 1518 529 we
2 2 0.997951090335846 1519 502 1566 529 use
2 3 0.44299808144569397 145 527 197 564 u)
2 3 0.8851919174194336 198 532 234 561 to
2 3 0.9999363422393799 235 532 321 559 denote
2 3 0.99993896484375 323 532 356 561 to
2 3 0.9511229991912842 356 527 405 564 the
2 3 0.9965369701385498 407 532 491 566 steady
2 3 0.9944139719009399 492 532 631 566 component
2 3 0.9943110942840576 633 529 665 561 of
2 3 0.9999885559082031 665 532 717 559 this
2 3 0.9996926784515381 722 532 847 561 first-order
2 3 0.9657799005508423 849 532 910 559 flow.
2 3 0.999992847442627 915 527 973 564 The
2 3 0.6109923720359802 973 532 1046 559 latter
2 3 0.5523697733879089 1051 532 1148 559 sastifies
2 3 0.9999741315841675 1150 527 1198 564 the
2 3 0.9998762607574463 1200 532 1314 566 following
2 3 0.9994078874588013 1314 532 1356 561 set
2 3 0.999065101146698 1358 529 1390 561 of
2 3 0.9995130300521851 1392 532 1511 566 equations
3 0 0.9998658895492554 692 397 728 427 B.
3 0 0.9997147917747498 752 399 898 424 First-order
3 0 0.9995816349983215 902 397 1009 424 solution
4 0 0.4514908492565155 589 591 692 635 V.a)
4 0 0.3477018475532532 717 582 948 648 Iw.vya+
4 0 0.20798653364181519 938 596 1120 637 (a0..V)a),
5 0 0.9998611211776733 1511 598 1566 639 (57)
5 1 0.9995120763778687 1511 650 1566 692 (58)
6 0 0.30670031905174255 776 648 935 689 V-)=0,
7 0 0.9985974431037903 146 708 226 742 where
7 0 0.9968482851982117 227 710 334 744 complex
7 0 0.8200429677963257 337 710 458 744 conjugate
7 0 0.916918158531189 463 710 586 744 quantities
7 0 0.9448049068450928 587 714 634 740 are
7 0 0.9983993172645569 636 708 776 742 underlined.
7 0 0.9987221360206604 783 708 818 742 In
7 0 0.9933863282203674 818 710 865 742 the
7 0 0.9996482133865356 868 710 994 740 first-order
7 0 0.9998530149459839 996 710 1119 744 governing
7 0 0.9910395741462708 1122 710 1250 744 equations,
7 0 0.9995044469833374 1255 710 1301 742 the
7 0 0.9992383718490601 1301 712 1364 740 term
7 0 0.3385992646217346 1368 708 1416 744 (ul
7 0 0.2629449963569641 1426 705 1516 746 V)uo)
7 0 0.9993865489959717 1516 708 1566 742 has
7 1 0.9997268319129944 146 740 211 774 been
7 1 0.9997705817222595 214 742 321 776 dropped
7 1 0.9988090991973877 324 740 394 774 since
7 1 0.9997196793556213 395 740 450 774 this
7 1 0.998673677444458 453 744 518 772 term
7 1 0.9999244213104248 521 740 549 774 is
7 1 0.9540092349052429 555 742 746 776 time-dependent
7 1 0.9627032279968262 755 742 935 776 (dimensionless
7 1 0.9788606762886047 941 746 1059 774 frequency
7 1 0.9996469020843506 1066 737 1099 778 1)
7 1 0.9998726844787598 1101 740 1156 774 and
7 1 0.9851148724555969 1159 746 1200 774 we
7 1 0.8733428120613098 1203 746 1250 774 are
7 1 0.689897894859314 1251 742 1311 778 only
7 1 0.9859759211540222 1316 742 1439 769 interested
7 1 0.9994922876358032 1442 737 1477 776 in
7 1 0.9998207688331604 1481 742 1565 776 steady
8 0 0.9945564270019531 146 772 221 806 flows.
8 0 0.9939405918121338 227 774 353 808 Equations
8 0 0.9999608993530273 358 772 413 813 (57)
8 0 0.9998700618743896 413 772 466 806 and
8 0 0.6728342175483704 470 774 524 810 (58)
8 0 0.9982106685638428 528 776 589 804 have
8 0 0.9997262358665466 591 774 625 804 to
8 0 0.9999033212661743 625 774 662 804 be
8 0 0.9925259351730347 663 774 793 808 completed
8 0 0.9986728429794312 793 772 833 810 by
8 0 0.9989827275276184 831 772 881 806 the
8 0 0.7666431069374084 885 778 1001 806 boundary
8 0 0.9991508722305298 1006 776 1135 801 conditions
9 0 0.9998286962509155 174 989 253 1023 where
9 0 0.9999793767929077 255 991 302 1023 the
9 0 0.9974328875541687 303 989 418 1023 unknown
9 0 0.9966514706611633 421 991 528 1025 quantity
9 0 0.3609525263309479 529 989 581 1023 2y4)
9 0 0.9997937083244324 581 989 610 1023 is
9 0 0.9755330681800842 612 991 689 1018 linked
9 0 0.9999719858169556 692 991 725 1023 to
9 0 0.3238101899623871 723 989 762 1025 all
9 0 0.9998216032981873 762 989 801 1027 by
9 0 0.996880292892456 801 989 851 1025 the
9 0 0.9963110089302063 851 991 998 1025 relationship
10 0 0.99309903383255 172 1164 214 1203 In
10 0 0.9991260170936584 208 1169 277 1196 order
10 0 0.9999169111251831 279 1169 313 1199 to
10 0 0.9998416900634766 313 1169 395 1196 obtain
10 0 0.9999419450759888 398 1169 445 1201 the
10 0 0.9995837807655334 447 1169 573 1199 first-order
10 0 0.9983360171318054 573 1167 710 1199 translation
10 0 0.8368930816650391 712 1169 794 1203 speed,
10 0 0.9542755484580994 797 1176 835 1196 we
10 0 0.9842191338539124 835 1167 907 1201 could
10 0 0.9993579983711243 907 1169 952 1206 try
10 0 0.9998190999031067 952 1169 986 1199 to
10 0 0.9783676266670227 988 1169 1066 1196 derive
10 0 0.9959819316864014 1067 1169 1114 1201 the
10 0 0.9968536496162415 1112 1164 1162 1201 full
10 0 0.9941459894180298 1162 1169 1261 1203 velocity
10 0 0.997988224029541 1261 1167 1316 1201 and
10 0 0.9997833371162415 1316 1171 1389 1199 stress
10 0 0.999975323677063 1392 1169 1458 1196 fields
10 0 0.582622230052948 1460 1164 1511 1201 u)
10 0 0.9997596144676208 1513 1167 1566 1201 and
10 1 0.6007826328277588 146 1199 211 1233 a),
10 1 0.999883770942688 206 1199 261 1233 and
10 1 0.9990271329879761 261 1201 374 1235 integrate
10 1 0.9999618530273438 376 1201 423 1233 the
10 1 0.9997784495353699 421 1203 494 1231 stress
10 1 0.846912145614624 494 1206 554 1231 over
10 1 0.9914608001708984 554 1201 600 1233 the
10 1 0.9962816834449768 600 1201 697 1235 particle
10 1 0.9621820449829102 697 1199 789 1233 surface
10 1 0.9999873638153076 789 1201 822 1231 to
10 1 0.9999004602432251 823 1201 904 1228 obtain
10 1 0.9982499480247498 907 1201 954 1233 the
