block line confidence X1 Y1 X2 Y2 token
0 0 0.9995309114456177 1474 81 1505 109 70
1 0 0.9990367889404297 227 423 267 459 In
1 0 0.9996551275253296 265 423 333 464 fact,
1 0 0.9981695413589478 333 423 366 461 if
1 0 0.6185609102249146 363 427 431 468 ys,m
1 0 0.7979923486709595 433 425 464 464 €
1 0 0.4022941589355469 463 421 552 468 £1,3)
1 0 0.9999922513961792 554 423 602 459 for
1 0 0.998863697052002 604 431 680 457 some
1 0 0.5350860953330994 683 425 770 466 VP(k)
1 0 0.6644883155822754 770 425 805 466 5
1 0 0.8961392641067505 805 431 843 459 m
1 0 0.49534493684768677 845 429 876 459 A
1 0 0.3263697326183319 878 431 914 464 n,
1 0 0.9999934434890747 916 425 979 459 then
1 0 0.9999719858169556 982 425 1032 459 the
1 0 0.9995941519737244 1034 423 1084 459 PU
1 0 0.9955423474311829 1085 425 1180 466 packet
1 0 0.9999626874923706 1180 423 1213 461 is
1 0 0.9970169067382812 1215 425 1382 464 successfully
1 0 0.986707329750061 1386 425 1504 457 decoded
1 1 0.9980582594871521 194 481 235 519 in
1 1 0.9998605251312256 234 483 292 517 slot
1 1 0.9974085688591003 292 487 340 522 m;
1 1 0.8139632940292358 345 483 474 522 similarly,
1 1 0.9998313188552856 478 481 512 519 if
1 1 0.5195105075836182 512 489 577 524 ys,m
1 1 0.5565758943557739 582 487 610 519 E
1 1 0.31184983253479004 614 483 730 524 f5,6,7
1 1 0.9999992847442627 735 481 785 517 for
1 1 0.9986526966094971 786 489 863 515 some
1 1 0.5486987233161926 869 483 954 524 Vp(k)
1 1 0.6430569887161255 956 481 991 524 5
1 1 0.8151150941848755 992 489 1030 517 m
1 1 0.8052332401275635 1032 487 1069 519 <
1 1 0.48979464173316956 1062 487 1102 522 n,
1 1 0.9999927282333374 1105 483 1170 517 then
1 1 0.9998996257781982 1175 483 1225 517 the
1 1 0.9999662637710571 1228 481 1278 517 PU
1 1 0.9932830333709717 1283 483 1377 522 packet
1 1 0.9729917049407959 1384 487 1500 513 becomes
1 2 0.992135763168335 197 543 338 573 connected
1 2 0.9999673366546631 340 541 376 577 to
1 2 0.9999822378158569 376 541 426 575 the
1 2 0.9129247665405273 429 543 493 575 root
1 2 0.999994158744812 491 539 531 575 of
1 2 0.9999980926513672 531 541 581 575 the
1 2 0.9980655312538147 582 539 635 575 CD
1 2 0.999756395816803 639 541 728 582 graph.
1 2 0.9970953464508057 735 541 903 580 Specializing
1 2 0.9175131320953369 911 543 987 577 (151)
1 2 0.9999498128890991 989 541 1025 577 to
1 2 0.9997707009315491 1025 541 1084 575 this
1 2 0.9826739430427551 1085 547 1150 573 case
1 2 0.9978255033493042 1152 541 1208 575 and
1 2 0.9993639588356018 1211 541 1291 582 using
1 2 0.7325207591056824 1296 543 1382 580 (152),
1 2 0.9224643707275391 1382 545 1434 577 we
1 2 0.9998061060905457 1434 541 1504 573 need
2 0 0.999921441078186 194 599 234 635 to
2 0 0.9998713731765747 234 605 315 638 prove
2 0 0.9999872446060181 320 597 370 633 the
2 0 0.715729832649231 373 599 501 631 recursion
3 0 0.33385947346687317 838 749 884 784 53
4 0 0.9999414682388306 229 895 267 934 In
4 0 0.9878959655761719 267 895 333 936 fact,
4 0 0.9991589784622192 333 893 368 934 if
4 0 0.619996964931488 363 900 428 941 ys,n
4 0 0.40242087841033936 428 898 459 936 €E
4 0 0.6269024014472961 459 893 556 941 f1,2),
4 0 0.9999840259552002 557 895 607 932 the
4 0 0.9999710321426392 607 900 672 932 root
4 0 0.9999202489852905 670 893 705 934 is
4 0 0.9881227612495422 707 898 873 936 successfully
4 0 0.7716385722160339 878 898 996 930 decoded
4 0 0.8263633847236633 999 895 1054 930 and
4 0 0.9999868869781494 1057 895 1105 932 the
4 0 0.9977082014083862 1107 895 1163 934 full
4 0 0.9979363679885864 1163 895 1220 934 CD
4 0 0.9554160237312317 1221 898 1343 936 potential
4 0 0.999614953994751 1344 893 1379 934 is
4 0 0.9988870024681091 1379 895 1502 934 released,
5 0 0.9628860950469971 195 956 320 994 resulting
5 0 0.998672604560852 323 951 360 990 in
6 0 0.9999610185623169 229 1252 290 1286 The
6 0 0.9743598699569702 290 1261 353 1286 new
6 0 0.9998430013656616 353 1256 416 1289 root
6 0 0.9999988079071045 415 1252 456 1289 of
6 0 0.9999891519546509 454 1252 503 1289 the
6 0 0.9975428581237793 504 1252 557 1289 CD
6 0 0.9988848567008972 561 1256 640 1291 graph
6 0 0.5986050963401794 645 1254 766 1286 becomes
6 0 0.4545195400714874 773 1252 901 1293 ps(Sn+1)
6 0 0.9910776615142822 903 1258 937 1286 =
6 0 0.662763774394989 936 1254 1011 1289 n+1
6 0 0.9979677796363831 1014 1252 1089 1293 (new
6 0 0.9961728453636169 1089 1252 1138 1289 SU
6 0 0.9908401370048523 1142 1254 1253 1293 packet),
6 0 0.9998986721038818 1256 1254 1323 1286 with
6 0 0.9988824725151062 1324 1252 1377 1289 CD
6 0 0.9997690320014954 1381 1254 1502 1293 potential
7 0 0.3873111605644226 195 1316 285 1355 Us,n+1
7 0 0.9962145686149597 285 1314 327 1349 =
7 0 0.998289167881012 322 1310 355 1349 1,
7 0 0.541586697101593 356 1314 398 1349 sO
7 0 0.9999939203262329 398 1308 458 1349 that
8 0 0.9150378108024597 230 1609 381 1647 Otherwise,
8 0 0.9996551275253296 391 1609 441 1643 the
8 0 0.9994103908538818 449 1615 509 1641 root
8 0 0.9999512434005737 517 1607 557 1643 of
8 0 0.9988054037094116 562 1609 612 1643 the
8 0 0.9898989796638489 620 1609 675 1643 CD
8 0 0.9999240636825562 683 1609 766 1650 graph
8 0 0.9999171495437622 778 1613 886 1639 remains
8 0 0.9997950196266174 901 1613 1055 1645 unchanged,
8 0 0.5235825181007385 1069 1609 1196 1650 Ps(Sn+1)
8 0 0.9975945353507996 1211 1619 1243 1639 =
8 0 0.5712306499481201 1255 1609 1364 1650 ps(Sn),
8 0 0.9999189376831055 1374 1609 1441 1643 with
8 0 0.9993323683738708 1449 1609 1504 1643 CD
8 1 0.9891419410705566 197 1669 320 1708 potential
8 1 0.22119927406311035 325 1671 416 1710 Ns,n+1
8 1 0.9530460238456726 423 1675 459 1701 =
8 1 0.6407697796821594 463 1671 534 1712 Us,ns
8 1 0.9999070167541504 539 1667 595 1701 and
8 1 0.9951208233833313 602 1673 644 1701 no
8 1 0.9969533681869507 650 1667 702 1701 SU
8 1 0.999239444732666 707 1667 813 1708 packets
8 1 0.9994014501571655 820 1671 871 1703 are
8 1 0.9979369640350342 878 1669 1001 1701 decoded,
8 1 0.7766501307487488 1009 1673 1049 1701 SO
8 1 0.9997944235801697 1054 1667 1113 1701 that
8 1 0.7113458514213562 1122 1667 1223 1708 Ms,n+1
8 1 0.9447905421257019 1231 1673 1265 1699 =
8 1 0.47812411189079285 1273 1667 1354 1710 Msn.
8 1 0.9980000853538513 1361 1665 1394 1703 It
8 1 0.9942399263381958 1397 1665 1504 1703 follows
9 0 0.9999593496322632 195 1725 255 1759 that
10 0 0.962889552116394 194 2088 245 2122 May
10 0 0.9999141693115234 244 2090 282 2118 27,
10 0 0.9999144077301025 280 2090 332 2116 2020
11 0 0.9999698400497437 1424 2092 1504 2116 DRAFT
