block line confidence X1 Y1 X2 Y2 token
0 0 0.9999574422836304 325 257 358 298 4
0 0 0.9504032731056213 398 262 600 300 Algorithm
0 0 0.9997562766075134 612 262 770 302 analysis
0 1 0.9998169541358948 327 330 381 365 4.1
0 1 0.9995213747024536 413 330 556 369 Memory
0 1 0.9620895385742188 566 335 763 367 requirement
1 0 0.9985365867614746 368 384 405 416 In
1 0 0.9999722242355347 401 382 456 416 this
1 0 0.9980581402778625 458 386 554 418 section,
1 0 0.9994742274284363 557 388 597 414 we
1 0 0.9850136637687683 600 386 717 412 elaborate
1 0 0.995391845703125 720 388 757 414 on
1 0 0.9999628067016602 758 386 806 416 the
1 0 0.99952232837677 806 388 911 421 memory
1 0 0.9440799355506897 914 386 1074 418 consumption
1 0 0.9987916350364685 1075 384 1112 416 of
1 0 0.5362731218338013 1108 386 1153 414 the
1 0 0.9990886449813843 1158 386 1271 418 proposed
1 0 0.9987146854400635 1276 386 1371 412 method
1 1 0.9924823641777039 325 416 363 453 in
1 1 0.8137476444244385 363 421 506 453 comparison
1 1 0.9999719858169556 509 418 572 451 with
1 1 0.9995429515838623 579 421 700 446 SEAGLE.
1 1 0.9997710585594177 708 418 780 451 First,
1 1 0.9644408226013184 785 416 826 451 let
1 1 0.8663575053215027 828 423 863 451 us
1 1 0.9996566772460938 866 423 933 449 state
1 1 0.9999313354492188 936 418 996 451 that
1 1 0.57807457447052 1001 421 1105 453 gradient
1 1 0.999946117401123 1112 418 1185 451 based
1 1 0.9989230036735535 1191 423 1304 449 methods,
1 1 0.9998266100883484 1311 418 1372 451 such
1 2 0.98282790184021 327 457 360 483 as
1 2 0.9992905855178833 361 453 451 479 NAGD
1 2 0.9998565912246704 453 455 488 483 or
1 2 0.9965397119522095 489 451 544 485 CG,
1 2 0.9994114637374878 546 451 610 483 have
1 2 0.6765059232711792 612 451 700 483 similar
1 2 0.9959009289741516 702 455 808 487 memory
1 2 0.5734719038009644 811 453 979 485 requirements.
1 2 0.9999370574951172 986 451 1016 481 It
1 2 0.9816548824310303 1019 453 1165 485 corresponds
1 2 0.9999368190765381 1172 453 1268 485 roughly
1 2 0.999645471572876 1270 453 1303 483 to
1 2 0.9998212456703186 1304 451 1374 483 three
1 3 0.8538568019866943 330 487 400 513 times
1 3 0.9977090358734131 403 483 449 517 the
1 3 0.999775230884552 449 485 503 517 size
1 3 0.99920254945755 503 481 539 517 of
1 3 0.9998418092727661 537 483 584 517 the
1 3 0.7324509024620056 587 487 745 517 optimization
1 3 0.9970892071723938 750 487 850 513 variable
1 3 0.9997718930244446 854 483 929 517 which
1 3 0.9995576739311218 933 485 962 515 is
1 3 0.9989005327224731 962 483 1012 517 the
1 3 0.9992891550064087 1012 487 1070 519 part
1 3 0.9997815489768982 1074 483 1132 517 that
1 3 0.9995607733726501 1133 485 1162 515 is
1 3 0.998740017414093 1163 489 1271 515 common
1 3 0.9999349117279053 1275 485 1308 515 to
1 3 0.9998292922973633 1309 483 1374 515 both
1 4 0.7395750284194946 328 519 468 552 algorithms.
1 4 0.9999790191650391 473 515 531 550 The
1 4 0.7836319208145142 531 519 657 545 additional
1 4 0.9953966736793518 660 524 763 550 memory
1 4 0.5557295680046082 765 519 914 552 requirement
1 4 0.9999717473983765 914 517 974 550 that
1 4 0.9994528889656067 972 517 1001 550 is
1 4 0.9981371164321899 1001 519 1092 552 specific
1 4 0.99868243932724 1094 517 1125 547 to
1 4 0.9989138841629028 1128 519 1243 545 SEAGLE
1 4 0.9965002536773682 1246 519 1313 545 relies
1 4 0.9942261576652527 1314 517 1374 552 only
1 5 0.9993124008178711 327 556 365 582 on
1 5 0.9999481439590454 368 552 413 580 the
1 5 0.999983549118042 413 550 511 588 storage
1 5 0.9996911287307739 511 550 547 582 of
1 5 0.9996337890625 544 547 594 582 the
1 5 0.8154146075248718 595 552 683 577 NAGD
1 5 0.9990929365158081 690 554 785 580 iterates
1 5 0.9991668462753296 790 552 874 584 during
1 5 0.9999614953994751 876 547 926 582 the
1 5 0.9998441934585571 928 550 1025 582 forward
1 5 0.9285061359405518 1030 554 1193 584 computation.
1 5 0.9560588002204895 1206 552 1311 584 Suppose
1 5 0.9998985528945923 1314 550 1374 582 that
1 6 0.9994565844535828 328 586 423 618 KNAGD
1 6 0.6662780046463013 426 586 453 618 E
1 6 0.9959419369697571 451 584 481 616 N
1 6 0.770828127861023 484 586 600 612 iterations
1 6 0.9984887838363647 605 590 650 616 are
1 6 0.9902665019035339 652 590 771 616 necessary
1 6 0.9989995360374451 773 586 810 618 to
1 6 0.8549243211746216 810 590 918 616 compute.
1 6 0.9727951288223267 921 586 969 616 the
1 6 0.9999032020568848 971 586 1067 612 forward
1 6 0.6414164304733276 1072 586 1150 612 model
1 6 0.9996311664581299 1153 584 1215 616 with
1 6 0.9929696917533875 1216 582 1260 620 (9)
1 6 0.9992368221282959 1260 582 1314 616 and
1 6 0.9999362230300903 1314 584 1372 616 that
1 7 0.9999794960021973 327 616 375 650 the
1 7 0.9985449314117432 376 618 458 653 region
1 7 0.44458746910095215 458 616 488 648 2
1 7 0.9998098015785217 488 616 517 648 is
1 7 0.9915139079093933 519 618 622 650 sampled
1 7 0.9988283514976501 625 623 685 646 over
1 7 0.993110179901123 685 614 722 650 N
1 7 0.9434042572975159 717 612 778 653 EN
1 7 0.9991436004638672 778 618 853 653 pixels
1 7 0.5726960301399231 856 616 954 655 (voxels,
1 7 0.9998272061347961 956 618 987 648 in
1 7 0.9996914863586426 987 614 1050 655 3D).
1 7 0.9998946189880371 1052 616 1123 648 Since
1 7 0.9999517202377319 1125 616 1173 650 the
1 7 0.9997051358222961 1173 616 1238 648 total
1 7 0.6498851180076599 1241 616 1298 648 field
1 7 0.5539746284484863 1301 616 1374 657 u,(f)
1 8 0.996723473072052 328 653 451 685 computed
1 8 0.9998952150344849 453 648 491 687 by
1 8 0.9997650980949402 491 653 577 678 NAGD
1 8 0.9998571872711182 581 650 609 681 is
1 8 0.9880317449569702 610 653 806 685 complex-valued,
1 8 0.9984360337257385 808 650 871 683 each
1 8 0.9998799562454224 871 650 934 685 pixel
1 8 0.999742329120636 934 650 962 683 is
1 8 0.9914426207542419 962 653 1105 685 represented
1 8 0.9999043941497803 1107 650 1170 683 with
1 8 0.9998181462287903 1170 650 1206 683 16
1 8 0.9999336004257202 1206 650 1275 685 bytes
1 8 0.9772735238075256 1278 650 1372 683 (double
1 9 0.9944062232971191 328 685 439 717 precision
1 9 0.9999998807907104 443 681 488 715 for
1 9 0.9703099727630615 489 687 597 713 accurate
1 9 0.9808163046836853 604 687 788 717 computations).
1 9 0.9883242845535278 801 685 889 717 Hence,
1 9 0.9999727010726929 894 685 942 715 the
1 9 0.9979740977287292 946 685 1064 711 difference
1 9 0.9999663829803467 1069 683 1102 713 of
1 9 0.9803798198699951 1105 691 1206 717 memory
1 9 0.9921309351921082 1213 685 1371 717 consumption
2 0 0.9985692501068115 330 719 429 745 between
2 0 0.9980472326278687 436 719 552 745 SEAGLE
2 0 0.9994468092918396 554 715 607 747 and
2 0 0.9995095729827881 607 721 659 747 our
2 0 0.9998177886009216 660 719 755 745 method
2 0 0.9996895790100098 758 717 786 747 is
3 0 0.9995686411857605 370 865 446 898 which
3 0 0.9553656578063965 451 867 599 900 corresponds
3 0 0.9999456405639648 604 870 639 898 to
3 0 0.9998593330383301 640 865 690 900 the
3 0 0.69347083568573 692 870 785 902 storage
3 0 0.9980522394180298 786 863 825 900 of
3 0 0.9999451637268066 823 865 871 900 the
3 0 0.999484658241272 878 867 969 900 KNAGD
3 0 0.9729668498039246 976 865 1135 898 intermediate
3 0 0.9994219541549683 1140 865 1236 898 iterates
3 0 0.9999213218688965 1240 865 1273 895 of
3 0 0.9982030391693115 1275 865 1371 898 NAGD.
3 1 0.9991912245750427 328 900 398 932 Here,
3 1 0.9995521903038025 400 904 439 930 we
3 1 0.9590275287628174 441 902 546 928 assumed
3 1 0.9965407252311707 549 900 609 932 that
3 1 0.9905911087989807 609 900 665 932 VD
3 1 0.9997615218162537 665 904 717 930 was
3 1 0.9989142417907715 718 902 841 934 computed
3 1 0.9993181228637695 843 898 881 936 by
3 1 0.8398051857948303 881 902 1029 934 sequentially
3 1 0.99201899766922 1030 898 1122 936 adding
3 1 0.9999821186065674 1120 898 1168 932 the
3 1 0.989733874797821 1167 898 1256 936 partial
3 1 0.9518900513648987 1258 902 1372 934 gradients
3 2 0.9819351434707642 327 930 396 971 VDp
3 2 0.9986099004745483 398 934 524 960 associated
3 2 0.9995120763778687 524 934 559 962 to
3 2 0.9999146461486816 559 934 607 964 the
3 2 0.7711784839630127 607 932 635 962 P
3 2 0.9988419413566589 634 934 735 960 incident
3 2 0.582291305065155 738 932 813 964 fields.
3 2 0.9941805601119995 818 934 906 966 Hence,
3 2 0.9414674043655396 906 934 972 966 once
3 2 0.9983634352684021 971 934 1016 962 the
3 2 0.9885728359222412 1017 934 1104 966 partial
3 2 0.9957658052444458 1105 934 1210 966 gradient
3 2 0.9757458567619324 1210 932 1341 964 associated
3 2 0.998764157295227 1341 934 1374 964 to
3 3 0.8093756437301636 327 971 378 996 one.
3 3 0.9953644275665283 380 968 481 994 incident
