block line confidence X1 Y1 X2 Y2 token
0 0 0.9999536275863647 1543 75 1567 109 6
1 0 0.8929389715194702 874 143 946 184 V=
1 0 0.8657880425453186 937 148 1004 182 Vo+
1 0 0.9778926968574524 1004 148 1082 182 Vsoc,
1 0 0.9979528188705444 1087 146 1125 184 Vo
1 0 0.362228661775589 1123 152 1155 182 a
1 0 0.8365432620048523 1153 150 1191 186 Vo
1 0 0.9775311350822449 1191 146 1268 186 being
1 0 0.9999101161956787 1268 146 1316 180 the
1 0 0.9997771382331848 1316 148 1394 180 scalar
1 0 0.9756895303726196 1397 150 1509 182 potential
1 0 0.9998488426208496 1512 146 1565 180 and
1 1 0.9909359812736511 878 180 951 214 Vsoc
1 1 0.9800789952278137 951 182 987 214 =
1 1 0.997531533241272 982 180 1022 214 Vi
1 1 0.9922804832458496 1017 180 1052 216 +
1 1 0.9954596161842346 1049 180 1092 216 VR
1 1 0.9999735355377197 1092 178 1142 212 the
1 1 0.9908363819122314 1142 180 1208 212 SOC
1 1 0.9999531507492065 1210 182 1268 216 part
1 1 1.0 1271 180 1304 210 of
1 1 0.9999899864196777 1303 178 1351 212 the
1 1 0.9943761825561523 1354 182 1474 214 potential.
1 1 0.9998843669891357 1480 178 1519 214 In
1 1 0.9999011754989624 1519 182 1567 212 the
1 2 0.9968121647834778 878 210 942 242 limit
1 2 0.9982810020446777 944 210 1024 242 where
1 2 0.9987742304801941 1025 210 1062 247 Vo
1 2 0.4940703511238098 1060 214 1095 242 f
1 2 0.9851065874099731 1100 212 1178 247 Vsoc,
1 2 0.999885082244873 1182 208 1228 244 the
1 2 0.9374781847000122 1231 214 1329 240 solution
1 2 0.999945878982544 1334 212 1367 242 to
1 2 0.998997151851654 1369 210 1417 247 Eq.
1 2 0.9078400135040283 1421 210 1477 249 (35)
1 2 0.9961344003677368 1479 216 1527 242 can
1 2 0.9997966885566711 1529 208 1567 244 be
2 0 0.9969262480735779 879 242 987 281 (loosely)
2 0 0.9992306232452393 991 242 1085 275 written
2 0 0.9990643858909607 1085 249 1127 275 as:
3 0 0.9998795986175537 904 472 984 504 where
3 0 0.9977218508720398 984 472 1032 507 the
3 0 0.9686464667320251 1030 472 1084 504 last
3 0 0.997319757938385 1085 479 1211 504 expression
3 0 0.9989094734191895 1216 472 1308 511 applies
3 0 0.9999842643737793 1309 476 1341 504 to
3 0 0.9999516010284424 1341 472 1389 507 the
3 0 0.9874326586723328 1387 470 1457 511 large
3 0 0.9964436888694763 1455 470 1492 511 Vo
3 0 0.9907767176628113 1494 472 1555 504 limit
3 1 0.9998704195022583 876 504 954 539 Thus,
3 1 0.9991534948348999 959 507 992 537 to
3 1 0.9997230172157288 999 507 1092 539 leading
3 1 0.9989199638366699 1095 507 1175 539 order,
3 1 0.999943733215332 1183 507 1228 534 the
3 1 0.8182446360588074 1233 511 1301 537 cross
3 1 0.9988635778427124 1303 504 1396 537 section
3 1 0.2664795219898224 1399 500 1450 545 Pir
3 1 0.9994295239448547 1455 504 1484 537 is
3 1 0.9996362924575806 1485 504 1548 537 deter
3 2 0.9841826558113098 878 537 957 569 mined
3 2 0.9796104431152344 959 537 1001 573 by
3 2 0.9999212026596069 1001 534 1050 569 the
3 2 0.9830958843231201 1050 537 1107 569 first
3 2 0.9897167086601257 1110 541 1173 567 term
3 2 0.9999682903289795 1177 537 1210 567 of
3 2 0.9999760389328003 1210 534 1258 569 the
3 2 0.7688945531845093 1260 537 1324 571 right
3 2 0.9992955923080444 1329 539 1457 571 hand-side,
3 2 0.9994993209838867 1464 537 1548 569 wherea
3 3 0.853725254535675 874 569 908 608 9
3 3 0.9996384382247925 901 569 931 601 is
3 3 0.9952227473258972 931 569 1072 601 determined
