block line confidence X1 Y1 X2 Y2 token
0 0 0.9419134855270386 1128 305 1165 337 11
1 0 0.9998708963394165 313 472 393 504 where
1 0 0.9996302127838135 391 470 466 511 again
1 0 0.8716586828231812 464 479 506 504 we
1 0 0.9985182881355286 504 472 567 504 have
1 0 0.8277064561843872 567 472 674 511 dropped
1 0 0.9934737086296082 674 472 722 507 the
1 0 0.8814729452133179 722 474 836 507 subscript
1 0 0.9999934434890747 836 470 873 507 of
1 0 0.992416262626648 869 470 904 507 N
1 0 0.9989620447158813 899 472 941 507 on
1 0 0.6297225952148438 937 461 1006 504 ahj
1 0 0.9995043277740479 1004 474 1040 507 to
1 0 0.9963969588279724 1037 472 1140 504 indicate
1 0 0.9991864562034607 1142 479 1182 504 we
1 0 0.9996387958526611 1180 472 1245 504 have
1 0 0.9996727705001831 1243 472 1318 504 taken
1 0 0.9999748468399048 1316 470 1366 504 the
1 0 0.9974714517593384 1364 472 1429 504 limit
2 0 0.7444412112236023 270 515 375 554 ofN
2 0 0.9431406259536743 371 522 416 556 00,
2 0 0.9992768168449402 415 517 471 552 and
2 0 0.965255081653595 469 524 511 550 we
2 0 0.9994745850563049 512 522 589 547 define
3 0 0.8739096522331238 317 659 363 696 Z
4 0 0.9987572431564331 315 786 383 812 Then
4 0 0.781324028968811 383 788 425 814 we
4 0 0.9988849759101868 423 784 483 816 take
4 0 0.999893307685852 481 782 529 816 the
4 0 0.9990204572677612 526 782 594 822 large
4 0 0.9934985637664795 592 782 614 816 i
4 0 0.9726845026016235 610 782 675 814 limit
4 0 0.9988412261009216 672 779 708 816 of
4 0 0.13763050734996796 707 777 856 809 xih,3i+5h-K.
4 0 0.9950059056282043 871 786 1004 818 Redefining
4 0 0.6741986274719238 1002 784 1027 820 @
4 0 0.9610267281532288 1024 786 1055 816 =
4 0 0.44052818417549133 1052 779 1152 820 qyPu-6,
4 0 0.9991877675056458 1152 782 1275 820 removing
4 0 0.4190496504306793 1275 779 1427 818 (1-q1/2)-1,
5 0 0.9999188184738159 272 829 325 861 and
5 0 0.9910891056060791 327 831 396 865 using
5 0 0.9871649742126465 401 827 473 867 (B.2),
5 0 0.9976592063903809 478 835 517 861 we
5 0 0.9999133348464966 519 829 602 861 obtain
6 0 0.9655022621154785 313 1142 395 1175 where
6 0 0.8369430303573608 393 1149 434 1175 we
6 0 0.9693710803985596 434 1142 514 1175 define
7 0 0.25899556279182434 587 1183 825 1231 22226)u
7 0 0.20008470118045807 818 1185 1115 1224 =y*0ww)-1
8 0 0.9992641806602478 1348 1190 1426 1224 (B.34)
9 0 0.211335226893425 587 1226 624 1254 E,l'
10 0 0.9985951781272888 272 1276 366 1314 Finally
10 0 0.9375285506248474 366 1282 408 1310 we
10 0 0.9997711777687073 408 1278 499 1310 rewrite
10 0 0.9248695969581604 504 1274 581 1314 (B.33)
10 0 0.983228862285614 586 1276 627 1319 by
10 0 0.9779208302497864 627 1280 728 1312 defining
10 0 0.9804217219352722 728 1282 757 1312 a
10 0 0.8880987763404846 753 1282 786 1310 =
10 0 0.7443518042564392 781 1274 853 1316 uy-2
10 0 0.9998177886009216 853 1280 889 1312 to
10 0 0.999909520149231 884 1280 933 1316 get
11 0 0.3602115213871002 820 1546 888 1596 -
12 0 0.9984336495399475 313 1658 393 1690 where
12 0 0.9975671768188477 393 1662 434 1690 we
12 0 0.9325228333473206 434 1658 514 1690 define
13 0 0.8758155703544617 451 1798 499 1834 Z,
14 0 0.9992306232452393 830 1974 871 2010 40
