block line confidence X1 Y1 X2 Y2 token
0 0 0.996044933795929 1079 158 1128 193 VI.
0 0 0.9986659288406372 1137 165 1329 189 CONCLUSION
1 0 0.9931568503379822 888 204 926 240 In
1 0 0.9858173727989197 919 206 971 238 this
1 0 0.9974799752235413 971 212 1045 244 paper,
1 0 0.9998916387557983 1044 210 1069 238 a
1 0 0.9368346929550171 1067 212 1122 238 new
1 0 0.9988716244697571 1123 208 1230 240 approach
1 0 0.9999434947967529 1231 208 1263 238 to
1 0 0.9989668130874634 1266 212 1362 238 generate
1 0 0.7314212918281555 1367 208 1490 240 algorithms
1 0 0.9997643828392029 1494 206 1552 238 with
1 1 0.9848218560218811 863 238 949 270 chaotic
1 1 0.9971309304237366 956 242 1067 268 behaviors
1 1 0.9993706345558167 1074 240 1104 270 is
1 1 0.9977591037750244 1108 240 1221 272 proposed.
1 1 0.9998875856399536 1228 238 1286 270 This
1 1 0.9990959167480469 1293 240 1399 272 approach
1 1 0.9970236420631409 1406 240 1434 270 is
1 1 0.9993849992752075 1437 238 1510 270 based
1 1 0.9999699592590332 1514 242 1550 270 on
1 2 0.9998342990875244 861 275 904 302 the
1 2 0.860238254070282 904 272 1040 302 well-known
1 2 0.9850436449050903 1044 275 1163 307 Devaney's
1 2 0.8311666250228882 1167 275 1294 307 topological
1 2 0.9993956089019775 1298 275 1371 300 chaos.
1 2 0.9865282773971558 1372 272 1426 305 The
1 2 0.9872135519981384 1427 275 1548 307 algorithms
1 3 0.9972953200340271 861 305 937 337 which
1 3 0.9987121820449829 944 311 987 337 are
1 3 0.9999786615371704 994 305 1027 335 of
1 3 0.9977319240570068 1035 307 1128 333 iterative
1 3 0.956233024597168 1138 309 1215 335 nature
1 3 0.5455421805381775 1221 311 1265 337 are
1 3 0.9949209094047546 1271 305 1343 337 based
1 3 0.9996236562728882 1349 311 1386 337 on
1 3 0.9908577799797058 1394 307 1436 335 the
1 3 0.9950764775276184 1442 305 1552 337 so-called
1 4 0.9970124959945679 863 341 947 367 chaotic
1 4 0.9952078461647034 951 341 1064 367 iterations.
1 4 0.9999542236328125 1067 339 1127 371 This
1 4 0.9998239874839783 1125 339 1153 371 is
1 4 0.9998183846473694 1155 341 1255 367 achieved
1 4 0.9999219179153442 1258 339 1296 375 by
1 4 0.9938980937004089 1296 341 1434 373 establishing
1 4 0.9999117851257324 1436 345 1455 369 a
1 4 0.9507386684417725 1455 339 1509 371 link
1 4 0.9983872175216675 1505 337 1552 371 be-
1 5 0.9990274906158447 863 375 934 401 tween
1 5 0.9999856948852539 934 373 976 401 the
1 5 0.9997885823249817 979 375 1064 401 notions
1 5 0.9999885559082031 1065 373 1099 403 of
1 5 0.9770246744155884 1097 373 1225 406 topological
1 5 0.9988914132118225 1228 371 1299 403 chaos
1 5 0.9998520612716675 1298 373 1346 403 and
1 5 0.9972009658813477 1348 375 1431 401 chaotic
1 5 0.9978944659233093 1434 371 1548 403 iterations.
1 6 0.9993401169776917 861 406 919 438 This
1 6 0.9992362260818481 923 406 951 436 is
1 6 0.9986757636070251 954 403 999 438 the
1 6 0.998578667640686 1001 403 1055 438 first
1 6 0.8598248958587646 1057 406 1115 438 time
1 6 0.9999349117279053 1118 403 1172 438 that
1 6 0.9991607666015625 1173 406 1233 438 such
1 6 0.9945344924926758 1236 410 1273 438 an
1 6 0.9993470311164856 1278 408 1386 440 approach
1 6 0.9997166991233826 1391 406 1419 438 is
1 6 0.5832164883613586 1424 408 1548 433 considered
1 7 1.0 863 440 903 468 for
1 7 0.9990023970603943 904 440 989 466 chaotic
1 7 0.9890857338905334 994 442 1107 466 iterations.
1 7 0.7025925517082214 1110 436 1201 474 Indeed,
1 7 0.99006187915802 1203 446 1241 466 we
1 7 0.9992458820343018 1245 446 1284 466 are
1 7 0.9998767375946045 1286 442 1331 468 not
1 7 0.9988346695899963 1333 440 1444 466 interested
1 7 0.9994749426841736 1447 438 1477 470 in
1 7 0.9944016337394714 1477 438 1552 470 stable
1 8 0.9999409914016724 861 472 931 504 states
1 8 0.9999967813491821 931 472 964 500 of
1 8 0.9970822930335999 962 470 1022 502 such
1 8 0.8386349678039551 1024 474 1132 500 iterations
1 8 0.9999135732650757 1133 474 1167 502 as
1 8 0.9998832941055298 1163 470 1190 502 it
1 8 0.9993475079536438 1188 470 1236 504 has
1 8 0.9998633861541748 1236 472 1318 507 always
1 8 0.9986827969551086 1321 474 1379 500 been
1 8 0.9985270500183105 1377 470 1424 504 the
1 8 0.9365161061286926 1422 476 1479 502 case
1 8 0.999881386756897 1479 470 1509 502 in
1 8 0.97340989112854 1507 470 1553 504 the
1 9 0.7524755001068115 866 509 974 534 literature,
1 9 0.9984726309776306 977 504 1025 539 but
1 9 0.9998996257781982 1025 504 1055 534 in
1 9 0.9999638795852661 1057 504 1118 537 their
1 9 0.9982662796974182 1123 507 1278 539 unpredictable
1 9 0.9955897331237793 1284 507 1391 532 behavior.
1 9 0.9999746084213257 1396 504 1464 537 After
1 9 0.9997729659080505 1464 509 1489 537 a
1 9 0.9997319579124451 1489 504 1552 537 solid
1 10 0.8203805685043335 864 541 982 567 theoretical
1 10 0.9996302127838135 986 539 1057 573 study,
1 10 0.9827121496200562 1057 543 1097 569 we
1 10 0.9989575147628784 1099 541 1196 567 consider
1 10 0.9999939203262329 1196 537 1240 571 the
