block line confidence X1 Y1 X2 Y2 token
0 0 0.9999648332595825 295 208 340 234 not
0 0 0.9987803101539612 341 206 446 232 saturated
0 0 0.9997913241386414 448 201 486 240 by
0 0 0.7857263684272766 488 204 595 236 ResANN
0 0 0.9995113611221313 597 201 642 238 26,
0 0 0.9999843835830688 640 201 685 236 the
0 0 0.9999749660491943 685 204 753 238 delay
0 0 0.9994271993637085 755 208 846 240 appears
0 0 0.7522650361061096 851 206 976 238 significant.
0 0 0.8251243829727173 987 204 1072 236 Hence,
0 0 0.7995027899742126 1075 206 1168 232 EANNS
0 0 0.722405731678009 1170 208 1228 240 may
0 0 0.9989720582962036 1228 208 1273 234 not
0 0 0.995142936706543 1273 204 1309 236 be
0 0 0.9999759197235107 1308 201 1351 236 the
0 0 0.9999781847000122 1349 204 1406 236 best
0 1 0.9998496770858765 295 234 365 266 when
0 1 0.9984275102615356 361 232 406 266 the
0 1 0.9223018288612366 406 236 552 268 performance
0 1 0.9996389150619507 549 234 579 266 is
0 1 0.9998973608016968 576 238 620 264 not
0 1 0.9957495927810669 620 236 723 262 saturated
0 1 0.9999542236328125 725 238 758 266 or
0 1 0.9994497895240784 757 236 821 262 when
0 1 0.999970555305481 820 232 866 266 the
0 1 0.991454005241394 863 238 961 262 constant
0 1 0.8873310685157776 966 236 1054 262 fraction
0 1 0.9999994039535522 1055 234 1087 264 of
0 1 0.9994857311248779 1085 238 1147 264 extra
0 1 0.9892155528068542 1147 238 1200 264 cost
0 1 0.6640354990959167 1196 234 1226 266 is
0 1 0.9988746047019958 1225 236 1313 262 critical.
0 2 0.9527626037597656 293 333 332 369 In
0 2 0.9994902610778809 328 335 378 371 Fig.
0 2 0.6054409146308899 378 333 420 369 5c
0 2 0.9682537913322449 425 339 466 365 we
0 2 0.9999239444732666 466 335 517 369 plot
0 2 0.9999098777770996 517 333 562 367 the
0 2 0.6883842945098877 562 333 620 367 final
0 2 0.9845429062843323 622 337 725 363 AdaLoss
0 2 0.9995251893997192 730 337 821 369 weights
0 2 0.9999953508377075 825 335 856 365 of
0 2 0.9999544620513916 854 333 899 367 the
0 2 0.9859645366668701 899 339 964 365 same
0 2 0.9981088638305664 967 337 1072 363 ResANN
0 2 0.9954071044921875 1079 337 1153 363 model
0 2 0.997572124004364 1155 333 1245 371 (25,32)
0 2 0.9998934268951416 1245 339 1281 365 on
0 2 0.9936395287513733 1283 335 1404 367 CIFAR10,
0 3 0.5192161202430725 297 365 429 397 CIFAR100,
0 3 0.9997997879981995 431 365 483 397 and
0 3 0.9990033507347107 483 363 574 401 SVHN,
0 3 0.9999063014984131 574 365 604 397 in
0 3 0.9996104836463928 604 365 674 397 order
0 3 0.999962568283081 672 367 702 397 to
0 3 0.9998736381530762 703 367 771 399 study
0 3 0.9996007084846497 771 367 813 395 the
0 3 0.9995813965797424 816 367 893 393 effects
0 3 0.9995649456977844 896 365 933 397 of
0 3 0.9999752044677734 929 367 971 395 the
0 3 0.9910966157913208 974 369 1075 395 data-sets
0 3 0.9999701976776123 1077 369 1113 397 on
0 3 0.5891749262809753 1115 367 1155 395 the
0 3 0.9993917942047119 1158 367 1256 399 weights.
0 3 0.9999524354934692 1263 363 1311 397 We
0 3 0.9931377172470093 1313 369 1402 395 observe
0 4 0.9993587136268616 295 395 348 427 that
0 4 0.9998140931129456 345 395 406 427 from
0 4 0.9999881982803345 406 397 446 425 the
0 4 0.9997413754463196 448 399 527 425 easiest
0 4 0.9990677237510681 531 399 625 425 data-set,
0 4 0.9951801300048828 629 397 717 429 SVHN,
0 4 0.9996429681777954 717 399 748 427 to
0 4 0.996895432472229 747 397 788 425 the
