block line confidence X1 Y1 X2 Y2 token
0 0 0.9998924732208252 214 205 298 232 Where
0 0 0.9829795360565186 303 198 329 235 A
0 0 0.9999001026153564 331 203 360 235 is
0 0 0.9996830224990845 358 201 407 237 the
0 0 0.9995311498641968 408 205 500 232 median
0 0 0.9985986351966858 500 201 539 237 of
0 0 0.9998394250869751 534 201 584 237 the
0 0 0.9861692190170288 584 205 692 232 available
0 0 0.8321783542633057 697 205 793 239 images.
1 0 0.9999748468399048 211 246 269 280 The
1 0 0.9438841342926025 272 246 416 280 subtraction
1 0 0.9898262023925781 416 244 455 283 of
1 0 0.999963641166687 452 246 502 280 the
1 0 0.9984228610992432 505 251 570 278 main
1 0 0.9957203269004822 578 253 678 280 dazzling
1 0 0.999183714389801 684 248 768 287 object
1 0 0.9987152814865112 770 251 804 280 to
1 0 0.7060974836349487 807 251 902 278 observe
1 0 0.9997997879981995 906 246 956 280 the
1 0 0.9998217225074768 957 246 1020 280 faint
1 0 0.9993639588356018 1024 251 1159 283 companion
1 0 0.9942461848258972 1166 253 1217 280 was
1 0 0.9991602897644043 1221 248 1316 283 already
1 0 0.8796021938323975 1321 248 1437 283 improved
1 0 0.9944281578063965 1442 246 1481 287 by
1 0 0.9934666752815247 1482 246 1531 283 the
1 1 0.9944888353347778 172 280 248 315 LOCI
1 1 0.337887704372406 250 278 492 319 algorithnldividing
1 1 0.7356665134429932 495 283 583 317 images
1 1 0.9996556043624878 583 278 618 317 in
1 1 0.9993780851364136 618 283 760 315 subsections
1 1 0.9998183846473694 762 280 817 315 and
1 1 0.9650517106056213 818 283 944 317 obtaining,
1 1 0.9999878406524658 948 280 990 317 for
1 1 0.9998921155929565 990 280 1051 315 each
1 1 0.9957841038703918 1053 283 1190 317 subsection,
1 1 0.9746103882789612 1192 285 1219 317 a
1 1 0.9986253976821899 1217 280 1293 315 linear
1 1 0.9943548440933228 1295 285 1448 310 combination
1 1 0.9999980926513672 1452 280 1484 312 of
1 1 0.9999284744262695 1484 278 1532 315 the
1 2 0.9996247291564941 172 317 284 344 reference
1 2 0.7672476768493652 289 317 377 351 images
1 2 0.9995477795600891 381 317 458 344 whose
1 2 0.9983249306678772 461 315 604 347 subtraction
1 2 0.9866014122962952 608 317 668 344 from
1 2 0.9999688863754272 670 312 720 349 the
1 2 0.9987207055091858 720 317 801 351 target
1 2 0.7364432215690613 802 317 881 351 image
1 2 0.6980150938034058 881 312 935 349 will
1 2 0.9685750603675842 936 317 1049 344 minimize
1 2 0.999953031539917 1051 312 1101 349 the
1 2 0.9985598921775818 1101 317 1174 344 noise.
1 2 0.9999005794525146 1179 312 1237 347 The
1 2 0.9806295037269592 1238 315 1382 347 subtraction
1 2 0.9996935129165649 1384 322 1437 347 was
1 2 0.9300092458724976 1437 310 1532 351 further
