block line confidence X1 Y1 X2 Y2 token
0 0 0.9281657338142395 195 141 227 169 30
1 0 0.9773210883140564 456 143 579 167 CHEN-YUN
1 0 0.9978455305099487 581 143 632 169 LIN,
1 0 0.9905545115470886 632 143 695 167 ARIN
1 0 0.8996468782424927 698 143 823 169 MINASIAN,
1 0 0.9946335554122925 821 139 873 171 XIN
1 0 0.9723919034004211 873 143 967 167 JESSICA
1 0 0.8852380514144897 967 139 1011 174 QI,
1 0 0.9374426603317261 1009 143 1065 169 AND
1 0 0.9989386200904846 1067 143 1200 167 HAU-TIENG
1 0 0.9848384857177734 1201 141 1246 169 WU
2 0 0.9984500408172607 546 614 586 650 (a)
2 0 0.9992392063140869 586 616 677 648 Original
2 0 0.9976473450660706 677 616 747 648 image
3 0 0.6534225940704346 835 614 878 650 (b)
3 0 0.5448184013366699 876 616 942 648 Noisy
3 0 0.9798911213874817 942 616 1017 648 image,
3 0 0.5718497037887573 1020 618 1090 644 PSNR
3 0 0.9941878318786621 1090 618 1120 644 =
3 0 0.9997828602790833 1120 618 1185 644 13.55,
3 0 0.9969473481178284 1187 614 1245 646 SNR
4 0 0.9335840344429016 843 642 914 674 5.23
5 0 0.8475345373153687 237 1095 277 1132 (c)
5 0 0.789864718914032 280 1100 361 1125 NLEM,
5 0 0.9745647311210632 371 1100 441 1123 PSNR
5 0 0.9911620616912842 449 1102 476 1125 =
5 0 0.9997482895851135 481 1100 547 1125 25.68,
5 0 0.9954068660736084 556 1095 614 1127 SNR
5 0 0.9972668886184692 620 1102 647 1125 =
5 0 0.9831221699714661 645 1095 687 1130 (d)
5 0 0.9202756285667419 690 1100 788 1125 VNLEM,
5 0 0.9586837887763977 795 1100 866 1125 PSNR
5 0 0.9754377007484436 868 1100 898 1125 =
5 0 0.9231289029121399 898 1100 964 1125 25.48,
5 0 0.433000773191452 967 1095 1027 1127 SNR
5 0 0.9978072047233582 1025 1100 1055 1125 =
5 0 0.7537268400192261 1054 1095 1094 1132 (e)
5 0 0.8599432706832886 1094 1097 1238 1127 VNLEM-DD,
5 0 0.6941273808479309 1241 1100 1311 1123 PSNR
5 0 0.9901794195175171 1309 1100 1339 1125 =
5 0 0.9994338154792786 1339 1100 1404 1125 25.54,
5 0 0.9528833031654358 1404 1095 1464 1127 SNR
6 0 0.9996188879013062 240 1127 305 1153 17.36,
6 0 0.9992116689682007 307 1125 371 1151 FSIM
6 0 0.9882752895355225 373 1130 400 1153 =
6 0 0.9997337460517883 398 1127 459 1153 0.952
7 0 0.999288022518158 649 1127 713 1153 17.16,
7 0 0.974580705165863 713 1123 783 1155 FSIM
7 0 0.9926161766052246 778 1127 810 1153 =
7 0 0.9815277457237244 806 1127 868 1153 0.944
8 0 0.9523183107376099 1057 1125 1150 1158 =17.21,
8 0 0.9971312284469604 1148 1123 1216 1155 FSIM
8 0 0.9950577020645142 1216 1130 1243 1153 =
8 0 0.9996906518936157 1241 1127 1303 1153 0.943
9 0 0.3295578956604004 230 1555 268 1591 (F)
9 0 0.9936360120773315 268 1557 351 1589 NLEM,
9 0 0.9839973449707031 353 1559 463 1585 difference,
9 0 0.9998044371604919 463 1555 521 1587 SOB
9 0 0.9950487017631531 517 1559 547 1585 =
9 0 0.9997188448905945 546 1559 607 1585 0.033
9 0 0.9787375926971436 650 1555 692 1591 (g)
9 0 0.9984192848205566 692 1557 793 1589 VNLEM,
9 0 0.9157748818397522 795 1559 903 1585 difference,
9 0 0.9994900226593018 903 1555 962 1587 SOB
9 0 0.9877452254295349 959 1559 989 1585 =
9 0 0.9937390089035034 987 1559 1049 1585 0.042
9 0 0.5958505272865295 1065 1555 1107 1591 (h)
9 0 0.8867756724357605 1113 1557 1258 1587 VNLEM-DD,
9 0 0.9996281862258911 1275 1559 1382 1585 difference,
9 0 0.9992514252662659 1399 1555 1459 1587 SOB
9 0 0.9898724555969238 1470 1564 1495 1583 =
10 0 0.9961910247802734 1067 1585 1127 1611 0.044
11 0 0.9997568726539612 635 1650 738 1682 FIGURE
11 0 0.9998214840888977 740 1652 785 1680 11.
11 0 0.9275344610214233 795 1652 906 1684 Example
11 0 0.9995255470275879 909 1650 937 1680 4:
11 0 0.9999651908874512 941 1647 989 1682 the
11 0 0.9971892237663269 989 1650 1064 1682 clock.
12 0 0.9995371103286743 230 1744 328 1776 Second,
12 0 0.9998700618743896 328 1742 443 1781 although
12 0 0.9988501071929932 443 1742 489 1776 the
12 0 0.9943637847900391 491 1746 597 1772 manifold
12 0 0.9607024788856506 602 1746 679 1772 model
12 0 0.9991428852081299 679 1742 728 1776 has
12 0 0.9998461008071899 728 1746 790 1772 been
12 0 0.9921388030052185 791 1744 874 1776 widely
12 0 0.997250497341156 874 1742 987 1781 accepted
12 0 0.9995941519737244 986 1744 1017 1774 in
12 0 0.9982057809829712 1016 1742 1065 1776 the
12 0 0.9956022500991821 1064 1744 1127 1776 field,
12 0 0.9999310970306396 1127 1742 1180 1776 and
12 0 0.9992777705192566 1178 1748 1228 1774 our
12 0 0.6109808087348938 1228 1744 1349 1776 algorithm
12 0 0.9998252987861633 1348 1740 1379 1778 is
12 0 0.9996281862258911 1374 1742 1431 1776 also
12 0 0.9992284774780273 1429 1742 1504 1774 based
12 1 0.9993127584457397 195 1781 235 1808 on
12 1 0.999915361404419 237 1778 285 1808 the
12 1 0.9913215041160583 287 1778 396 1804 manifold
12 1 0.9666417241096497 403 1778 526 1811 structure,
12 1 0.9999451637268066 529 1776 557 1806 it
12 1 0.9995362758636475 559 1776 587 1808 is
12 1 0.9963566064834595 591 1778 702 1811 certainly
12 1 0.99887615442276 708 1778 816 1811 arguable
12 1 0.9999843835830688 820 1776 848 1806 if
12 1 0.9998992681503296 846 1776 878 1806 in
12 1 0.9994850158691406 883 1778 976 1811 general
12 1 0.9942952990531921 977 1778 1004 1811 a
12 1 0.9992259740829468 1004 1778 1079 1811 patch
12 1 0.9869391918182373 1080 1781 1155 1813 space
12 1 0.9768050312995911 1158 1778 1228 1804 could
12 1 0.9999895095825195 1233 1778 1270 1806 be
12 1 0.9233853816986084 1271 1776 1328 1808 well
12 1 0.7231325507164001 1333 1778 1502 1811 approximated
