block line confidence X1 Y1 X2 Y2 token
0 0 0.9974610805511475 849 178 915 212 tions
0 0 0.9972566962242126 917 182 1020 210 between
0 0 0.9337472915649414 1024 178 1166 212 dimensions
0 0 0.5997511148452759 1166 178 1229 212 does
0 0 0.9998629093170166 1229 182 1276 214 not
0 0 0.8035402894020081 1274 182 1421 216 compensate
0 0 0.9999998807907104 1423 180 1465 210 for
0 1 0.9250524640083313 849 214 896 251 the
0 1 0.9995371103286743 899 219 1017 246 increased
0 1 0.6997559666633606 1024 219 1206 253 expressiveness
0 1 0.9999264478683472 1208 214 1248 251 of
0 1 0.9999245405197144 1245 214 1292 251 the
0 1 0.9989823698997498 1293 219 1374 246 model
0 1 0.9998056292533875 1377 216 1431 251 due
0 1 0.9999523162841797 1432 219 1465 251 to
0 2 0.9997362494468689 849 253 896 290 the
0 2 0.9946580529212952 899 255 977 292 larger
0 2 0.9998693466186523 980 253 1070 287 hidden
0 2 0.9998451471328735 1075 258 1137 285 state
0 2 0.9996665716171265 1140 253 1203 287 size.
0 2 0.9994949102401733 1221 258 1314 285 Further
0 2 0.9456892609596252 1321 255 1463 290 experimen-
0 3 0.9445189237594604 851 292 933 326 tation,
0 3 0.9999438524246216 940 294 999 322 with
0 3 0.9376649856567383 1006 294 1077 322 tuned
0 3 0.9728875160217285 1085 294 1298 328 hyperparameters,
0 3 0.9998929500579834 1303 292 1332 326 is
0 3 0.9993267059326172 1337 294 1427 322 needed
0 3 0.9997782111167908 1432 294 1465 324 to
0 4 0.9891826510429382 852 331 978 360 determine
0 4 0.9999921321868896 978 331 1022 360 the
0 4 0.9987558126449585 1022 328 1101 363 actual
0 4 0.9999291896820068 1104 333 1201 360 benefits
0 4 0.9999946355819702 1201 328 1240 365 of
0 4 0.9739752411842346 1237 328 1371 370 predefined
0 4 0.9988113641738892 1372 333 1463 367 sparse-
0 5 0.9998291730880737 851 374 915 402 ness,
0 5 0.9999032020568848 917 365 952 404 in
0 5 0.9998893737792969 954 372 1025 399 terms
