block line confidence X1 Y1 X2 Y2 token
0 0 0.9994839429855347 195 198 237 237 to
0 0 0.9983338713645935 235 201 390 232 anomalous
0 0 0.9991533756256104 395 203 508 237 triangle
0 0 0.982704222202301 512 198 633 239 diagram
0 0 0.999680757522583 636 196 726 237 which
0 0 0.9971156120300293 726 198 806 242 gives
0 0 0.9998270869255066 804 203 833 237 a
0 0 0.8875804543495178 833 201 978 232 coefficient
0 0 0.9999942779541016 980 196 1019 237 of
0 0 0.9966890215873718 1015 196 1075 242 5/9
0 0 0.9994876384735107 1074 201 1114 237 to
0 0 0.9985820055007935 1112 198 1167 235 the
0 0 0.9480481743812561 1169 201 1298 232 2-flavour
0 0 0.9993307590484619 1301 198 1385 237 CME
0 0 0.9998840093612671 1385 198 1442 235 but
0 0 0.9962052702903748 1442 196 1500 242 2/3
0 1 0.9999899864196777 195 255 245 294 for
0 1 0.9998624324798584 248 258 302 294 the
0 1 0.6794769763946533 305 258 436 292 3-flavour
0 1 0.9952558875083923 440 258 523 292 CME
0 1 0.7156983017921448 529 255 594 301 [22).
0 1 0.9997386336326599 604 255 639 294 It
0 1 0.9998683929443359 642 258 741 292 results
0 1 0.9996535778045654 744 255 783 294 in
0 1 0.9992042183876038 783 262 812 294 a
0 1 0.997047483921051 814 258 925 292 relative
0 1 0.9979903697967529 931 258 1014 292 CME
0 1 0.9935562014579773 1020 262 1124 290 current
0 1 0.9887692928314209 1133 260 1274 292 difference
0 1 0.9999102354049683 1276 253 1316 294 of
0 1 0.9836582541465759 1318 253 1374 299 1/6
0 1 0.9992027878761292 1381 262 1497 290 between
0 2 0.987382709980011 197 317 327 349 2-flavour
0 2 0.9998376369476318 334 315 394 351 and
0 2 0.995368480682373 403 317 534 349 3-flavour
0 2 0.9957981705665588 542 322 628 349 cases.
0 2 0.966327965259552 652 317 785 351 However,
0 2 0.9929688572883606 797 319 910 347 because
0 2 0.9998212456703186 920 315 973 351 the
0 2 0.96553635597229 982 317 1135 349 traditional
0 2 0.9298326373100281 1148 319 1334 354 experimental
0 2 0.835753858089447 1345 315 1498 349 observable
0 3 0.4481518268585205 188 365 276 427 yof
0 3 0.999788224697113 271 374 369 415 charge
0 3 0.5566583275794983 377 376 521 408 azimuthal
0 3 0.6606236696243286 531 376 688 408 correlation
0 3 0.997755229473114 697 374 804 408 include
0 3 0.9997525811195374 810 372 856 411 all
0 3 0.9987862706184387 862 374 990 408 inclusive
0 3 0.999825656414032 996 374 1112 415 charged
0 3 0.9997944235801697 1122 376 1245 411 hadrons,
0 3 0.9998981952667236 1255 372 1288 411 it
0 3 0.6391863822937012 1293 374 1381 408 limits
0 3 0.9995771050453186 1387 381 1455 408 ones
0 3 0.9998412132263184 1463 379 1500 408 to
0 4 0.5859700441360474 197 440 319 465 measure
0 4 0.9999707937240601 323 431 377 468 the
0 4 0.9865273833274841 381 436 491 463 relative
0 4 0.9503823518753052 497 433 642 465 difference.
0 4 0.9947380423545837 655 436 788 470 Recently,
0 4 0.9999662637710571 794 431 847 468 the
0 4 0.9998906850814819 852 431 961 465 ALICE
0 4 0.9519962072372437 967 433 1154 465 collaboration
0 4 0.9920702576637268 1159 433 1298 465 measured
0 4 0.9999715089797974 1305 431 1358 468 the
0 4 0.9873392581939697 1361 431 1497 465 identified
0 5 0.9984980821609497 197 491 303 525 hadron
0 5 0.9992547631263733 310 491 442 532 triggered
0 5 0.9994850158691406 447 491 545 532 charge
0 5 0.5317032337188721 552 491 697 525 azimuthal
0 5 0.9994874000549316 707 493 868 527 correlation,
0 5 0.9924845099449158 875 497 931 532 e.g.
0 5 0.9993815422058105 946 491 1127 525 kaon-hadron
0 5 0.573106050491333 1135 493 1298 527 correlation,
0 5 0.9997795224189758 1308 491 1397 525 which
0 5 0.9989567995071411 1403 491 1498 525 enable
0 6 0.9988659620285034 197 555 237 584 us
0 6 0.999836802482605 242 548 282 587 to
0 6 0.9717849493026733 289 557 379 582 access
0 6 0.9999675750732422 389 548 444 584 the
0 6 0.9814997911453247 453 552 552 580 flavour
0 6 0.9897803068161011 562 550 692 591 property
0 6 0.9984654188156128 697 545 739 584 of
0 6 0.9997865557670593 743 548 796 584 the
0 6 0.9981958270072937 804 548 886 582 CME
0 6 0.6150406002998352 896 545 961 591 [23).
0 6 0.9999716281890869 985 548 1106 582 Another
0 6 0.9998196959495544 1116 548 1264 589 advantage
0 6 0.9999923706054688 1272 545 1313 584 of
0 6 0.9136017560958862 1318 550 1495 582 kaon-hadron
0 7 0.9389529824256897 197 607 353 641 correlation
0 7 0.999795138835907 358 605 392 644 is
0 7 0.9999748468399048 397 607 461 641 that
0 7 0.9997029900550842 465 605 499 644 it
0 7 0.9974527955055237 503 614 560 641 can
0 7 0.9999288320541382 565 607 646 641 avoid
0 7 0.9997406601905823 652 605 705 641 the
0 7 0.8513655662536621 712 609 919 641 contamination
0 7 0.9969149827957153 927 607 999 641 from
0 7 0.7083829045295715 1004 614 1030 648 p
0 7 0.9971786737442017 1035 614 1129 641 meson
0 7 0.997015118598938 1135 607 1229 648 decay,
0 7 0.999803364276886 1235 607 1324 641 which
0 7 0.9880092740058899 1330 607 1498 648 presumedly
0 8 0.6500922441482544 197 664 264 708 play
0 8 0.8896116018295288 269 669 298 701 a
0 8 0.9154399037361145 305 666 452 701 significant
0 8 0.9977705478668213 463 664 594 698 influence
0 8 0.9996732473373413 600 671 644 701 on
0 8 0.9998506307601929 652 664 705 701 the
0 8 0.9960352778434753 713 664 794 698 CME
0 8 0.9994606375694275 802 664 956 698 observable
0 8 0.9417288303375244 967 662 1030 708 [24).
0 8 0.9998958110809326 1051 662 1091 701 In
0 8 0.9999653100967407 1098 664 1158 701 this
0 8 0.9998534917831421 1167 666 1248 703 work,
0 8 0.9492952823638916 1259 671 1305 698 we
0 8 0.9994645714759827 1313 664 1466 705 implement
0 8 0.999848484992981 1474 669 1502 701 a
0 9 0.9969633221626282 200 726 356 760 multiphase
0 9 0.9993069171905518 363 726 499 760 transport
0 9 0.9668259024620056 508 721 634 765 (AMPT)
0 9 0.9996919631958008 641 721 731 756 model
0 9 0.9999701976776123 734 721 775 760 to
0 9 0.7738469243049622 778 726 933 760 investigate
0 9 0.9999749660491943 938 721 991 758 the
0 9 0.6581178307533264 996 726 1096 753 flavour
0 9 0.9940041899681091 1104 726 1269 760 dependence
0 9 0.9999915361404419 1272 719 1313 760 of
0 9 0.9999717473983765 1311 721 1364 758 the
0 9 0.9948421120643616 1366 719 1458 760 CME.
0 9 0.9997888207435608 1460 721 1500 758 In
0 10 0.9997721314430237 197 788 251 815 our
0 10 0.8881865739822388 255 781 379 822 previous
0 10 0.9988232254981995 382 783 465 817 work,
0 10 0.9981920123100281 468 788 513 815 we
0 10 0.7672339677810669 518 783 650 817 imported
0 10 0.999947190284729 654 781 707 815 the
0 10 0.9977097511291504 709 781 799 815 initial
0 10 0.9737594723701477 804 781 943 815 CME-like
0 10 0.9999986886978149 946 781 1040 822 dipole
0 10 0.9993013143539429 1041 781 1140 822 charge
0 10 0.999311089515686 1143 781 1295 822 separation
0 10 0.9671422839164734 1297 781 1337 817 to
0 10 0.9999203681945801 1337 781 1390 815 the
0 10 0.9996165037155151 1393 781 1498 815 AMPT
0 11 0.9996768236160278 198 838 289 872 model
0 11 0.9998617172241211 295 838 366 872 with
0 11 0.9998056292533875 369 845 398 874 a
0 11 0.9956919550895691 403 842 526 870 constant
0 11 0.9990875720977783 536 842 686 877 separation
0 11 0.99105304479599 696 840 859 881 percentage,
0 11 0.998365581035614 868 838 928 874 and
0 11 0.9998149275779724 936 838 1022 872 found
0 11 0.9998668432235718 1030 838 1096 872 that
0 11 0.9491589665412903 1103 838 1208 879 though
0 11 0.9907944798469543 1214 838 1267 874 the
0 11 0.9808790683746338 1272 838 1385 879 original
0 11 0.9999114274978638 1393 838 1498 872 AMPT
0 12 0.9998809099197388 198 897 289 931 model
0 12 0.9973867535591125 295 904 350 931 can
0 12 0.9716450572013855 358 902 502 936 reproduce
0 12 0.9886887669563293 510 897 617 931 60-70%
0 12 0.9996919631958008 625 897 781 938 magnitude
0 12 0.9999899864196777 785 895 823 934 of
0 12 0.9995678067207336 827 897 878 931 the
0 12 0.9993221759796143 885 897 965 931 CME
0 12 0.9868434071540833 972 897 1125 931 observable
0 12 0.7296947836875916 1127 899 1158 941 7
0 12 0.9989474415779114 1161 895 1196 934 in
0 12 0.9285922646522522 1203 897 1318 931 Au+Au
0 12 0.997803270816803 1324 897 1456 931 collisions
0 12 0.9987401366233826 1461 897 1500 934 at
0 13 0.5161939263343811 197 957 255 991 200
0 13 0.9200639128684998 258 952 337 995 GeV,
0 13 0.9998319149017334 342 963 384 991 an
0 13 0.9962571859359741 389 957 479 991 initial
0 13 0.9999285936355591 484 957 583 998 charge
0 13 0.9991925358772278 589 959 738 993 separation
0 13 0.9926361441612244 746 957 904 998 percentage
0 13 0.9999707937240601 907 954 948 993 of
0 13 0.9849146604537964 946 961 983 989 2
0 13 0.9978538155555725 988 954 1053 991 10%
0 13 0.9999262094497681 1056 954 1090 993 is
0 13 0.999005138874054 1091 954 1195 989 needed
0 13 0.9995651841163635 1198 957 1240 993 to
0 13 0.9874990582466125 1242 954 1342 995 closely
0 13 0.9963693618774414 1348 959 1439 986 match
0 13 0.9999872446060181 1445 954 1500 991 the
0 14 0.9990513920783997 197 1014 292 1048 STAR
0 14 0.9995962977409363 292 1011 373 1055 data,
0 14 0.9978020787239075 374 1014 436 1050 and
0 14 0.9639202952384949 439 1014 620 1048 demonstrate
0 14 0.9994980096817017 623 1014 689 1048 that
0 14 0.9976625442504883 692 1014 759 1048 final
0 14 0.9963388442993164 762 1018 838 1046 state
0 14 0.902536928653717 841 1016 1012 1048 interactions
0 14 0.9995880722999573 1015 1014 1137 1055 strongly
0 14 0.9994539618492126 1140 1021 1266 1055 suppress
0 14 0.9998980760574341 1269 1014 1322 1050 the
0 14 0.9992521405220032 1324 1014 1414 1048 initial
0 14 0.9983206391334534 1418 1014 1498 1048 CME
0 15 0.9999442100524902 197 1071 277 1105 effect
