block line confidence X1 Y1 X2 Y2 token
0 0 0.9474406242370605 197 180 266 216 Angli
0 0 0.5532523989677429 281 180 334 214 Liu,
0 0 0.9968731999397278 353 182 447 216 Stephen
0 0 0.9991687536239624 465 180 589 214 Soderland,
0 0 0.9998385906219482 608 182 712 210 Jonathan
0 0 0.9989607334136963 730 180 809 216 Bragg,
0 1 0.797094464302063 229 212 365 246 Christopher
0 1 0.9995278120040894 366 210 395 244 H
0 1 0.9998830556869507 395 210 449 246 Lin,
0 1 0.9236716628074646 449 210 513 244 Xiao
0 1 0.9999698400497437 513 212 579 246 Ling,
0 1 0.9959773421287537 583 212 629 244 and
0 1 0.9996483325958252 631 210 712 244 Daniel
0 1 0.9856972694396973 712 210 738 244 S
0 1 0.999727189540863 738 210 810 244 Weld.
0 2 0.9979700446128845 227 244 295 271 2016.
0 2 0.9995879530906677 313 244 418 271 Effective
0 2 0.9994611144065857 423 244 499 271 crowd
0 2 0.9974895715713501 502 244 625 271 annotation
0 2 0.9999791383743286 629 242 670 271 for
0 2 0.6830599308013916 673 244 764 271 relation
0 2 0.996978759765625 767 246 812 274 ex-
0 3 0.5041884183883667 229 276 323 301 traction.
0 3 0.9999470710754395 334 271 365 303 In
0 3 0.9044618010520935 366 274 508 308 Proceedings
0 3 0.9999853372573853 512 274 542 306 of
0 3 0.9997279047966003 539 274 579 303 the
0 3 0.9997352957725525 581 271 647 306 2016
0 3 0.9944576025009155 649 274 780 308 Conference
0 3 0.9999891519546509 780 271 817 310 of
0 4 0.9179152250289917 229 335 402 367 Computational
0 4 0.7180477976799011 400 335 536 367 Linguistics:
0 4 0.7624797821044922 541 335 626 363 Human
0 4 0.9581425786018372 628 335 744 370 Language
0 4 0.9991258978843689 744 335 809 363 Tech-
0 5 0.9937816262245178 197 422 276 449 Tomas
0 5 0.9871309399604797 279 424 381 452 Mikolov,
0 5 0.5099826455116272 382 420 434 456 Ilya
0 5 0.9996894598007202 432 420 550 454 Sutskever,
0 5 0.9931508302688599 552 418 600 454 Kai
0 5 0.99186772108078 599 420 670 454 Chen,
0 5 0.9999721050262451 670 420 733 456 Greg
0 5 0.9814489483833313 730 420 755 454 S
0 5 0.998477041721344 754 422 809 449 Cor-
0 6 0.9999147653579712 226 452 290 486 rado,
0 6 0.9998569488525391 290 449 342 484 and
0 6 0.9062561988830566 340 449 394 484 Jeff
0 6 0.9996447563171387 392 449 463 484 Dean.
0 6 0.936411440372467 468 454 534 481 2013.
0 6 0.9840615391731262 547 452 678 484 Distributed
0 6 0.9989118576049805 681 454 807 488 representa-
0 7 0.9998202919960022 227 484 287 511 tions
0 7 0.9993264675140381 287 481 321 511 of
0 7 0.9988269209861755 321 484 392 511 words
0 7 0.9995152950286865 392 479 442 513 and
0 7 0.9997668862342834 442 486 529 513 phrases
0 7 0.9997488856315613 531 484 579 511 and
0 7 0.9991058707237244 579 484 638 511 their
0 7 0.9329413175582886 638 484 809 516 compositional-
0 8 0.7639029026031494 224 511 271 548 ity.
0 8 0.9992080330848694 281 513 313 545 In
0 8 0.9995278120040894 314 513 426 541 Advances
0 8 0.9999182224273682 429 513 460 543 in
0 8 0.9987539052963257 460 511 542 545 neural
0 8 0.9745274186134338 544 513 681 548 information
0 8 0.8599256873130798 684 518 807 545 processing
0 9 0.9748069047927856 198 600 261 628 Mike
0 9 0.9967666864395142 264 598 344 632 Mintz,
0 9 0.9999898672103882 345 598 428 632 Steven
0 9 0.9998337030410767 429 598 494 632 Bills,
0 9 0.9999082088470459 495 598 557 632 Rion
0 9 0.9998847246170044 558 600 633 635 Snow,
0 9 0.9998377561569214 633 598 683 632 and
0 9 0.9999650716781616 683 598 738 632 Dan
0 9 0.9988043308258057 739 600 809 628 Juraf-
0 10 0.9998944997787476 226 630 277 666 sky.
0 10 0.9968883395195007 281 632 348 660 2009.
0 10 0.9953908920288086 363 632 449 660 Distant
0 10 0.9991108775138855 452 632 586 666 supervision
0 10 0.9999980926513672 589 628 633 664 for
0 10 0.9989088773727417 633 632 722 660 relation
0 10 0.9959744811058044 726 635 809 662 extrac-
0 11 0.9990474581718445 226 660 279 694 tion
0 11 0.9992597699165344 284 662 373 689 without
0 11 0.9950342178344727 381 662 465 689 labeled
0 11 0.9997623562812805 470 660 531 694 data.
0 11 0.9999631643295288 550 660 581 692 In
0 11 0.9596372842788696 587 662 730 696 Proceedings
0 11 0.9999200105667114 733 657 770 698 of
0 11 0.9998204112052917 768 662 810 692 the
0 12 0.9999566078186035 227 694 290 721 Joint
