block line confidence X1 Y1 X2 Y2 token
0 0 0.9999407529830933 1543 77 1565 109 4
1 0 0.9998774528503418 174 191 252 223 where
1 0 0.9220553636550903 252 184 292 223 II
1 0 0.9978690147399902 278 189 318 223 =
1 0 0.27333739399909973 312 176 501 238 -Pl+n(Vo
1 0 0.9843466281890869 531 191 557 221 V
1 1 0.9997720122337341 146 298 187 333 B.
1 1 0.3636054992675781 204 305 469 328 Non-dimensionaization
2 0 0.9999730587005615 634 191 662 223 is
2 0 0.9999728202819824 660 189 710 225 the
2 0 0.7308133840560913 710 189 771 223 fluid
2 0 0.9977182149887085 773 195 846 221 stress
2 0 0.9986144304275513 850 195 929 221 tensor
2 0 0.9999151229858398 929 189 984 223 and
2 0 0.9622461795806885 982 184 1029 225 ds
2 0 0.9971007704734802 1022 193 1055 221 =
2 0 0.9696769118309021 1054 189 1143 227 adpdz,
2 0 0.6744214296340942 1143 186 1191 223 dV
2 0 0.976579487323761 1187 195 1221 221 =
2 0 0.5093523859977722 1218 189 1326 227 rdrdpdz
2 0 0.9970576763153076 1326 197 1374 223 are
2 0 0.9999738931655884 1372 189 1421 223 the
2 0 0.9990720748901367 1421 193 1510 219 surface
2 0 0.9998346567153931 1512 189 1565 223 and
3 0 0.5992124676704407 149 242 239 268 volume
3 0 0.9928886294364929 242 242 351 268 elements
3 0 0.9992567896842957 351 236 388 272 in
3 0 0.9501401782035828 390 240 521 272 cylindrical
3 0 0.9979530572891235 521 240 667 270 coordinates
3 0 0.9993937015533447 670 238 821 277 respectively.
4 0 0.9999779462814331 172 369 224 403 We
4 0 0.8852872848510742 225 378 318 403 express
4 0 0.9999690055847168 322 369 371 403 the
4 0 0.6343082785606384 376 373 546 406 displacements
4 0 0.4589385986328125 551 367 620 410 (r,z)
4 0 0.9977462887763977 620 369 657 406 in
4 0 0.9986032843589783 657 371 735 403 terms
4 0 0.9995338916778564 737 371 770 401 of
4 0 0.9967907071113586 770 369 828 401 half
4 0 0.9999836683273315 828 369 876 403 the
4 0 0.9974232912063599 879 371 961 406 length
4 0 0.999884843826294 964 371 997 401 of
4 0 0.9999809265136719 997 369 1047 403 the
4 0 0.8366875052452087 1052 375 1170 401 swimmer,
4 0 0.4206182360649109 1177 371 1203 403 L.
4 0 0.9999905824661255 1211 369 1261 403 We
4 0 0.9995114803314209 1265 373 1367 399 consider
4 0 0.9839411377906799 1374 373 1499 399 swimmers
4 0 0.9999125003814697 1502 369 1565 401 with
4 1 0.9599637985229492 147 410 317 440 concentration
4 1 0.8913549184799194 320 410 436 442 gradients
4 1 0.9989770650863647 439 410 562 442 generated
4 1 0.998084545135498 564 406 604 444 by
4 1 0.9999839067459106 604 406 652 440 the
4 1 0.9656309485435486 654 410 747 436 colloids
4 1 0.9993921518325806 750 414 788 440 on
4 1 0.999809205532074 786 412 813 440 a
4 1 0.9986845850944519 811 408 878 440 scale
4 1 0.8643984198570251 878 406 947 446 c*/a.
4 1 0.9901964664459229 951 408 1034 440 Hence
4 1 0.996475875377655 1034 414 1074 440 we
4 1 0.7992783784866333 1077 416 1168 442 express
4 1 0.9999592304229736 1170 406 1220 440 the
4 1 0.9385102391242981 1220 406 1273 440 flux
4 1 0.9232547879219055 1275 399 1304 442 J
4 1 0.9999696016311646 1298 403 1336 440 of
4 1 0.9988937973976135 1333 408 1439 440 reactant
4 1 0.7159172892570496 1442 406 1562 444 (product)
4 2 0.9779983758926392 147 442 255 474 particles
4 2 0.9998546838760376 260 440 293 470 in
4 2 0.9991084933280945 297 440 366 472 units
4 2 0.9975820779800415 368 438 406 474 of
4 2 0.6057276129722595 406 438 499 476 c*D/a,
4 2 0.9994615912437439 506 438 556 472 the
4 2 0.9238987565040588 559 440 728 470 concentration
4 2 0.9972248077392578 735 440 795 472 field
4 2 0.9681851863861084 798 438 823 472 C
4 2 0.9991365075111389 823 438 858 474 in
4 2 0.9832662343978882 863 442 929 468 units
4 2 0.8771378397941589 933 438 971 474 of
4 2 0.7339248657226562 969 438 1011 476 c*,
4 2 0.9996178150177002 1019 438 1108 476 (where
4 2 0.6925674676895142 1113 440 1145 470 D
4 2 0.9993211030960083 1148 440 1178 472 is
4 2 0.9999880790710449 1182 438 1230 472 the
4 2 0.9997289776802063 1235 442 1343 468 diffusion
4 2 0.708255410194397 1351 442 1477 468 coefficient
4 2 0.9999985694885254 1482 440 1519 472 of
4 2 0.9979883432388306 1519 440 1555 472 the
4 3 0.994844913482666 147 479 257 511 reactant/
4 3 0.9736454486846924 250 479 360 511 /product
4 3 0.9880555272102356 363 479 488 511 particles),
4 3 0.9999454021453857 489 474 537 509 the
4 3 0.9715671539306641 536 476 674 507 interaction
4 3 0.503800630569458 672 481 760 513 energy
4 3 0.17104887962341309 758 468 790 509 1
4 3 0.9997125267982483 786 476 820 507 in
4 3 0.9994615912437439 818 474 866 509 the
4 3 0.9997650980949402 866 479 931 504 units
4 3 0.9999996423721313 933 476 966 507 of
4 3 0.9993221759796143 964 479 1062 504 thermal
4 3 0.9991150498390198 1062 481 1150 513 energy
4 3 0.8201127052307129 1150 476 1218 511 kBT,
4 3 0.7386842370033264 1218 472 1271 515 (KB
4 3 0.999971866607666 1270 474 1318 509 the
4 3 0.9529294967651367 1318 476 1455 507 Boltzmann
4 3 0.9986308217048645 1457 479 1553 504 constant
4 4 0.999619722366333 146 509 199 541 and
4 4 0.999010443687439 195 507 252 545 Tis
4 4 0.9999507665634155 249 507 295 541 the
4 4 0.9880126714706421 295 511 448 543 temperature
4 4 0.9997487664222717 448 509 481 539 of
4 4 0.9998237490653992 476 507 524 541 the
4 4 0.9956488013267517 524 513 637 539 solution),
4 4 0.9999897480010986 642 507 688 541 the
4 4 0.8611181378364563 687 507 745 539 flow
4 4 0.9996738433837891 742 507 800 539 field
4 4 0.5090985894203186 798 507 825 541 D
4 4 0.999869704246521 821 507 883 539 with
4 4 0.986242949962616 881 504 924 541 U*
4 4 0.9703150987625122 924 511 956 539 =
4 4 0.40086328983306885 952 507 1045 545 p'c*/a
4 4 0.8902238607406616 1045 509 1132 545 (where
4 4 0.18776971101760864 1128 507 1167 545 u*
4 4 0.9979846477508545 1167 513 1198 539 =
4 4 0.6727801561355591 1196 507 1333 545 KBTL*2/m
4 4 0.9753665924072266 1326 509 1354 541 is
4 4 0.9999759197235107 1351 507 1399 541 the
4 4 0.48917192220687866 1399 509 1555 539 characteristic
4 5 0.9979775547981262 147 543 252 575 phoretic
4 5 0.9712975025177002 255 539 363 577 mobility
4 5 0.912308394908905 368 541 501 573 coefficient,
4 5 0.8148635625839233 504 545 531 577 7
4 5 0.999439537525177 532 541 561 573 is
4 5 0.9998430013656616 561 539 610 573 the
4 5 0.9956609606742859 614 543 722 575 viscosity
4 5 0.9900009632110596 725 541 762 573 of
4 5 0.9999812841415405 758 539 808 573 the
4 5 0.9963939785957336 808 539 871 571 fluid
4 5 0.999854564666748 873 539 928 573 and
4 5 0.4414752125740051 929 537 969 573 L*
4 5 0.9989309906959534 972 541 1002 573 is
4 5 0.9999382495880127 1002 539 1050 573 the
4 5 0.9980039000511169 1054 543 1196 575 short-range
4 5 0.9808103442192078 1200 541 1339 571 interaction
4 5 0.9964935183525085 1343 539 1484 577 lengthscale
4 5 0.9995676875114441 1485 541 1519 571 of
4 5 0.9999830722808838 1519 539 1567 573 the
4 6 0.9990288019180298 149 575 250 601 reactant
4 6 0.9504736661911011 255 571 378 610 (product)
4 6 0.9975168704986572 383 575 501 601 molecules
4 6 0.9994357228279114 504 571 566 603 with
4 6 0.9999703168869019 566 571 614 605 the
4 6 0.504784882068634 615 575 728 601 swimmer
4 6 0.997273862361908 730 571 840 610 surface).
4 6 0.997092604637146 845 571 893 605 We
4 6 0.9854711294174194 893 571 959 603 scale
4 6 0.9999253749847412 959 571 1007 605 the
4 6 0.9974154233932495 1007 575 1112 608 pressure
4 6 0.9825948476791382 1115 571 1172 605 field
4 6 0.6595902442932129 1172 573 1198 608 p
4 6 0.999771773815155 1196 571 1258 605 with
4 6 0.4435447156429291 1258 569 1348 610 nU*/L.
4 6 0.998969554901123 1349 571 1399 605 We
4 6 0.9996134638786316 1401 575 1457 601 note
4 6 0.9457837343215942 1460 571 1519 603 that
4 6 0.9999830722808838 1519 571 1567 605 the
4 7 0.9992696642875671 147 605 249 638 problem
4 7 0.9993649125099182 254 603 305 638 has
4 7 0.9986622333526611 307 603 376 635 three
4 7 0.9775855541229248 380 608 544 638 length-scales;
4 7 0.99994957447052 547 603 597 638 the
4 7 0.7575288414955139 599 608 712 633 swimmer
4 7 0.9973703622817993 717 605 884 635 characteristic
4 7 0.9909195899963379 888 605 969 640 length
4 7 0.9952417612075806 971 601 1012 640 21,
4 7 0.9993438124656677 1011 603 1054 638 its
4 7 0.8729671239852905 1054 605 1233 635 cross-sectional
4 7 0.6595079898834229 1236 603 1319 635 radius
4 7 0.9512550830841064 1319 608 1346 638 a
4 7 0.9998338222503662 1344 603 1399 635 and
4 7 0.9868546724319458 1401 603 1450 638 the
4 7 0.9902246594429016 1450 608 1525 640 range
4 7 0.7612274885177612 1529 603 1565 635 L*
4 8 0.9968572854995728 146 635 182 668 of
4 8 0.9999791383743286 179 633 227 668 the
4 8 0.9735339283943176 229 635 366 666 interaction
4 8 0.9978466033935547 373 638 474 663 between
4 8 0.999945878982544 479 638 527 668 the
4 8 0.9907761216163635 531 638 650 663 molecules
4 8 0.9993554949760437 654 635 710 668 and
4 8 0.7039260268211365 713 638 826 663 swimmer
4 8 0.7279245853424072 831 638 928 663 surface.
4 8 0.9853935241699219 942 638 1113 670 Consequently,
4 8 0.9997740387916565 1120 640 1160 666 we
4 8 0.9960015416145325 1162 635 1226 668 have
4 8 0.9678250551223755 1230 638 1296 663 three
4 8 0.7130298018455505 1303 638 1442 670 asymptotic
4 8 0.9942530989646912 1445 633 1565 666 near-field
4 9 0.996173083782196 174 698 222 732 We
4 9 0.9989938139915466 227 702 338 728 therefore
4 9 0.9452958106994629 345 702 421 728 define
4 9 0.9995958209037781 425 698 474 732 the
4 9 0.9743735790252686 476 700 647 730 dimensionless
4 9 0.8402240872383118 652 702 798 734 parameters,
4 9 0.8930751085281372 803 704 828 732 E
