block line confidence X1 Y1 X2 Y2 token
0 0 0.9976848363876343 370 255 393 285 8
1 0 0.9669509530067444 461 253 522 285 F-K.
1 0 0.998114824295044 524 257 662 281 Thielemann
2 0 0.9926453828811646 373 326 468 358 Eichler,
2 0 0.9977185726165771 471 324 516 360 D.,
2 0 0.9820496439933777 519 326 592 360 Livio,
2 0 0.9990647435188293 597 324 644 360 M.,
2 0 0.9342938661575317 647 326 727 358 Piran,
2 0 0.9877579212188721 728 324 771 360 T.,
2 0 0.9984312653541565 773 324 803 356 &
2 0 0.5621854066848755 806 326 931 358 Schramm,
2 0 0.998728334903717 933 324 972 358 D.
2 0 0.979516327381134 972 326 1009 358 N.
2 0 0.9181721210479736 1012 326 1080 358 1989,
2 0 0.999670147895813 1084 326 1180 358 Nature,
2 0 0.9992151260375977 1182 326 1240 360 340,
2 0 0.9992938041687012 1241 324 1293 358 126
2 1 0.9920018911361694 373 358 468 391 Eichler,
2 1 0.9576094746589661 471 358 517 393 M.,
2 1 0.8581893444061279 522 360 659 391 Nakamura,
2 1 0.9982299208641052 664 358 707 393 K.,
2 1 0.9095723032951355 712 358 831 391 Takiwaki,
2 1 0.9993398785591125 836 356 878 395 T.,
2 1 0.9988470077514648 879 358 911 388 et
2 1 0.996366024017334 911 356 951 391 al.
2 1 0.9990297555923462 951 358 1020 393 2018,
2 1 0.631708562374115 1025 360 1120 386 Journal
2 1 0.9999593496322632 1123 358 1160 391 of
2 1 0.9944379329681396 1157 356 1255 395 Physics
2 1 0.996425449848175 1255 358 1284 388 G
2 1 0.999816358089447 1284 356 1339 391 Nu-
2 2 0.9056342244148254 371 423 434 457 Ertl,
2 2 0.9664143323898315 436 423 479 459 T.,
2 2 0.9997052550315857 484 425 567 457 Janka,
2 2 0.6142246723175049 574 425 650 459 H.-T.,
2 2 0.9993600249290466 657 423 768 461 Woosley,
2 2 0.9405761361122131 768 421 803 457 S.
2 2 0.9634582996368408 805 423 848 459 E.,
2 2 0.9996535778045654 851 425 976 457 Sukhbold,
2 2 0.9930915832519531 979 423 1024 459 T.,
2 2 0.6592190861701965 1024 421 1059 459 &
2 2 0.9930752515792847 1060 423 1167 461 Ugliano,
2 2 0.9995508790016174 1170 423 1211 457 M.
2 2 0.9997701048851013 1213 425 1284 457 2016,
2 2 0.9993425011634827 1288 425 1338 459 Ap.
2 3 0.5688151717185974 371 489 478 528 Farouqi,
2 3 0.999267041683197 479 489 524 526 K.,
2 3 0.9992570281028748 527 491 609 526 Kratz,
2 3 0.9875566959381104 612 491 690 524 K.-L.,
2 3 0.9998939037322998 693 491 791 524 Pfeiffer,
2 3 0.9887489080429077 795 491 840 526 B.,
2 3 0.9999459981918335 838 494 871 524 et
2 3 0.9994032382965088 873 491 909 524 al.
2 3 0.9996321201324463 909 491 981 524 2010,
2 3 0.9948315024375916 982 491 1034 528 Ap.
2 3 0.998487114906311 1035 489 1074 528 J.,
2 3 0.9995489716529846 1075 491 1132 526 712,
2 3 0.999958872795105 1135 491 1196 524 1359
2 4 0.9581857919692993 373 526 481 558 Foglizzo,
2 4 0.9845131039619446 484 524 527 558 T.,
2 4 0.9998772144317627 531 528 649 554 Kazeroni,
2 4 0.534889817237854 652 524 697 560 R.,
2 4 0.9996894598007202 697 522 788 560 Guilet,
2 4 0.8679299354553223 788 522 828 560 J.,
2 4 0.9999372959136963 828 526 861 556 et
2 4 0.9987069368362427 861 524 898 556 al.
2 4 0.8928729891777039 898 524 969 558 2015,
2 4 0.9939367175102234 971 524 1042 556 Publ.
2 4 0.9987517595291138 1045 524 1142 556 Astron.
2 4 0.9068158864974976 1143 524 1201 556 Soc.
2 4 0.9996265172958374 1203 522 1294 560 Austr.,
2 4 0.9989535808563232 1294 524 1339 560 32,
2 5 0.9992272853851318 371 590 464 623 Fowler,
2 5 0.9818118214607239 466 588 512 623 W.
2 5 0.6208909749984741 511 588 556 625 A.,
2 5 0.9991794228553772 559 590 587 623 &
2 5 0.99727863073349 591 590 670 625 Hoyle,
2 5 0.9989175796508789 672 588 708 625 F.
2 5 0.9997709393501282 710 590 778 625 1964,
2 5 0.9965775609016418 780 586 835 629 Ap.
2 5 0.9962284564971924 833 590 863 623 J.
2 5 0.9482908248901367 864 588 957 627 Suppl.,
2 5 0.9997233748435974 957 590 987 623 9,
2 5 0.8655104637145996 987 590 1040 623 201
