block line confidence X1 Y1 X2 Y2 token
0 0 0.7357332110404968 322 146 473 184 Bipartite
0 0 0.8960889577865601 481 146 687 176 Fluctuations
0 0 0.9853881001472473 695 143 762 178 and
0 0 0.999717652797699 770 146 923 184 Topology
0 0 0.9999970197677612 928 143 971 180 of
0 0 0.9984242916107178 974 146 1067 178 Dirac
0 0 0.9988504648208618 1074 146 1140 178 and
0 0 0.913698136806488 1147 143 1235 184 Weyl
0 0 0.9964757561683655 1243 148 1386 180 Systems*
1 0 0.9501614570617676 509 212 571 247 Loic
1 0 0.6392451524734497 574 210 697 249 Herviou,l
1 0 0.9998478889465332 703 214 786 249 Karyn
1 0 0.99989914894104 790 212 831 247 Le
1 0 0.3377397656440735 835 212 906 247 Hur,
1 0 0.992676854133606 914 212 969 247 and
1 0 0.9953041076660156 976 216 1112 249 Christophe
1 0 0.9968723654747009 1118 212 1198 244 Moral
2 0 0.9751131534576416 679 240 770 279 (Dated:
2 0 0.9919235110282898 776 249 898 275 September
2 0 0.9988443851470947 901 244 964 277 20th,
2 0 0.9994254112243652 966 244 1034 279 2018)
3 0 0.9674893617630005 327 311 433 343 Bipartite
3 0 0.9712182283401489 436 309 577 339 fluctuations
3 0 0.9982759952545166 581 315 627 341 can
3 0 0.9991844296455383 632 311 723 343 provide
3 0 0.9982396364212036 730 313 851 339 interesting
3 0 0.9812982082366943 856 309 996 339 information
3 0 0.9954038858413696 1001 311 1072 337 about
3 0 0.9879504442214966 1079 311 1233 343 entanglement
3 0 0.997313916683197 1240 311 1359 343 properties
3 0 0.9993164539337158 1362 309 1414 341 and
3 1 0.989483654499054 298 339 436 369 correlations
3 1 0.999817430973053 438 339 469 369 in
3 1 0.992206871509552 476 343 605 371 many-body
3 1 0.9067742824554443 610 343 715 369 quantum
3 1 0.9959563612937927 722 343 818 369 systems.
3 1 0.9594594836235046 833 339 878 367 We
3 1 0.9280806183815002 883 341 972 367 address
3 1 0.971470296382904 976 341 1032 367 such
3 1 0.9005153179168701 1037 339 1177 369 fluctuations
3 1 0.9996438026428223 1178 339 1208 369 in
3 1 0.999559223651886 1213 341 1304 367 relation
3 1 0.9947570562362671 1309 341 1366 367 with
