block line confidence X1 Y1 X2 Y2 token
0 0 0.9384217262268066 145 365 202 415 A
0 0 0.9999371767044067 201 372 357 410 remark
0 0 0.9999121427536011 372 381 426 410 on
0 0 0.9999611377716064 439 370 511 412 the
0 0 0.9986718893051147 528 370 716 410 Gaussian
0 0 0.9590781927108765 730 370 845 410 lower
0 0 0.8261642456054688 862 370 995 410 bound
0 0 0.9997064471244812 1011 368 1073 412 for
0 1 0.9999896287918091 147 424 220 466 the
0 1 0.8492220044136047 243 426 447 466 Neumann
0 1 0.999711811542511 468 424 562 468 heat
0 1 0.9997157454490662 584 424 715 464 kernel
0 1 0.999998927116394 738 422 786 468 of
0 1 0.9999547004699707 802 424 874 466 the
0 1 0.9958932399749756 895 424 1070 475 Laplace-
1 0 0.8557960391044617 149 480 336 520 Beltrami
1 0 0.9999878406524658 351 486 530 526 operator
2 0 0.8719649314880371 149 574 262 607 Mourad
2 0 0.9892913699150085 271 574 375 607 Choulli
2 0 0.9979953765869141 383 576 438 605 and
2 0 0.9999066591262817 447 574 561 607 Laurent
2 0 0.9999914169311523 571 576 671 610 Kayser
3 0 0.9856544137001038 212 681 315 706 Abstract.
3 0 0.8988332748413086 326 681 369 708 We
3 0 0.9998227953910828 374 683 442 710 adapt
3 0 0.9997872710227966 447 679 475 710 in
3 0 0.9999747276306152 480 681 523 708 the
3 0 0.9999581575393677 530 686 611 708 present
3 0 0.9987026453018188 620 685 673 706 note
3 0 0.999079704284668 679 681 722 708 the
3 0 0.6851204633712769 728 685 871 710 perturbation
3 0 0.9998878240585327 879 681 968 708 method
3 0 0.9996888637542725 975 679 1012 708 in-
3 1 0.9980940222740173 211 712 313 739 troduced
3 1 0.9997689127922058 318 710 346 741 in
3 1 0.9916143417358398 351 708 383 746 [3]
3 1 0.9999486207962036 387 712 418 742 to
3 1 0.997816801071167 422 714 462 742 get
3 1 0.9998050332069397 465 715 486 741 a
3 1 0.961162805557251 490 712 554 739 lower
3 1 0.9989527463912964 561 712 664 739 Gaussian
3 1 0.9998633861541748 671 712 745 739 bound
3 1 0.999996542930603 752 710 789 741 for
3 1 0.9999157190322876 792 712 834 739 the
3 1 0.6373497843742371 840 712 950 739 Neumann
3 1 0.999629020690918 957 712 1009 739 heat
3 2 0.999744713306427 212 744 280 766 kernel
3 2 0.9997637867927551 282 741 313 770 of
3 2 0.9996151924133301 313 741 354 770 the
3 2 0.569135844707489 358 744 550 771 Laplace-Betrami
3 2 0.9998594522476196 555 746 654 771 operator
3 2 0.99797123670578 657 748 689 770 on
3 2 0.9999374151229858 691 748 723 770 an
3 2 0.9922313690185547 727 750 783 771 open
3 2 0.9971864819526672 785 742 860 770 subset
3 2 0.9999998807907104 863 741 893 770 of
3 2 0.9998761415481567 890 744 910 770 a
3 2 0.9985960125923157 913 746 1009 771 compact
3 3 0.9864120483398438 212 815 329 842 Keywords.
3 3 0.6291067004203796 335 813 444 838 Neumann
3 3 0.9998518228530884 449 813 503 840 heat
3 3 0.998842179775238 506 815 583 842 kernel,
3 3 0.7298978567123413 590 815 782 842 Laplace-Beltrami
3 3 0.9998699426651001 788 817 891 842 operator,
3 3 0.9988736510276794 897 813 1009 840 Riemann-
4 0 0.9975178241729736 211 773 349 798 Riemannian
4 0 0.9996050000190735 354 773 460 798 manifold.
4 1 0.9994953870773315 208 844 250 873 ian
4 1 0.6159988045692444 253 844 360 871 manifold.
5 0 0.9443160891532898 211 885 355 911 Mathematics
5 0 0.9998927116394043 361 885 445 912 Subject
5 0 0.37806496024131775 454 887 603 907 Classification.
5 0 0.9951199889183044 610 883 685 911 35K08
6 0 0.9891034364700317 146 1062 194 1099 1.
6 0 0.9984996318817139 191 1068 376 1093 Introduction
7 0 0.9960024952888489 211 1118 263 1147 The
7 0 0.9993590712547302 270 1120 344 1153 study
7 0 0.9999858140945435 349 1118 381 1149 of
7 0 0.9997072815895081 386 1118 442 1147 heat
7 0 0.9999465942382812 451 1120 538 1147 kernels
7 0 0.9997140765190125 546 1118 573 1149 is
7 0 0.9964285492897034 579 1126 615 1147 an
7 0 0.9925469756126404 623 1122 746 1149 important
7 0 0.9983338713645935 757 1122 858 1149 problem
7 0 0.9998482465744019 866 1118 897 1149 in
7 0 0.9999570846557617 903 1118 947 1147 the
7 0 0.9060492515563965 956 1120 1038 1153 theory
7 0 0.9999998807907104 1045 1118 1076 1149 of
7 1 0.9966363906860352 147 1153 262 1185 parabolic
7 1 0.9988872408866882 267 1153 352 1180 PDE's.
7 1 0.9999933242797852 355 1149 410 1183 The
7 1 0.9995878338813782 411 1153 535 1185 properties
7 1 0.9994447827339172 536 1149 623 1183 ofheat
7 1 0.9993969202041626 626 1153 711 1180 kernels
7 1 0.9939600229263306 714 1155 766 1183 give
7 1 0.9997031092643738 766 1156 803 1183 an
7 1 0.9033253192901611 803 1153 900 1180 efficient
7 1 0.9999842643737793 902 1153 953 1180 tool
7 1 0.9996730089187622 955 1153 987 1182 to
7 1 0.9998051524162292 987 1158 1073 1180 answer
7 2 0.9996782541275024 146 1187 178 1216 to
7 2 0.9977339506149292 180 1193 244 1214 some
7 2 0.9256748557090759 249 1187 335 1214 central
7 2 0.9996188879013062 339 1187 454 1220 questions
7 2 0.994942843914032 460 1185 519 1214 both
7 2 0.9998206496238708 522 1185 553 1216 in
7 2 0.9701653122901917 555 1187 654 1220 analysis
7 2 0.9956578016281128 658 1185 707 1214 and
7 2 0.5990282297134399 711 1187 846 1220 probability
7 2 0.999049961566925 851 1187 937 1220 theory.
7 2 0.9997459053993225 944 1187 996 1214 One
7 2 0.9999920129776001 999 1185 1030 1216 of
7 2 0.9999845027923584 1030 1185 1074 1214 the
7 3 0.8544354438781738 146 1220 212 1247 main
7 3 0.9993454813957214 219 1220 335 1252 questions
7 3 0.999931812286377 339 1218 366 1249 is
7 3 0.9997482895851135 369 1220 401 1249 to
7 3 0.9990940093994141 407 1220 474 1247 know
7 3 0.9995556473731995 481 1220 583 1247 whether
7 3 0.9996812343597412 587 1223 610 1249 a
7 3 0.9997168183326721 614 1220 670 1247 heat
7 3 0.9993878602981567 678 1220 754 1247 kernel
7 3 0.914076030254364 760 1220 846 1247 admits
7 3 0.9988085031509399 854 1220 967 1247 Gaussian
7 3 0.9981459379196167 976 1220 1070 1247 bounds.
7 4 0.9995071887969971 146 1249 193 1285 An
7 4 0.9245617389678955 196 1258 270 1285 upper
7 4 0.9794905781745911 280 1252 391 1279 Gaussian
7 4 0.9999473094940186 399 1252 479 1279 bound
7 4 0.9998056292533875 486 1250 512 1283 is
7 4 0.9999998807907104 518 1250 556 1281 for
7 4 0.9996808767318726 563 1254 666 1279 instance
7 4 0.9994946718215942 671 1256 709 1283 an
7 4 0.9970154762268066 715 1252 789 1279 useful
7 4 0.9999699592590332 797 1252 847 1281 tool
7 4 0.9999808073043823 856 1252 894 1281 for
7 4 0.9980339407920837 900 1254 989 1287 getting
7 4 0.6249302625656128 999 1250 1073 1283 IP-L9
7 5 0.7813181281089783 149 1288 269 1315 estimates,
7 5 0.999968409538269 275 1285 318 1314 the
7 5 0.9553622603416443 323 1288 451 1315 analyticity
7 5 0.9999889135360718 455 1285 486 1315 of
7 5 0.9991661310195923 486 1285 529 1314 the
7 5 0.9360395669937134 532 1288 703 1315 corresponding
7 5 0.9982031583786011 708 1288 843 1315 semigroups
7 5 0.9983635544776917 846 1285 876 1315 in
7 5 0.6298817992210388 879 1285 915 1314 IP
7 5 0.9999967813491821 916 1285 955 1315 for
7 5 0.9987338185310364 957 1290 1005 1319 any
7 5 0.9998577833175659 1007 1287 1073 1314 finite
7 6 0.49451878666877747 144 1315 227 1355 p210
7 6 0.9994193315505981 215 1321 250 1350 or
7 6 0.9657371044158936 252 1319 358 1346 bounded
7 6 0.9013025760650635 363 1319 487 1346 functional
7 6 0.9918398857116699 491 1317 597 1350 calculus,
7 6 0.9718918204307556 602 1319 701 1346 whereas
7 6 0.984428882598877 703 1324 750 1346 one
7 6 0.9987176656723022 751 1323 800 1350 can
7 6 0.9946693778038025 800 1321 841 1350 get
7 6 0.9961129426956177 844 1324 866 1348 a
7 6 0.9990918636322021 866 1323 946 1350 strong
7 6 0.8446842432022095 949 1319 1073 1346 maximum
7 7 0.9974742531776428 147 1353 257 1386 principle
7 7 0.9997791647911072 261 1359 292 1381 or
7 7 0.9998908042907715 294 1357 315 1382 a
7 7 0.9320032596588135 319 1353 423 1379 Harnack
7 7 0.9386222958564758 431 1355 550 1382 inequality
7 7 0.9025412201881409 559 1353 618 1381 from
7 7 0.9999371767044067 623 1357 643 1382 a
7 7 0.9998774528503418 647 1353 714 1381 lower
7 7 0.9962882995605469 721 1353 833 1381 Gaussian
7 7 0.9987672567367554 839 1353 925 1381 bound.
7 7 0.9994072914123535 932 1352 976 1381 We
7 7 0.9997521042823792 980 1353 1039 1381 refer
7 7 0.9998898506164551 1043 1353 1074 1382 to
7 8 0.9997599720954895 146 1382 191 1417 the
7 8 0.9899515509605408 195 1386 317 1413 textbooks
7 8 0.6730972528457642 320 1381 363 1424 [5),
7 8 0.9718629717826843 366 1381 414 1422 [11]
7 8 0.998611330986023 418 1382 468 1417 and
7 8 0.9246602058410645 470 1381 519 1422 [12]
7 8 0.9993743300437927 523 1384 572 1413 and
7 8 0.9816159009933472 577 1386 697 1413 references
7 8 0.9999418258666992 703 1386 790 1413 therein
7 8 0.9999914169311523 795 1384 833 1413 for
7 8 0.9993320107460022 838 1391 901 1413 more
7 8 0.9998782873153687 907 1386 988 1413 details
7 8 0.999337375164032 992 1391 1026 1413 on
7 8 0.9999755620956421 1030 1384 1073 1413 the
7 9 0.9997393488883972 209 1462 243 1493 In
7 9 0.9998334646224976 242 1460 287 1494 the
7 9 0.9937521815299988 288 1464 407 1496 preceding
7 9 0.9999517202377319 411 1462 473 1493 work
7 9 0.8239670991897583 475 1460 515 1498 [3),
7 9 0.9992291927337646 518 1464 616 1496 starting
7 9 0.9501498341560364 620 1464 679 1491 from
7 9 0.9963980913162231 682 1462 724 1491 the
7 9 0.9861124157905579 727 1464 827 1491 classical
7 9 0.9958407282829285 832 1465 967 1493 parametrix
7 9 0.993184506893158 970 1462 1071 1494 method,
7 10 0.9556724429130554 145 1500 186 1527 we
7 10 0.92075514793396 189 1496 332 1523 constructed
7 10 0.999984622001648 338 1494 382 1523 the
7 10 0.630527138710022 387 1496 507 1523 Neumann
7 10 0.9998412132263184 513 1496 569 1523 heat
7 10 0.9997283816337585 575 1496 653 1523 kernel
7 10 0.99913090467453 657 1494 688 1525 of
7 10 0.999568521976471 689 1500 710 1525 a
7 10 0.9962950348854065 713 1496 804 1529 general
7 10 0.9980688691139221 810 1496 926 1529 parabolic
7 10 0.8666653037071228 932 1500 1037 1527 operator
7 10 0.9998583793640137 1043 1502 1073 1525 as
7 11 0.9969131946563721 146 1534 170 1559 a
7 11 0.9895902276039124 172 1532 325 1559 perturbation
7 11 0.9998700618743896 330 1529 362 1559 of
7 11 0.9999885559082031 363 1529 406 1558 the
7 11 0.5481680035591125 412 1529 563 1556 fundamental
7 11 0.7547332644462585 569 1531 668 1556 solution
7 11 0.9999997615814209 672 1527 704 1558 of
7 11 0.9997825026512146 704 1529 747 1558 the
7 11 0.9967429041862488 751 1536 815 1558 same
7 11 0.9999047517776489 821 1534 926 1561 operator
7 11 0.9998351335525513 930 1527 967 1565 by
7 11 0.9988929629325867 968 1534 989 1559 a
7 11 0.9966148734092712 992 1529 1073 1563 single-
7 12 0.9936274290084839 146 1561 211 1596 layer
7 12 0.7742170095443726 215 1563 335 1596 potential.
7 12 0.9470372796058655 343 1563 411 1590 From
7 12 0.999945878982544 417 1563 467 1590 this
7 12 0.5457736253738403 475 1565 631 1592 construction,
7 12 0.9999719858169556 641 1561 685 1590 the
7 12 0.9999462366104126 692 1563 809 1590 two-sided
7 12 0.8070884943008423 819 1563 930 1590 Gaussian
7 12 0.9959683418273926 937 1563 1029 1590 bounds
7 12 0.9999994039535522 1034 1561 1075 1594 for
7 13 0.9999639987945557 146 1596 191 1625 the
7 13 0.6924291849136353 200 1596 352 1623 fundamental
7 13 0.9974902868270874 362 1596 461 1623 solution
7 13 0.9998362064361572 469 1596 518 1623 and
7 13 0.9914438128471375 527 1596 609 1628 taking
7 13 0.9975551962852478 615 1596 667 1625 into
7 13 0.999305009841919 674 1597 771 1625 account
7 13 0.9999397993087769 781 1596 825 1625 the
7 13 0.9947492480278015 831 1596 961 1628 smoothing
7 13 0.9998430013656616 969 1596 1038 1623 effect
7 13 0.9992475509643555 1044 1594 1075 1625 in
7 14 0.6424950957298279 149 1628 207 1655 time
7 14 0.9972618818283081 209 1626 242 1657 of
7 14 0.999957799911499 243 1628 287 1657 the
7 14 0.9987685084342957 290 1630 430 1663 single-layer
7 14 0.9860175251960754 436 1628 554 1661 potential,
7 14 0.9931824803352356 559 1632 598 1659 we
7 14 0.9973630309104919 600 1630 723 1655 succeeded
7 14 0.9995996356010437 728 1628 758 1659 in
7 14 0.8178825974464417 763 1630 858 1663 proving
7 14 0.9996592998504639 860 1634 883 1659 a
7 14 0.9999169111251831 887 1630 953 1657 lower
7 14 0.5213772654533386 961 1630 1073 1655 Gaussian
7 15 0.9638854265213013 149 1663 227 1690 bound
7 15 0.9999687671661377 233 1661 274 1693 for
7 15 0.999921441078186 277 1663 321 1691 the
7 15 0.7867085337638855 327 1663 445 1690 Neumann
7 15 0.9999532699584961 454 1663 529 1690 Green
7 15 0.9998598098754883 537 1663 645 1690 function.
7 15 0.9998524188995361 654 1663 697 1691 We
7 15 0.9945808053016663 702 1663 776 1695 adapt
7 15 0.9998272061347961 779 1661 810 1691 in
7 15 0.999925971031189 815 1663 858 1691 the
7 15 0.9999481439590454 864 1666 955 1693 present
7 15 0.9999735355377197 961 1664 1019 1691 note
7 15 0.9999535083770752 1025 1663 1074 1690 this
8 0 0.9991844296455383 147 1418 244 1451 subject.
