block line confidence X1 Y1 X2 Y2 token
0 0 0.8771697878837585 239 408 315 433 where
0 0 0.28729456663131714 317 410 345 442 p
0 0 0.9993207454681396 341 406 371 438 is
0 0 0.9999754428863525 370 403 420 438 the
0 0 0.9994958639144897 420 410 498 442 upper
0 0 0.9996833801269531 501 408 581 433 bound
0 0 0.9994114637374878 582 406 619 438 of
0 0 0.9846920371055603 617 408 680 433 term
0 0 0.480844110250473 683 399 831 440 (1.5/A/)1
0 0 0.9975078105926514 833 406 861 438 +
0 0 0.3566395044326782 859 395 939 444 IA
0 0 0.5973079204559326 957 401 1045 442 T'-1
0 0 0.9996902942657471 1050 403 1104 438 and
0 0 0.9842786192893982 1104 410 1155 436 can
0 0 0.9943116903305054 1153 403 1195 438 be
0 0 0.998650848865509 1193 408 1303 433 obtained
0 0 0.9976766705513 1306 403 1344 442 by
1 0 0.9889184832572937 200 588 366 620 Quantifying
1 0 0.9592958092689514 370 586 425 618 the
1 0 0.9790490865707397 428 588 512 614 Norm
1 0 0.9999433755874634 516 584 556 618 of
1 0 0.43592777848243713 554 582 604 618 v()
1 0 0.9931074976921082 610 588 750 620 Projected
1 0 0.9999631643295288 755 588 790 616 at
1 0 0.9996113181114197 796 588 923 614 Different
1 0 0.9916704893112183 929 588 1082 620 Subspaces:
1 0 0.9994412064552307 1104 586 1183 620 Then,
1 0 0.7945739030838013 1185 590 1226 616 we
1 0 0.9996500015258789 1226 584 1279 618 will
1 0 0.9891648888587952 1279 592 1328 616 use
1 0 0.5560956001281738 1329 586 1502 616 mathematical
2 0 0.6542534828186035 197 618 318 650 induction
2 0 0.9999390840530396 318 620 351 650 to
2 0 0.8893504738807678 355 627 426 653 prove
3 0 0.9401795268058777 235 764 273 801 Iti
3 0 0.9987295269966125 267 766 297 799 is
3 0 0.9937372207641602 295 771 353 797 true
3 0 0.999775230884552 355 766 425 799 when
3 0 0.9997946619987488 425 766 448 799 t
3 0 0.9600151777267456 439 771 474 797 =
3 0 0.979957640171051 471 766 496 799 0
3 0 0.9995317459106445 494 766 562 799 since
3 0 0.22816994786262512 566 760 642 801 ()1!
3 0 0.7452484965324402 642 751 693 786 115)
3 0 0.9547734260559082 693 766 723 799 0.
4 0 0.5319387912750244 242 805 361 831 Assuming
4 0 0.9904603958129883 365 799 425 833 that
4 0 0.9990135431289673 426 803 536 835 equation
4 0 0.9832949042320251 541 797 605 837 (160)
4 0 0.9995864033699036 609 801 637 833 is
4 0 0.9993417859077454 637 801 697 833 true
4 0 0.9830907583236694 695 803 730 831 at
4 0 0.9966541528701782 728 799 778 833 the
4 0 0.9991699457168579 776 799 823 833 tth
4 0 0.9055580496788025 826 805 937 831 iteration,
4 0 0.6837234497070312 942 805 984 831 we.
4 0 0.9920699000358582 984 799 1049 831 need
4 0 0.9991030693054199 1049 801 1082 831 to
4 0 0.9958301186561584 1082 805 1157 837 prove
5 0 0.9998542070388794 239 943 356 981 Applying
5 0 0.9672300219535828 361 941 425 981 (157)
5 0 0.9135674834251404 428 943 486 977 into
5 0 0.9981978535652161 488 943 551 975 RHS
5 0 0.9999924898147583 552 945 586 975 of
5 0 0.9783357977867126 589 941 657 981 (161),
5 0 0.7613810896873474 665 949 707 975 we.
5 0 0.9373572468757629 708 947 768 973 have
6 0 0.9957094192504883 949 1020 986 1067 V
7 0 0.9997126460075378 237 1095 290 1130 and
7 0 0.9927507638931274 293 1097 443 1130 substituting
7 0 0.9503297209739685 451 1095 511 1130 (158)
7 0 0.9989494681358337 517 1095 574 1127 into
7 0 0.9995156526565552 574 1095 635 1127 LHS
7 0 0.9999997615814209 637 1095 670 1125 of
7 0 0.5697869062423706 675 1095 740 1130 (161)
7 0 0.7028023600578308 750 1102 790 1127 we
7 0 0.9826839566230774 790 1095 854 1127 have
8 0 0.9569565057754517 871 1175 893 1194 V
9 0 0.9998366832733154 239 1254 317 1289 Then,
9 0 0.9995676875114441 318 1261 368 1286 our
9 0 0.9304232001304626 368 1256 428 1291 goal
9 0 0.9974306225776672 428 1254 456 1286 is
9 0 0.9996703863143921 456 1258 491 1286 to
9 0 0.9566561579704285 493 1263 566 1289 prove
9 0 0.9922324419021606 567 1254 632 1286 RHS
9 0 0.9998873472213745 630 1252 670 1289 of
9 0 0.9902524948120117 670 1252 737 1293 (162)
9 0 0.9999434947967529 740 1254 768 1286 is
9 0 0.9997546076774597 806 1258 863 1284 ater
9 0 0.9966936111450195 864 1254 929 1286 than
9 0 0.9976834058761597 929 1254 996 1286 RHS
9 0 0.9121719002723694 1011 1254 1032 1286 f
9 0 0.9948428273200989 1034 1252 1104 1293 (163).
9 0 0.9984970092773438 1115 1254 1187 1286 After
9 0 0.9871943593025208 1187 1261 1256 1286 some
9 0 0.6481972336769104 1261 1256 1445 1289 manipulations,
9 0 0.9997193217277527 1447 1254 1477 1286 it
9 0 0.9988235831260681 1477 1254 1505 1286 is
10 0 0.9870556592941284 197 1291 308 1316 sufficient
10 0 0.9995367527008057 312 1291 346 1319 to
10 0 0.9965678453445435 345 1289 415 1321 show
11 0 0.5000044107437134 762 1364 818 1417 V
12 0 0.9946197271347046 239 1441 272 1471 In
12 0 0.9999673366546631 270 1439 320 1473 the
12 0 0.9873552918434143 322 1443 439 1475 following,
12 0 0.9997950196266174 444 1445 484 1471 we
12 0 0.9993324875831604 484 1439 537 1473 will
12 0 0.9964385032653809 539 1443 604 1469 show
12 0 0.998723566532135 605 1441 665 1473 that
12 0 0.9999498128890991 664 1439 713 1473 the
12 0 0.9985203146934509 715 1443 790 1469 above
12 0 0.997992992401123 793 1443 889 1469 relation
12 0 0.9990487694740295 893 1441 921 1473 is
12 0 0.9997126460075378 921 1445 984 1471 true.
13 0 0.9919618964195251 197 1510 272 1542 First
13 0 0.9999200105667114 273 1512 340 1546 step
13 0 0.9999164342880249 358 1512 381 1546 :
13 0 0.9986438155174255 380 1510 426 1544 We
13 0 0.861954391002655 426 1510 499 1542 know
13 0 0.9997127652168274 499 1510 557 1542 that
14 0 0.9998301267623901 239 1667 317 1699 where
14 0 0.9423257112503052 317 1662 363 1708 (a)
14 0 0.9998202919960022 361 1667 390 1699 is
14 0 0.999461829662323 390 1667 449 1699 true
14 0 0.998445451259613 449 1667 551 1699 because
14 0 0.9936502575874329 552 1673 592 1699 we
14 0 0.999108612537384 592 1667 680 1699 choose
14 0 0.44719603657722473 677 1660 745 1710 Gnax
14 0 0.9947611689567566 747 1673 770 1695 -
14 0 0.3832186460494995 771 1667 869 1705 1/(22(4
14 0 0.967549204826355 866 1669 896 1701 +
14 0 0.6652742624282837 893 1665 962 1705 620))
14 0 0.9998113512992859 964 1665 1017 1701 and
14 0 0.7906183004379272 1017 1671 1044 1705 7
14 0 0.5434214472770691 1039 1667 1074 1705 5
14 0 0.6580467224121094 1069 1665 1213 1705 Cmax/Lmax-
15 0 0.9589852094650269 199 1740 298 1766 Second
15 0 0.999943733215332 303 1740 368 1774 step
15 0 0.9999109506607056 390 1735 413 1772 :
15 0 0.9982296824455261 410 1738 478 1770 Also,
15 0 0.9468728303909302 478 1742 521 1768 we
15 0 0.9956205487251282 521 1740 591 1766 know
15 0 0.8053101897239685 610 1740 650 1768 lat
16 0 0.9729081988334656 240 1894 307 1920 With
16 0 0.9999352693557739 308 1890 356 1925 the
16 0 0.9936070442199707 358 1894 433 1920 above
16 0 0.9986699819564819 433 1892 488 1925 two
16 0 0.9966523051261902 488 1894 562 1929 steps,
16 0 0.9996446371078491 564 1897 604 1922 we
16 0 0.998299777507782 605 1890 669 1922 have
16 0 0.5044505000114441 670 1888 745 1922 A(t+1)
16 0 0.5955618619918823 745 1890 776 1929 5
16 0 0.5883195996284485 773 1886 868 1933 4ut+
16 0 0.44297972321510315 863 1888 969 1929 1)6(t+1),
16 0 0.9994038343429565 972 1890 1050 1922 which
16 0 0.9914416670799255 1054 1894 1177 1927 completes
16 0 0.9998888969421387 1178 1890 1228 1925 the
16 0 0.9983977675437927 1230 1894 1353 1920 induction.
17 0 0.9973112344741821 831 1974 869 2010 50
