block line confidence X1 Y1 X2 Y2 token
0 0 0.9971643090248108 201 169 276 203 Table
0 0 0.7470147609710693 276 166 314 203 I:
0 0 0.9962860345840454 316 169 434 203 Observed
0 0 0.9970247149467468 437 169 547 203 numbers
0 0 0.999997615814209 549 171 581 203 of
0 0 0.9762643575668335 581 171 725 205 lung-cancer
0 0 0.9928224682807922 726 175 794 203 cases
0 0 0.999678373336792 796 169 835 207 by
0 0 0.9999959468841553 835 169 896 203 dose
0 0 0.9980706572532654 898 171 1028 205 categories,
0 0 0.9989486336708069 1033 171 1156 205 compared
0 0 0.9995206594467163 1158 169 1221 203 with
0 0 0.9999358654022217 1222 169 1293 203 those
0 0 0.9380783438682556 1295 171 1413 205 predicted
0 0 0.9998571872711182 1414 169 1453 207 by
0 0 0.869122326374054 1453 166 1502 203 the
0 1 0.9980762004852295 163 203 297 237 descriptive
0 1 0.9935572743415833 298 201 353 235 and
0 1 0.6817784905433655 355 203 494 237 multi-stage
0 1 0.9996554851531982 499 205 587 232 models
0 1 0.9996271133422852 591 201 633 239 (in
0 1 0.9996210336685181 636 205 746 230 brackets:
0 1 0.9993226528167725 752 207 833 232 excess
0 1 0.5262186527252197 835 203 920 237 cases).
0 1 0.9997386336326599 927 203 965 232 As
0 1 0.9999097585678101 965 205 990 237 a
0 1 0.7910447716712952 993 205 1109 232 reference,
0 1 0.79564368724823 1114 207 1154 235 we
0 1 0.9973805546760559 1154 201 1209 235 also
0 1 0.9953951239585876 1209 203 1267 239 give
0 1 0.9998871088027954 1266 201 1316 235 the
0 1 0.9984425902366638 1318 210 1402 237 person
0 1 0.9995760321617126 1405 210 1471 237 years
0 1 0.8771399855613708 1476 201 1526 239 (py)
1 0 0.9996082186698914 140 593 205 628 rate,
1 0 0.9944977164268494 208 591 271 625 note
1 0 0.9999339580535889 276 593 332 621 that
1 0 0.9922176599502563 339 591 463 625 a-particle
1 0 0.9995455145835876 466 589 523 623 hits
1 0 0.9999327659606934 523 589 562 625 of
1 0 0.9948744177818298 558 593 584 623 a
1 0 0.9993144273757935 584 589 636 623 cell
1 0 0.99937504529953 641 593 734 621 nucleus
1 0 0.9960469603538513 739 596 786 623 are
1 0 0.9992547631263733 788 589 830 625 in-
1 0 0.9993540644645691 872 591 948 625 doses,
1 0 0.9991433620452881 951 591 983 623 in
1 0 0.5958055853843689 985 596 1049 623 turn,
1 0 0.999806821346283 1056 591 1103 623 the
1 0 0.6782112717628479 1104 598 1211 625 response
1 0 0.8789843320846558 1214 593 1343 625 essentially
1 0 0.9997478127479553 1345 591 1474 623 saturated.
1 1 0.9963222742080688 143 625 274 657 dependent
1 1 0.9971956014633179 277 623 332 657 and
1 1 0.8903037309646606 337 628 400 655 rare.
1 1 0.9999316930770874 418 621 489 655 Thus
1 1 0.9999598264694214 492 621 542 657 the
1 1 0.528143584728241 547 625 644 653 number
1 1 0.999981164932251 650 623 686 657 of
1 1 0.9997603297233582 688 623 747 657 hits,
1 1 0.9951658248901367 755 621 796 657 N,
1 1 0.9999122619628906 802 623 830 655 is
1 1 0.9935130476951599 872 621 920 657 the
1 1 0.9916236996650696 923 625 983 653 lines
1 1 0.736421525478363 990 625 1082 660 leading
1 1 0.9998167157173157 1087 625 1119 655 to
1 1 0.9971303343772888 1122 623 1169 660 Eq.
1 1 0.998659610748291 1175 619 1229 664 (3),
1 1 0.9384496212005615 1230 628 1272 655 we
1 1 0.9982829093933105 1274 628 1324 655 can
1 1 0.9250322580337524 1329 625 1435 653 estimate
1 1 0.9522008895874023 1440 621 1490 655 the
1 2 0.8252171277999878 145 655 386 689 Poisson-distributed,
1 2 0.9704060554504395 390 653 436 692 PN
1 2 0.99241042137146 434 660 466 687 =
1 2 0.6259113550186157 463 648 625 694 e-NNN/NI,
1 2 0.9971394538879395 623 653 701 687 which
1 2 0.9959723353385925 701 660 783 685 means
1 2 0.9955042004585266 785 655 831 687 the
1 2 0.985704779624939 873 657 986 685 acteristic
1 2 0.9998146891593933 991 657 1051 685 dose
1 2 0.9957103729248047 1056 657 1111 685 rate
1 2 0.9993569254875183 1111 653 1148 692 ds
1 2 0.995631217956543 1150 653 1188 694 by
1 2 0.9693711996078491 1190 657 1309 692 assuming
1 2 0.999678373336792 1311 653 1361 687 the
1 2 0.9988001585006714 1363 660 1477 685 crossover
1 2 0.9995429515838623 1481 657 1511 687 to
1 3 0.9992332458496094 143 694 240 721 fraction
1 3 0.9998742341995239 243 692 277 721 of
1 3 0.9986347556114197 276 689 335 724 cells
1 3 0.9382734894752502 337 689 387 724 not
1 3 0.9999150037765503 389 692 429 721 hit
1 3 0.9998869895935059 432 692 461 724 is
1 3 0.7642408609390259 463 692 536 726 PN=0
1 3 0.9946721196174622 539 694 568 724 =
1 3 0.6036313772201538 566 682 634 726 e-N.
1 3 0.6473655104637146 642 692 765 726 Assuming
1 3 0.45973122119903564 770 687 806 730 (i)
1 3 0.9994729161262512 807 698 833 724 a
1 3 0.9974090456962585 872 692 919 719 cur
1 3 0.9986926913261414 920 689 954 719 at
1 3 0.999797523021698 956 694 982 719 a
1 3 0.9983004927635193 985 689 1080 717 fraction
1 3 0.5856499075889587 1083 692 1109 724 P
1 3 0.9985491633415222 1111 692 1140 719 =
1 3 0.9976288676261902 1141 685 1187 721 0.1
1 3 0.9999980926513672 1187 682 1222 721 of
1 3 0.9991818070411682 1222 689 1280 717 cells
1 3 0.9669040441513062 1284 687 1356 724 being
1 3 0.9953640699386597 1358 685 1410 719 hit.
1 3 0.9999909400939941 1418 685 1482 719 This
1 3 0.9999675750732422 1484 687 1558 721 yields
1 4 0.9992522597312927 143 726 216 753 linear
1 4 0.9380350112915039 219 726 279 753 dose
1 4 0.8326160311698914 282 726 397 760 response,
1 4 0.9977918863296509 402 721 432 753 N
1 4 0.9769509434700012 434 726 466 753 =
1 4 0.8636476397514343 461 726 492 756 n
1 4 0.9972203969955444 481 721 523 758 D,
1 4 0.9998289346694946 524 721 587 756 with
1 4 0.9164021611213684 586 726 615 756 n
1 4 0.43825745582580566 612 726 646 756 N
1 4 0.8284236788749695 642 724 713 760 4/Gy
1 4 0.5346055030822754 717 719 775 762 [56),
1 4 0.999879002571106 776 721 830 756 and
1 4 0.9858852624893188 870 717 906 756 ds
1 4 0.48228973150253296 902 717 1003 758 p/nr
1 4 0.5818653106689453 1001 724 1033 751 2
1 4 0.9982901215553284 1032 719 1172 753 0.025Gy/a,
1 4 0.9950329065322876 1177 721 1251 749 under
1 4 0.9996739625930786 1251 717 1300 753 the
1 4 0.9903119802474976 1298 724 1366 751 same
1 4 0.997795820236206 1366 724 1460 749 caveats
1 4 0.9995266199111938 1460 724 1495 751 as
1 4 0.9949131011962891 1494 724 1560 751 men-
1 5 0.9799005389213562 142 753 185 792 (ii)
1 5 0.9999392032623291 192 756 292 790 delivery
1 5 0.9999860525131226 298 756 331 788 of
1 5 0.9998563528060913 334 753 382 790 the
1 5 0.9967953562736511 386 758 445 785 dose
1 5 0.9921625256538391 452 756 482 788 D
1 5 0.9658820033073425 487 758 520 788 =
1 5 0.557719349861145 523 753 568 790 dr
1 5 0.9997288584709167 571 760 629 788 over
1 5 0.9819750189781189 633 758 659 788 a
1 5 0.9995039701461792 662 756 830 788 characteristic
1 5 0.9943562150001526 872 749 954 783 tioned
1 5 0.8754205703735352 957 753 1038 781 above.
1 5 0.7971866726875305 1048 753 1116 781 From
1 5 0.9974732995033264 1117 749 1172 783 this
1 5 0.9980039000511169 1172 753 1314 785 standpoint,
1 5 0.979197084903717 1319 753 1381 781 both
1 5 0.9922692775726318 1385 756 1507 783 bystander
1 5 0.9991260170936584 1510 751 1560 788 sig-
1 6 0.8742294907569885 140 785 203 820 time
1 6 0.9999767541885376 206 785 242 820 of
1 6 0.9983721375465393 243 788 313 815 order
1 6 0.9999459981918335 319 788 366 820 the
1 6 0.9989142417907715 371 788 466 815 interval
1 6 0.9999260902404785 474 788 578 815 between
1 6 0.991671085357666 583 783 633 820 cell
1 6 0.9963322281837463 638 785 713 822 cycles
1 6 0.8944429159164429 720 783 757 822 (T
1 6 0.5602819323539734 757 790 791 817 a
1 6 0.999723494052887 796 788 830 817 la
1 6 0.9964303374290466 872 783 954 817 naling
1 6 0.9996142387390137 954 781 1007 815 and
1 6 0.9701218605041504 1011 783 1057 815 the
1 6 0.9966629147529602 1057 783 1214 817 repopulation
1 6 0.9980683922767639 1221 783 1351 817 hypothesis
1 6 0.9815872311592102 1356 790 1444 817 appear
1 6 0.9809315800666809 1448 788 1557 815 compati-
1 7 0.9999874830245972 138 815 184 851 for
1 7 0.9988665580749512 184 817 253 851 basal
1 7 0.9999105930328369 255 817 321 851 stem
1 7 0.9993133544921875 323 820 379 847 cells
1 7 0.39367786049842834 384 815 450 858 [57)),
1 7 0.9998962879180908 453 822 494 849 we
1 7 0.9991455078125 495 820 557 847 have
1 7 0.9433621168136597 560 815 668 856 PN=o(d)
1 7 0.997895359992981 670 822 702 849 =
1 7 0.5630272030830383 699 810 785 854 e-ndr.
1 7 0.999962568283081 789 815 830 851 At
1 7 0.9999912977218628 872 815 915 845 ble
1 7 0.9997261166572571 917 813 978 847 with
1 7 0.9915314316749573 980 815 1027 847 the
1 7 0.8120452165603638 1028 817 1143 845 dose-rate
1 7 0.9769570827484131 1148 822 1255 849 response
1 7 0.9997788071632385 1258 813 1334 847 found
1 7 0.9957098960876465 1332 810 1368 849 in
1 7 0.9999496936798096 1366 813 1421 847 this
1 7 0.9999117851257324 1421 815 1500 849 study.
2 0 0.9996278285980225 140 847 188 883 the
2 0 0.9962931275367737 188 849 356 881 characteristic
2 0 0.9999438524246216 356 849 418 883 dose
2 0 0.9997245669364929 416 851 481 886 rate,
2 0 0.433493971824646 479 849 521 886 ds;
2 0 0.9992050528526306 521 849 600 883 about
2 0 0.9434113502502441 600 856 650 881 one
2 0 0.8625521063804626 649 849 699 883 out
2 0 0.9980939030647278 696 849 736 886 of,
2 0 0.9988692402839661 734 851 788 888 say,
2 0 0.9993903636932373 789 851 830 881 six
2 1 0.9997755885124207 142 886 234 913 nearest
2 1 0.9578577876091003 235 883 356 918 neighbors
2 1 0.9998809099197388 360 883 436 911 would
2 1 0.9998165965080261 436 879 476 915 be
2 1 0.9991243481636047 473 881 523 918 hit,
2 1 0.9998981952667236 524 883 583 911 such
2 1 0.9999357461929321 584 881 644 915 that
2 1 0.6793175935745239 646 883 730 918 Po(ds)
2 1 0.6961448192596436 726 883 828 918 =1-P,
2 2 0.5952704548835754 135 911 197 954 p=
2 2 0.9959077835083008 190 911 250 954 1/6,
2 2 0.9999593496322632 250 915 353 950 yielding
2 2 0.9996964931488037 353 918 377 947 a
2 2 0.9977492690086365 377 913 545 945 characteristic
2 2 0.9999486207962036 549 915 607 943 dose
2 2 0.9985401630401611 608 913 667 947 rate
2 2 0.9999794960021973 665 913 701 947 of
3 0 0.9987194538116455 964 849 999 879 B.
3 0 0.9989699125289917 1024 849 1182 881 Comparison
3 0 0.9999254941940308 1187 849 1251 877 with
3 0 0.9972604513168335 1256 851 1368 879 previous
3 0 0.9999650716781616 1372 849 1466 877 studies
