block line confidence X1 Y1 X2 Y2 token
0 0 0.999915599822998 175 204 224 240 As
0 0 0.9997740387916565 222 204 260 242 in
0 0 0.9996745586395264 263 206 325 240 Ref.
0 0 0.6435855627059937 332 201 380 249 [6),
0 0 0.9983282685279846 381 201 431 244 let
0 0 0.9871842265129089 429 208 473 242 us
0 0 0.9950072765350342 476 210 594 236 consider
0 0 0.9999841451644897 600 206 654 240 the
0 0 0.7352423071861267 657 206 795 244 five-point
0 0 0.9874091148376465 801 208 957 238 correlation
0 0 0.9916594624519348 966 210 1084 236 function
0 0 0.9998719692230225 1090 206 1162 240 with
0 0 0.9998869895935059 1162 210 1223 242 one
0 0 0.9994974136352539 1228 210 1381 242 degenerate
0 0 0.999060332775116 1387 206 1454 240 field
1 0 0.9996141195297241 175 380 244 421 Due
1 0 0.9995456337928772 242 384 283 421 to
1 0 0.9999133348464966 285 384 338 418 the
1 0 0.9992990493774414 343 391 468 423 presence
1 0 0.9998369216918945 469 382 509 418 of
1 0 0.9999446868896484 509 382 562 418 the
1 0 0.9982883334159851 567 384 723 423 degenerate
1 0 0.7451415061950684 728 382 805 423 field,
1 0 0.9971939325332642 806 380 871 421 this
1 0 0.9232740998268127 874 384 1029 416 correlation
1 0 0.9951097369194031 1037 384 1157 416 function
1 0 0.9998694658279419 1163 384 1279 416 satisfies
1 0 0.9996436834335327 1281 388 1309 421 a
1 0 0.9972479939460754 1311 384 1411 423 partial
1 0 0.9584940671920776 1417 384 1548 416 differenti
1 1 0.9919096827507019 127 425 263 464 equation,
1 1 0.9997689127922058 268 425 370 457 second
1 1 0.9999401569366455 375 423 454 457 order
1 1 0.9997805953025818 456 423 496 459 in
1 1 0.8317024111747742 494 427 529 464 2,
1 1 0.9946856498718262 532 423 595 457 first
1 1 0.9966963529586792 599 423 680 457 order
1 1 0.9991918206214905 682 423 720 459 in
1 1 0.24535009264945984 720 429 757 461 I.
1 1 0.9977201819419861 763 423 818 457 For
1 1 0.9999088048934937 821 423 874 459 the
1 1 0.7087620496749878 878 431 1007 464 purposes
1 1 0.9985283613204956 1009 421 1049 459 of
1 1 0.9999716281890869 1049 423 1108 457 this
1 1 0.9995315074920654 1112 425 1215 457 section
1 1 0.9981697797775269 1216 423 1251 459 it
1 1 0.9989898800849915 1250 423 1284 459 is
1 1 0.9995645880699158 1286 425 1441 457 convenient
1 1 0.9893787503242493 1442 423 1482 459 to
1 1 0.9875704646110535 1484 423 1555 457 defin
2 0 0.9999744892120361 127 464 182 498 the
2 0 0.9958890080451965 185 464 305 496 function
2 0 0.5179123878479004 313 464 410 504 (ug)
2 0 0.9997103810310364 416 470 453 498 as
3 0 0.356446772813797 1090 592 1135 620 3
3 0 0.4263077676296234 1130 590 1162 618 .
4 0 0.9998186230659485 175 724 267 762 where
4 0 0.9999673366546631 270 726 323 760 the
4 0 0.9998155236244202 330 730 443 756 variable
4 0 0.4370127320289612 446 730 476 760 2
4 0 0.9999438524246216 476 724 509 762 is
4 0 0.9898973703384399 511 728 614 760 related
4 0 0.9998779296875 619 726 688 760 with
4 0 0.9999521970748901 693 726 747 760 the
4 0 0.8227945566177368 760 730 879 756 rariablec
