block line confidence X1 Y1 X2 Y2 token
0 0 0.9996788501739502 243 237 284 274 to
0 0 0.935973048210144 281 242 397 269 estimate
0 0 0.999946117401123 398 237 449 274 the
0 0 0.860228955745697 449 239 592 271 covariance
0 0 0.998323380947113 594 242 686 269 matrix
0 0 0.9998446702957153 688 244 752 271 over
0 0 0.9999046325683594 749 244 775 274 a
0 0 0.9922915101051331 773 237 864 278 longer
0 0 0.9999039173126221 864 237 954 278 period
0 0 0.9999958276748657 952 235 991 274 of
0 0 0.782721221446991 990 239 1061 276 time,
0 0 0.9994437098503113 1061 242 1112 278 say
0 0 0.9008978009223938 1112 237 1167 274 five
0 0 0.9957724213600159 1167 246 1240 274 years
0 0 0.9999998807907104 1242 235 1287 274 for
0 0 0.9019259810447693 1285 237 1410 278 example,
0 1 0.9995555281639099 243 283 302 317 and
0 1 0.9119149446487427 303 290 353 317 use
0 1 0.9993274211883545 355 283 384 317 it
0 1 0.9997770190238953 384 290 421 317 as
0 1 0.9976995587348938 421 290 461 317 an
0 1 0.9887599945068359 463 285 541 322 input
0 1 0.9997449517250061 544 280 591 319 for
0 1 0.8783084154129028 589 290 663 317 some
0 1 0.999213695526123 665 283 722 317 risk
0 1 0.998343825340271 725 283 868 315 estimation
0 1 0.9994038343429565 873 283 986 317 method.
0 1 0.9998931884765625 991 280 1030 319 In
0 1 0.9998397827148438 1032 283 1088 317 this
0 1 0.9997679591178894 1090 283 1177 324 spirit,
0 1 0.9998233914375305 1179 290 1221 317 we
0 1 0.9999088048934937 1224 287 1293 315 want
0 1 0.9999713897705078 1293 283 1332 319 to
0 1 0.9995877146720886 1332 283 1410 317 know
0 2 0.9995189905166626 243 328 305 363 how
0 2 0.9974943399429321 308 328 366 363 well
0 2 0.9999669790267944 368 326 419 363 the
0 2 0.9077611565589905 423 331 602 365 homogeneous
0 2 0.9993595480918884 605 328 752 363 correlation
0 2 0.9997244477272034 759 333 851 360 matrix
0 2 0.9872249960899353 856 331 985 363 estimates
0 2 0.999984622001648 986 328 1038 363 the
0 2 0.9996980428695679 1040 328 1103 365 risk,
0 2 0.9540794491767883 1106 328 1198 370 taking
0 2 0.9090380668640137 1201 331 1348 365 fluctuating
0 2 0.5226419568061829 1351 335 1410 363 COr-
