block line confidence X1 Y1 X2 Y2 token
0 0 0.9999818801879883 1543 75 1567 109 3
1 0 0.6828309297561646 320 154 428 180 Currently
1 0 0.9985299110412598 431 152 469 180 at:
1 0 0.9903377294540405 474 152 556 178 Center
1 0 0.9968283772468567 554 148 599 184 for
1 0 0.9997537732124329 602 150 748 182 Underground
1 0 0.997855007648468 752 150 846 182 Physics,
1 0 0.9442534446716309 853 152 951 178 Institute
1 0 0.9992969036102295 951 148 996 184 for
1 0 0.9963170289993286 996 152 1062 178 Basic
1 0 0.9977866411209106 1065 150 1160 182 Science,
1 0 0.9945477843284607 1167 150 1260 182 Daejeon
1 0 0.9991320967674255 1263 150 1343 182 34126,
1 0 0.9236413836479187 1346 152 1417 178 Korea
2 0 0.9943671822547913 846 266 864 290 1
3 0 0.9777954816818237 322 348 378 380 The
3 0 0.9989509582519531 381 352 456 378 charm
3 0 0.9631767868995667 463 350 607 382 semileptonic
3 0 0.9915294647216797 612 350 692 382 decays
3 0 0.9839767217636108 698 345 745 380 D+
3 0 0.581659197807312 750 352 783 380 1
3 0 0.4320251941680908 788 345 864 386 netue
3 0 0.9650434255599976 868 348 919 382 and
3 0 0.8193188905715942 921 341 971 384 D+
3 0 0.2067861407995224 974 350 1011 382 1
3 0 0.5947893857955933 1014 348 1094 382 n'etve
3 0 0.9669049382209778 1100 354 1145 380 are
3 0 0.9998713731765747 1147 348 1236 380 studied
3 0 0.9990905523300171 1240 348 1299 380 with
3 0 0.9999332427978516 1301 352 1328 382 a
3 0 0.996916651725769 1328 350 1414 382 sample
3 1 0.9933332800865173 298 378 330 406 of
3 1 0.5100922584533691 328 375 395 408 ete-
3 1 0.9981070756912231 401 380 496 406 collision
3 1 0.9996091723442078 503 380 559 406 data
3 1 0.9935734868049622 564 380 727 412 corresponding
3 1 0.9943572878837585 730 380 763 408 to
3 1 0.9995334148406982 763 382 800 408 an
3 1 0.9804547429084778 805 382 921 408 integrated
3 1 0.9247148633003235 931 382 1050 408 luminosity
3 1 0.9999995231628418 1054 378 1087 406 of
3 1 0.8875559568405151 1087 375 1193 408 2.93fb-1
3 1 0.9682687520980835 1200 380 1301 406 collected
3 1 0.9529659748077393 1306 380 1339 408 at
3 1 0.8469573855400085 1341 375 1384 412 Vs
3 1 0.9992289543151855 1384 382 1414 410 =
3 2 0.9550199508666992 300 408 418 433 3.773GeV
3 2 0.9956016540527344 420 406 481 438 with
3 2 0.9998759031295776 481 408 524 436 the
3 2 0.9799492955207825 529 408 612 433 BESIII
