block line confidence X1 Y1 X2 Y2 token
0 0 0.9942451119422913 195 207 263 235 seen
0 0 0.999783456325531 271 198 308 237 in
0 0 0.9996115565299988 313 203 373 237 our
0 0 0.9981476068496704 377 198 481 242 largest
0 0 0.9998109936714172 489 201 584 235 lateral
0 0 0.9981933236122131 594 201 720 242 systems,
0 0 0.9973275661468506 730 207 768 235 as
0 0 0.999843955039978 778 201 927 232 illustrated
0 0 0.999954342842102 933 198 973 237 in
0 0 0.9973182082176208 980 198 1043 242 Fig.
0 0 0.9999735355377197 1049 198 1085 237 3.
0 0 0.9998093247413635 1108 196 1158 242 (In
0 0 0.9895338416099548 1166 198 1227 244 Fig.
0 0 0.7807846069335938 1238 198 1279 237 ld
0 0 0.999982476234436 1285 198 1342 235 the
0 0 0.9980952143669128 1348 201 1498 235 transverse
0 1 0.9523516893386841 201 258 368 299 (horizontal)
0 1 0.999589741230011 373 258 434 294 size
0 1 0.9979766011238098 436 264 495 292 was
0 1 0.962341845035553 499 258 573 292 fixed
0 1 0.8702331185340881 576 264 613 292 SO
0 1 0.9999672174453735 617 258 683 292 that
0 1 0.9883512854576111 688 258 859 299 meandering
0 1 0.9899375438690186 860 258 915 294 did
0 1 0.999935507774353 915 260 972 294 not
0 1 0.9987174272537231 973 258 1041 301 play
0 1 0.9994858503341675 1045 264 1087 294 an
0 1 0.9983491897583008 1091 258 1227 292 increased
0 1 0.9887067079544067 1230 258 1292 292 role
0 1 0.9997950196266174 1293 264 1330 294 as
0 1 0.9995660185813904 1334 262 1437 296 system
0 1 0.9995898604393005 1440 258 1500 294 size
0 2 0.9995096921920776 195 319 258 354 was
0 2 0.9997931122779846 258 315 369 356 varied.)
0 2 0.9999302625656128 381 312 426 351 As
0 2 0.9971879124641418 428 315 563 349 described
0 2 0.9979538917541504 568 315 667 356 above,
0 2 0.830634355545044 667 319 725 354 our
0 2 0.9641805291175842 726 319 823 347 second
0 2 0.7398884892463684 830 317 982 349 simulation
0 2 0.9990370273590088 986 319 1088 354 system
0 2 0.859217643737793 1096 317 1175 354 (from
0 2 0.9998642206192017 1180 315 1269 349 which
0 2 0.9999107122421265 1272 315 1326 351 the
0 2 0.9995836615562439 1327 315 1400 349 data
0 2 0.9998750686645508 1400 317 1432 349 in
0 2 0.998305082321167 1435 312 1498 358 Fig.
0 3 0.9995495676994324 193 372 224 413 3
0 3 0.9995137453079224 221 372 256 413 is
0 3 0.7209656238555908 255 374 395 415 obtained)
0 3 0.999871015548706 398 372 432 411 is
0 3 0.9998492002487183 434 374 518 408 based
0 3 0.9995170831680298 521 381 563 411 on
0 3 0.9984824061393738 566 374 670 415 adding
0 3 0.9723453521728516 673 376 847 408 cross-braces
0 3 0.9998363256454468 852 379 888 408 to
0 3 0.999701201915741 888 381 917 411 a
0 3 0.9991682767868042 917 381 1015 415 square
0 3 0.9869518280029297 1019 374 1120 408 lattice.
0 3 0.9974729418754578 1130 374 1209 408 Thus
0 3 0.9998786449432373 1213 374 1324 415 varying
0 3 0.9949236512184143 1327 374 1377 411 Az
0 3 0.999891996383667 1381 374 1497 408 controls
0 4 0.9999061822891235 195 433 251 468 not
0 4 0.9994887113571167 251 431 321 475 only
0 4 0.9999644756317139 323 431 374 468 the
0 4 0.9973112344741821 379 436 495 463 intrinsic
