block line confidence X1 Y1 X2 Y2 token
0 0 0.9998173117637634 287 344 348 370 were
1 0 0.9898654818534851 285 525 337 559 and
2 0 0.9999855756759644 285 712 340 749 The
2 0 0.8373098373413086 340 714 494 746 second-order
2 0 0.8957886099815369 495 717 662 749 approximation
2 0 0.9865753054618835 663 714 707 751 (6)
2 0 0.9993277788162231 707 717 806 744 contains
2 0 0.9997085928916931 806 719 830 749 a
2 0 0.9942814111709595 830 714 962 746 biharmonic
2 0 0.9990274906158447 967 719 1067 746 operator.
2 0 0.9891963005065918 1077 712 1124 749 We
2 0 0.9828428626060486 1124 721 1171 746 can
2 0 0.9522926807403564 1174 717 1339 751 approximately
2 0 0.9925938248634338 1342 717 1427 751 replace
2 1 0.9307881593704224 243 744 281 783 it
2 1 0.9988017082214355 271 746 331 781 with
2 1 0.9940447211265564 329 751 355 781 a
2 1 0.5184453725814819 355 751 557 776 reaction-diffusion
2 1 0.914269745349884 562 751 646 785 system
2 1 0.9999556541442871 649 749 689 778 for
2 1 0.9799949526786804 692 751 796 776 solutions
2 1 0.9995443224906921 801 751 875 778 which
2 1 0.9930257797241211 880 756 919 776 are
2 1 0.9369297027587891 923 751 1088 783 approximately
2 1 0.9496305584907532 1093 749 1216 783 oscillatory
2 1 0.9999024868011475 1217 749 1248 781 in
2 1 0.9887794256210327 1251 756 1319 783 space
2 1 0.9998337030410767 1321 746 1381 781 with
2 1 0.9998219609260559 1381 753 1429 778 one
3 0 0.9998356103897095 248 785 356 810 dominant
3 0 0.9962158799171448 360 785 507 810 wavenumber
3 0 0.9673171043395996 507 783 536 815 k,
3 0 0.6403487920761108 534 788 568 815 SO
3 0 0.9952518939971924 566 781 618 815 that
4 0 0.44531071186065674 736 840 938 872 Vus-KVu.
5 0 0.9999902248382568 247 904 310 931 Then
5 0 0.9981429576873779 310 906 350 934 we
5 0 0.9983161687850952 348 902 408 936 have
6 0 0.9998658895492554 287 1091 365 1126 where
6 0 0.6162999868392944 365 1087 426 1132 Duu
6 0 0.7767682075500488 428 1094 461 1123 &
6 0 0.7519313097000122 461 1087 524 1132 Duu
6 0 0.6287894248962402 554 1087 649 1128 k?Quu.
6 0 0.9986716508865356 655 1091 686 1123 If
6 0 0.9999946355819702 683 1089 728 1126 the
6 0 0.9989286065101624 730 1094 833 1121 solutions
6 0 0.9999967813491821 836 1091 872 1126 of
6 0 0.9606577157974243 870 1096 962 1123 interest,
6 0 0.9999754428863525 965 1096 999 1126 or
6 0 0.999956488609314 1001 1094 1057 1121 their
6 0 0.994474470615387 1061 1094 1192 1128 Laplacians,
6 0 0.9998235106468201 1196 1100 1235 1121 are
6 0 0.9752820730209351 1238 1096 1282 1123 not
6 0 0.9656070470809937 1284 1094 1427 1128 approximate
6 1 0.9976385831832886 247 1128 352 1155 solutions
6 1 0.9999998807907104 353 1126 386 1155 of
6 1 0.9998146891593933 384 1126 424 1155 the
6 1 0.9896172285079956 426 1128 547 1155 Helmholtz
6 1 0.9953160285949707 550 1130 654 1158 equation,
6 1 0.9999953508377075 655 1123 705 1158 this
6 1 0.9937582015991211 704 1126 857 1158 second-order
6 1 0.6826035976409912 857 1128 1022 1160 approximation
6 1 0.9994426369667053 1024 1126 1051 1158 is
6 1 0.9980236291885376 1049 1126 1130 1162 clearly
6 1 0.9996185302734375 1132 1126 1187 1162 only
6 1 0.9996080994606018 1185 1128 1209 1160 a
6 1 0.9581133127212524 1208 1128 1300 1155 euristic.
6 2 0.9999924898147583 287 1158 340 1192 The
6 2 0.9992620348930359 342 1160 411 1187 direct
6 2 0.5613706111907959 418 1162 584 1187 transtormation
6 2 0.992607831954956 591 1160 650 1187 from
6 2 0.9847899079322815 654 1160 739 1194 system
6 2 0.9829230308532715 743 1158 804 1194 (1,2)
6 2 0.9999716281890869 806 1160 836 1190 to
