block line confidence X1 Y1 X2 Y2 token
0 0 0.9999828338623047 1529 73 1568 109 13
1 0 0.9916378855705261 146 150 234 185 crystal
1 0 0.9996291399002075 239 150 337 178 without
1 0 0.959409236907959 340 148 502 180 time-reversal
1 0 0.8266924023628235 505 150 636 185 symmetry.
1 0 0.9992978572845459 646 150 712 178 Once
1 0 0.9999003410339355 713 148 793 185 again,
1 0 0.9997242093086243 794 153 836 180 we
1 0 0.891471266746521 878 150 946 178 ment
1 0 0.9770640730857849 946 146 994 182 the
1 0 0.9904974102973938 996 150 1117 178 numerical
1 0 0.9975928664207458 1122 150 1206 178 results
1 0 0.999704897403717 1208 148 1243 182 of
1 0 0.9950945377349854 1240 146 1288 182 the
1 0 0.5011022090911865 1288 150 1410 185 preceding
1 0 0.9962393045425415 1413 150 1500 178 section
1 0 0.9997511506080627 1503 146 1565 180 with
1 1 0.9430361986160278 146 182 276 216 emphasize
1 1 0.710584819316864 281 182 337 210 that
1 1 0.9507494568824768 340 178 394 212 this
1 1 0.998849630355835 397 182 466 210 effect
1 1 0.550699770450592 471 182 545 210 would
1 1 0.9998331069946289 550 178 589 214 be
1 1 0.999967098236084 591 182 673 210 absent
1 1 0.9998972415924072 676 180 709 212 in
1 1 0.9999762773513794 709 178 759 214 the
1 1 0.9877762794494629 760 182 835 210 linear
1 1 0.6445202231407166 875 185 904 214 as
1 1 0.9168246388435364 898 180 1019 214 simplified
1 1 0.9983764886856079 1022 185 1143 212 analytical
1 1 0.9936422109603882 1146 182 1246 210 solution
1 1 0.9999643564224243 1246 180 1282 214 of
1 1 0.9932335019111633 1276 180 1324 216 Eq.
1 1 0.9981521964073181 1327 175 1387 219 (40).
1 1 0.9999508857727051 1393 178 1450 214 Our
1 1 0.999734103679657 1448 180 1563 214 approach
1 2 0.5360031127929688 146 214 327 246 approximation
1 2 0.9999892711639404 331 210 366 244 of
1 2 0.9999703168869019 365 212 411 244 the
1 2 0.9990874528884888 413 214 499 248 energy
1 2 0.9330633282661438 503 216 620 244 spectrum
1 2 0.998242974281311 625 214 713 242 around
1 2 0.9999740123748779 717 210 767 244 the
1 2 0.9321913123130798 768 212 835 246 Weyl
1 2 0.9998515844345093 877 212 906 244 is
1 2 0.9986879229545593 907 212 985 248 partly
1 2 0.9855768084526062 990 214 1078 242 related
1 2 0.9999425411224365 1080 212 1116 246 to
1 2 0.9996967315673828 1116 210 1175 244 that
1 2 0.9990880489349365 1174 207 1213 244 of
1 2 0.9221285581588745 1209 210 1264 244 Ref.
1 2 0.944580078125 1267 207 1326 251 33,
1 2 0.9987347722053528 1329 210 1406 244 which
1 2 0.8899795413017273 1408 214 1502 242 studied
1 2 0.9766222834587097 1507 214 1565 242 two-
1 3 0.9999856948852539 174 342 243 376 Thus
1 3 0.9983738660812378 245 342 293 379 far,
1 3 0.9800477623939514 297 349 335 376 we
1 3 0.999128520488739 337 342 402 376 have
1 3 0.5962439775466919 403 347 510 374 assumed
1 3 0.9999566078186035 515 342 573 376 that
1 3 0.9980599284172058 576 344 623 376 the
1 3 0.9188216328620911 625 347 736 374 direction
1 3 0.9999771118164062 739 344 775 379 of
1 3 0.9996433258056641 773 344 835 381 light
1 3 0.9998667240142822 877 340 912 374 at
1 3 0.9978134632110596 910 340 993 374 length
1 3 0.9041016101837158 994 342 1067 370 scales
1 3 0.9997730851173401 1069 338 1129 372 that
1 3 0.9999897480010986 1130 340 1169 370 far
1 3 0.9815796613693237 1172 342 1255 370 exceed
1 3 0.9999525547027588 1258 340 1305 372 the
1 3 0.8394591808319092 1303 340 1423 374 screening
1 3 0.992953360080719 1424 340 1513 374 length,
1 3 0.9776615500450134 1515 340 1565 374 i.e.,
1 4 0.9996163845062256 146 376 297 411 propagation
1 4 0.9998500347137451 300 374 329 408 is
1 4 0.9999128580093384 331 376 403 411 along
1 4 0.9998786449432373 408 376 455 408 the
1 4 0.997226893901825 457 376 558 411 positive
1 4 0.8303272724151611 558 379 584 408 2
1 4 0.997753918170929 587 376 704 404 direction.
1 4 0.9994982481002808 715 374 744 406 If
1 4 0.9988285899162292 744 372 794 408 the
1 4 0.9996858835220337 793 372 835 408 di-
1 4 0.9999591112136841 878 372 919 402 for
1 4 0.9963341951370239 923 372 1041 406 momenta
1 4 0.9994947910308838 1048 374 1104 402 that
1 4 0.9995711445808411 1109 376 1154 404 are
1 4 0.8871234059333801 1159 374 1229 402 small
1 4 0.9953966736793518 1237 376 1356 404 compared
1 4 0.9999821186065674 1363 372 1398 406 to
1 4 0.9994288086891174 1400 370 1450 404 the
