block line confidence X1 Y1 X2 Y2 token
0 0 0.9994907379150391 612 146 808 178 Planck-Star
0 0 0.5642232298851013 816 148 1097 180 Tunneling-T'ime:
1 0 0.999715268611908 180 197 229 227 an
1 0 0.930674135684967 235 195 486 227 Astrophysically
1 0 0.9946025013923645 496 193 644 223 Relevant
1 0 0.9769744873046875 654 193 836 223 Observable
1 0 0.9304060339927673 843 191 926 225 from
1 0 0.4903481900691986 937 195 1213 227 Background-Pree
1 0 0.9554409384727478 1223 191 1379 229 Quantum
1 0 0.9684510827064514 1389 191 1530 229 Gravity*
2 0 0.9995599389076233 405 264 491 290 Marios
2 0 0.6497460007667542 499 264 695 294 "Christodoulou"","
2 0 0.9999445676803589 705 264 775 290 Carlo
2 0 0.3267575204372406 783 262 891 294 Rovellis,
2 0 0.9784790873527527 899 264 992 290 Simone
2 0 0.6865366101264954 999 264 1120 296 Speziale,
2 0 0.9947395920753479 1128 262 1183 296 Ilya
2 0 0.15900500118732452 1190 262 1306 294 Vilensky
3 0 0.9627276659011841 848 296 864 317 t
3 1 0.5622376203536987 848 326 863 350 #
3 2 0.9990575909614563 727 358 815 391 (Dated:
3 2 0.9779215455055237 820 358 876 393 May
3 2 0.9995903372764587 876 356 919 393 29,
3 2 0.9964669942855835 919 358 986 391 2020)
4 0 0.9990341663360596 295 418 330 455 A
4 0 0.9566689133644104 330 423 499 455 gravitationally
4 0 0.9855068922042847 503 423 610 455 collapsed
4 0 0.9998886585235596 615 423 692 455 object
4 0 0.5786824226379395 695 427 742 451 can
4 0 0.9919013381004333 747 425 876 449 bounce-out
4 0 0.9910481572151184 879 421 941 453 from
4 0 0.9999880790710449 942 423 979 451 its
4 0 0.9980758428573608 982 425 1072 449 horizon
4 0 0.9913903474807739 1075 423 1118 451 via
4 0 0.9999322891235352 1117 425 1142 453 a
4 0 0.9990264177322388 1143 423 1263 455 tunnelling
4 0 0.9978105425834656 1268 429 1354 455 process
4 0 0.9999140501022339 1358 421 1412 453 that
4 1 0.9991528987884521 300 453 390 479 violates
4 1 0.9999266862869263 390 451 434 479 the
4 1 0.7541033625602722 434 453 527 479 classical
4 1 0.987307608127594 531 455 639 481 equations
4 1 0.9996657371520996 639 451 670 481 in
4 1 0.5911538004875183 665 455 690 483 a
4 1 0.7515676021575928 687 453 753 485 finite
4 1 0.9996182918548584 752 453 833 485 region.
4 1 0.9997431635856628 838 453 903 479 Since
4 1 0.9523637890815735 904 455 1020 481 tunnelling
4 1 0.9977085590362549 1020 451 1047 481 is
4 1 0.9988553524017334 1042 455 1067 483 a
4 1 0.8374128937721252 1064 453 1258 483 non-perturbative
4 1 0.9362198710441589 1260 453 1412 483 phenomenon,
4 2 0.6495129466056824 297 481 333 513 itc
4 2 0.9988663196563721 322 483 403 509 cannot
4 2 0.9998582601547241 403 481 438 509 be
4 2 0.9576599597930908 438 483 546 507 described
4 2 0.9960107803344727 544 481 576 511 in
4 2 0.8969630002975464 574 483 642 509 terms
4 2 0.9999996423721313 642 481 672 511 of
4 2 0.9359638690948486 669 481 773 513 quantum
4 2 0.7467501163482666 776 483 909 507 fuctuations
4 2 0.9996073842048645 911 483 994 509 around
4 2 0.9996874332427979 992 481 1017 511 a
4 2 0.9876392483711243 1014 483 1108 509 classical
4 2 0.9989903569221497 1110 483 1203 507 solution
4 2 0.9991569519042969 1203 481 1251 511 and
4 2 0.9906150102615356 1248 481 1271 511 a
4 2 0.9577909708023071 1270 481 1411 513 background-
4 3 0.9999555349349976 297 507 350 541 free
4 3 0.970982015132904 350 509 484 539 formulation
4 3 0.9998719692230225 488 509 519 537 of
4 3 0.9919039607048035 519 511 625 543 quantum
4 3 0.9668156504631042 627 511 713 543 gravity
4 3 0.9999191761016846 713 509 742 539 is
4 3 0.9995546936988831 743 511 825 537 needed
4 3 0.9999785423278809 828 511 859 539 to
4 3 0.9996881484985352 861 511 952 543 analyze
4 3 0.8957796096801758 954 509 986 539 it.
4 3 0.9999542236328125 992 511 1052 537 Here
4 3 0.9998639822006226 1054 513 1092 539 we
4 3 0.9575574994087219 1092 513 1137 539 use
4 3 0.9999679327011108 1138 509 1203 543 Loop
4 3 0.5878750085830688 1208 513 1316 539 Quantum
4 3 0.9945725798606873 1319 509 1414 541 Gravity
4 4 0.41752174496650696 297 537 340 571 to
4 4 0.4680287837982178 330 543 431 569 compute.
4 4 0.9999531507492065 434 539 476 567 the
4 4 0.8261446952819824 478 539 597 571 amplitude
4 4 0.9994229078292847 599 539 637 567 for
4 4 0.9999470710754395 635 537 688 569 this
4 4 0.9993267059326172 688 545 780 571 process,
4 4 0.9999122619628906 781 539 813 569 in
4 4 0.9998443126678467 813 543 833 567 a
4 4 0.9245565533638 833 537 888 569 first
4 4 0.6441973447799683 888 541 1062 571 approximation.
4 4 0.9995539784431458 1067 537 1122 569 The
4 4 0.9830377101898193 1122 539 1240 571 amplitude
4 4 0.9877517223358154 1241 541 1367 565 determines
4 4 0.9998584985733032 1371 539 1414 567 the
4 5 0.6737921833992004 300 569 418 601 tunnelling
4 5 0.7350157499313354 420 567 479 599 time
4 5 0.9997335076332092 478 573 511 599 as
4 5 0.9997677206993103 509 571 534 599 a
4 5 0.994699239730835 534 571 632 595 function
4 5 0.9999890327453613 634 567 665 597 of
4 5 0.9969620108604431 664 569 707 597 the
4 5 0.7134041786193848 707 573 776 599 mass.
4 5 0.999984622001648 780 567 840 599 This
4 5 0.9997797608375549 840 569 866 599 is
4 5 0.9992319345474243 866 569 911 597 the
4 5 0.9996659755706787 911 567 957 603 key
4 5 0.9809427261352539 957 569 1097 599 information
4 5 0.9858191013336182 1097 569 1128 597 to
4 5 0.9602493643760681 1130 571 1228 595 evaluate
4 5 0.9990390539169312 1230 569 1273 597 the
4 5 0.9930650591850281 1276 569 1384 595 relevance
4 5 0.9999991655349731 1384 567 1416 597 of
4 6 0.9998962879180908 300 599 348 629 this
4 6 0.9981531500816345 350 603 434 629 process
4 6 0.999858021736145 436 597 476 625 for
4 6 0.9999195337295532 474 597 517 625 the
4 6 0.7803961634635925 519 599 679 629 interpretation
4 6 0.9999780654907227 680 597 712 625 of
4 6 0.9999725818634033 710 599 763 625 Fast
4 6 0.9995286464691162 765 599 836 625 Radio
4 6 0.9992856383323669 840 599 918 625 Bursts
4 6 0.9999871253967285 918 601 951 627 or
4 6 0.998382568359375 951 599 1085 629 high-energy
4 6 0.8196449875831604 1085 597 1170 629 cosmic
4 6 0.9991422891616821 1170 603 1228 629 rays.
4 6 0.9999924898147583 1231 595 1286 627 The
4 6 0.8704833984375 1286 599 1411 625 calculation
4 7 0.9994980096817017 297 625 366 657 offers
4 7 0.9997279047966003 365 629 391 657 a
4 7 0.9995576739311218 390 627 494 659 template
4 7 0.9889186024665833 493 625 546 657 and
4 7 0.9884485602378845 544 629 571 657 a
4 7 0.998229444026947 567 629 667 655 concrete
4 7 0.985660195350647 669 627 768 659 example
4 7 0.9997938275337219 768 627 800 655 of
4 7 0.8405042290687561 798 625 853 657 how
4 7 0.9910747408866882 850 627 876 657 a
4 7 0.8809410929679871 876 627 1059 657 background-free
4 7 0.9937008619308472 1062 627 1168 659 quantum
4 7 0.9997730851173401 1170 627 1250 659 theory
4 7 0.999745786190033 1250 625 1281 655 of
4 7 0.9701960682868958 1281 627 1366 659 gravity
4 7 0.9960456490516663 1366 629 1414 659 can
5 0 0.9999591112136841 297 653 337 687 be
5 0 0.9995918869972229 335 657 390 683 used
5 0 0.999953031539917 391 657 423 685 to
5 0 0.9973294734954834 423 657 527 689 compute
5 0 0.9999035596847534 524 659 549 687 a
5 0 0.9953228831291199 551 657 662 683 realistical
5 0 0.9991905093193054 665 657 786 683 observable
5 0 0.953046977519989 790 657 893 689 quantity.
6 0 0.995396077632904 340 741 370 769 I.
6 0 0.9863980412483215 393 743 637 766 INTRODUCTION
7 0 0.9921377301216125 876 739 941 771 time
7 0 0.996192216873169 939 741 1020 773 region
7 0 0.9998984336853027 1022 739 1049 771 is
7 0 0.997093677520752 1052 741 1168 773 sufficient
7 0 0.9999163150787354 1170 741 1203 771 to
7 0 0.9938592314720154 1203 739 1273 771 allow
7 0 0.9993695616722107 1271 743 1298 771 a
7 0 0.998479425907135 1294 736 1366 771 black
7 0 0.999030590057373 1366 739 1426 771 hole
7 0 0.9962174296379089 1426 739 1509 771 tunnel
7 0 0.9917661547660828 1510 741 1553 769 into
7 1 0.9992192983627319 876 775 909 805 a
7 1 0.9998162388801575 904 771 979 803 white
7 1 0.997826874256134 984 771 1042 803 hole
7 1 0.9990261793136597 1047 771 1095 807 (an
7 1 0.6587523221969604 1104 773 1273 805 anti-trapped'
7 1 0.9996902942657471 1281 773 1369 805 region,
7 1 0.9998210072517395 1376 771 1455 803 where
7 1 0.9998483657836914 1459 769 1499 803 all
7 1 0.9483855962753296 1502 769 1555 805 light
7 2 0.9999560117721558 904 900 967 932 This
7 2 0.9995424747467041 969 900 997 930 is
7 2 0.9998645782470703 997 904 1022 932 a
7 2 0.7264260649681091 1024 902 1135 928 standard
7 2 0.5139114260673523 1142 902 1268 934 tunnelling
7 2 0.9830510020256042 1275 902 1437 934 phenomenon:
7 2 0.9856697916984558 1447 902 1553 928 evolution
7 3 0.9807132482528687 876 962 966 1001 spatial
7 3 0.9973374009132385 967 964 1045 999 region
7 3 0.9998447895050049 1045 962 1099 996 and
7 3 0.9992915391921997 1100 964 1187 1001 during
7 3 0.9988259673118591 1185 966 1208 996 a
7 3 0.7794396281242371 1208 962 1299 994 limited
7 3 0.7539446353912354 1303 966 1367 992 time.
7 3 0.9685443639755249 1374 964 1406 994 It
7 3 0.9997909665107727 1401 964 1429 994 is
7 3 0.9988235831260681 1431 962 1545 994 therefore
7 3 0.999747097492218 1543 968 1560 992 a
8 0 0.9999300241470337 174 809 204 842 A
8 0 0.9708309173583984 207 812 305 844 striking
8 0 0.9945153594017029 312 809 443 842 realization
8 0 0.9992809891700745 448 809 484 842 of
8 0 0.9999654293060303 483 807 531 842 the
8 0 0.9854523539543152 532 809 587 842 last
8 0 0.5043551921844482 589 809 688 842 decades
8 0 0.9996417760848999 692 809 722 842 is
8 0 0.8920008540153503 725 809 783 842 that
8 0 0.9997066855430603 786 816 836 842 our
8 0 0.999921441078186 878 803 954 835 fronts
8 0 0.9998294115066528 957 805 1065 837 expand).
8 0 0.9842156767845154 1075 803 1145 835 From
8 0 0.999967098236084 1147 801 1196 835 the
8 0 0.9976207613945007 1196 801 1298 840 outside,
8 0 0.9994977712631226 1301 805 1346 833 the
8 0 0.9991132616996765 1349 807 1444 840 process
8 0 0.9996380805969238 1447 805 1514 831 looks
8 0 0.8195978999137878 1517 803 1547 833 lik
8 1 0.9996693134307861 149 846 252 872 universe
8 1 0.9997830986976624 258 842 287 874 is
8 1 0.9997949004173279 295 844 396 876 teeming
8 1 0.9998226761817932 405 842 466 874 with
8 1 0.8993055820465088 474 844 655 876 gravitationally
8 1 0.9528607726097107 665 844 780 876 collapsed
8 1 0.9915459752082825 788 840 835 874 ob-
8 1 0.9997846484184265 874 840 904 867 a
8 1 0.8543457388877869 901 837 1014 870 quantum
8 1 0.9995773434638977 1017 837 1107 863 bounce
8 1 0.999862551689148 1108 835 1142 865 of
8 1 0.9999649524688721 1138 833 1187 867 the
8 1 0.9973370432853699 1187 833 1303 872 in-falling
8 1 0.9728386998176575 1301 837 1397 870 matter,
8 1 0.9943872690200806 1399 835 1452 867 and
8 1 0.9997549653053284 1450 835 1479 865 it
8 1 0.9997500777244568 1479 835 1507 867 is
8 1 0.9994981288909912 1507 835 1547 863 aki
8 2 0.9972463846206665 144 872 210 913 jects
8 2 0.9971573352813721 214 876 267 908 -or
8 2 0.9736951589584351 272 874 351 906 'black
8 2 0.553871750831604 358 874 449 906 holes'-
8 2 0.9854570031166077 454 874 491 906 of
8 2 0.999934196472168 496 876 587 902 various
8 2 0.7985551357269287 595 874 665 906 sizes.
8 2 0.9999854564666748 690 874 747 906 The
8 2 0.995478093624115 755 878 833 904 recent
8 2 0.9977335929870605 876 863 913 900 in
8 2 0.9990111589431763 911 870 994 895 nature
8 2 0.9999669790267944 996 867 1027 898 to
8 2 0.9998016953468323 1029 867 1074 895 the
8 2 0.9244136214256287 1075 865 1128 902 'big
8 2 0.9682305455207825 1127 865 1228 898 bounce'
8 2 0.6402180790901184 1228 867 1261 898 of
8 2 0.6182396411895752 1261 872 1371 898 quantum
8 2 0.9978106617927551 1374 865 1505 904 cosmology
8 2 0.8969305753707886 1509 863 1550 906 [28]
8 3 0.9962998032569885 149 941 215 966 black
8 3 0.9983357787132263 219 938 288 971 holes
8 3 0.9999988079071045 290 938 322 968 of
8 3 0.9992238283157349 323 941 466 973 unexpected
8 3 0.9985929131507874 468 938 522 971 size
8 3 0.4901852011680603 524 936 561 975 [1
8 3 0.8737457990646362 562 938 645 971 makes
8 3 0.9999197721481323 645 936 700 971 this
8 3 0.9973579049110413 705 941 835 968 conclusion
8 3 0.9985007047653198 878 930 936 964 that
8 3 0.966825008392334 939 934 1035 960 violates
8 3 0.9999492168426514 1037 930 1085 964 the
8 3 0.5630290508270264 1087 934 1188 960 classical
8 3 0.9980541467666626 1193 934 1313 966 equations
8 3 0.9966216087341309 1316 932 1349 962 of
8 3 0.7826173901557922 1349 934 1437 960 motion
8 3 0.9998427629470825 1441 932 1472 962 in
8 3 0.9994018077850342 1472 936 1497 964 a
