block line confidence X1 Y1 X2 Y2 token
0 0 0.9989595413208008 775 184 869 216 KBSF
1 0 0.694279134273529 230 285 425 317 computational
1 0 0.9949413537979126 429 283 491 315 cost
1 0 0.990048885345459 498 285 612 311 becomes
1 0 0.9992400407791138 615 285 644 315 a
1 0 0.9986841082572937 647 281 762 313 function
1 0 0.9687348008155823 765 279 803 315 of
1 0 0.9947092533111572 803 287 838 315 m
1 0 0.9879655241966248 841 279 911 320 only.
1 0 0.9998763799667358 923 279 962 317 In
1 0 0.9907379746437073 966 281 1110 320 particular,
1 0 0.9999375343322754 1117 281 1167 315 the
1 0 0.9895345568656921 1170 283 1231 315 cost
1 0 0.9996800422668457 1233 279 1273 315 of
1 0 0.9996223449707031 1271 281 1372 320 solving
1 0 0.9999464750289917 1376 277 1417 315 M
1 1 0.9998664855957031 229 320 340 358 through
1 1 0.9010915160179138 345 322 461 354 dynamic
1 1 0.5880298018455505 469 324 650 356 programming
1 1 0.9981999397277832 660 324 771 350 becomes
1 1 0.9231013655662537 780 322 929 354 polynomial
1 1 0.9995772242546082 934 317 972 354 in
1 1 0.8512723445892334 971 326 1007 352 m
1 1 0.9993292093276978 1012 320 1112 352 instead
1 1 0.9999990463256836 1115 317 1153 354 of
1 1 0.7419548630714417 1152 326 1187 352 n:
1 1 0.9997641444206238 1196 320 1273 352 while
1 1 0.9881105422973633 1276 326 1331 352 one
1 1 0.9595609903335571 1333 317 1417 358 appli-
1 2 0.9992986917495728 229 356 315 388 cation
1 2 0.5484055280685425 317 352 391 395 off,
1 2 0.9999657869338989 395 356 444 391 the
1 2 0.9928233623504639 448 356 562 388 Bellman
1 2 0.9911214113235474 567 360 685 393 operator
1 2 0.9999960660934448 687 354 725 391 of
1 2 0.993933379650116 722 352 773 395 M,
1 2 0.9999310970306396 771 354 806 393 is
1 2 0.35258740186691284 805 356 944 395 O(mA!),
1 2 0.9999665021896362 947 356 999 391 the
1 2 0.8582330346107483 1001 360 1172 393 computation
1 2 0.9999912977218628 1175 354 1215 391 of
1 2 0.9980900883674622 1208 354 1243 391 T
1 2 0.9997711777687073 1241 354 1275 393 is
1 2 0.4253555238246918 1275 354 1414 395 O(m?A!).
1 3 0.9689634442329407 230 397 368 429 Therefore,
1 3 0.9934870004653931 376 395 483 427 KBSF's
1 3 0.7892073392868042 486 395 552 427 time
1 3 0.9993187189102173 554 395 612 427 and
1 3 0.9990322589874268 614 399 728 431 memory
1 3 0.988965630531311 732 397 899 429 complexities
1 3 0.9621661305427551 904 401 952 427 are
1 3 0.9998571872711182 952 393 1020 433 only
1 3 0.9994252920150757 1022 395 1102 427 linear
1 3 0.9990614056587219 1104 393 1140 429 in
1 3 0.7973902821540833 1140 401 1173 427 n.
1 4 0.9999809265136719 273 431 327 466 We
1 4 0.9981050491333008 328 433 395 466 note
1 4 0.999685525894165 398 433 468 468 that,
1 4 0.9998289346694946 473 431 508 468 in
1 4 0.998878538608551 512 436 629 468 practice,
1 4 0.9940153956413269 639 431 745 464 KBSF's
1 4 0.9492129683494568 753 436 944 468 computational
1 4 0.6262080669403076 954 436 1128 468 requirements
1 4 0.9970707893371582 1133 436 1190 468 can
1 4 0.9998294115066528 1191 431 1233 468 be
1 4 0.9982765913009644 1238 436 1343 461 reduced
1 4 0.9820016622543335 1349 440 1416 466 even
1 5 0.9994619488716125 229 470 328 502 further
1 5 0.9997294545173645 332 470 361 502 if
1 5 0.9176800847053528 363 476 418 502 one
1 5 0.9971532821655273 423 474 532 500 enforces
1 5 0.9999548196792603 539 470 591 504 the
1 5 0.9985058307647705 594 470 692 502 kernels
1 5 0.3186207413673401 698 470 737 511 K7
