block line confidence X1 Y1 X2 Y2 token
0 0 0.9994046688079834 515 95 562 127 ON
0 0 0.9999606609344482 563 93 628 127 THE
0 0 0.9894157648086548 629 93 707 127 LAST
0 0 0.9731491804122925 710 95 854 130 QUESTION
0 0 0.8538194894790649 859 95 901 125 OF
0 0 0.9998661279678345 906 93 1015 127 STEFAN
0 0 0.9920976161956787 1020 93 1140 127 BANACH
1 0 0.9999955892562866 1494 95 1516 127 5
2 0 0.9966649413108826 172 155 221 201 (It
2 0 0.9991568326950073 213 157 250 196 is
2 0 0.9976734519004822 251 157 410 198 interesting
2 0 0.9999375343322754 413 157 452 194 to
2 0 0.9999303817749023 453 159 524 194 note
2 0 0.9999693632125854 528 157 594 191 that
2 0 0.999977707862854 600 157 652 191 the
2 0 0.8784397840499878 652 159 733 194 same
2 0 0.9958613514900208 739 157 889 191 1936-1937
2 0 0.9965338706970215 896 157 969 191 issue
2 0 0.9820266366004944 973 155 1011 194 of
2 0 0.7947219610214233 1015 157 1141 198 Comptes
2 0 0.997533917427063 1150 157 1256 191 Rendus
2 0 0.9997994303703308 1263 157 1314 194 des
2 0 0.9824892282485962 1321 157 1435 191 Séances
2 0 0.9998243451118469 1442 155 1482 194 de
2 0 0.975992739200592 1484 159 1516 191 la
2 1 0.8418427109718323 140 191 248 232 Société
2 1 0.9905016422271729 250 194 302 230 des
2 1 0.9987670183181763 306 196 429 230 Sciences
2 1 0.9998570680618286 434 198 466 228 et
2 1 0.9883650541305542 471 194 523 230 des
2 1 0.6358903050422668 528 196 628 230 Lettres
2 1 0.9985201954841614 631 194 671 230 de
2 1 0.9906517267227173 680 196 802 230 Varsovie
2 1 0.9999366998672485 806 194 841 232 in
2 1 0.6744004487991333 843 196 931 230 which
2 1 0.6026528477668762 936 194 1083 237 Slupecki's
2 1 0.9984369874000549 1085 198 1174 239 paper
2 1 0.9998080134391785 1174 201 1235 235 was
2 1 0.9897391200065613 1240 198 1387 232 published,
2 1 0.9995573163032532 1392 196 1515 230 contains
2 2 0.9998063445091248 138 232 193 274 the
2 2 0.9958903193473816 197 237 285 278 paper
2 2 0.8917044401168823 292 232 377 276 [We2]
2 2 0.968566358089447 381 232 419 271 of
2 2 0.9962568283081055 424 235 533 269 Donald
2 2 0.9978041052818298 537 232 575 271 L.
2 2 0.9910066723823547 583 232 678 274 Webb,
2 2 0.9969096779823303 684 239 712 271 a
2 2 0.9996718168258667 715 232 791 269 fresh
2 2 0.995349109172821 797 235 868 269 PhD
2 2 0.7631308436393738 875 235 949 269 from
2 2 0.9975900650024414 957 235 1069 269 Caltech
2 2 0.991880476474762 1074 235 1135 269 and
2 2 0.9999954700469971 1140 235 1195 269 the
2 2 0.9970300197601318 1200 235 1300 269 author
2 2 0.9951936602592468 1305 232 1343 269 of
2 2 0.9999943971633911 1345 235 1400 269 the
2 2 0.9909932017326355 1403 232 1515 276 already
2 3 0.941578209400177 138 276 292 308 mentioned
2 3 0.5635105967521667 297 271 390 315 [Wel],
2 3 0.999881386756897 395 271 432 310 in
2 3 0.9999940395355225 436 274 523 308 which
2 3 0.9999727010726929 528 274 570 310 he
2 3 0.5069212317466736 571 274 686 308 extends
2 3 0.9999970197677612 691 274 744 308 the
2 3 0.9966356158256531 746 274 846 308 results
2 3 0.9973688125610352 849 271 888 310 of
2 3 0.9994950294494629 889 274 943 310 the
2 3 0.9915968775749207 944 274 1028 308 latter
2 3 0.9978463649749756 1032 276 1129 317 paper.
2 3 0.9921922087669373 1138 271 1217 315 This,
2 3 0.9922682642936707 1221 276 1326 317 among
2 3 0.9998533725738525 1327 274 1408 310 other
2 3 0.9998993873596191 1413 274 1513 315 things,
2 4 0.9990507960319519 138 317 261 351 suggests
2 4 0.9999827146530151 269 312 335 347 that
2 4 0.8942042589187622 344 312 541 354 developments
2 4 0.9999692440032959 549 315 584 349 in
2 4 0.9998800754547119 591 312 650 347 this
2 4 0.9996392726898193 659 312 762 347 branch
2 4 0.9736695289611816 767 310 806 349 of
2 4 0.9996738433837891 809 312 907 354 logical
2 4 0.9994427561759949 915 312 1012 347 calculi
2 4 0.999964714050293 1020 317 1061 347 on
2 4 0.9968199729919434 1070 312 1143 347 both
2 4 0.998077392578125 1150 312 1224 347 sides
2 4 0.9993095397949219 1230 310 1269 349 of
2 4 0.9995530247688293 1274 312 1393 347 Atlantic
2 4 0.997844934463501 1402 310 1455 347 did
2 4 0.9903554916381836 1460 312 1516 349 not
2 5 0.9919137954711914 138 354 251 388 proceed
2 5 0.9999281167984009 260 349 297 388 in
2 5 0.9997591376304626 302 347 428 388 isolation
2 5 0.9986013770103455 434 351 473 388 at
2 5 0.9999949932098389 478 349 544 386 that
2 5 0.3977128863334656 550 344 654 395 timef).
2 5 0.9393740296363831 671 349 781 390 Earlier,
2 5 0.807508647441864 793 351 906 386 another
2 5 0.998508632183075 915 349 1088 383 Lukasiewicz
2 5 0.982135534286499 1093 349 1216 390 student,
2 5 0.6384060382843018 1224 349 1366 392 Mordchaj
2 5 0.9980090260505676 1376 351 1515 392 Wajsberg
2 6 0.9999330043792725 138 388 193 424 has
2 6 0.9983218312263489 195 390 324 431 reported
