block line confidence X1 Y1 X2 Y2 token
0 0 0.999900221824646 197 308 258 342 this
0 0 0.9968411922454834 263 312 355 347 paper.
0 0 0.9997130036354065 369 308 434 342 The
0 0 0.7176043391227722 439 308 578 340 literature
0 0 0.9997888207435608 583 315 625 342 on
0 0 0.9977678060531616 631 308 717 342 KAM
0 0 0.9996991157531738 723 308 820 349 theory
0 0 0.9966412782669067 823 310 856 342 is
0 0 0.8955267071723938 859 312 1004 344 enormous
0 0 0.9997734427452087 1007 308 1069 342 and
0 0 0.9927484393119812 1072 315 1111 342 SO
0 0 0.9999823570251465 1114 308 1195 342 there
0 0 0.9726965427398682 1200 315 1250 342 are
0 0 0.9986955523490906 1255 315 1340 349 many
0 0 0.9936180114746094 1345 308 1479 349 potential
0 1 0.6624294519424438 197 349 381 390 applications;
0 1 0.9994920492172241 387 354 431 381 we
0 1 0.9948364496231079 432 347 491 383 will
0 1 0.9879922866821289 495 349 563 386 only
0 1 0.9950460195541382 568 347 689 381 describe
0 1 0.9999816417694092 692 347 762 383 here
0 1 0.7126786112785339 764 354 841 381 some
0 1 0.9892439842224121 843 347 881 383 of
0 1 0.9981789588928223 883 347 964 381 those
0 1 0.9999566078186035 967 347 1035 383 that
0 1 0.9474379420280457 1038 351 1104 388 may
0 1 0.9999089241027832 1108 349 1180 383 have
0 1 0.5049868226051331 1182 354 1259 381 some
0 1 0.5663917064666748 1266 351 1382 379 interest.
0 2 0.9999303817749023 245 386 329 429 First,
0 2 0.9994496703147888 332 388 392 422 and
0 2 0.9699460864067078 395 392 470 420 more
0 2 0.9852383732795715 474 388 654 429 importantly,
0 2 0.9997265934944153 659 386 713 427 the
0 2 0.9347708225250244 713 388 844 422 technical
0 2 0.9933604598045349 847 388 986 422 estimates
0 2 0.9995139837265015 990 392 1033 422 we
0 2 0.9998509883880615 1035 388 1127 422 derive
0 2 0.9995898604393005 1130 390 1162 422 in
0 2 0.9946718811988831 1166 388 1311 429 Appendix
0 2 0.9975693821907043 1322 386 1369 424 for
0 2 0.9997263550758362 1371 386 1479 427 Gevrey
0 3 0.9988229870796204 198 429 332 461 functions
