block line confidence X1 Y1 X2 Y2 token
0 0 0.9999934434890747 203 164 293 198 where
0 0 0.31433284282684326 297 166 335 203 2,
0 0 0.9580492377281189 340 166 368 201 P
0 0 0.7885687351226807 366 159 429 203 and
0 0 0.9920342564582825 432 166 458 198 C
0 0 0.9994018077850342 458 164 512 198 are
0 0 0.9999088048934937 515 162 568 198 the
0 0 0.9955295920372009 573 162 741 203 background
0 0 0.5627498626708984 747 162 812 196 flow
0 0 0.9988710284233093 815 162 938 203 velocity,
0 0 0.990532398223877 943 162 1051 203 density
0 0 0.998687207698822 1056 162 1116 198 and
0 0 0.793865442276001 1119 162 1209 203 speed
0 0 0.9964032173156738 1201 164 1246 201 of
0 0 0.9958670139312744 1245 162 1348 203 sound,
0 0 0.7274599671363831 1350 159 1444 201 andt
0 0 0.9973763227462769 1439 162 1497 196 and
0 1 0.9793816804885864 153 201 192 237 V
0 1 0.9991918206214905 195 205 247 239 are
0 1 0.9994472861289978 250 201 302 237 the
0 1 0.537681519985199 303 203 434 237 standard
0 1 0.9995390176773071 437 203 508 237 time
0 1 0.9959470629692078 510 203 570 239 and
0 1 0.9980888962745667 571 203 696 244 gradient
0 1 0.9995566010475159 699 207 825 242 operator
0 1 0.9936391711235046 827 203 865 239 of
0 1 0.9734135270118713 864 203 1024 237 Newtonian
0 1 0.9869279265403748 1027 203 1183 237 mechanics.
0 1 0.9559586644172668 1195 203 1385 237 Conservation
0 1 0.9210712909698486 1387 198 1424 237 of
0 1 0.9321855306625366 1421 205 1500 239 mass
1 0 0.9988289475440979 153 239 201 278 for
1 0 0.9999160766601562 203 242 258 278 the
1 0 0.7857041954994202 260 242 429 283 background
1 0 0.9997665286064148 436 242 499 278 flow
1 0 0.9999475479125977 502 242 568 278 tells
1 0 0.9973379969596863 571 248 610 276 us
1 0 0.9999086856842041 613 239 688 283 that,
2 0 0.6787087917327881 691 340 736 383 Op
2 1 0.3857218325138092 691 383 733 420 ôt
3 0 0.7165104746818542 156 363 200 402 (2)
4 0 0.44324934482574463 734 358 965 406 +V-(pW)=0.
5 0 0.9742874503135681 203 472 292 516 Using
5 0 0.9987019300460815 295 472 355 509 this
5 0 0.9988685846328735 356 472 442 516 along
5 0 0.9998942613601685 445 472 513 509 with
5 0 0.8139485120773315 520 470 573 516 Eq.
5 0 0.9989200830459595 578 470 626 516 (1)
5 0 0.9974249601364136 629 479 676 511 we
5 0 0.9998866319656372 678 475 775 509 obtain
