block line confidence X1 Y1 X2 Y2 token
0 0 0.863882303237915 147 116 172 150 8
1 0 0.9366942048072815 522 253 552 279 500
1 1 0.9819594025611877 524 315 551 335 400
1 2 0.9881187081336975 526 378 551 397 300
1 3 0.9979585409164429 524 438 551 457 200
1 4 0.9996140599250793 526 498 549 519 100
2 0 0.9074820280075073 1006 253 1035 279 500
2 1 0.9999463558197021 1009 315 1030 335 400
2 2 0.9930994510650635 1006 378 1032 397 300
2 3 0.9719314575195312 1007 438 1034 457 200
2 4 0.7844700217247009 1006 494 1035 519 100
2 5 0.9313639402389526 1050 569 1075 588 50
2 5 0.9774295091629028 1079 569 1107 588 100
2 5 0.9886666536331177 1108 569 1137 588 150
2 5 0.9883424639701843 1138 569 1167 588 200
2 6 0.9901953339576721 1060 640 1102 676 (b)
3 0 0.9478642344474792 595 569 624 588 100
3 0 0.9951887130737305 627 569 655 588 150
3 0 0.999273955821991 657 569 682 588 200
3 1 0.9910339713096619 581 644 617 676 (a)
4 0 0.9997180104255676 137 700 235 739 Figure
4 0 0.9956945180892944 237 702 267 732 2.
4 0 0.9996423721313477 277 700 410 732 Evolution
4 0 0.9984594583511353 413 702 444 730 of
4 0 0.9999796152114868 444 702 493 732 the
4 0 0.8930372595787048 494 704 609 736 pressure
4 0 0.9993960857391357 609 702 687 736 along
4 0 0.9867374300956726 687 698 758 739 (half
4 0 0.9992790818214417 757 700 800 736 of)
4 0 0.9997392296791077 801 700 853 734 the
4 0 0.9998301267623901 853 702 914 736 loop
4 0 0.7647748589515686 916 700 959 734 for
4 0 0.9998949766159058 959 700 1009 734 the
4 0 0.9950405955314636 1011 702 1084 736 pulse
4 0 0.9948734641075134 1085 704 1201 730 duration
4 0 0.8516153693199158 1203 702 1245 739 tH
4 0 0.22355487942695618 1250 708 1276 728 -
4 0 0.9999566078186035 1278 700 1318 734 60
4 0 0.9886720180511475 1316 704 1334 730 S
4 0 0.5257043242454529 1338 700 1379 739 (a)
4 0 0.9966848492622375 1381 702 1437 734 and
4 0 0.9600508213043213 1437 702 1477 736 tH
4 0 0.8835115432739258 1484 708 1507 728 =
4 0 0.9998809099197388 1512 700 1565 732 120
4 1 0.6975231766700745 136 764 161 797 S
