block line confidence X1 Y1 X2 Y2 token
0 0 0.9873189330101013 502 253 526 283 E.
0 0 0.8809325695037842 524 253 686 285 Parizot/Nuclear
0 0 0.8969458341598511 683 255 757 283 Physics
0 0 0.5588939189910889 754 253 778 283 B.
0 0 0.9808725118637085 773 255 891 283 Proceedings
0 0 0.9902210235595703 889 255 999 283 Supplement
0 0 0.9988194108009338 998 253 1028 283 00
0 0 0.9838391542434692 1024 251 1093 285 (2020)
0 0 0.9848124980926514 1091 253 1141 280 1-16
1 0 0.9994049072265625 1460 253 1477 280 8
2 0 0.9995902180671692 174 310 218 347 the
2 0 0.8521682024002075 216 312 334 347 amplitude
2 0 0.9998160004615784 332 315 366 342 of
2 0 0.9837559461593628 361 312 403 342 the
2 0 0.6699092388153076 403 312 512 347 magnetic
2 0 0.928835391998291 510 312 575 347 field.
2 0 0.9998537302017212 575 310 644 347 Thus,
2 0 0.9411562085151672 642 310 709 344 ifthe
2 0 0.9758161902427673 707 310 778 344 latteri
2 0 0.9998952150344849 770 312 797 342 is
2 1 0.9126834869384766 177 347 295 381 multiplied
2 1 0.9998900890350342 297 347 332 381 by
2 1 0.999872088432312 332 344 387 381 100,
2 1 0.8588138222694397 386 349 419 376 SO
2 1 0.9106218218803406 416 342 468 379 will
2 1 0.9999903440475464 468 347 500 376 be
2 1 0.9999898672103882 502 347 542 376 the
2 1 0.9205611348152161 541 344 662 379 maximum
2 1 0.9998016953468323 662 351 741 379 energy
2 1 0.9952240586280823 741 347 791 381 too.
2 2 0.9990392923355103 203 379 266 413 Such
2 2 0.9998036026954651 271 386 289 411 a
2 2 0.9996318817138672 290 381 353 418 large
2 2 0.8656299710273743 356 381 508 415 amplification
2 2 0.9641072154045105 512 379 544 411 of
2 2 0.99992835521698 545 381 586 411 the
2 2 0.6864441633224487 591 383 684 411 ambient
2 2 0.7447234988212585 689 381 796 415 magnetic
2 3 0.9363343119621277 174 413 234 447 field
2 3 0.9925094842910767 235 413 319 447 around
2 3 0.8014484643936157 323 413 394 447 SNRs
2 3 0.9998501539230347 394 413 423 445 is
2 3 0.9986681938171387 426 415 503 443 indeed
2 3 0.9975065588951111 508 413 570 447 what
2 3 0.9999833106994629 571 415 615 445 has
2 3 0.9999024868011475 618 413 680 447 been
2 3 0.9976196885108948 681 415 796 449 suggested
2 4 0.9997751116752625 176 484 276 511 resonant
2 4 0.9233454465866089 279 481 395 516 streaming
2 4 0.9099492430686951 397 481 515 516 instability
2 4 0.9998276233673096 516 484 549 513 as
2 4 0.999408483505249 549 479 605 513 well
2 4 0.9999485015869141 605 484 638 511 as
2 4 0.7844763994216919 638 481 796 513 non-resonant,
2 5 0.9657675623893738 176 548 229 584 [32,
2 5 0.998323380947113 229 545 271 582 33,
2 5 0.9998186230659485 271 545 316 582 34,
2 5 0.9999407529830933 316 550 358 580 35,
2 5 0.9999090433120728 360 545 405 582 36,
2 5 0.9999219179153442 403 545 447 582 37,
2 5 0.9998083710670471 447 545 491 582 38,
2 5 0.8603293895721436 492 548 554 582 39)),
2 5 0.8799084424972534 554 545 604 580 and
2 5 0.9999617338180542 604 550 639 577 on
2 5 0.5985361933708191 641 545 796 580 observational
2 6 0.9983028173446655 176 582 279 616 grounds,
2 6 0.9995934367179871 284 577 342 614 with
2 6 0.9977468848228455 347 580 387 609 the
2 6 0.8169538378715515 394 582 549 614 interpretation
2 6 0.9999866485595703 554 580 589 614 of
2 6 0.9998375177383423 589 577 634 614 the
2 6 0.8281660079956055 636 580 734 614 extreme
2 6 0.7425942420959473 738 580 797 614 thin-
2 7 0.5162214040756226 177 648 248 676 SNRS
2 7 0.9997765421867371 250 650 281 678 as
2 7 0.999934196472168 284 648 331 680 due
2 7 0.999144434928894 331 648 361 678 to
2 7 0.9999275207519531 365 648 405 678 the
2 7 0.9945240020751953 408 648 545 682 synchrotron
2 7 0.9998495578765869 549 644 623 678 losses
2 7 0.9995136260986328 625 646 657 678 of
2 7 0.9927102327346802 657 646 699 676 the
2 7 0.9988424181938171 702 646 796 680 highest-
2 8 0.9964590668678284 205 749 316 783 However,
2 8 0.999966025352478 318 753 374 781 even
2 8 0.9999644756317139 377 746 436 781 with
2 8 0.9998807907104492 434 746 494 781 such
2 8 0.999357283115387 495 753 515 778 a
2 8 0.998744010925293 516 749 579 785 large
2 8 0.9800366759300232 578 746 638 781 field
2 8 0.703789472579956 638 749 796 783 amplification,
2 9 0.9999042749404907 174 781 213 820 by
2 9 0.9998539686203003 211 783 234 815 a
2 9 0.9993205070495605 235 783 305 810 factor
2 9 0.9995840191841125 306 781 337 813 of
2 9 0.999954104423523 337 778 407 815 order
2 9 0.9964788556098938 408 781 463 815 100,
2 9 0.9960711002349854 465 783 512 815 and
2 9 0.9920148849487305 513 783 570 810 even
2 9 0.998150110244751 571 781 599 813 if
2 9 0.9991829991340637 597 781 647 815 one
2 9 0.7833234667778015 647 785 746 813 assumes
2 9 0.9998888969421387 749 783 796 810 that
2 10 0.9974415302276611 174 813 226 847 this
2 10 0.9996190071105957 226 817 271 845 can
2 10 0.9999892711639404 274 815 308 845 be
2 10 0.9857999086380005 310 815 442 847 maintained
2 10 0.9999616146087646 444 815 474 847 at
2 10 0.9996776580810547 474 815 515 845 the
2 10 0.9939883947372437 518 813 654 854 appropriate
2 10 0.9997239708900452 654 810 733 854 length
2 10 0.9985581040382385 734 813 797 847 scale
2 11 0.9998767375946045 174 851 206 881 to
2 11 0.9999747276306152 205 849 239 879 be
