block line confidence X1 Y1 X2 Y2 token
0 0 0.9993545413017273 1542 75 1567 109 3
0 1 0.999927282333374 1524 204 1563 242 (5)
1 0 0.976793646812439 632 201 669 240 R
1 0 0.9991798996925354 664 208 692 236 =
1 0 0.6755545139312744 697 186 816 225 P(MID)
1 0 0.9679361581802368 856 191 893 223 21
1 0 0.8629811406135559 891 186 984 225 P(M1)
1 0 0.5203452706336975 1022 191 1054 221 Z1
1 1 0.6050335168838501 697 223 816 262 P(M6D)
1 1 0.7349647879600525 854 223 894 259 20
1 1 0.4837666153907776 893 223 982 262 P(Mo)
1 1 0.803803026676178 1019 223 1059 259 Zo
2 0 0.8808918595314026 172 283 247 324 Here,
2 0 0.26890474557876587 252 285 433 324 P(M)/P(Mo)
2 0 0.9942288398742676 434 283 466 322 is
2 0 0.9995487332344055 464 285 512 320 the
2 0 0.9717615246772766 514 287 650 320 probability
2 0 0.9997742772102356 657 285 720 320 ratio
2 0 0.9969021081924438 723 287 762 315 for
2 0 0.9998757839202881 766 287 810 315 the
2 0 0.9986068606376648 811 285 864 317 two
2 0 0.9725306630134583 866 285 956 317 models
2 0 0.9957653284072876 959 290 984 320 a
2 0 0.8165151476860046 984 287 1067 322 priori,
2 0 0.9998384714126587 1070 285 1147 317 which
2 0 0.9792744517326355 1150 285 1178 317 is
2 0 0.9840648770332336 1180 287 1356 320 conventionally
2 0 0.9994658827781677 1359 290 1401 317 set
2 0 0.9998922348022461 1404 287 1437 317 to
2 0 0.9955940842628479 1439 283 1517 324 unity;
2 0 0.9996987581253052 1519 285 1565 320 the
2 1 0.9909917116165161 147 317 257 350 evidence
2 1 0.9763525128364563 260 317 288 350 Z
2 1 0.9991129040718079 288 317 322 348 of
2 1 0.9986466765403748 320 320 346 350 a
2 1 0.9575724005699158 345 317 426 350 model
2 1 0.9990215301513672 431 317 464 348 M
2 1 0.998832643032074 468 317 496 350 is
2 1 0.9982902407646179 496 320 544 350 the
2 1 0.9397798180580139 546 320 703 352 marginalized
2 1 0.9942182302474976 710 320 828 345 likelihood
2 1 0.997247040271759 833 317 864 348 of
2 1 0.9995112419128418 868 320 913 348 the
2 1 0.9994416832923889 914 317 982 352 data,
2 1 0.7262222170829773 984 317 1029 352 i.e.
2 1 0.999386191368103 1032 320 1077 348 the
2 1 0.8426748514175415 1080 320 1216 352 probability
2 1 0.9838005900382996 1218 315 1253 352 of
2 1 0.9982665777206421 1251 315 1341 354 having
2 1 0.9944435954093933 1343 317 1452 350 obtained
2 1 0.9999357461929321 1457 320 1502 348 the
2 1 0.9992685914039612 1504 317 1565 350 data
3 0 0.9999891519546509 146 350 177 380 D
3 0 0.9995365142822266 180 352 308 384 integrated
3 0 0.5885233283042908 310 350 370 382 over
3 0 0.9907566905021667 371 350 408 382 all
3 0 0.6060805916786194 410 348 514 386 possible
3 0 0.999863862991333 512 350 595 382 values
3 0 0.9996576309204102 594 350 627 380 of
3 0 0.9997286200523376 625 348 675 382 the
3 0 0.9442801475524902 674 350 755 382 model
3 0 0.9431850910186768 758 352 898 384 parameters
3 0 0.9590484499931335 899 350 933 380 0:
4 0 0.7160453796386719 670 429 737 487 2-
4 0 0.48202750086784363 762 431 1039 476 C(DIM(0)):(0)d90,
5 0 0.9997077584266663 1524 436 1563 474 (6)
6 0 0.9999651908874512 174 517 252 550 where
6 0 0.5050031542778015 257 519 406 552 C(DM(0)),
6 0 0.6462987065315247 408 515 471 556 T(0)
6 0 0.9986439347267151 471 517 522 550 and
6 0 0.9797502756118774 526 519 556 550 D
6 0 0.9577870965003967 552 519 605 554 are,
6 0 0.9824081063270569 609 519 760 552 respectively,
6 0 0.9999724626541138 763 519 808 547 the
6 0 0.6610307097434998 810 519 931 545 likelihood
6 0 0.9676946401596069 933 517 964 547 of
6 0 0.9999473094940186 964 519 1009 547 the
