block line confidence X1 Y1 X2 Y2 token
0 0 0.9959339499473572 303 373 421 406 Table3:
0 0 0.9898295998573303 443 373 564 406 Ordered
0 0 0.8286663889884949 566 375 698 406 moments
0 0 0.47707226872444153 702 378 888 410 tromrefining
0 0 0.9999860525131226 888 375 942 410 the
0 0 0.9227661490440369 941 378 1182 410 low-temperature
0 0 0.9982479810714722 1182 375 1255 408 data
0 0 0.9744629859924316 1253 375 1324 408 from
0 0 0.9999276399612427 1328 373 1391 408 D10
0 1 0.9844902157783508 303 414 365 449 and
0 1 0.9969056248664856 370 414 434 446 D23
0 1 0.9981592297554016 439 416 521 451 using
0 1 0.9545193314552307 526 412 639 453 Irep(4).
0 1 0.9689184427261353 652 414 723 446 Two
0 1 0.7353090047836304 727 414 896 446 refinements
0 1 0.9999635219573975 903 421 972 446 were
0 1 0.5390788316726685 979 416 1135 449 performed:
0 1 0.9996802806854248 1148 421 1206 446 one
0 1 0.9867444038391113 1210 418 1389 451 constraining
0 2 0.8280209898948669 305 453 358 487 the
0 2 0.9662361145019531 361 459 494 483 moments
0 2 0.9999589920043945 501 457 534 485 to
0 2 0.9996473789215088 537 453 579 487 lie
0 2 0.9975602626800537 579 453 650 494 only
0 2 0.6005436778068542 652 453 737 494 along
0 2 0.9999492168426514 738 459 771 489 a;
0 2 0.9975324869155884 776 455 836 487 and
0 2 0.9996738433837891 838 457 864 487 a
0 2 0.9993354678153992 868 457 964 483 second
0 2 0.9953436255455017 971 453 1042 487 with
0 2 0.9999285936355591 1045 453 1099 487 the
0 2 0.6344456672668457 1102 455 1235 485 moments
0 2 0.9997280240058899 1240 453 1299 487 free
0 2 0.9999891519546509 1301 455 1334 485 in
0 2 0.9992508292198181 1339 453 1394 487 the
0 3 0.9852303862571716 305 491 381 534 (a,c)
0 3 0.9919703006744385 386 494 478 532 plane.
0 3 0.9997987151145935 491 494 554 526 The
0 3 0.9962204098701477 559 496 685 522 residuals
0 3 0.9931423664093018 693 491 738 526 for
0 3 0.9983658194541931 743 494 813 526 each
0 3 0.8291565179824829 818 496 974 526 refinement
0 3 0.9996114373207092 977 496 1030 528 are
0 3 0.9978646636009216 1034 494 1095 526 also
0 3 0.9948284029960632 1100 494 1201 526 shown.
0 3 0.9996463060379028 1215 491 1265 526 All
0 3 0.671273410320282 1271 498 1389 524 moment
0 4 0.9935755133628845 303 534 398 567 values
0 4 0.9485976099967957 403 537 456 569 are
0 4 0.9996869564056396 459 537 539 571 given
0 4 0.9999502897262573 544 532 581 569 in
0 4 0.25756385922431946 584 539 640 573 /B.
0 4 0.9219423532485962 654 532 730 567 Note
0 4 0.9998185038566589 735 532 803 567 that
0 4 0.9999825954437256 808 532 881 567 both
0 4 0.8106756210327148 888 537 994 562 nuclear
0 4 0.9994338154792786 1001 532 1060 567 and
0 4 0.9374446272850037 1065 534 1201 573 magnetic
0 4 0.999229907989502 1208 532 1299 573 Bragg
0 4 0.9996485710144043 1304 532 1392 573 peaks
0 5 0.9998348951339722 305 582 376 605 were
0 5 0.9779884815216064 376 575 517 605 measured
0 5 0.9972606897354126 519 573 579 608 and
0 5 0.8628372550010681 582 573 650 605 that
0 5 0.9999651908874512 652 573 707 608 the
0 5 0.9338870644569397 708 575 876 605 refinements
0 5 0.8456167578697205 881 577 1001 603 included
0 5 0.9998631477355957 1007 573 1079 605 both
0 5 0.9929966330528259 1085 577 1190 603 nuclear
0 5 0.9829009175300598 1193 573 1251 608 and
0 5 0.986344575881958 1258 577 1391 610 magnetic
1 0 0.9868914484977722 303 616 459 646 structures.
1 1 0.9964327812194824 320 696 443 721 Scanned
1 1 0.9630898833274841 449 693 607 724 reflections:
1 2 0.9939206838607788 325 736 503 769 Independent
1 2 0.9893171191215515 509 734 665 764 reflections:
1 3 0.9796095490455627 318 775 425 814 Irep(4)
1 4 0.6554802060127258 320 816 444 848 Moment
1 4 0.9979039430618286 449 818 532 852 along
1 4 0.9952423572540283 534 820 561 850 a
1 5 0.9846888780593872 323 859 443 885 Moment
1 5 0.9889380931854248 451 859 534 893 along
1 5 0.990151584148407 534 861 559 891 C
1 6 0.9999148845672607 322 895 401 928 Total
1 6 0.8212109804153442 408 900 526 925 moment
1 7 0.8704957365989685 322 934 383 977 Rp2
1 8 0.38008567690849304 322 975 400 1016 RuF2
1 9 0.5104368329048157 320 1014 373 1057 Rp
1 10 0.9986749291419983 322 1067 346 1095 X
1 10 0.9995439648628235 341 1054 358 1078 2
2 0 0.9997908473014832 830 650 893 685 D10
2 1 0.9999960660934448 833 691 888 726 421
2 2 0.9999924898147583 833 732 889 766 417
2 3 0.9085096716880798 720 814 831 855 3.13(8)
2 4 0.5437574982643127 718 850 838 898 -0.6(1)
2 5 0.9656179547309875 718 891 833 938 3.36(9)
2 6 0.9998964071273804 737 936 818 968 8.759
2 7 0.9980984330177307 740 979 816 1005 46.47
2 8 0.9943840503692627 738 1016 818 1048 11.32
2 9 0.9998912811279297 737 1057 818 1089 4.198
3 0 0.9907748103141785 1190 650 1255 685 D23
3 1 0.999932050704956 1193 691 1250 726 269
3 2 0.9999121427536011 1196 732 1246 766 121
3 3 0.9929156303405762 1089 816 1185 855 3.3(1)
3 4 0.6175550818443298 1080 855 1196 893 -0.6(1)
3 5 0.991061806678772 1089 893 1183 934 3.5(1)
3 6 0.9999020099639893 1100 936 1178 968 10.50
3 7 0.9989572763442993 1099 975 1178 1007 22.77
3 8 0.9807748198509216 1099 1016 1178 1048 9.714
3 9 0.9998596906661987 1092 1061 1185 1087 0.8128
4 0 0.21451376378536224 695 773 808 814 (M.,0,
4 0 0.6327114701271057 795 773 863 814 M2)
4 0 0.27483001351356506 889 773 1027 814 (M2,0,0)
4 0 0.5396189093589783 1055 773 1162 814 (Ma,0,
4 0 0.5415905714035034 1155 773 1223 814 M2)
4 0 0.39243555068969727 1250 773 1392 814 (M,0,0)
5 0 0.9780639410018921 901 814 1012 855 3.33(7)
5 1 0.978124737739563 901 893 1012 934 3.33(7)
5 2 0.9996300935745239 926 936 991 968 9.14
5 3 0.996095597743988 919 979 996 1005 47.30
5 4 0.9998341798782349 921 1016 996 1048 11.71
5 5 0.9955775737762451 918 1057 999 1089 4.359
6 0 0.8125882744789124 1263 814 1374 855 3.62(6)
6 1 0.990356981754303 1261 893 1374 934 3.62(6)
6 2 0.9999743700027466 1279 936 1358 968 11.51
6 3 0.9995166063308716 1281 979 1358 1005 25.06
6 4 0.9998902082443237 1281 1016 1359 1048 10.56
6 5 0.9926935434341431 1273 1061 1366 1087 0.9853
7 0 0.9936975836753845 303 1160 381 1192 most
7 0 0.9993756413459778 383 1155 466 1196 likely
7 0 0.9368612766265869 471 1162 586 1194 present.
8 0 0.9996254444122314 350 1194 388 1233 A
8 0 0.8835251331329346 391 1198 536 1231 schematic
8 0 0.9744979739189148 542 1196 581 1233 of
8 0 0.9999979734420776 582 1196 637 1231 the
8 0 0.9934002161026001 644 1200 776 1233 magnetic
8 0 0.9859353303909302 785 1200 921 1231 structure
8 0 0.9957141280174255 928 1196 974 1231 for
8 0 0.9034040570259094 981 1196 1080 1235 CoPS3
8 0 0.9999071359634399 1087 1198 1117 1231 is
8 0 0.9999006986618042 1125 1200 1215 1226 shown
8 0 0.9999551773071289 1223 1196 1260 1233 in
8 0 0.8647580742835999 1265 1196 1353 1237 figure
8 0 0.9974144697189331 1359 1198 1389 1231 7.
8 1 0.9963078498840332 303 1237 368 1271 The
8 1 0.5150889754295349 371 1237 511 1276 originally
8 1 0.9988325238227844 519 1237 659 1276 published
8 1 0.9601241946220398 664 1239 800 1269 structure
8 1 0.9999139308929443 803 1235 836 1274 is
8 1 0.9733952283859253 838 1237 933 1269 shown
8 1 0.9999815225601196 937 1239 971 1269 in
8 1 0.9782162308692932 976 1237 1064 1278 figure
8 1 0.6158698201179504 1067 1235 1143 1278 7(b),
8 1 0.994641900062561 1150 1237 1230 1269 while
8 1 0.999962329864502 1235 1237 1288 1271 the
8 1 0.9994964599609375 1293 1241 1389 1267 results
8 2 0.9980905652046204 303 1278 351 1312 for
8 2 0.9999256134033203 355 1278 410 1312 the
8 2 0.5664532780647278 411 1280 521 1312 current
8 2 0.66908198595047 527 1280 680 1310 refinement
8 2 0.9996973276138306 687 1284 738 1310 are
8 2 0.9999500513076782 743 1282 833 1308 shown
8 2 0.9999516010284424 840 1278 876 1314 in
8 2 0.9299613833427429 879 1278 967 1319 figure
8 2 0.9517437219619751 972 1276 1042 1319 7(c).
8 2 0.9997381567955017 1052 1278 1117 1312 The
8 2 0.99431312084198 1123 1284 1228 1308 current
8 2 0.6290618777275085 1236 1280 1389 1310 refinement
8 3 0.9970191717147827 303 1319 403 1351 results
8 3 0.9999747276306152 406 1316 443 1353 in
8 3 0.9981661438941956 444 1323 471 1353 a
8 3 0.9115536212921143 473 1321 609 1351 structure
8 3 0.788482129573822 612 1319 679 1351 that
8 3 0.9986912608146667 680 1316 713 1355 is
8 3 0.8833973407745361 718 1321 896 1353 qualitatively
8 3 0.9549691081047058 904 1319 1027 1351 identical
8 3 0.9999730587005615 1035 1321 1072 1353 to
8 3 0.9996885061264038 1075 1316 1140 1351 that
8 3 0.9994644522666931 1145 1316 1191 1351 for
8 3 0.5971949100494385 1193 1316 1288 1357 NiPSs
8 3 0.9393677711486816 1293 1314 1341 1359 [8].
8 4 0.9889460206031799 353 1359 416 1392 The
8 4 0.9811175465583801 423 1364 600 1396 temperature
8 4 0.8084936141967773 609 1362 776 1394 dependence
8 4 0.9998965263366699 780 1357 820 1392 of
8 4 0.9959006905555725 821 1357 873 1392 the
8 4 0.9981071949005127 878 1357 957 1398 (010)
8 4 0.998600423336029 962 1357 1055 1398 Bragg
8 4 0.9997468590736389 1059 1357 1133 1398 peak
8 4 0.9998101592063904 1138 1364 1195 1390 was
8 4 0.6630666851997375 1203 1362 1319 1387 followed
8 4 0.9994654059410095 1328 1364 1364 1392 as
8 4 0.999886155128479 1366 1364 1392 1392 a
8 5 0.8673973679542542 307 1402 425 1428 function
8 5 0.9999085664749146 433 1400 469 1433 of
8 5 0.9836334586143494 474 1402 652 1435 temperature
8 5 0.9990645051002502 660 1402 697 1435 to
8 5 0.9683204889297485 702 1402 821 1435 quantity
8 5 0.999373733997345 831 1398 884 1433 the
8 5 0.9955163598060608 888 1398 991 1430 critical
8 5 0.985584020614624 999 1400 1145 1430 behaviour
8 5 0.9965872764587402 1148 1396 1187 1433 of
8 5 0.9999980926513672 1188 1398 1243 1433 the
8 5 0.9030840992927551 1246 1400 1391 1430 sublattice
8 6 0.9061717987060547 305 1443 511 1475 magnetization
8 6 0.9999723434448242 517 1439 557 1473 in
8 6 0.9454450607299805 564 1437 670 1475 CoPS3.
8 6 0.9998925924301147 695 1437 758 1471 The
8 6 0.9985894560813904 766 1439 864 1471 results
8 6 0.9995278120040894 874 1445 924 1471 are
8 6 0.9997451901435852 933 1439 1027 1471 shown
8 6 0.9996275901794434 1034 1437 1072 1473 in
8 6 0.9949731826782227 1079 1437 1167 1478 figure
8 6 0.9884139895439148 1172 1437 1206 1473 8.
8 6 0.9999510049819946 1228 1437 1291 1471 The
8 6 0.9977086782455444 1299 1437 1392 1478 Bragg
8 7 0.9806448817253113 302 1478 380 1518 peak
8 7 0.977356493473053 383 1478 512 1516 intensity
8 7 0.9993011951446533 521 1480 657 1512 decreases
8 7 0.9998893737792969 664 1486 700 1512 as
8 7 0.9999244213104248 705 1484 732 1514 a
8 7 0.99334716796875 737 1484 828 1516 power
8 7 0.999647855758667 833 1478 889 1512 law
8 7 0.999687910079956 896 1478 966 1512 with
8 7 0.9999407529830933 972 1484 1014 1512 an
8 7 0.8679879307746887 1019 1480 1157 1518 exponent
8 7 0.9994364380836487 1163 1480 1200 1512 of
8 7 0.591319739818573 1200 1478 1246 1514 2B
8 7 0.4688197076320648 1256 1486 1283 1506 -
8 7 0.9999358654022217 1291 1478 1358 1512 0.60
8 7 0.3280155062675476 1356 1478 1391 1514 #
8 8 0.9991165995597839 303 1518 366 1553 0.01
8 8 0.9995410442352295 373 1518 449 1553 close
8 8 0.9996755123138428 454 1523 491 1555 to
8 8 0.24689790606498718 488 1516 551 1557 TN,
8 8 0.9999814033508301 554 1516 644 1555 which
8 8 0.9998589754104614 649 1525 707 1551 was
8 8 0.7398418188095093 712 1521 871 1551 established
8 8 0.9999145269393921 879 1521 916 1553 to
8 8 0.9999570846557617 918 1516 961 1553 be
8 8 0.9989041090011597 967 1518 1044 1551 119.1
8 8 0.562646746635437 1045 1521 1077 1549 E
8 8 0.7536506652832031 1079 1521 1123 1549 0.1
8 8 0.9983546137809753 1130 1521 1163 1549 K
8 8 0.9998910427093506 1167 1521 1203 1553 in
8 8 0.9999971389770508 1206 1518 1261 1553 the
8 8 0.9995461106300354 1265 1518 1389 1557 analysis.
8 9 0.8453154563903809 303 1559 368 1591 The
8 9 0.9855968356132507 376 1564 509 1596 exponent
8 9 0.9998915195465088 519 1566 577 1591 was
8 9 0.7211007475852966 586 1559 748 1591 determined
8 9 0.850852906703949 758 1559 830 1591 from
8 9 0.9972732663154602 838 1559 933 1598 fitting
8 9 0.9988044500350952 939 1559 1011 1591 data
8 9 0.9999645948410034 1016 1557 1050 1594 in
8 9 0.9997097849845886 1059 1557 1110 1594 the
8 9 0.9724460244178772 1120 1564 1298 1596 temperature
8 9 0.99970942735672 1306 1566 1391 1598 range
8 10 0.9999884366989136 305 1600 360 1632 109
8 10 0.8546743988990784 370 1602 400 1632 S
8 10 0.9869883060455322 398 1600 438 1634 T
8 10 0.9926313161849976 444 1602 473 1632 <
8 10 0.40578368306159973 479 1598 539 1639 TN,
8 10 0.9988856911659241 546 1604 582 1632 or
8 10 0.8249251842498779 587 1600 664 1632 from
8 10 0.9998453855514526 665 1604 692 1634 a
8 10 0.9571002721786499 698 1602 811 1628 reduced
8 10 0.9371458292007446 823 1604 1001 1637 temperature
8 10 0.8568786382675171 1007 1596 1080 1639 (1-
8 10 0.5999703407287598 1075 1598 1175 1639 T/TN)
8 10 0.7862805128097534 1183 1600 1218 1637 S
8 10 0.9979140162467957 1223 1600 1311 1632 0.085.
8 10 0.9999396800994873 1328 1598 1392 1632 The
8 11 0.913658082485199 305 1645 439 1677 exponent
8 11 0.569247305393219 441 1643 471 1673 IS
8 11 0.9963156580924988 471 1641 586 1680 roughly
8 11 0.9903484582901001 586 1641 690 1673 similar
8 11 0.9997169375419617 690 1643 725 1671 to
8 11 0.9999810457229614 727 1641 793 1673 that
8 11 0.8885303735733032 795 1643 924 1675 expected
8 11 0.9996256828308105 926 1641 974 1675 for
8 11 0.999618649482727 971 1641 997 1673 a
8 11 0.9998855590820312 999 1643 1082 1675 phase
