block line confidence X1 Y1 X2 Y2 token
0 0 0.9996770620346069 174 182 251 210 where
0 0 0.9344893097877502 255 182 302 214 the
0 0 0.9994169473648071 303 187 410 214 operator
0 0 0.993818461894989 413 180 444 212 D
0 0 0.9999845027923584 445 180 471 212 is
0 0 0.9646139740943909 473 182 563 210 defined
0 0 0.9997685551643372 566 185 600 212 as
1 0 0.7736477255821228 828 262 864 292 1
1 0 0.8736172914505005 854 262 885 292 0
1 1 0.6902875900268555 718 262 827 322 DLJ-
1 2 0.3870835304260254 899 269 986 319 [r2.].
1 3 0.337394654750824 822 292 891 328 r20r
2 0 0.9597859382629395 1511 276 1565 312 (56)
3 0 0.9979694485664368 172 365 230 399 The
3 0 0.9793927669525146 230 367 373 402 expressions
3 0 0.9965528249740601 376 374 413 395 we
3 0 0.9597997069358826 415 365 479 399 then
3 0 0.9999784231185913 479 367 562 395 obtain
3 0 0.999321460723877 565 367 605 397 for
3 0 0.9998182654380798 608 367 655 399 the
3 0 0.9730123281478882 655 370 806 402 components
3 0 0.4156189560890198 809 365 851 404 a,
3 0 0.19470736384391785 852 367 898 404 0p7
3 0 0.14218750596046448 898 365 938 406 05
3 0 0.9957267045974731 936 367 969 399 of
3 0 0.9992213249206543 970 367 1017 399 the
3 0 0.9997405409812927 1017 367 1072 395 flow
3 0 0.9957948923110962 1074 365 1133 399 field
3 0 0.4478096663951874 1135 365 1171 399 "i"""
3 0 0.9812570810317993 1172 372 1219 397 are
3 0 0.9994221925735474 1221 367 1290 402 given
3 0 0.9998492002487183 1292 367 1324 399 in
3 0 0.9977514147758484 1326 367 1448 402 Appendix
3 0 0.9953470826148987 1452 365 1484 397 C.
3 1 0.9999297857284546 174 468 221 495 We
3 1 0.9998642206192017 222 470 281 497 now
3 1 0.9990799427032471 284 468 389 495 consider
3 1 0.999975323677063 394 468 440 500 the
3 1 0.9996019005775452 442 465 571 497 derivation
3 1 0.9994404911994934 575 468 615 497 for
3 1 0.9999736547470093 620 465 667 497 the
3 1 0.5532765984535217 670 468 796 497 first-order
3 1 0.9964848756790161 801 468 901 495 solution
3 1 0.9997465014457703 907 463 949 502 (in
