block line confidence X1 Y1 X2 Y2 token
0 0 1.0 1519 109 1542 143 5
1 0 0.9990718364715576 275 199 391 223 Publication
2 0 0.9990118741989136 856 197 911 229 Type
2 1 0.9862593412399292 858 242 909 268 B-T
2 2 0.9874339699745178 858 285 909 311 B-T
2 3 0.9862361550331116 858 371 909 397 B-T
2 4 0.9913792610168457 858 427 909 453 B-T
3 0 0.9996910095214844 991 199 1045 225 Field
3 0 0.9996129870414734 1045 199 1140 223 direction
3 1 0.9998346567153931 991 240 1049 272 (110)
3 2 0.7806696891784668 992 283 1054 315 (100),
3 2 0.9999405145645142 1055 283 1112 315 (111)
3 3 0.9999305009841919 991 326 1049 358 (111)
3 4 0.7882384061813354 992 369 1054 401 (100),
3 4 0.9983900785446167 1055 369 1113 401 (111)
3 5 0.9982311129570007 994 429 1054 455 (100),
3 5 0.997337281703949 1055 425 1112 457 (110)
4 0 0.9851194024085999 1205 201 1309 227 Technique
5 0 0.9942378997802734 1411 199 1452 225 Ref.
5 1 0.9983256459236145 1286 244 1382 270 scattering
5 1 0.9978499412536621 1411 242 1457 268 [11]
5 2 0.9978845715522766 1286 287 1382 313 scattering
5 2 0.9998867511749268 1409 281 1459 315 [22]
5 3 0.9984233379364014 1286 330 1382 354 scattering
5 3 0.9987995624542236 1411 328 1459 358 [23]
5 4 0.9979400038719177 1286 373 1382 399 scattering
5 4 0.9971309304237366 1411 371 1459 401 [12]
5 5 0.7152649760246277 1205 431 1344 455 Magnetometry
5 6 0.9778889417648315 1203 524 1246 550 and
5 6 0.6847020387649536 1246 526 1381 550 magnetisation
5 7 0.5102860331535339 1206 582 1382 605 Magnetoresistance
5 7 0.9999548196792603 1412 580 1457 608 [26]
6 0 0.9983890056610107 275 244 366 270 Magnetic
6 0 0.9997608065605164 368 244 451 268 ordering
6 0 0.9999573230743408 451 240 478 268 in
6 0 0.9936869740486145 476 242 546 266 cerium
6 0 0.6880213618278503 546 242 654 266 hexaboride
6 1 0.9955451488494873 275 285 346 311 Thesis:
6 1 0.9939852356910706 348 285 483 309 Jean-Michelle
6 1 0.9938702583312988 484 285 562 309 Effantin
6 2 0.9985902905464172 275 330 366 354 Magnetic
6 2 0.9954908490180969 368 328 418 354 form
6 2 0.9961280822753906 418 328 478 352 factor
6 2 0.9664792418479919 479 333 514 352 mea
6 3 0.9988658428192139 275 373 366 399 Magnetic
6 3 0.9995427131652832 366 369 428 401 phase
6 3 0.9966503977775574 428 373 508 399 diagram
6 3 0.9998276233673096 508 369 536 397 of
6 3 0.974934995174408 532 369 586 401 CeB6
6 4 0.9908815622329712 275 414 371 438 Extension
6 4 0.9882084727287292 371 412 398 440 of
6 4 0.9997609257698059 396 414 433 440 the
6 4 0.7463476657867432 433 418 552 442 temperature
6 4 0.9736871719360352 552 418 567 440 -
6 4 0.9907591342926025 566 416 654 442 magnetic
6 4 0.999961256980896 655 414 702 440 field
6 4 0.9999339580535889 700 412 762 444 phase
6 5 0.9987804293632507 275 442 358 468 diagram
6 5 0.9990366697311401 358 438 385 468 of
6 5 0.9854350090026855 381 438 434 470 CeB6
6 6 0.9997379183769226 275 483 317 509 The
6 6 0.9959365129470825 317 485 406 511 magnetic
6 6 0.9997708201408386 408 483 506 507 behaviour
6 6 0.9954330921173096 504 481 534 511 of
6 6 0.9935710430145264 532 485 589 511 CeB6:
6 6 0.9979440569877625 594 485 708 511 Comparison
6 6 0.8266074061393738 710 483 793 507 between
6 7 0.9980746507644653 275 509 340 534 elastic
6 7 0.9951903820037842 338 509 381 534 and
6 7 0.9976425766944885 380 509 463 534 inelastic
6 7 0.986338198184967 463 511 542 534 neutron
6 7 0.9993591904640198 542 511 644 537 scattering,
6 7 0.9191092252731323 644 511 705 534 initial
6 7 0.7065123319625854 705 511 830 537 susceptibility
6 7 0.9538889527320862 858 509 909 534 B-T
6 8 0.9994447827339172 273 537 317 562 and
6 8 0.7870638966560364 317 537 410 562 high-field
6 8 0.6631563305854797 411 539 549 562 magnetization
6 9 0.9141525030136108 277 582 453 605 Magnetoresistance
6 9 0.9977845549583435 453 577 496 605 and
6 9 0.7635568380355835 496 582 632 605 magnetisation
6 9 0.8761695027351379 632 580 732 603 anomalies
6 9 0.9987531900405884 730 577 757 605 in
6 9 0.9907517433166504 757 580 808 605 CeB6
6 9 0.9800083637237549 856 580 909 605 B-T
6 10 0.573084831237793 277 625 366 650 Magnetic
6 10 0.9986982345581055 368 625 464 650 properties
6 10 0.9995701909065247 464 620 494 648 of
6 10 0.9999088048934937 489 623 508 646 a
6 10 0.9929934144020081 506 620 561 653 CeB6
6 10 0.9663863778114319 559 620 622 653 single
6 10 0.9825791120529175 620 625 685 648 crystal
6 11 0.9928511381149292 275 666 366 689 Electrical
6 11 0.9930083751678467 368 668 459 691 resistivity
6 11 0.9927901029586792 461 666 503 691 and
6 11 0.6607630252838135 504 668 680 691 magnetoresistance
6 12 0.9933007955551147 275 708 383 732 Anomalous
