block line confidence X1 Y1 X2 Y2 token
0 0 0.999975323677063 147 120 179 150 10
1 0 0.9955196380615234 1258 320 1281 350 8
1 0 0.8831804990768433 1318 324 1334 345 8
2 0 0.9998770952224731 300 509 360 534 30.0
3 0 0.9979054927825928 607 509 669 534 30.0
4 0 0.9999338388442993 974 509 1030 534 30.0
5 0 0.9988728165626526 1281 509 1343 534 30.0
6 0 0.9493582248687744 1266 689 1279 706 5
7 0 0.9992572665214539 300 865 360 891 30.0
8 0 0.9962711334228516 609 865 670 891 30.0
9 0 0.9995830655097961 976 867 1032 893 30.0
10 0 0.9983155727386475 1279 865 1344 898 30.0
11 0 0.5616557002067566 1208 1044 1226 1063 00
11 0 0.8594142198562622 1265 1044 1279 1065 8
11 0 0.9763942360877991 1316 1039 1341 1069 8
12 0 0.9428418278694153 310 1228 348 1248 30.
13 0 0.9981591105461121 610 1226 672 1252 30.0
14 0 0.9758499264717102 979 1231 1019 1250 30.
15 0 0.999803364276886 1283 1228 1343 1254 30.0
16 0 0.8772993087768555 647 1398 669 1420 00
17 0 0.9960399866104126 302 1581 366 1604 20.0
18 0 0.9991557598114014 610 1576 674 1609 20.0
19 0 0.9993987083435059 971 1581 1035 1607 20.0
20 0 0.9988061189651489 1281 1581 1343 1607 20.0
21 0 0.8253203630447388 1265 1750 1279 1772 8
22 0 0.9311281442642212 298 1929 366 1961 20.0
23 0 0.9998303651809692 612 1933 672 1959 20.0
24 0 0.8476445078849792 969 1931 1037 1963 20.0
25 0 0.9995535016059875 1281 1931 1346 1963 20.0
26 0 0.9972513318061829 149 1993 195 2019 FIG.
26 0 0.8142288327217102 195 1993 225 2021 7.-
26 0 0.9756169319152832 242 1993 288 2019 Left
26 0 0.9980916380882263 287 1995 365 2019 column:
26 0 0.9781021475791931 365 1993 416 2019 from
26 0 0.9999184608459473 415 1995 451 2023 top
26 0 0.9992750287055969 448 1993 476 2021 to
26 0 0.9542663097381592 473 1995 546 2019 bottom,
26 0 0.9989426732063293 547 1995 599 2021 input
26 0 0.9998605251312256 597 1993 664 2019 Stokes
26 0 0.9944595098495483 662 1993 688 2023 Q
26 0 0.9959836006164551 683 1995 738 2021 maps
26 0 0.998620867729187 735 1993 773 2019 for
26 0 0.9994580149650574 768 1993 846 2019 WMAP
26 0 0.9760686159133911 841 1989 886 2023 K1,
26 0 0.9938209652900696 884 1993 933 2023 Kal,
26 0 0.9805624485015869 931 1991 957 2021 Q,
26 0 0.9614275097846985 956 1989 982 2021 V
26 0 0.9986322522163391 977 1993 1019 2019 and
26 0 0.9845859408378601 1016 1991 1047 2019 W
26 0 0.994692862033844 1044 1993 1095 2019 band
26 0 0.8734907507896423 1094 1995 1205 2021 respectively
26 0 0.9909543395042419 1203 1991 1263 2023 (after
26 0 0.9954825639724731 1260 1995 1343 2021 applying
26 0 0.9179056882858276 1339 1991 1429 2023 CMask).
26 0 0.9609188437461853 1427 1991 1487 2023 Right
26 0 0.9980564117431641 1484 1993 1563 2019 column:
27 0 0.9409018158912659 136 2019 190 2043 same
27 0 0.9881656169891357 189 2021 215 2045 as
27 0 0.9997637867927551 212 2017 250 2043 left
27 0 0.9825783967971802 247 2019 325 2043 column,
27 0 0.9976861476898193 325 2017 361 2043 but
27 0 0.9993839263916016 358 2017 393 2043 for
27 0 0.9523483514785767 390 2019 413 2041 U
27 0 0.9086771011352539 411 2017 476 2043 Stokes
27 0 0.9229240417480469 474 2019 572 2045 parameter.
