block line confidence X1 Y1 X2 Y2 token
0 0 0.9996600151062012 1474 81 1505 109 70
1 0 0.5690622329711914 629 283 693 315 YS,m
1 0 0.7645342946052551 695 277 727 315 €
1 0 0.4541599750518799 733 277 928 315 (2,4),Vp(k)
1 0 0.9024463295936584 928 277 966 313 S
1 0 0.8924857974052429 962 279 1002 313 m
1 0 0.885770320892334 1001 279 1070 313 <n.
2 0 0.5525112152099609 1424 275 1504 315 (152)
3 0 0.9999028444290161 229 423 265 461 In
3 0 0.9447275400161743 265 423 333 464 fact,
3 0 0.9965112805366516 333 423 366 461 if
3 0 0.5207895040512085 363 427 431 468 VS,m
3 0 0.8838812112808228 434 427 461 461 €
3 0 0.8091421127319336 466 425 549 466 (1,3)
3 0 0.9999207258224487 552 425 602 459 for
3 0 0.8845289349555969 605 431 679 457 some
3 0 0.6440563201904297 683 425 766 466 Vp(k)
3 0 0.4704571068286896 771 423 805 464 S
3 0 0.986689567565918 805 431 843 459 m
3 0 0.9890865087509155 845 429 876 459 <
3 0 0.4499675929546356 878 431 914 464 Tl,
3 0 0.9997698664665222 916 425 979 459 then
3 0 0.9997215867042542 982 425 1030 459 the
3 0 0.9999773502349854 1034 425 1084 461 PU
3 0 0.9938949942588806 1087 425 1180 464 packet
3 0 0.999876856803894 1180 423 1213 461 is
3 0 0.501477837562561 1216 429 1381 461 successfully
3 0 0.9985648989677429 1389 429 1500 455 decoded
3 1 0.9999876022338867 195 481 230 519 in
3 1 0.9995346069335938 234 483 292 517 slot
3 1 0.9543877243995667 293 487 338 522 m;
3 1 0.9651334285736084 345 483 474 522 similarly,
3 1 0.976477861404419 479 481 511 519 if
3 1 0.5200243592262268 511 485 579 526 yS,m
3 1 0.7383091449737549 581 483 612 522 E
3 1 0.812388002872467 615 479 730 526 (5,6,7)
3 1 0.9995835423469543 735 483 785 517 for
3 1 0.729092001914978 788 489 863 515 some
3 1 0.6350048184394836 871 485 952 519 Vp(k)
3 1 0.7399717569351196 957 483 991 522 S
3 1 0.9893877506256104 992 489 1029 517 m
3 1 0.9893873929977417 1032 487 1064 517 <
3 1 0.40974438190460205 1067 489 1100 519 T,
3 1 0.9999147653579712 1107 483 1170 517 then
3 1 0.9995883107185364 1175 483 1223 517 the
3 1 0.9989182949066162 1228 483 1278 519 PU
3 1 0.9998229146003723 1283 483 1376 522 packet
3 1 0.6892179250717163 1381 485 1502 517 becomes
3 2 0.9883245229721069 197 543 337 573 connected
3 2 0.999919056892395 341 543 375 573 to
3 2 0.9991005659103394 376 541 426 575 the
3 2 0.9980119466781616 429 543 491 575 root
3 2 0.9411346316337585 494 543 531 575 of
3 2 0.999931812286377 531 541 581 575 the
3 2 0.9901025295257568 582 541 635 575 CD
3 2 0.9966260194778442 640 541 730 582 graph.
3 2 0.8712815046310425 735 541 903 580 Specializing
3 2 0.9970753192901611 909 543 986 577 (151)
3 2 0.9997997879981995 989 541 1025 577 to
3 2 0.9999781847000122 1027 541 1084 575 this
3 2 0.999790608882904 1085 547 1150 573 case
3 2 0.9948387742042542 1153 541 1208 575 and
3 2 0.9979727864265442 1211 541 1291 582 using
3 2 0.945816159248352 1294 543 1381 580 (152),
3 2 0.9981904625892639 1386 547 1431 573 we
3 2 0.9900800585746765 1434 541 1504 573 need
4 0 0.9999274015426636 197 603 230 631 to
4 0 0.9997511506080627 234 605 315 638 prove
4 0 0.9996685981750488 320 597 370 631 the
4 0 0.9812941551208496 373 603 501 627 recursion
5 0 0.6204928755760193 503 745 609 792 Msm+1
5 0 0.9988405108451843 605 749 640 786 +
5 0 0.7964303493499756 635 751 728 790 US,n+1
5 0 0.9741321206092834 745 758 762 779 -
5 0 0.8877769708633423 766 745 838 788 Ms,m
5 0 0.9991298317909241 840 749 874 786 +
5 0 0.8443902730941772 871 754 931 788 US,n
5 0 0.9996088147163391 931 747 966 786 +
5 0 0.2873145639896393 966 747 1055 788 X(US,m
5 0 0.8840276002883911 1059 747 1090 786 €
5 0 0.5855209827423096 1094 747 1198 786 (1,2).
6 0 0.516198992729187 1426 749 1502 784 (153)
7 0 0.9999710321426392 229 895 268 932 In
7 0 0.9991424083709717 267 895 333 936 fact,
7 0 0.9884418845176697 335 898 365 930 if
7 0 0.47478264570236206 365 898 426 938 Vs,n
7 0 0.7531876564025879 429 900 458 932 E
7 0 0.44376781582832336 463 895 554 936 {1,2),
7 0 0.9993267059326172 557 895 605 932 the
7 0 0.9995892643928528 607 898 670 932 root
7 0 0.9994686245918274 670 895 705 934 is
7 0 0.9851062297821045 707 900 873 932 successfully
7 0 0.9993727803230286 878 898 994 930 decoded
7 0 0.9981208443641663 997 895 1054 930 and
7 0 0.999972939491272 1057 895 1105 930 the
7 0 0.996716320514679 1108 895 1162 930 full
7 0 0.9926954507827759 1165 895 1216 932 CD
7 0 0.8718386888504028 1221 898 1343 936 potential
7 0 0.999092698097229 1346 895 1379 934 is
7 0 0.9907081127166748 1381 898 1500 930 released,
8 0 0.9984431862831116 197 958 318 990 resulting
8 0 0.9999966621398926 322 953 360 990 in
9 0 0.5001181364059448 693 1106 793 1147 MS,m+1
9 0 0.591712474822998 800 1110 833 1138 -
9 0 0.7720500826835632 835 1104 908 1147 Ms,n
9 0 0.9999842643737793 908 1106 941 1145 +
9 0 0.6695741415023804 939 1110 1007 1145 USn.
10 0 0.9960194230079651 1426 1106 1502 1140 (154)
11 0 0.9999576807022095 229 1252 290 1286 The
11 0 0.9999123811721802 290 1261 351 1286 new
11 0 0.9999287128448486 353 1258 415 1284 root
11 0 0.9794752597808838 416 1252 454 1289 of
