block line confidence X1 Y1 X2 Y2 token
0 0 0.38736671209335327 277 283 453 330 X(-1)4931
0 0 0.5018560886383057 439 287 478 315 +h
0 0 0.3776300251483917 468 283 536 324 chhd
0 0 0.2039741426706314 527 283 600 326 (yt1
0 0 0.9379937052726746 599 294 627 322 -
0 0 0.9353398084640503 624 294 649 328 V
0 0 0.5781471133232117 655 285 698 320 (2+3
0 0 0.9992534518241882 693 290 712 311 1)
0 0 0.40425533056259155 710 287 748 326 Ju
0 0 0.4583808183670044 743 287 771 317 3
1 0 0.8539727926254272 876 270 919 307 101
1 0 0.9801028370857239 916 270 952 307 (T,
1 0 0.515295684337616 952 272 986 302 2z
1 0 0.4057464003562927 984 272 1016 302 7(
1 0 0.9998713731765747 1019 277 1035 300 T
1 0 0.9998569488525391 1042 270 1059 294 6
1 1 0.43621525168418884 825 305 921 345 G3/80a(
1 1 0.9873795509338379 909 309 937 341 T,
1 1 0.8254229426383972 941 313 957 339 2
1 1 0.9901589751243591 952 307 979 341 )2
1 1 0.5805258750915527 976 307 999 343 D
1 1 0.9627204537391663 994 309 1025 339 NS
1 1 0.9949420094490051 1037 313 1054 337 T
2 0 0.9997280240058899 1321 275 1338 300 1
2 1 0.999154806137085 1182 309 1213 348 (1
2 1 0.7439521551132202 1215 317 1236 339 -
2 1 0.18988996744155884 1235 302 1341 352 "q""yPuo"
2 1 0.3150131106376648 1331 302 1402 343 )ec(2,2)
2 1 0.5656371116638184 1396 309 1429 337 (m,
2 1 0.5349883437156677 1431 313 1447 333 l,
2 1 0.818778932094574 1444 311 1462 333 l'
2 2 0.6420498490333557 1348 369 1382 406 (B.
2 2 0.9957401752471924 1381 371 1406 403 31
3 0 0.5635380744934082 272 328 325 363 i,hj
4 0 0.44901925325393677 1115 330 1177 356 m,l,l'
5 0 0.6301538944244385 318 476 338 500 W.
5 0 0.888290524482727 332 472 393 504 here
5 0 0.9997860789299011 393 474 464 509 again
5 0 0.99956876039505 464 479 506 504 we
5 0 0.9999107122421265 504 470 567 504 have
5 0 0.9804946184158325 567 470 672 509 dropped
