block line confidence X1 Y1 X2 Y2 token
0 0 0.9920030832290649 1080 163 1125 191 VI.
0 0 0.9901911020278931 1135 165 1331 189 CONCLUSION
1 0 0.9999866485595703 889 208 921 236 In
1 0 0.9997298121452332 923 208 967 236 this
1 0 0.9979494214057922 971 214 1044 240 paper,
1 0 0.999992847442627 1045 214 1067 236 a
1 0 0.9999310970306396 1069 212 1122 238 new
1 0 0.999876856803894 1123 208 1230 240 approach
1 0 0.9992815852165222 1231 210 1263 238 to
1 0 0.9998784065246582 1265 212 1362 238 generate
1 0 0.9859208464622498 1367 208 1490 240 algorithms
1 0 0.5283556580543518 1494 204 1550 238 with
1 1 0.9969853758811951 863 242 947 268 chaotic
1 1 0.9966930150985718 956 242 1067 268 behaviors
1 1 0.9999728202819824 1075 238 1102 270 is
1 1 0.9980565905570984 1110 244 1220 270 proposed.
1 1 0.9945493340492249 1228 238 1288 270 This
1 1 0.9946002960205078 1291 238 1402 277 approach
1 1 0.9997400641441345 1406 240 1434 270 is
1 1 0.9994949102401733 1439 238 1510 270 based
1 1 0.9997401833534241 1514 244 1550 270 on
1 2 0.999931812286377 863 275 903 302 the
1 2 0.9950863718986511 904 272 1042 302 well-known
1 2 0.9996805191040039 1044 275 1163 307 Devaney's
1 2 0.9952111840248108 1165 275 1294 307 topological
1 2 0.9898999333381653 1296 272 1374 305 chaos.
1 2 0.9991590976715088 1374 272 1426 305 The
1 2 0.9996808767318726 1426 275 1548 307 algorithms
1 3 0.9999871253967285 861 305 937 337 which
1 3 0.9995887875556946 946 313 986 333 are
1 3 0.9999568462371826 994 307 1027 335 of
1 3 0.9995436072349548 1034 307 1128 333 iterative
1 3 0.996475875377655 1138 309 1215 335 nature
1 3 0.999840259552002 1223 313 1263 333 are
1 3 0.6778006553649902 1271 305 1344 337 based
1 3 0.9995217323303223 1349 311 1386 337 on
1 3 0.999893069267273 1394 307 1434 335 the
1 3 0.9780352115631104 1444 307 1548 333 so-called
1 4 0.9989076852798462 863 341 947 367 chaotic
1 4 0.9949902892112732 951 341 1064 367 iterations.
1 4 0.6739962100982666 1069 339 1127 371 This
1 4 0.9998925924301147 1125 339 1153 371 is
1 4 0.9990522265434265 1153 339 1258 371 achieved
