block line confidence X1 Y1 X2 Y2 token
0 0 0.9997839331626892 250 267 373 294 Moreover,
0 0 0.9965505599975586 381 264 418 294 let
0 0 0.31153208017349243 428 267 584 301 Sep(Cp,a.p,
0 0 0.3123950660228729 576 267 660 301 CgsCgs
0 0 0.9889305233955383 660 264 696 299 C)
0 0 0.9995131492614746 702 260 743 296 be
0 0 0.9985961318016052 744 260 794 294 the
0 0 0.9991866946220398 796 264 859 292 class
0 0 0.9999083280563354 862 262 898 296 of
0 0 0.9583925604820251 901 267 1015 292 functions
0 0 0.6354742050170898 1020 269 1045 299 9
0 0 0.9993056058883667 1046 262 1111 296 such
0 0 0.9999407529830933 1112 262 1174 296 that
0 0 0.9990060925483704 1179 262 1209 294 X
0 0 0.99993896484375 1213 264 1242 294 is
0 0 0.9997796416282654 1245 271 1271 296 a
0 0 0.9884937405586243 1272 264 1403 296 compound
1 0 0.9695295095443726 251 299 344 326 Poisson
1 0 0.9736995697021484 350 299 450 333 process,
1 0 0.726105809211731 450 290 499 338 Ct
1 0 0.9938807487487793 500 294 566 331 <C,
1 1 0.5590534210205078 316 388 358 424 Vu
1 1 0.4994892477989197 356 392 384 422 €
1 1 0.9968730807304382 382 390 411 422 R
1 1 0.9999970197677612 410 395 428 422 :
1 1 0.4109532833099365 437 392 500 427 loxi
1 1 0.1990332007408142 491 392 545 427 (a)
1 1 0.2857993543148041 544 392 576 424 2
1 1 0.6719884276390076 573 388 613 429 Cp
2 0 0.9981020092964172 247 484 300 518 and
3 0 0.820643424987793 318 580 356 609 Vu
3 0 0.6582174301147461 356 580 384 614 €
3 0 0.9981056451797485 382 580 411 612 R
3 0 0.4419442415237427 410 580 436 614 :
3 0 0.33797594904899597 426 580 516 614 Fg(u)
3 0 0.9395787715911865 520 580 549 614 S
3 0 0.4950132966041565 550 580 618 616 Colul
3 0 0.6543800234794617 618 580 650 609 a
3 0 0.7047094702720642 646 580 707 614 exp(
3 0 0.37420186400413513 720 577 815 619 Colu).
4 0 0.9994561076164246 247 671 305 705 The
4 0 0.9396129846572876 311 678 421 705 tollowing
4 0 0.998392641544342 429 676 502 703 result
4 0 0.999985933303833 510 676 584 703 which
4 0 0.97148197889328 591 676 705 703 describes
4 0 0.9027110934257507 712 673 759 705 the
4 0 0.9996873140335083 762 678 827 703 rates
4 0 0.9999165534973145 831 673 867 708 of
4 0 0.9906253814697266 868 680 1015 705 convergence
4 0 0.9998651742935181 1024 676 1083 703 with
4 0 0.9997001886367798 1088 676 1180 710 respect
4 0 0.9999603033065796 1187 676 1221 703 to
4 0 0.9989691972732544 1224 673 1271 705 the
4 0 0.9984992742538452 1276 673 1403 708 prescribed
4 1 0.9967268705368042 250 710 392 735 smoothness
4 1 0.999890923500061 398 708 481 735 classes
4 1 0.9962584972381592 484 705 620 737 introduced
4 1 0.9996764659881592 623 708 697 735 above
4 1 0.9978466033935547 699 705 728 740 is
4 1 0.9989296793937683 726 710 752 740 a
4 1 0.9998691082000732 754 708 827 735 direct
4 1 0.788602352142334 830 710 985 742 consequence
4 1 0.9997482895851135 985 708 1017 737 of
4 1 0.9200385808944702 1020 708 1130 735 Theorem
4 1 0.9871976971626282 1133 705 1185 740 3.1.
4 2 0.9989606142044067 250 742 416 774 Proposition
4 2 0.9996603727340698 431 742 482 769 3.2.
4 2 0.999976396560669 499 742 542 769 Let
4 2 0.9974240064620972 550 740 578 769 K
4 2 0.9992412328720093 589 740 621 769 be
4 2 0.9999371767044067 629 740 673 769 the
4 2 0.8480522632598877 681 740 825 772 sinc-kernel.
4 2 0.9984477758407593 838 737 898 772 This
4 2 0.9841117858886719 906 740 935 772 is
4 2 0.4970957338809967 946 744 1066 772 equivalent
4 2 0.9994532465934753 1078 740 1109 769 to
4 2 0.9118807315826416 1119 744 1204 772 stating
4 2 0.9999274015426636 1216 742 1267 769 that
4 2 0.8424831628799438 1276 740 1363 774 FK(u)
4 3 0.337489515542984 271 826 314 865 (â)
4 3 0.9999016523361206 319 829 366 861 Let
4 3 0.9759848117828369 366 829 398 858 h*
4 3 0.9998112320899963 407 829 437 858 be
4 3 0.4304504990577698 442 833 555 861 emplcitly
4 3 0.5740242004394531 562 829 657 863 defined,
4 3 0.9975184202194214 662 833 697 861 as
4 3 0.9999152421951294 699 829 743 858 the
4 3 0.9041716456413269 744 831 846 856 solution
4 3 0.9962995648384094 847 826 881 865 of
4 3 0.9984026551246643 881 829 925 858 the
4 3 0.6904448866844177 928 831 1091 856 minimization.
4 3 0.39055877923965454 1098 833 1201 861 equation
5 0 0.50325608253479 248 774 374 808 11-1,11(4).
6 0 0.37062186002731323 389 941 573 989 A,h24912
6 0 0.45738327503204346 576 954 602 979 -
6 0 0.9868349432945251 600 947 629 982 1.
7 0 0.7090662121772766 1343 947 1403 984 (3.2)
8 0 0.9898800849914551 323 1064 387 1091 Then
9 0 0.9992796778678894 474 1174 523 1201 sup
9 1 0.20438705384731293 387 1196 610 1228 geS-1B.C..C,.C)
9 2 0.6924551725387573 269 1285 308 1315 (ii)
9 2 0.9999785423278809 321 1285 365 1313 Let
9 2 0.9666555523872375 366 1283 398 1315 h*
9 2 0.9995173215866089 407 1283 437 1315 be
9 2 0.9999874830245972 440 1285 484 1313 the
9 2 0.957136869430542 487 1285 586 1313 solution
9 2 0.9981399774551392 589 1281 623 1320 of
10 0 0.4344714879989624 608 1164 688 1208 Eollig
10 0 0.41904789209365845 713 1164 759 1208 Sh-
10 0 0.16271421313285828 754 1162 839 1212 lcacal
10 0 0.9729448556900024 872 1164 959 1206 O(h*).
11 0 0.20823077857494354 416 1354 726 1404 CA,-a7.0wrp3te-9
11 0 0.9993734955787659 754 1365 780 1397 1.
12 0 0.9362483024597168 323 1457 387 1484 Then
13 0 0.9977297186851501 461 1566 510 1594 sup
13 1 0.34567520022392273 387 1589 584 1621 9E9-m(o,Q..C,C)
14 0 0.5304617881774902 581 1557 660 1601 Eglllg
14 0 0.9150393009185791 662 1566 691 1596 -
14 0 0.4070545434951782 688 1562 731 1601 gn*
14 0 0.326082319021225 722 1560 812 1601 E2(R)
14 0 0.5426976680755615 846 1555 952 1598 "O((h*)"""
14 0 0.5020044445991516 962 1560 994 1589 2a)
15 0 0.7152681946754456 258 1676 313 1713 (ii)
15 0 0.9996227025985718 319 1678 365 1706 Let
15 0 0.8517731428146362 366 1676 402 1710 h*
15 0 0.9994568228721619 407 1676 437 1708 be
15 0 0.9998903274536133 440 1678 482 1708 the
15 0 0.6268773674964905 486 1681 586 1706 solution
15 0 0.9757413864135742 589 1676 623 1715 of
16 0 0.4422282874584198 389 1754 502 1788 "€2Cg(1/1)"""
16 0 0.9975898265838623 499 1754 523 1793 h
16 0 0.8356938362121582 516 1751 563 1788 -2a
16 0 0.4610106945037842 562 1749 733 1806 -XACA.
17 0 0.9902034997940063 344 1882 360 1902 a
17 0 0.8540531992912292 381 1875 479 1902 Assume
17 0 0.974179744720459 484 1873 537 1907 that
17 0 0.9952677488327026 537 1877 562 1909 P
17 0 0.9345279335975647 560 1875 587 1907 >
17 0 0.9989732503890991 589 1873 613 1905 0
17 0 0.9581462740898132 613 1870 684 1905 holds
17 0 0.9973369240760803 686 1875 738 1902 and
17 0 0.9919479489326477 738 1879 760 1902 a
17 0 0.9830779433250427 760 1875 789 1902 =
17 0 0.9969221949577332 789 1868 823 1909 (1
17 0 0.8334543704986572 827 1879 849 1902 -
17 0 0.5264281034469604 847 1873 914 1907 P)/2.
17 0 0.998666524887085 922 1870 990 1905 Then
18 0 0.9996916055679321 541 1980 589 2007 sup
18 1 0.31753218173980713 449 2000 634 2032 9ESa(C,a.p.C,
19 0 0.4905969202518463 681 1971 757 2007 Eglllg
19 0 0.30191823840141296 785 1971 828 2010 gu*
19 0 0.41670718789100647 827 1973 907 2010 12(E)J
19 0 0.933146595954895 914 1975 943 2003 =
19 0 0.9555771946907043 944 1968 986 2007 O(
19 0 0.995473325252533 982 1973 1043 2007 exp(
19 0 0.5018811821937561 1033 1971 1217 2005 "-2c,(1/h*)"")."
20 0 0.9999489784240723 818 2126 836 2151 6
