block line confidence X1 Y1 X2 Y2 token
0 0 0.9997270703315735 214 205 298 232 Where
0 0 0.998643696308136 303 201 332 235 A
0 0 0.9991902709007263 331 203 358 235 is
0 0 0.9982566237449646 360 203 407 235 the
0 0 0.9683566093444824 408 205 500 232 median
0 0 0.9286436438560486 503 203 536 232 of
0 0 0.9982566237449646 536 203 583 235 the
0 0 0.9982524514198303 584 205 694 232 available
0 0 0.9937939643859863 696 205 793 239 images.
1 0 0.9827697277069092 211 246 271 280 The
1 0 0.6822674870491028 271 248 416 280 subtraction
1 0 0.9907191395759583 419 248 452 280 of
1 0 0.9998670816421509 455 248 502 280 the
1 0 0.9914997220039368 505 251 570 278 main
1 0 0.5084410309791565 575 248 681 283 dazzling
1 0 0.9941787719726562 684 248 765 283 object
1 0 0.9999350309371948 770 251 804 280 to
1 0 0.8739578723907471 807 251 902 278 observe
1 0 0.9999686479568481 907 248 954 280 the
1 0 0.9997654557228088 956 246 1020 280 faint
1 0 0.9939344525337219 1022 251 1161 283 companion
1 0 0.964762806892395 1166 253 1217 280 was
1 0 0.9924927353858948 1221 248 1314 283 already
1 0 0.9901698231697083 1321 248 1437 283 improved
1 0 0.999849796295166 1442 248 1481 285 by
1 0 0.9918531775474548 1484 248 1531 280 the
1 1 0.9997300505638123 171 280 248 315 LOCI
1 1 0.3902450501918793 250 278 495 319 algorithml-ldividing
1 1 0.9993966817855835 495 283 584 317 images
1 1 0.9999148845672607 586 283 617 315 in
1 1 0.9982353448867798 617 280 762 312 subsections
1 1 0.9816606044769287 762 280 815 315 and
1 1 0.9974409341812134 817 283 944 317 obtaining,
1 1 0.9992954730987549 949 283 988 312 for
1 1 0.999439537525177 988 280 1053 315 each
1 1 0.9929606318473816 1053 283 1192 315 subsection,
1 1 0.999548614025116 1193 285 1217 315 a
1 1 0.9785386919975281 1217 285 1292 312 linear
1 1 0.9980546236038208 1293 280 1450 312 combination
1 1 0.9995777010917664 1450 283 1484 312 of
1 1 0.9108304381370544 1484 283 1531 315 the
1 2 0.9937580823898315 172 319 285 344 reference
