block line confidence X1 Y1 X2 Y2 token
0 0 0.6823257207870483 113 150 180 175 SetPoint
1 0 0.9982699155807495 710 153 764 180 Output
2 0 0.9933598637580872 369 175 442 201 Controller
3 0 0.9693809747695923 573 175 631 203 System
4 0 0.9998329877853394 933 173 1022 201 Rewards
4 0 0.5214439034461975 1020 175 1051 203 vs
4 0 0.9972227811813354 1049 175 1138 203 Episodes
4 0 0.9988915324211121 1137 173 1172 201 for
4 0 0.8326104879379272 1171 173 1263 201 Different
4 0 0.9981765747070312 1261 175 1350 203 Learning
4 0 0.9997194409370422 1350 175 1411 203 Rates
5 0 0.9977008700370789 856 205 902 232 2000
5 1 0.9994645714759827 856 255 901 283 1800
5 2 0.9945447444915771 852 299 902 333 1600
5 3 0.9932535290718079 852 347 902 381 1400
5 4 0.998524010181427 854 399 901 424 1200
5 5 0.9987505674362183 856 445 901 472 1000
5 6 0.9930384755134583 864 495 902 523 800
6 0 0.9402515292167664 481 367 557 395 andFilters
6 0 0.9945776462554932 484 351 550 379 Sensors
7 0 0.935467541217804 248 422 300 461 Fig.
7 0 0.9999698400497437 302 422 331 456 3:
7 0 0.9987377524375916 334 422 457 456 Controller
7 0 0.8784084916114807 458 422 533 456 Block
7 0 0.9720262885093689 534 424 638 459 Diagram
7 1 0.9737156629562378 158 520 205 559 IV.
7 1 0.9763889908790588 213 523 426 557 REINFORCEMENT
7 1 0.9995248317718506 426 523 560 557 LEARNING
7 1 0.9977442026138306 560 523 689 557 METHODS
7 1 0.9995929598808289 688 525 725 555 AS
7 2 0.9999943971633911 127 605 159 635 In
7 2 0.9897782206535339 166 603 213 639 [1],
7 2 0.9999380111694336 218 607 260 637 we
7 2 0.9069328904151917 266 605 355 632 worked
7 2 0.9990585446357727 361 607 400 635 on
7 2 0.9890174865722656 405 600 526 635 traditional
7 2 0.9964818954467773 534 603 665 635 Controllers
7 2 0.9998971223831177 671 600 723 637 like
7 2 0.7279829978942871 728 603 788 637 PID,
7 3 0.9999847412109375 100 637 174 673 Fuzzy
7 3 0.9570949673652649 180 639 287 666 PD,PD+I
7 3 0.9995207786560059 293 637 321 666 &
7 3 0.9961502552032471 324 635 390 671 LQR
7 3 0.8853514194488525 395 644 411 666 -
7 3 0.9997087121009827 408 635 463 669 The
7 3 0.999055802822113 465 635 555 676 biggest
