block line confidence X1 Y1 X2 Y2 token
0 0 0.8716899752616882 592 266 793 290 APPROXIMATING
0 0 0.9999737739562988 796 266 851 290 THE
0 0 0.8567706346511841 853 266 969 290 AFFINITY
0 0 0.8764799237251282 972 266 1107 290 DIMENSION
1 0 0.9965376853942871 1321 264 1353 292 67
2 0 0.5627827644348145 398 333 521 358 JENKINSON,
2 0 0.7006379961967468 524 330 562 358 O.,
2 0 0.9827032089233398 566 333 614 356 AND
2 0 0.9950827360153198 617 333 742 358 POLLICOTT,
2 0 0.9952269792556763 745 330 781 358 M.
2 0 0.991448163986206 785 333 903 358 Computing
2 0 0.9978311657905579 904 330 947 356 the
2 0 0.9254114627838135 947 333 1055 356 dimension
2 0 0.9968474507331848 1057 330 1087 358 of
2 0 0.5067676901817322 1087 333 1216 360 dynamically
2 0 0.998189389705658 1218 330 1298 356 defined
2 0 0.9818423986434937 1299 333 1353 356 sets:
2 1 0.963702917098999 400 358 431 386 E2
2 1 0.9999079704284668 434 358 479 384 and
2 1 0.997557520866394 483 358 577 382 bounded
2 1 0.9886411428451538 579 358 683 382 continued
2 1 0.9948471784591675 688 358 788 382 fractions.
2 1 0.9914054870605469 795 360 876 386 Ergodic
2 1 0.9982863068580627 883 360 959 386 Theory
2 1 0.9187849760055542 964 360 1047 386 Dynam.
2 1 0.8279628753662109 1055 360 1142 386 Systems
2 1 0.9998772144317627 1145 358 1182 386 21,
2 1 0.9999779462814331 1185 358 1203 384 5
2 1 0.9988297820091248 1206 360 1283 386 (2001),
2 1 0.5364267230033875 1288 358 1349 384 1429-
2 2 0.80747389793396 351 414 390 442 33]
2 2 0.8141494393348694 400 414 517 440 JENKINSON,
2 2 0.8418698906898499 527 414 569 442 O.,
2 2 0.9961439371109009 574 416 622 440 AND
2 2 0.9946497082710266 627 414 753 440 POLLICOTT,
2 2 0.5428031086921692 760 412 796 440 M:
2 2 0.9784103035926819 803 416 924 442 Calculating
2 2 0.997698962688446 931 414 1035 438 Hausdorff
2 2 0.9985013008117676 1040 414 1162 438 dimensions
2 2 0.9986936450004578 1163 412 1195 440 of
2 2 0.9996029734611511 1196 414 1253 440 Julia
2 2 0.9985414743423462 1255 416 1304 440 sets
2 2 0.9930858612060547 1306 414 1353 440 and
2 3 0.713138997554779 350 466 391 500 [34]
2 3 0.5718778371810913 398 470 521 496 JENKINSON,
2 3 0.6461308598518372 524 470 564 498 0.,
2 3 0.9771910905838013 567 470 617 496 AND
2 3 0.9604271650314331 620 470 745 496 POLLICOTT,
2 3 0.9926809668540955 750 468 786 496 M.
2 3 0.9996298551559448 790 470 928 494 Orthonormal
2 3 0.9966070652008057 933 472 1047 496 expansions
2 3 0.9992644190788269 1049 468 1080 496 of
2 3 0.9986151456832886 1079 470 1177 494 invariant
2 3 0.9620347023010254 1178 470 1275 494 densities
2 3 0.998056948184967 1276 468 1313 494 for
2 3 0.9290951490402222 1313 474 1351 494 ex-
2 4 0.9973089694976807 350 522 391 556 [35]
2 4 0.5881197452545166 398 526 519 552 JENKINSON,
2 4 0.9319210648536682 524 524 564 552 O.,
2 4 0.5199582576751709 566 526 615 550 AND
2 4 0.8541050553321838 619 526 743 552 POLLICOTT,
2 4 0.9562638998031616 747 524 785 552 M.
2 4 0.9982851147651672 783 522 811 552 A
2 4 0.5361226201057434 813 526 923 550 dynamical
2 4 0.9999369382858276 928 526 1025 552 approach
2 4 0.9871031641960144 1027 524 1060 550 to
2 4 0.6274128556251526 1060 526 1187 552 accelerating
2 4 0.6737374663352966 1190 526 1296 550 numerical
2 4 0.5517605543136597 1298 524 1351 550 inte-
2 5 0.9369364976882935 398 554 476 580 gration
2 5 0.9992609620094299 478 552 532 577 with
2 5 0.6617849469184875 531 552 693 582 equidistributed
2 5 0.9990215301513672 695 554 770 580 points.
2 5 0.9923467636108398 775 552 811 577 Tr.
2 5 0.9685611128807068 815 552 869 577 Mat.
2 5 0.9791386723518372 873 552 926 577 Inst.
2 5 0.754465639591217 929 552 1020 577 Steklova
2 5 0.9835188388824463 1020 550 1072 582 256,
2 5 0.9897567629814148 1072 552 1122 577 Din.
2 5 0.9972795844078064 1125 552 1177 577 Sist.
2 5 0.9999421834945679 1177 552 1195 575 i
2 5 0.7190310955047607 1191 554 1268 580 Optim.
2 5 0.9927613735198975 1275 550 1353 582 (2007),
2 6 0.9450513124465942 355 608 390 633 36]
2 6 0.8337213397026062 398 608 521 633 JENKINSON,
2 6 0.867680013179779 524 608 564 633 O.,
2 6 0.9877219796180725 567 608 615 633 AND
2 6 0.9776617884635925 617 608 742 633 POLLICOTT,
2 6 0.9969244599342346 747 605 783 633 M.
2 6 0.9993915557861328 786 610 881 633 Rigorous
2 6 0.9923518300056458 884 608 974 631 effective
2 6 0.9989656209945679 976 608 1055 631 bounds
2 6 0.9999501705169678 1059 612 1090 631 on
2 6 0.9999591112136841 1094 610 1132 629 the
2 6 0.8978028297424316 1133 608 1241 631 Hausdorff
2 6 0.992831826210022 1243 608 1351 631 dimension
2 7 0.999727189540863 396 633 426 661 of
2 7 0.9870645999908447 426 635 531 659 continued
2 7 0.9002900123596191 536 635 620 659 fraction
2 7 0.9999157190322876 624 635 702 659 Cantor
2 7 0.9905329942703247 703 638 757 661 sets:
2 7 0.9969809651374817 762 640 783 661 a
2 7 0.9986186027526855 785 635 874 659 hundred
2 7 0.8464134931564331 878 635 962 659 decimal
2 7 0.9982749223709106 964 633 1030 666 digits
2 7 0.9991307854652405 1032 633 1069 661 for
2 7 0.9999533891677856 1070 633 1110 659 the
2 7 0.9872186183929443 1112 635 1221 659 dimension
2 7 0.9974207878112793 1223 633 1255 661 of
2 7 0.9470387697219849 1255 635 1294 663 E2.
2 7 0.9526881575584412 1299 635 1351 659 Adv.
2 8 0.9987310767173767 356 693 385 713 37
2 8 0.5174460411071777 398 691 519 717 JENKINSON,
2 8 0.8294732570648193 522 691 562 719 O.,
2 8 0.6432523727416992 566 691 688 717 POLLICOTT,
2 8 0.9936496615409851 692 689 733 717 M.,
2 8 0.9866915941238403 737 691 785 717 AND
2 8 0.6513201594352722 786 691 894 717 VYTNOVA,
2 8 0.9472693204879761 898 689 931 717 P.
2 8 0.9998086094856262 931 691 1025 717 Rigorous
2 8 0.8842915296554565 1025 689 1163 719 computation
2 8 0.9988604784011841 1162 687 1191 717 of
2 8 0.9745320081710815 1190 689 1283 715 diffusion
2 8 0.9960277080535889 1284 689 1351 715 coeffi-
2 9 0.9986729621887207 365 747 385 771 8
2 9 0.9758784174919128 398 745 519 771 KAENMAKI,
2 9 0.9749577641487122 522 747 559 775 A.,
2 9 0.9949122071266174 561 747 607 773 AND
2 9 0.9995823502540588 607 747 698 773 MORRIS,
2 9 0.9565718173980713 698 745 723 773 I.
2 9 0.9520827531814575 722 745 755 773 D.
2 9 0.9972518086433411 753 747 858 771 Structure
2 9 0.9426016807556152 856 745 884 773 of
2 9 0.9783806204795837 883 747 1004 773 equilibrium
2 9 0.999764621257782 1006 747 1070 771 states
2 9 0.9995899796485901 1070 751 1100 771 on
2 9 0.8986333012580872 1102 745 1203 771 self-affine
2 9 0.995570957660675 1203 745 1250 771 sets
2 9 0.9935256242752075 1246 745 1294 775 and
2 9 0.9988707900047302 1289 745 1351 771 strict
2 10 0.9710940718650818 396 773 539 803 monotonicity
2 10 0.9996956586837769 537 771 567 801 of
2 10 0.9998362064361572 566 771 645 803 affinity
2 10 0.9885970950126648 647 773 762 799 dimension.
2 10 0.9980108141899109 765 773 823 799 Proc.
2 10 0.9934318661689758 828 773 891 799 Lond.
2 10 0.995023250579834 894 773 961 799 Math.
2 10 0.9796535968780518 964 773 1011 799 Soc.
2 10 0.692797839641571 1016 773 1054 801 (8)
2 10 0.9974129796028137 1052 771 1104 803 116,
2 10 0.9999774694442749 1102 771 1125 801 4
2 10 0.9987512826919556 1123 771 1203 803 (2018),
2 10 0.6771436333656311 1203 773 1251 799 926-
2 10 0.6530303359031677 1243 773 1299 799 956.
2 11 0.9989880919456482 355 801 388 827 39]
2 11 0.9318857192993164 400 801 517 827 KAENMAKI,
2 11 0.9960346817970276 519 801 557 829 A.,
2 11 0.9959025979042053 559 803 605 827 AND
2 11 0.9938467144966125 605 801 722 827 SHMERKIN,
2 11 0.8398615121841431 722 799 753 829 P.
2 11 0.963880181312561 752 801 884 831 Overlapping
2 11 0.8135291337966919 883 803 984 827 self-affine
2 11 0.9985724687576294 982 801 1029 827 sets
2 11 0.920510470867157 1025 801 1055 827 of
2 11 0.9940159320831299 1050 803 1133 829 Kakeya
2 11 0.9484602212905884 1133 803 1190 829 type.
2 11 0.9858294129371643 1191 803 1273 829 Ergodic
2 11 0.9989959597587585 1276 803 1353 829 Theory
2 12 0.9999918937683105 356 859 376 880 40
2 12 0.9758476614952087 398 857 486 883 KAGISO,
2 12 0.8651706576347351 489 852 532 887 D.,
2 12 0.9996421337127686 534 857 582 883 AND
2 12 0.9930776357650757 584 857 708 880 POLLICOTT,
2 12 0.9942942261695862 713 855 750 883 M.
2 12 0.960507333278656 752 859 873 883 Computing
2 12 0.9983329176902771 876 857 1001 880 multifractal
2 12 0.9953041076660156 1006 859 1090 885 spectra.
2 12 0.547802209854126 1095 855 1152 887 Dyn.
2 12 0.917948305606842 1153 855 1210 887 Syst.
2 12 0.9986870884895325 1215 855 1250 883 30,
2 12 0.9999638795852661 1251 857 1271 880 4
2 12 0.9811903238296509 1276 857 1351 883 (2015),
2 13 0.9998005032539368 398 913 483 938 MAYER,
2 13 0.9381371140480042 489 910 522 938 D.
2 13 0.9962820410728455 527 910 557 938 H.
2 13 0.9995622038841248 564 910 602 938 On
2 13 0.9249195456504822 605 915 735 938 composition
2 13 0.5037965178489685 740 915 843 938 operators
2 13 0.9978468418121338 846 917 879 936 on
2 13 0.9999213218688965 884 913 966 936 Banach
2 13 0.9995688796043396 969 915 1042 941 spaces
2 13 0.998110294342041 1044 910 1075 938 of
2 13 0.8702427744865417 1075 910 1211 941 holomorphic
2 13 0.9869074821472168 1215 913 1319 936 functions.
2 13 0.6638187766075134 1324 910 1353 938 J.
