block line confidence X1 Y1 X2 Y2 token
0 0 0.9985179305076599 197 223 306 258 TABLE
0 0 0.9989750385284424 310 223 337 255 I:
0 0 0.9998316764831543 345 226 449 253 Percent
0 0 0.9996300935745239 455 223 524 258 ratio
0 0 0.9995421171188354 529 223 565 258 of
0 0 0.9865532517433167 566 223 636 258 total
0 0 0.9927608966827393 642 226 797 260 quasielastic
0 0 0.6999824643135071 806 221 875 264 (P,n)
0 0 0.9123517274856567 881 230 952 258 cross
0 0 0.9978613257408142 959 228 1054 255 section
0 0 0.9717971086502075 1062 223 1130 258 from
0 0 0.9977506995201111 1135 226 1329 258 measurements
0 0 0.9999442100524902 1334 223 1369 258 of
0 0 0.9682579040527344 1369 226 1497 260 Doehring
0 1 0.999953031539917 198 287 229 317 et
0 1 0.9636227488517761 230 283 271 319 al.
0 1 0.8523601293563843 276 285 332 322 [37),
0 1 0.9999568462371826 339 287 373 317 to
0 1 0.7732758522033691 374 285 508 317 estimated
0 1 0.9839141368865967 513 287 612 315 nuclear
0 1 0.9870604276657104 617 287 752 322 geometric
0 1 0.5467160940170288 755 290 825 317 cross
0 1 0.9965116381645203 828 287 933 322 section,
0 1 0.13544313609600067 938 285 1067 326 T(p.m)/dg:
0 1 0.9996411800384521 1072 285 1156 324 where
0 1 0.570978581905365 1156 287 1196 326 Og
0 1 0.982269823551178 1195 283 1235 319 =
0 1 0.7443432807922363 1229 285 1255 317 T
0 1 0.7490786910057068 1251 280 1297 319 R
0 1 0.4866221249103546 1292 280 1326 322 [
0 1 0.8982540965080261 1322 287 1353 319 -
0 1 0.6673483848571777 1351 283 1497 324 Vc(R)/E].
1 0 0.9995903372764587 796 358 889 399 Target
1 0 0.9611538648605347 893 358 1003 392 Nucleus
1 1 0.9975970387458801 772 415 835 452 90Zr
1 2 0.9999583959579468 776 550 833 577 1.26
1 3 0.9999767541885376 773 607 835 641 0.74
1 4 0.999947190284729 773 666 835 701 0.62
2 0 0.9974936246871948 442 420 482 461 Ep
2 1 0.9999861717224121 444 550 479 580 25
2 2 0.999947190284729 444 609 479 639 35
2 3 0.9999618530273438 442 669 479 698 45
3 0 0.9771130084991455 576 415 646 452 48Ca
