block line confidence X1 Y1 X2 Y2 token
0 0 0.9999501705169678 1542 75 1565 109 2
1 0 0.9988215565681458 875 143 988 185 collision,
1 0 0.9945472478866577 990 146 1093 180 followed
1 0 0.8333786725997925 1093 146 1130 185 by
1 0 0.9708778858184814 1130 146 1255 180 formation
1 0 0.9995704293251038 1255 148 1285 178 of
1 0 0.9995360374450684 1282 150 1306 180 a
1 0 0.9832298159599304 1301 146 1434 187 composite
1 0 0.9726804494857788 1431 148 1528 182 system.
1 0 0.9998457431793213 1534 150 1565 178 In
1 1 0.6675815582275391 878 182 978 216 general,
1 1 0.9996510744094849 980 182 1027 214 the
1 1 0.9250008463859558 1025 182 1153 216 composite
1 1 0.8298571109771729 1154 182 1243 216 system
1 1 0.9667701125144958 1245 180 1372 214 undergoes
1 1 0.9989365935325623 1374 178 1453 212 fusion
1 1 0.9880714416503906 1453 180 1515 216 only
1 1 0.9971761703491211 1513 182 1549 212 in
1 1 0.9999788999557495 1540 182 1565 212 a
1 2 0.9994229078292847 793 216 833 255 (1)
1 2 0.9986714124679565 877 210 978 244 fraction
1 2 0.9867571592330933 982 210 1004 246 f
1 2 0.9640613198280334 1007 212 1040 244 of
1 2 0.9990782737731934 1040 210 1088 246 the
1 2 0.6981008052825928 1087 210 1190 251 capture
1 2 0.9140995144844055 1190 210 1280 244 events.
1 2 0.9996448755264282 1288 210 1339 244 For
1 2 0.9988322854042053 1339 207 1405 251 light
1 2 0.998508870601654 1406 210 1458 244 and
1 2 0.984169602394104 1461 212 1565 239 medium
1 3 0.7879229187965393 875 242 986 283 systems,
1 3 0.7154054045677185 988 244 1012 280 f
1 3 0.4734894037246704 1014 246 1043 276 a
1 3 0.9999614953994751 1045 244 1072 276 1,
1 3 0.972173273563385 1074 242 1129 276 and
1 3 0.9999134540557861 1132 244 1216 271 almost
1 3 0.9990148544311523 1221 244 1258 274 all
1 3 0.9999605417251587 1258 242 1308 276 the
1 3 0.994586706161499 1309 244 1418 278 'capture'
1 3 0.8538030982017517 1423 242 1507 276 events
1 3 0.9999516010284424 1508 242 1566 276 lead
1 4 0.9995524287223816 877 276 912 310 to
1 4 0.559935450553894 910 274 990 308 fusion
1 4 0.8682519793510437 990 271 1106 312 resulting
1 4 0.9987568855285645 1106 274 1185 308 fusion
1 4 0.8125831484794617 1188 280 1253 306 cross
1 4 0.9809215664863586 1255 278 1356 306 sections
1 4 0.9999306201934814 1360 276 1392 306 to
1 4 0.9993994235992432 1393 276 1429 306 be
1 4 0.896404504776001 1432 276 1563 310 practically
1 5 0.9948770403862 878 372 988 406 'capture'
1 5 0.9997952580451965 991 374 1070 402 events
1 5 0.5203239917755127 1074 372 1201 406 ultimately
1 5 0.9998218417167664 1203 370 1259 404 lead
1 5 0.9998946189880371 1259 372 1292 402 to
1 5 0.9970518350601196 1290 370 1369 404 fusion
1 5 0.9997368454933167 1371 370 1442 404 while
1 5 0.9993983507156372 1440 372 1481 402 for
1 5 0.9997673630714417 1481 372 1528 404 the
1 5 0.9815520644187927 1526 374 1565 402 re-
1 6 0.791779100894928 875 399 983 440 maining
1 6 0.9997370839118958 982 404 1040 438 part
1 6 0.9998365640640259 1040 404 1072 433 of
1 6 0.9999443292617798 1072 404 1119 436 the
1 6 0.9988924860954285 1119 406 1206 433 events,
1 6 0.9994348883628845 1211 404 1255 433 the
1 6 0.9388520121574402 1256 404 1345 438 system
1 6 0.9963350296020508 1347 404 1498 438 re-separates
1 6 0.9998548030853271 1498 402 1566 438 prior
1 7 0.9997100234031677 877 436 912 470 to
1 7 0.965559720993042 910 431 1072 472 equilibration
1 7 0.9990736246109009 1070 431 1124 468 and
1 7 0.9989563226699829 1125 436 1188 463 clear
1 7 0.9943848848342896 1192 433 1326 465 distinction
1 7 0.9759544730186462 1329 436 1429 463 between
1 7 0.999779999256134 1434 436 1511 463 fusion
1 7 0.8989560008049011 1515 436 1563 463 and
1 8 0.9999306201934814 877 468 975 502 capture
1 8 0.7261353135108948 982 470 1046 497 cross
1 8 0.969223141670227 1053 468 1153 495 sections
1 8 0.9995837807655334 1159 468 1219 495 then
1 8 0.8381744027137756 1227 468 1332 495 becomes
1 8 0.9785920977592468 1335 468 1463 502 necessary.
1 8 0.9985979199409485 1479 468 1561 495 There-
2 0 0.9997702240943909 431 201 449 228 1
2 1 0.8185331225395203 394 232 486 276 V2TOB
3 0 0.9986205101013184 251 219 360 253 D(B)dB
3 0 0.8995579481124878 361 221 389 253 =
4 0 0.5317591428756714 484 205 566 267 oxpl
4 0 0.2758638560771942 579 189 730 246 (B-B)
4 1 0.3327147960662842 621 230 678 278 208
5 0 0.9994511008262634 145 306 226 340 where
5 0 0.9999659061431885 227 308 274 340 the
5 0 0.9986920952796936 272 308 326 342 two
5 0 0.9634234309196472 326 306 476 347 parameters,
5 0 0.9999271631240845 479 308 526 340 the
5 0 0.9406502842903137 526 310 597 338 mean
5 0 0.999761164188385 600 306 689 340 barrier
5 0 0.9989036321640015 692 306 733 342 Bo
5 0 0.9966912269592285 734 306 788 340 and
5 0 0.9999369382858276 789 308 836 340 the
5 0 0.997798502445221 878 306 986 340 identical
5 0 0.9999686479568481 991 306 1053 340 with
5 0 0.9999867677688599 1059 308 1103 338 the
5 0 0.9984050393104553 1109 312 1203 340 capture
5 0 0.9959491491317749 1209 312 1276 338 cross
5 0 0.9900640845298767 1279 306 1387 340 sections.
5 0 0.9998995065689087 1405 310 1518 338 However,
5 0 0.9989820122718811 1526 308 1565 338 for
5 1 0.9960719347000122 145 338 297 370 distribution
5 1 0.9999176263809204 297 338 374 372 width
5 1 0.35169199109077454 374 342 424 376 GB,
5 1 0.9999221563339233 426 340 458 372 to
5 1 0.9997344613075256 460 340 495 370 be
5 1 0.9859895706176758 497 338 641 372 determined
5 1 0.92174232006073 642 340 791 372 individually
5 1 0.9984317421913147 794 340 835 370 for
5 1 0.9977365732192993 878 340 936 376 very
5 1 0.9910866618156433 943 340 1019 376 heavy
5 1 0.9097560048103333 1025 340 1133 374 systems,
5 1 0.9834824800491333 1141 340 1200 376 only
5 1 0.9997910857200623 1206 342 1232 372 a
5 1 0.9458189010620117 1234 338 1306 372 small
5 1 0.5457741022109985 1313 338 1413 372 fraction
5 1 0.9863749742507935 1419 338 1456 376 (f
5 1 0.9882591962814331 1463 340 1490 374 <
5 1 0.8723132014274597 1495 335 1570 379 1)of
6 0 0.7268195152282715 145 370 208 404 each
6 0 0.9824145436286926 208 370 319 404 reaction.
7 0 0.9995062351226807 230 431 282 465 III.
7 0 0.9990671277046204 305 431 376 465 THE
7 0 0.9996134638786316 379 433 495 461 FUSION
7 0 0.9998282194137573 502 431 605 465 CROSS
7 0 0.9942588806152344 608 431 749 463 SECTION
8 0 0.9964767098426819 174 500 230 536 The
8 0 0.998704195022583 230 502 321 543 energy
8 0 0.9054903984069824 326 502 471 536 dependence
8 0 0.9296144843101501 474 502 507 534 of
