block line confidence X1 Y1 X2 Y2 token
0 0 0.998261034488678 292 253 391 292 Finally,
0 0 0.9998382329940796 393 253 443 287 the
0 0 0.9987088441848755 443 251 532 290 model
0 0 0.9903676509857178 534 257 642 290 requires
0 0 0.7651439309120178 645 259 720 285 some
0 0 0.9582768678665161 722 253 791 287 form
0 0 0.9998992681503296 793 255 826 285 of
0 0 0.9992942810058594 874 253 986 285 calibrate
0 0 0.9999922513961792 987 253 1034 287 the
0 0 0.9965131878852844 1032 253 1118 285 model
0 0 0.9987288117408752 1120 257 1157 285 to.
1 0 0.9988011121749878 252 290 410 322 initialization
1 0 0.9999957084655762 411 292 443 322 to
1 0 0.9982811212539673 439 290 549 328 produce
1 0 0.7423354983329773 547 294 566 320 a
1 0 0.9990278482437134 567 290 649 322 viable
1 0 0.999925971031189 647 290 720 322 order
1 0 0.7099653482437134 720 287 788 322 book
1 0 0.9173927307128906 786 292 828 320 be-
2 0 0.9935585856437683 914 290 972 324 The
2 0 0.9826798439025879 984 292 1128 324 transaction
2 0 0.9998456239700317 1143 292 1240 324 dataset
2 0 0.9993647933006287 1251 292 1324 324 often
2 0 0.9990781545639038 1338 296 1449 328 presents
3 0 0.9994779229164124 252 324 308 356 fore
3 0 0.997945249080658 308 328 385 354 actual
3 0 0.9906561970710754 388 324 484 363 trading
3 0 0.9918854236602783 483 326 534 360 can
3 0 0.9652023911476135 534 326 614 360 begin.
3 0 0.9942442774772644 617 324 677 356 This
3 0 0.9994175434112549 677 324 705 356 is
3 0 0.9999141693115234 705 324 773 356 done
3 0 0.9999580383300781 773 326 805 356 in
3 0 0.9999929666519165 803 328 826 358 a
3 0 0.9995917677879333 876 330 961 356 events
3 0 0.9635864496231079 961 326 1090 365 occurring
3 0 0.9989728927612305 1094 326 1191 358 outside
3 0 0.9953794479370117 1193 324 1230 360 of
3 0 0.9090055823326111 1231 328 1344 354 standard
3 0 0.9990248680114746 1349 324 1449 365 trading
3 1 0.9896742701530457 250 360 328 393 series
3 1 0.8785707950592041 328 360 360 391 of
3 1 0.9999371767044067 361 360 395 391 10
3 1 0.9999011754989624 395 363 471 388 initial
3 1 0.9990118741989136 473 363 559 388 Monte
3 1 0.999422550201416 561 358 635 391 Carlo
3 1 0.9911457896232605 634 358 712 399 steps,
3 1 0.9999806880950928 710 356 745 395 in
3 1 0.6302160620689392 743 358 826 391 which
3 1 0.9962779879570007 873 360 962 399 hours,
3 1 0.9981424808502197 969 360 1027 395 9:00
3 1 0.9999717473983765 1034 365 1067 393 to
3 1 0.9946470856666565 1074 363 1150 397 17:00,
3 1 0.9993394017219543 1158 360 1210 393 but
3 1 0.9999721050262451 1215 367 1260 393 we
3 1 0.9998254179954529 1266 365 1377 391 consider
3 1 0.9766190648078918 1387 363 1449 397 only
3 2 0.968512773513794 250 393 366 433 liquidity
3 2 0.9969695210456848 366 395 498 433 providers
3 2 0.9998528957366943 496 393 571 433 place
3 2 0.9990876913070679 571 393 639 425 limit
